Date,Open,High,Low,Close,Volume,Adj Close
0,42.09,42.57,42.04,42.54,561487,42.54
1,42.0,42.37,41.83,42.09,1438981,42.09
2,42.2,42.271,41.97,42.0099,995113,42.0099
3,42.09,42.29,42.0875,42.205,484788,42.205
4,42.19,42.22,42.01,42.08,436422,42.08
5,42.22,42.31,42.115,42.19,511986,42.19
6,42.35,42.41,42.16,42.22,1940025,42.22
7,40.59,41.29,40.3599,41.29,1850023,41.29
8,40.76,41.08,40.3,40.6,1636056,40.6
9,40.91,41.05,40.61,40.75,1443975,40.75
10,41.16,41.2,40.75,40.91,1276659,40.91
11,41.22,41.3501,41.05,41.165,953018,41.165
12,40.71,41.215,40.66,41.215,1226396,41.215
13,40.9,40.965,40.515,40.71,2478146,40.71
14,40.45,41.49,40.44,41.18,1045365,41.18
15,40.78,41.19,39.95,40.46,2884044,40.46
16,40.2475,40.8,40.15,40.77,1446073,40.77
17,40.76,40.81,40.16,40.24,1291562,40.24
18,40.9,41.0,40.625,40.76,706945,40.76
19,40.75,40.94,40.68,40.89,605926,40.89
20,40.52,40.7701,40.47,40.75,1973066,40.75
21,40.99,41.25,40.0,40.05,1739448,40.05
22,41.48,41.55,40.82,40.97,1513685,40.97
23,41.395,41.7,41.37,41.49,1681165,41.49
24,41.4671,41.61,41.27,41.395,1034056,41.395
25,41.335,41.54,41.28,41.47,996904,41.47
26,40.9,41.44,40.87,41.3201,1756710,41.3201
27,41.23,41.305,40.835,40.9,3069101,40.9
28,40.48,41.52,40.46,40.97,1182731,40.97
29,40.6,40.76,40.22,40.48,1855187,40.48
30,40.4101,40.71,40.41,40.59,953301,40.59
31,40.39,40.59,40.36,40.41,905808,40.41
32,40.16,40.41,39.97,40.39,876334,40.39
33,40.46,40.59,39.99,40.17,1332687,40.17
34,40.45,40.59,40.21,40.44,2862358,40.44
35,40.86,41.14,40.51,40.94,993856,40.94
36,41.17,41.19,40.65,40.86,1549638,40.86
37,41.14,41.36,40.66,41.17,1329456,41.17
