Date,Open,High,Low,Close,Volume,Adj Close
0,100.91,101.0,99.78,100.16,164117,100.16
1,100.91,101.09,100.663,100.8794,118855,100.8794
2,101.33,101.37,100.79,100.88,87190,100.88
3,101.54,101.67,101.23,101.35,109406,101.35
4,101.49,101.63,101.31,101.52,78607,101.52
5,101.23,101.69,101.2,101.47,66649,101.47
6,101.07,101.39,101.05,101.22,96209,101.22
7,101.53,101.53,101.01,101.07,66223,101.07
8,101.9,101.925,101.45,101.53,85230,101.53
9,101.52,101.95,101.52,101.9,92223,101.9
10,101.21,101.55,101.15,101.53,81192,101.53
11,101.26,101.28,100.93,101.21,68909,101.21
12,101.22,101.54,101.21,101.25,60863,101.25
13,101.287,101.34,101.14,101.22,56520,101.22
14,101.292,101.47,101.17,101.26,60793,101.26
15,101.114,101.46,101.0,101.28,64982,101.28
16,101.02,101.38,101.02,101.1,73129,101.1
17,101.19,101.3,100.86,101.03,74831,101.03
18,100.855,101.21,100.855,101.17,109547,101.17
19,101.14,101.14,100.71,100.87,114236,100.87
20,100.7599,101.19,100.75,101.14,98815,101.14
21,100.73,100.75,100.562,100.75,116728,100.75
22,100.96,101.17,100.63,100.72,142050,100.72
23,101.42,101.46,100.86,100.97,108336,100.97
24,101.72,101.8299,101.29,101.4351,174019,101.4351
25,101.4,101.87,101.38,101.73,298474,101.73
26,99.66,100.19,99.05,99.24,206141,99.24
27,99.3756,99.75,99.32,99.68,118783,99.68
28,99.37,99.465,99.15,99.39,94078,99.39
29,99.13,99.46,99.02,99.35,85916,99.35
30,98.88,99.17,98.52,99.12,109095,99.12
31,98.7,99.16,98.63,98.87,173513,98.87
32,99.02,99.24,98.7025,98.71,118035,98.71
33,99.16,99.27,98.95,99.05,103295,99.05
34,99.1725,99.78,99.16,99.18,115380,99.18
35,98.87,99.21,98.62,99.17,102120,99.17
36,98.52,99.01,98.48,98.85,129600,98.85
37,98.01,98.58,97.96,98.5196,126785,98.5196
38,97.6,98.18,97.57,98.02,128964,98.02
39,97.88,97.99,97.41,97.58,212470,97.58
40,97.62,97.94,97.62,97.9,145741,97.9
41,97.39,97.64,97.14,97.63,125413,97.63
42,97.9,97.92,97.36,97.38,214820,97.38
43,97.91,98.01,97.755,97.9,244242,97.9
44,98.26,98.37,97.67,97.89,156478,97.89
45,98.04,98.44,97.96,98.27,115926,98.27
46,97.89,98.15,97.64,98.03,218918,98.03
47,98.03,98.352,97.79,97.86,143252,97.86
48,98.76,98.91,97.99,98.04,175976,98.04
49,99.89,100.02,98.73,98.73,216047,98.73
50,99.52,99.95,99.4,99.91,216266,99.91
51,99.03,99.52,98.9,99.51,385611,99.51
52,98.24,99.1,98.14,99.04,184641,99.04
53,98.43,98.43,98.0,98.21,154401,98.21
54,98.88,98.97,98.45,98.45,205351,98.45
55,99.4,99.49,98.89,98.89,149837,98.89
56,99.6,99.78,99.24,99.4,103993,99.4
57,99.34,99.78,99.32,99.58,81207,99.58
58,99.53,99.74,99.22,99.36,76384,99.36
59,99.41,99.59,99.27,99.52,83289,99.52
60,99.28,99.59,99.25,99.4386,76629,99.4386
61,99.47,99.5,99.265,99.265,187666,99.265
62,99.73,99.91,99.44,99.47,92166,99.47
63,99.74,99.89,99.49,99.72,54414,99.72
64,99.46,99.77,99.44,99.75,71505,99.75
65,99.05,99.48,99.05,99.44,92234,99.44
66,99.14,99.38,99.07,99.08,106440,99.08
67,98.8,99.3,98.8,99.14,64556,99.14
68,98.89,99.02,98.68,98.8,98542,98.8
69,98.86,99.0,98.73,98.88,90430,98.88
70,98.33,98.95,98.17,98.92,182797,98.92
71,98.43,98.46,98.07,98.36,87831,98.36
72,98.39,98.72,98.295,98.41,345548,98.41
73,98.56,98.7,98.2,98.38,191671,98.38
74,98.34,98.565,98.0,98.565,213299,98.565
75,98.32,98.45,98.14,98.35,162606,98.35
76,98.72,98.88,98.32,98.32,224035,98.32
77,98.29,98.71,98.29,98.69,310389,98.69
78,100.15,100.26,99.56,99.79,132762,99.79
79,100.25,100.4,100.111,100.1261,78343,100.1261
80,100.22,100.37,100.04,100.25,79746,100.25
81,100.53,100.6,100.18,100.2,75358,100.2
82,100.66,100.84,100.49,100.54,93631,100.54
83,100.7,100.82,100.63,100.67,99947,100.67
84,100.585,100.775,100.47,100.695,89938,100.695
85,100.465,100.78,100.46,100.58,76386,100.58
86,100.503,100.54,100.35,100.46,67334,100.46
87,100.48,100.64,100.32,100.515,82881,100.515
88,100.69,100.82,100.48,100.48,149002,100.48
89,100.94,100.95,100.64,100.73,53730,100.73
90,101.05,101.15,100.92,100.95,110897,100.95
91,101.44,101.5289,101.04,101.05,108869,101.05
92,101.23,101.44,101.1,101.44,81066,101.44
93,101.57,101.65,101.23,101.231,84850,101.231
94,101.62,101.67,101.4,101.58,55229,101.58
95,101.73,101.79,101.42,101.62,93941,101.62
96,101.975,101.99,101.62,101.72,78806,101.72
97,101.85,102.12,101.77,101.98,115732,101.98
98,101.68,101.8406,101.62,101.81,96299,101.81
99,102.11,102.18,101.69,101.7,162516,101.7
100,102.08,102.26,101.88,102.12,208193,102.12
101,102.21,102.3,101.99,102.05,157995,102.05
102,102.28,102.31,101.97,102.21,190745,102.21
103,102.26,102.36,102.185,102.28,311258,102.28
104,101.925,102.21,101.24,102.21,186428,102.21
105,102.32,102.38,101.8101,101.9,130019,101.9
106,102.69,102.77,102.25,102.25,166292,102.25
107,103.04,103.13,102.63,102.66,129259,102.66
108,102.84,103.08,102.59,103.01,91075,103.01
109,102.89,102.98,102.71,102.84,63190,102.84
110,102.77,102.96,102.68,102.89,70534,102.89
111,102.95,102.97,102.69,102.77,59916,102.77
112,102.74,102.94,102.74,102.94,73359,102.94
113,102.81,102.93,102.69,102.75,72190,102.75
114,102.4758,102.83,102.45,102.78,66254,102.78
115,102.4,102.58,102.35,102.47,96898,102.47
116,102.48,102.59,102.26,102.4,69338,102.4
117,102.69,102.7125,102.46,102.48,48907,102.48
118,103.06,103.08,102.68,102.72,57861,102.72
119,103.0484,103.15,103.01,103.07,102004,103.07
120,102.88,103.09,102.88,103.06,28598,103.06
121,102.5362,102.985,102.5362,102.87,33351,102.87
122,102.68,102.74,102.47,102.51,59824,102.51
123,102.79,102.8,102.6,102.71,52584,102.71
124,102.77,102.95,102.735,102.77,63579,102.77
125,102.61,102.8,102.56,102.77,89176,102.77
126,102.25,102.76,102.25,102.61,71956,102.61
127,101.87,102.28,101.83,102.27,100141,102.27
128,101.57,101.94,101.55,101.835,138361,101.835
129,101.78,101.98,101.57,101.57,243967,101.57
130,102.4599,102.54,101.45,101.79,295103,101.79
131,102.564,102.6,102.03,102.45,70241,102.45
132,102.875,103.05,102.42,102.6,159215,102.6
133,102.87,103.13,102.851,102.89,96686,102.89
134,103.04,103.08,102.861,102.88,82485,102.88
135,102.72,103.04,102.71,103.04,81539,103.04
136,102.78,102.925,102.56,102.71,70158,102.71
137,102.58,102.78,102.44,102.771,79822,102.771
138,102.56,102.69,102.42,102.58,96263,102.58
139,102.41,102.57,102.37,102.57,72568,102.57
140,102.71,102.76,102.35,102.4,52474,102.4
141,102.87,102.89,102.704,102.76,73927,102.76
142,102.75,102.95,102.69,102.88,44867,102.88
143,102.55,102.74,102.48,102.74,56528,102.74
144,102.58,102.7,102.47,102.56,56408,102.56
145,102.8807,102.98,102.56,102.56,62410,102.56
146,102.8,102.9,102.7,102.89,56851,102.89
147,102.69,102.88,102.685,102.79,58859,102.79
148,102.49,102.71,102.47,102.67,54585,102.67
149,102.44,102.59,102.41,102.49,62994,102.49
150,102.61,102.65,102.35,102.44,87036,102.44
151,102.49,102.69,102.47,102.63,72460,102.63
152,102.32,102.54,102.18,102.48,76614,102.48
153,102.28,102.43,102.19,102.33,92281,102.33
154,102.58,102.6,102.2,102.27,117120,102.27
155,102.55,102.6,102.305,102.58,208129,102.58
156,102.66,102.7,102.57,102.67,475,102.67
157,103.14,103.24,102.7,102.82,179912,102.82
158,103.26,103.31,103.07,103.14,90022,103.14
159,102.715,103.35,102.67,103.28,70256,103.28
160,102.51,102.88,102.43,102.71,47604,102.71
161,102.71,102.82,102.44,102.54,62688,102.54
162,102.42,102.76,102.21,102.73,52450,102.73
163,102.61,102.64,102.3342,102.43,50252,102.43
164,102.95,102.98,102.52,102.59,62030,102.59
165,103.36,103.36,102.97,103.0,51475,103.0
166,103.5,103.54,103.37,103.37,49925,103.37
167,103.47,103.6,103.35,103.5,51303,103.5
168,103.36,103.52,103.26,103.44,102321,103.44
169,103.42,103.48,103.32,103.39,75807,103.39
170,103.42,103.51,103.33,103.41,50325,103.41
171,103.38,103.5,103.28,103.41,52247,103.41
172,103.33,103.47,103.28,103.36,37496,103.36
173,103.29,103.46,103.27,103.3,46426,103.3
174,103.24,103.43,103.16,103.3,70727,103.3
175,102.89,103.52,102.81,103.24,160838,103.24
176,103.08,103.47,102.885,102.915,180449,102.915
177,102.635,103.09,102.44,103.05,89888,103.05
178,102.04,102.65,101.93,102.63,140944,102.63
179,101.49,102.08,101.434,102.06,96197,102.06
180,101.68,101.86,101.33,101.5,99242,101.5
181,101.8,101.96,101.56,101.69,151110,101.69
182,101.99,102.1,101.7801,101.815,239532,101.815
183,102.77,103.08,102.51,102.84,156932,102.84
184,102.91,103.02,102.66,102.7801,50881,102.7801
185,102.52,102.91,102.31,102.88,96314,102.88
186,101.92,102.64,101.89,102.5101,144611,102.5101
187,101.92,102.0,101.59,101.92,107586,101.92
188,102.11,102.18,101.83,101.92,96444,101.92
189,102.32,102.41,102.09,102.14,131833,102.14
190,102.26,102.5,102.15,102.315,211957,102.315
191,101.98,102.38,101.94,102.26,86843,102.26
192,102.05,102.16,101.96,101.98,107268,101.98
193,102.81,102.83,102.05,102.07,67486,102.07
194,103.23,103.25,102.65,102.83,71104,102.83
195,103.37,103.48,103.14,103.22,56030,103.22
196,103.18,103.48,103.16,103.38,294083,103.38
197,103.35,103.37,102.96,103.17,69123,103.17
198,102.85,103.41,102.67,103.37,52863,103.37
199,103.05,103.175,102.82,102.83,54865,102.83
200,102.76,103.19,102.76,103.05,59659,103.05
201,103.15,103.18,102.76,102.76,73720,102.76
202,103.45,103.51,103.15,103.16,71893,103.16
203,103.23,103.59,103.1801,103.46,87244,103.46
204,103.25,103.28,103.09,103.23,77830,103.23
205,103.41,103.56,103.12,103.25,124300,103.25
206,103.24,103.45,103.225,103.42,86254,103.42
207,103.04,103.44,103.02,103.22,120046,103.22
208,103.1,103.25,103.0,103.06,270619,103.06
209,103.95,104.15,103.24,103.37,192458,103.37
210,104.66,104.75,103.92,103.97,151309,103.97
211,104.38,104.81,104.37,104.71,151561,104.71
212,104.555,104.755,104.35,104.3801,199157,104.3801
213,104.48,104.59,104.3,104.53,163459,104.53
214,104.39,104.54,104.16,104.47,80667,104.47
215,104.89,104.91,104.4,104.42,116992,104.42
