Date,Open,High,Low,Close,Volume,Adj Close
0,101.97,102.32,101.68,101.83,148319,101.83
1,101.835,102.455,101.47,102.34,287179,102.34
2,102.32,102.35,101.78,102.07,181085,102.07
3,102.07,102.08,101.74,101.995,156922,101.995
4,102.02,102.49,101.72,102.3647,154589,102.3647
5,102.39,102.87,102.29,102.66,215255,102.66
6,102.65,102.65,102.05,102.38,793243,102.38
7,100.81,101.78,100.54,101.67,249459,101.67
8,101.7,102.157,101.35,102.117,391698,102.117
9,102.09,102.82,102.08,102.71,379418,102.71
10,102.7,103.06,102.55,102.7313,274222,102.7313
11,102.72,102.85,102.34,102.34,234237,102.34
12,102.335,102.62,101.605,101.67,389643,101.67
13,101.68,102.29,101.63,102.18,624457,102.18
14,99.75,100.68,99.75,100.29,441250,100.29
15,100.31,100.81,99.82,100.67,403489,100.67
16,100.69,100.84,100.33,100.47,233135,100.47
17,100.45,100.45,99.96,100.02,230308,100.02
18,100.04,100.05,98.85,99.26,275287,99.26
19,99.26,99.56,98.84,99.08,319997,99.08
20,99.05,99.71,98.89,99.16,662191,99.16
21,99.48,99.79,99.17,99.57,183075,99.57
22,99.565,99.699,99.02,99.5,248255,99.5
23,99.53,99.63,98.83,99.35,175780,99.35
24,99.41,99.81,99.25,99.34,205585,99.34
25,99.345,99.46,98.92,99.28,187703,99.28
26,99.282,99.48,98.831,98.96,222093,98.96
27,98.93,99.07,98.0,98.15,492211,98.15
28,98.48,99.0,98.37,98.46,224379,98.46
29,98.42,98.99,98.24,98.45,251848,98.45
30,98.44,99.02,98.17,98.8872,220993,98.8872
31,98.9,98.9,98.42,98.72,174170,98.72
32,98.73,98.79,98.075,98.35,291356,98.35
33,98.36,99.0,98.2,98.82,293497,98.82
34,98.82,99.72,98.4253,99.23,695749,99.23
35,99.96,100.48,99.85,99.88,269875,99.88
36,99.89,100.25,99.435,100.21,277865,100.21
37,100.2,100.221,99.56,99.93,249132,99.93
38,99.9301,100.25,99.645,99.86,231795,99.86
39,99.86,100.42,99.86,100.1,214757,100.1
40,100.1,100.98,99.77,100.87,373824,100.87
41,100.87,101.29,100.41,101.01,605359,101.01
42,101.39,101.75,101.06,101.45,160096,101.45
43,101.46,101.46,100.95,101.38,282968,101.38
44,101.38,101.66,100.94,100.99,269808,100.99
45,101.01,101.13,100.52,100.55,299255,100.55
46,100.6,100.82,99.81,99.85,232158,99.85
47,99.88,99.95,98.74,99.31,333751,99.31
48,99.315,99.66,99.02,99.26,735902,99.26
49,99.12,100.22,98.91,99.745,442386,99.745
50,99.75,101.84,99.64,101.18,487672,101.18
51,101.19,101.55,100.95,101.435,298241,101.435
52,101.5,101.86,101.23,101.69,296847,101.69
53,101.66,102.17,101.59,101.715,433474,101.715
54,101.72,102.07,101.46,102.02,630348,102.02
55,102.02,102.47,101.82,101.91,846536,101.91
56,98.74,100.7,98.69,100.09,530744,100.09
57,100.06,101.01,99.89,100.29,409979,100.29
58,100.27,100.39,99.64,99.95,594377,99.95
59,99.95,100.025,98.56,98.88,572419,98.88
60,98.87,99.18,98.45,98.94,465259,98.94
61,98.93,99.63,98.59,99.605,491910,99.605
62,99.605,99.73,98.96,99.27,811960,99.27
63,100.16,101.09,99.78,100.91,282972,100.91
64,100.88,101.69,100.79,101.23,341852,101.23
65,101.22,101.95,101.01,101.52,339885,101.52
66,101.53,101.55,100.93,101.287,267484,101.287
67,101.26,101.47,100.86,101.19,273735,101.19
68,101.17,101.21,100.562,100.73,439326,100.73
69,100.72,101.87,100.63,101.4,722879,101.4
70,99.24,100.19,99.05,99.3756,324924,99.3756
71,99.39,99.465,98.52,98.7,462602,98.7
72,98.71,99.78,98.62,98.87,438830,98.87
73,98.85,99.01,97.41,97.88,597819,97.88
74,97.9,98.01,97.14,97.91,730216,97.91
75,97.89,98.44,97.64,98.03,634574,98.03
76,98.04,100.02,97.99,99.03,993900,99.03
77,99.04,99.1,98.0,98.43,339042,98.43
78,98.45,99.78,98.45,99.34,540388,99.34
79,99.36,99.74,99.22,99.47,423968,99.47
80,99.47,99.91,99.05,99.05,310319,99.05
81,99.08,99.38,98.68,98.86,359968,98.86
82,98.92,98.95,98.07,98.56,807847,98.56
83,98.565,98.88,98.0,98.29,910329,98.29
84,99.79,100.4,99.56,100.25,211105,100.25
85,100.25,100.84,100.04,100.7,348682,100.7
86,100.695,100.78,100.32,100.48,316539,100.48
87,100.48,101.5289,100.48,101.44,422498,101.44
88,101.44,101.79,101.1,101.73,315086,101.73
89,101.72,102.18,101.62,102.11,453353,102.11
90,102.12,102.36,101.88,102.26,868191,102.26
91,102.21,102.38,101.24,102.32,316447,102.32
92,102.25,103.13,102.25,102.89,449816,102.89
93,102.89,102.97,102.68,102.81,275999,102.81
94,102.78,102.83,102.26,102.69,281397,102.69
95,102.72,103.15,102.5362,102.5362,221814,102.5362
96,102.51,102.95,102.47,102.61,265163,102.61
97,102.61,102.76,101.55,101.78,554425,101.78
98,101.79,102.6,101.45,102.564,365344,102.564
99,102.6,103.13,102.42,102.72,419925,102.72
100,102.71,102.925,102.37,102.41,318811,102.41
101,102.4,102.95,102.35,102.55,227796,102.55
102,102.56,102.98,102.47,102.69,234528,102.69
103,102.67,102.71,102.35,102.49,277075,102.49
104,102.48,102.57,102.18,102.55,319136,102.55
105,102.67,103.31,102.57,103.26,270409,103.26
106,103.28,103.35,102.21,102.42,232998,102.42
107,102.43,103.54,102.3342,103.5,213682,103.5
108,103.5,103.6,103.26,103.42,279756,103.42
109,103.41,103.5,103.16,103.24,206896,103.24
110,103.24,103.52,101.93,102.04,572119,102.04
111,102.06,102.1,101.33,101.99,586081,101.99
112,102.84,103.08,102.51,102.91,207813,102.91
113,102.88,102.91,101.59,102.11,444955,102.11
114,102.14,102.5,101.94,102.05,537901,102.05
115,102.07,103.48,102.05,103.18,488703,103.18
116,103.17,103.41,102.67,102.76,236510,102.76
117,102.76,103.59,102.76,103.25,310687,103.25
118,103.25,103.56,103.0,103.1,601219,103.1
119,103.37,104.75,103.24,104.66,343767,104.66
120,104.71,104.81,104.16,104.39,594844,104.39
121,104.42,105.65,104.4,105.37,690313,105.37
122,105.39,105.58,105.222,105.385,355492,105.385
123,105.38,105.44,105.14,105.23,361458,105.23
124,105.25,105.25,104.79,104.9,292858,104.9
125,104.9,105.55,104.82,105.51,901519,105.51
126,104.75,105.96,104.73,105.87,553695,105.87
127,105.84,106.37,105.3,106.138,499886,106.138
128,106.15,106.37,105.7801,106.37,413807,106.37
129,106.31,106.42,106.05,106.21,203576,106.21
130,106.25,106.42,106.14,106.2,251329,106.2
131,106.2,106.8,106.16,106.52,307716,106.52
132,106.54,106.74,106.2069,106.25,622778,106.25
133,105.27,105.62,104.4376,104.525,293485,104.525
134,104.54,105.06,104.49,104.72,243663,104.72
135,104.71,104.85,104.39,104.51,300061,104.51
136,104.515,104.76,104.12,104.32,240269,104.32
137,104.32,104.39,103.66,103.74,248363,103.74
138,103.75,103.95,103.45,103.61,340747,103.61
139,103.61,103.96,103.56,103.84,686256,103.84
140,104.45,104.68,103.33,103.36,379227,103.36
141,103.34,103.69,101.36,101.71,738440,101.71
142,101.72,102.06,101.23,101.47,473379,101.47
143,101.46,101.68,100.62,101.0,517918,101.0
144,101.01,101.33,100.77,100.86,318566,100.86
145,100.89,102.71,100.88,102.54,535282,102.54
146,102.555,102.85,101.83,102.1,859815,102.1
147,102.22,102.39,101.38,101.81,374943,101.81
148,101.81,102.66,101.4111,102.5,806454,102.5
149,102.49,102.5,101.855,101.94,333536,101.94
150,101.935,102.63,101.91,102.54,252754,102.54
151,102.54,103.02,102.22,102.52,282400,102.52
152,102.52,102.62,102.1,102.48,427264,102.48
153,102.47,102.82,102.18,102.75,729059,102.75
154,102.42,102.5881,101.0,101.06,272839,101.06
155,101.05,101.26,99.65,99.72,459400,99.72
156,99.7,99.74,99.03,99.58,333303,99.58
157,99.565,100.195,99.55,100.01,309154,100.01
158,100.01,100.06,99.28,99.33,371722,99.33
159,99.37,99.47,98.58,98.96,410090,98.96
160,98.96,99.17,98.61,98.98,1009881,98.98
161,96.65,96.65,94.32,95.03,844588,95.03
162,95.0,95.525,94.01,94.7,838031,94.7
163,94.72,94.73,93.35,94.03,771191,94.03
164,93.99,94.615,93.84,94.04,737896,94.04
165,94.05,94.44,93.86,94.01,361963,94.01
166,94.01,94.4,93.87,94.01,654493,94.01
167,93.98,95.36,93.94,95.09,1533961,95.09
168,94.01,95.08,93.19,94.52,595405,94.52
169,94.49,94.97,93.6,94.025,748063,94.025
170,94.01,94.73,92.92,92.95,782357,92.95
171,92.93,93.11,92.02,92.195,842145,92.195
172,92.18,92.23,91.4,92.08,770009,92.08
173,92.09,93.86,92.065,93.6275,820942,93.6275
174,93.64,94.32,93.22,93.32,1150528,93.32
175,94.43,95.74,94.4,94.79,565825,94.79
176,94.754,95.45,94.32,94.48,625821,94.48
177,94.52,95.26,94.26,94.44,385444,94.44
178,94.47,95.18,94.39,95.06,233370,95.06
179,95.08,95.21,94.4601,94.89,310505,94.89
180,94.9,95.205,94.4406,94.71,352237,94.71
181,94.72,95.14,94.131,94.19,677346,94.19
182,92.54,93.75,92.25,93.42,380421,93.42
183,93.36,93.92,93.27,93.465,423324,93.465
184,93.45,93.485,92.71,93.22,373426,93.22
185,93.21,93.63,93.14,93.52,403821,93.52
186,93.51,93.885,93.25,93.345,464140,93.345
187,93.335,93.62,92.85,93.32,620036,93.32
188,93.32,93.895,92.9,93.41,833262,93.41
189,94.43,94.63,93.995,94.12,156205,94.12
190,94.06,95.0,93.99,94.55,360483,94.55
191,94.57,94.88,94.49,94.6,351192,94.6
192,94.6,94.7,94.4625,94.53,348895,94.53
193,94.55,94.61,94.43,94.55,348440,94.55
194,94.53,94.93,94.46,94.68,430729,94.68
195,94.67,94.84,94.42,94.7,521567,94.7
196,96.24,96.71,95.48,95.66,323357,95.66
197,95.67,96.21,95.57,96.06,437554,96.06
198,96.07,96.39,95.89,96.33,289042,96.33
199,96.34,96.66,96.29,96.54,333584,96.54
200,96.56,97.05,96.49,97.05,487890,97.05
201,97.01,97.09,96.84,96.945,325419,96.945
202,96.95,97.062,96.61,96.88,675693,96.88
203,97.74,98.11,97.73,97.96,331710,97.96
204,97.99,98.76,97.88,98.72,529176,98.72
