Date,Open,High,Low,Close,Volume,Adj Close
0,54.51,54.51,54.51,54.51,400,54.51
1,54.49,54.96,54.39,54.73,984141,54.73
2,54.76,55.05,54.58,54.6207,763495,54.6207
3,54.6,55.43,54.26,54.41,632611,54.41
4,54.4,54.41,54.14,54.22,370630,54.22
5,54.22,54.25,53.95,54.2,601894,54.2
6,54.197,54.22,53.93,53.95,794501,53.95
7,53.945,54.27,53.94,54.17,447746,54.17
8,54.17,54.2701,54.1,54.26,452782,54.26
9,54.25,54.34,54.14,54.165,365498,54.165
10,54.165,54.29,54.165,54.265,603104,54.265
11,54.26,54.3597,53.98,54.04,320112,54.04
12,54.03,54.05,53.62,53.71,343065,53.71
13,53.71,53.81,53.54,53.565,309688,53.565
14,53.5601,54.08,53.49,54.0758,377717,54.0758
15,54.08,54.19,53.92,53.97,255183,53.97
16,53.98,54.21,53.78,54.13,423151,54.13
17,54.14,54.43,54.07,54.42,357610,54.42
18,54.42,54.52,54.29,54.37,576044,54.37
19,54.37,54.49,54.23,54.36,434341,54.36
20,54.37,54.51,54.31,54.45,576848,54.45
21,54.45,54.51,54.26,54.4201,465227,54.4201
22,54.43,54.62,54.36,54.52,323651,54.52
23,54.52,54.86,54.47,54.841,540217,54.841
24,54.85,55.58,54.85,55.5,940782,55.5
25,55.51,55.72,55.27,55.275,1124174,55.275
26,55.27,55.29,55.0,55.07,1241206,55.07
27,55.11,55.52,55.05,55.195,505089,55.195
28,55.18,55.44,55.13,55.34,514137,55.34
29,55.35,55.82,55.31,55.72,363193,55.72
30,55.71,55.9,55.5,55.76,180272,55.76
31,55.76,55.85,55.62,55.72,186888,55.72
32,55.71,55.9,55.55,55.575,227524,55.575
33,55.6,55.85,55.46,55.7,216403,55.7
34,55.7,55.75,55.5,55.55,194779,55.55
35,55.55,55.7,55.5,55.58,172098,55.58
36,55.575,55.91,55.57,55.87,237130,55.87
37,55.88,56.05,55.8,55.81,212450,55.81
38,55.81,55.99,55.79,55.98,193529,55.98
39,55.99,56.12,55.96,56.0,204545,56.0
40,55.995,56.01,55.8201,55.86,189700,55.86
41,55.86,56.01,55.81,55.81,274005,55.81
42,55.8,55.895,55.6,55.6,166365,55.6
43,55.61,55.74,55.47,55.695,224865,55.695
44,55.69,55.789,55.545,55.6,250569,55.6
45,55.61,55.64,55.23,55.26,252305,55.26
46,55.27,55.28,55.06,55.235,279965,55.235
47,55.24,55.53,55.24,55.45,272529,55.45
48,55.45,55.55,55.2789,55.49,188135,55.49
49,55.48,55.51,55.25,55.41,273129,55.41
50,55.41,55.49,55.3,55.38,286569,55.38
51,55.39,55.6125,55.38,55.55,366599,55.55
52,55.54,55.55,55.29,55.29,585863,55.29
53,56.35,56.35,56.3,56.3,255,56.3
54,56.36,56.59,56.0,56.09,474321,56.09
55,56.0957,56.0957,55.89,55.98,345135,55.98
56,55.99,56.1,55.93,56.09,340098,56.09
57,56.08,56.08,55.87,56.01,304718,56.01
58,56.01,56.06,55.9,55.95,224340,55.95
59,55.9499,56.0599,55.75,56.04,328046,56.04
60,56.05,56.12,55.81,55.9,241504,55.9
61,55.89,56.06,55.815,56.04,154814,56.04
62,56.03,56.04,55.73,55.77,173337,55.77
63,55.78,55.86,55.67,55.67,205364,55.67
64,55.67,55.9,55.66,55.9,277526,55.9
65,55.91,56.06,55.88,55.94,190137,55.94
66,55.95,56.075,55.9142,55.9985,202998,55.9985
67,55.995,56.13,55.95,56.1,186076,56.1
68,56.1,56.2,56.04,56.1,214317,56.1
69,56.1,56.29,56.09,56.21,164343,56.21
70,56.22,56.32,56.22,56.32,126968,56.32
71,56.32,56.41,56.31,56.38,110254,56.38
72,56.38,56.4923,56.34,56.48,126306,56.48
73,56.48,56.5,56.3425,56.35,186388,56.35
74,56.34,56.38,56.23,56.23,209646,56.23
75,56.22,56.38,56.22,56.375,203381,56.375
