Date,Close,High,Low,Open,Volume,Adj Close
2015-12-18 10:30:00,59.55,59.91,59.27,59.665,3481564,59.55
2015-12-18 11:30:00,59.54,59.65,59.43,59.62,1229238,59.54
2015-12-18 12:30:00,59.06,59.61,59.02,59.56,1169235,59.06
2015-12-18 13:30:00,59.22,59.345,58.83,59.01,1127953,59.22
2015-12-18 14:30:00,59.41,59.519,59.17,59.24,1178515,59.41
2015-12-18 15:30:00,58.98,59.425,58.82,59.39,1425512,58.98
2015-12-18 16:00:00,59.185,59.265,58.97,58.99,1030157,59.185
2015-12-21 10:30:00,60.02,60.38,59.82,60.08,1324916,60.02
2015-12-21 11:30:00,59.83,60.11,59.78,60.0501,927610,59.83
2015-12-21 12:30:00,59.64,59.78,59.6,59.78,569326,59.64
2015-12-21 13:30:00,59.945,59.98,59.68,59.68,579911,59.945
2015-12-21 14:30:00,59.75,60.0,59.71,59.935,673428,59.75
2015-12-21 15:30:00,59.6801,59.8,59.62,59.75,925514,59.6801
2015-12-21 16:00:00,59.97,59.97,59.69,59.72,1073463,59.97
2015-12-22 10:30:00,60.095,60.31,59.945,60.31,1357257,60.095
2015-12-22 11:30:00,60.14,60.27,60.005,60.1,932240,60.14
2015-12-22 12:30:00,60.45,60.45,60.15,60.18,800804,60.45
2015-12-22 13:30:00,60.68,60.68,60.4675,60.4675,806016,60.68
2015-12-22 14:30:00,60.58,60.82,60.58,60.66,584507,60.58
2015-12-22 15:30:00,60.89,60.95,60.58,60.58,917275,60.89
2015-12-22 16:00:00,60.745,60.87,60.66,60.87,839051,60.745
2015-12-23 10:30:00,61.14,61.3336,60.95,60.95,867388,61.14
2015-12-23 11:30:00,61.175,61.34,61.16,61.21,582884,61.175
2015-12-23 12:30:00,61.305,61.31,61.12,61.22,573712,61.305
2015-12-23 13:30:00,61.27,61.335,61.2,61.305,500928,61.27
2015-12-23 14:30:00,61.315,61.35,61.19,61.24,477528,61.315
2015-12-23 15:30:00,61.485,61.5,61.31,61.38,859732,61.485
2015-12-23 16:00:00,61.4001,61.47,61.355,61.47,1035255,61.4001
2015-12-24 10:30:00,61.46,61.63,61.45,61.4759,693274,61.46
2015-12-24 11:30:00,61.52,61.55,61.425,61.455,340585,61.52
2015-12-24 12:30:00,61.93,61.96,61.51,61.53,434757,61.93
2015-12-24 13:30:00,61.7,62.07,61.7,61.915,873178,61.7
2015-12-28 10:30:00,61.22,61.55,61.13,61.37,630196,61.22
2015-12-28 11:30:00,61.194,61.34,61.025,61.23,540191,61.194
2015-12-28 12:30:00,61.39,61.41,61.155,61.17,327431,61.39
2015-12-28 13:30:00,61.49,61.52,61.29,61.39,288325,61.49
2015-12-28 14:30:00,61.52,61.58,61.39,61.5239,392087,61.52
2015-12-28 15:30:00,61.679,61.679,61.48,61.54,475027,61.679
2015-12-28 16:00:00,61.595,61.7,61.575,61.64,290034,61.595
2015-12-29 10:30:00,62.355,62.495,62.1,62.1101,612804,62.355
2015-12-29 11:30:00,62.29,62.35,62.24,62.35,554397,62.29
2015-12-29 12:30:00,62.35,62.355,62.24,62.3,522649,62.35
2015-12-29 13:30:00,62.51,62.58,62.31,62.3401,465694,62.51
2015-12-29 14:30:00,62.6,62.6,62.39,62.5,379866,62.6
2015-12-29 15:30:00,62.65,62.73,62.51,62.57,512082,62.65
2015-12-29 16:00:00,62.54,62.68,62.52,62.68,530514,62.54
2015-12-30 10:30:00,62.535,62.7,62.35,62.43,698450,62.535
2015-12-30 11:30:00,62.985,62.99,62.51,62.51,523933,62.985
2015-12-30 12:30:00,62.97,63.02,62.77,62.95,582103,62.97
2015-12-30 13:30:00,62.815,62.915,62.74,62.86,356806,62.815
2015-12-30 14:30:00,62.84,63.0,62.79,62.8,577438,62.84
2015-12-30 15:30:00,62.755,62.865,62.71,62.865,644064,62.755
2015-12-30 16:00:00,62.47,62.72,62.47,62.72,674839,62.47
2015-12-31 10:30:00,62.06,62.44,62.02,62.27,723847,62.06
2015-12-31 11:30:00,62.32,62.37,61.9601,62.04,532892,62.32
2015-12-31 12:30:00,62.7099,62.71,62.32,62.32,396826,62.7099
2015-12-31 13:30:00,62.47,62.71,62.4,62.71,305548,62.47
2015-12-31 14:30:00,62.42,62.57,62.38,62.45,491422,62.42
2015-12-31 15:30:00,62.33,62.405,62.26,62.355,539754,62.33
2015-12-31 16:00:00,61.97,62.425,61.97,62.345,580278,61.97
2016-01-04 10:30:00,60.675,61.04,60.47,60.87,1355439,60.675
2016-01-04 11:30:00,60.197,60.66,60.07,60.66,969223,60.197
2016-01-04 12:30:00,60.14,60.36,60.11,60.19,1064288,60.14
2016-01-04 13:30:00,60.24,60.35,60.09,60.145,941777,60.24
2016-01-04 14:30:00,60.33,60.365,60.03,60.23,1099610,60.33
2016-01-04 15:30:00,59.9,60.315,59.835,60.315,1562107,59.9
2016-01-04 16:00:00,60.44,60.44,59.935,59.9375,1170114,60.44
2016-01-05 10:30:00,60.53,60.91,60.45,60.45,824467,60.53
