Date,Close,High,Low,Open,Volume,Adj Close
2015-12-09 10:30:00,19.865,19.935,19.64,19.7,417244,19.865
2015-12-09 11:30:00,19.815,19.96,19.8,19.855,420621,19.815
2015-12-09 12:30:00,19.755,19.85,19.75,19.84,800502,19.755
2015-12-09 13:30:00,19.72,19.8,19.72,19.75,800312,19.72
2015-12-09 14:30:00,19.69,19.76,19.69,19.72,309018,19.69
2015-12-09 15:30:00,19.645,19.74,19.645,19.73,467745,19.645
2015-12-09 16:00:00,19.69,19.7,19.645,19.655,519088,19.69
2015-12-10 10:30:00,19.675,19.9,19.58,19.9,743408,19.675
2015-12-10 11:30:00,19.66,19.69,19.63,19.69,681944,19.66
2015-12-10 12:30:00,19.65,19.705,19.63,19.65,214325,19.65
2015-12-10 13:30:00,19.71,19.7199,19.63,19.64,721456,19.71
2015-12-10 14:30:00,19.79,19.81,19.7,19.7,261967,19.79
2015-12-10 15:30:00,19.785,19.805,19.75,19.8,223595,19.785
2015-12-10 16:00:00,19.685,19.77,19.655,19.77,380853,19.685
2015-12-11 10:30:00,19.55,19.58,19.49,19.55,1473781,19.55
2015-12-11 11:30:00,19.41,19.55,19.38,19.55,661986,19.41
2015-12-11 12:30:00,19.27,19.4,19.27,19.395,1432444,19.27
2015-12-11 13:30:00,19.13,19.26,19.13,19.247,860956,19.13
2015-12-11 14:30:00,19.145,19.19,19.03,19.095,985572,19.145
2015-12-11 15:30:00,19.1199,19.22,19.08,19.17,584927,19.1199
2015-12-11 16:00:00,19.2,19.2,19.09,19.115,1020121,19.2
2015-12-14 10:30:00,18.67,19.19,18.67,19.18,499693,18.67
2015-12-14 11:30:00,18.345,18.6499,18.28,18.6499,1448371,18.345
2015-12-14 12:30:00,18.39,18.42,18.235,18.315,548799,18.39
2015-12-14 13:30:00,18.285,18.41,18.26,18.384,515813,18.285
2015-12-14 14:30:00,18.355,18.38,18.1999,18.285,593517,18.355
2015-12-14 15:30:00,18.31,18.44,18.3,18.31,685373,18.31
2015-12-14 16:00:00,18.47,18.47,18.335,18.34,1011372,18.47
2015-12-15 10:30:00,18.63,18.77,18.59,18.64,756026,18.63
2015-12-15 11:30:00,18.485,18.645,18.48,18.61,612695,18.485
2015-12-15 12:30:00,18.4949,18.511,18.41,18.51,1098936,18.4949
2015-12-15 13:30:00,18.39,18.52,18.39,18.48,965611,18.39
2015-12-15 14:30:00,18.57,18.6,18.38,18.39,567684,18.57
2015-12-15 15:30:00,18.53,18.61,18.48,18.58,784554,18.53
2015-12-15 16:00:00,18.62,18.65,18.53,18.53,633917,18.62
2015-12-16 10:30:00,18.6328,18.77,18.46,18.77,357752,18.6328
2015-12-16 11:30:00,18.41,18.655,18.41,18.65,723607,18.41
2015-12-16 12:30:00,18.505,18.505,18.39,18.415,336502,18.505
2015-12-16 13:30:00,18.485,18.505,18.435,18.505,344309,18.485
2015-12-16 14:30:00,18.4,18.565,18.385,18.485,695266,18.4
2015-12-16 15:30:00,18.5,18.6025,18.38,18.3999,773250,18.5
2015-12-16 16:00:00,18.56,18.57,18.47,18.5,684257,18.56
2015-12-17 10:30:00,18.42,18.61,18.37,18.605,490400,18.42
2015-12-17 11:30:00,18.355,18.45,18.34,18.42,421285,18.355
2015-12-17 12:30:00,18.455,18.48,18.33,18.33,374892,18.455
2015-12-17 13:30:00,18.34,18.485,18.34,18.45,435058,18.34
2015-12-17 14:30:00,18.375,18.46,18.34,18.34,372324,18.375
2015-12-17 15:30:00,18.36,18.4,18.285,18.4,501311,18.36
2015-12-17 16:00:00,18.425,18.455,18.33,18.3401,692694,18.425
2015-12-18 10:30:00,18.45,18.57,18.445,18.55,563900,18.45
2015-12-18 11:30:00,18.485,18.565,18.4,18.455,571943,18.485
2015-12-18 12:30:00,18.38,18.505,18.37,18.485,688893,18.38
2015-12-18 13:30:00,18.3661,18.395,18.34,18.365,259914,18.3661
2015-12-18 14:30:00,18.4161,18.425,18.335,18.355,572295,18.4161
2015-12-18 15:30:00,18.34,18.415,18.33,18.415,310142,18.34
2015-12-18 16:00:00,18.39,18.4,18.333,18.34,289134,18.39
2015-12-21 10:30:00,18.38,18.92,18.38,18.92,393382,18.38
2015-12-21 11:30:00,18.405,18.495,18.38,18.395,303047,18.405
2015-12-21 12:30:00,18.38,18.39,18.305,18.39,287535,18.38
2015-12-21 13:30:00,18.31,18.41,18.285,18.39,255552,18.31
2015-12-21 14:30:00,18.385,18.385,18.305,18.32,267900,18.385
2015-12-21 15:30:00,18.35,18.395,18.33,18.38,307742,18.35
2015-12-21 16:00:00,18.34,18.36,18.32,18.36,447238,18.34
2015-12-22 10:30:00,18.4,18.49,18.285,18.49,226037,18.4
2015-12-22 11:30:00,18.3814,18.41,18.33,18.39,137020,18.3814
2015-12-22 12:30:00,18.53,18.54,18.37,18.385,189033,18.53
2015-12-22 13:30:00,18.605,18.68,18.53,18.535,130535,18.605
2015-12-22 14:30:00,18.6,18.73,18.6,18.61,479518,18.6
2015-12-22 15:30:00,18.72,18.72,18.54,18.6,337889,18.72
2015-12-22 16:00:00,18.615,18.72,18.56,18.72,410603,18.615
2015-12-23 10:30:00,18.775,18.82,18.69,18.71,297916,18.775
2015-12-23 11:30:00,18.88,18.92,18.78,18.7961,383216,18.88
2015-12-23 12:30:00,19.08,19.08,18.87,18.905,324760,19.08
2015-12-23 13:30:00,19.16,19.25,19.1,19.11,600926,19.16
2015-12-23 14:30:00,19.165,19.175,19.1,19.125,363931,19.165
2015-12-23 15:30:00,19.15,19.19,19.11,19.16,322138,19.15
2015-12-23 16:00:00,19.24,19.24,19.09,19.14,710899,19.24
2015-12-24 10:30:00,19.14,19.25,19.13,19.22,128819,19.14
2015-12-24 11:30:00,19.2,19.2201,19.12,19.14,173254,19.2
2015-12-24 12:30:00,19.27,19.27,19.165,19.21,133476,19.27
2015-12-24 13:30:00,19.25,19.3,19.24,19.27,181531,19.25
2015-12-28 10:30:00,18.7425,19.2,18.73,19.1975,186035,18.7425
2015-12-28 11:30:00,18.57,18.72,18.57,18.72,252033,18.57
2015-12-28 12:30:00,18.55,18.69,18.52,18.57,2425867,18.55
2015-12-28 13:30:00,18.54,18.56,18.47,18.54,228851,18.54
2015-12-28 14:30:00,18.64,18.67,18.535,18.535,272332,18.64
2015-12-28 15:30:00,18.78,18.8,18.64,18.64,310042,18.78
2015-12-28 16:00:00,18.735,18.79,18.73,18.755,484682,18.735
2015-12-29 10:30:00,18.93,19.02,18.78,18.844,441794,18.93
2015-12-29 11:30:00,18.88,18.96,18.86,18.95,264730,18.88
2015-12-29 12:30:00,18.9,18.93,18.88,18.9,307814,18.9
2015-12-29 13:30:00,18.87,18.94,18.87,18.9,143159,18.87
2015-12-29 14:30:00,18.8799,18.89,18.83,18.88,181844,18.8799
2015-12-29 15:30:00,18.87,18.91,18.83,18.865,194388,18.87
2015-12-29 16:00:00,18.87,18.9,18.84,18.875,517636,18.87
