Date,Open,High,Low,Close,Volume,Adj Close
0,191.26,192.28,189.94,190.18,57724,190.18
1,191.49,192.3899,191.12,191.18,60872,191.18
2,192.48,192.5525,191.495,191.495,58091,191.495
3,193.19,193.45,192.335,192.47,40930,192.47
4,192.47,193.105,191.54,192.99,35548,192.99
5,192.24,192.57,191.82,192.5349,31991,192.5349
6,190.75,192.81,190.68,192.23,373280,192.23
7,185.3,187.07,184.47,187.01,140688,187.01
8,184.43,185.78,184.0,185.27,227813,185.27
9,183.7,184.91,182.9,184.05,118427,184.05
10,182.57,184.32,182.57,183.7,131165,183.7
11,183.88,184.47,182.57,182.57,103268,182.57
12,182.9,184.12,182.51,183.95,133189,183.95
13,184.68,184.85,182.5,182.91,438041,182.91
14,186.4,186.85,185.36,185.36,109666,185.36
15,186.52,187.08,184.75,186.31,113378,186.31
16,185.0675,186.62,184.78,186.42,46147,186.42
17,185.6,185.6,184.0,185.155,65985,185.155
18,186.75,187.59,185.23,185.62,122747,185.62
19,185.65,186.77,185.07,186.75,93792,186.75
20,184.9,185.53,184.49,185.53,290222,185.53
21,184.48,184.91,183.03,183.72,92238,183.72
22,186.11,186.79,183.89,184.52,115510,184.52
23,186.2,186.92,185.32,186.07,88977,186.07
24,184.99,186.3,184.9,186.21,67915,186.21
25,184.49,185.34,184.31,185.09,55398,185.09
26,182.99,185.65,182.9,184.33,161328,184.33
27,184.07,184.39,182.566,182.99,666748,182.99
28,178.58,181.13,178.02,180.51,187321,180.51
29,179.25,179.98,177.25,178.43,233746,178.43
30,175.52,179.31,175.45,179.31,220442,179.31
31,177.4,177.6689,175.31,175.45,171482,175.45
32,176.4097,177.31,175.89,177.3,87136,177.3
33,176.12,177.22,175.12,176.25,140803,176.25
34,174.37,176.5,174.37,176.11,572571,176.11
35,172.68,175.01,172.68,175.01,118386,175.01
36,171.215,172.995,170.475,172.66,215651,172.66
37,170.07,171.65,168.89,171.18,156681,171.18
38,170.96,171.3,170.091,170.28,119025,170.28
39,170.46,171.83,169.7,171.01,128956,171.01
40,169.98,170.9899,169.034,170.46,153880,170.46
41,168.13,170.6299,167.76,170.06,574415,170.06
42,164.6,169.6,164.59,169.6,123344,169.6
43,162.75,165.49,162.17,164.58,310855,164.58
44,163.29,163.63,161.95,162.69,234155,162.69
45,161.22,163.35,161.0724,163.24,117365,163.24
46,160.325,162.07,158.97,161.3799,165240,161.3799
47,160.21,162.25,159.42,160.31,145113,160.31
48,161.65,163.21,159.0,160.325,475700,160.325
49,166.095,167.3,162.58,162.99,213325,162.99
50,163.38,166.2,162.79,166.0925,187157,166.0925
51,164.02,164.042,161.64,163.38,126750,163.38
52,162.16,165.01,161.55,164.01,107987,164.01
53,161.67,163.4,161.34,162.23,83082,162.23
54,165.01,165.12,160.57,161.39,155631,161.39
55,166.12,166.52,163.79,164.855,286013,164.855
56,164.45,167.0,163.195,166.61,68437,166.61
57,163.48,164.94,161.33,164.445,132642,164.445
58,161.72,165.2199,161.34,163.43,92512,163.43
59,160.64,162.5,160.27,161.97,95041,161.97
60,158.58,161.44,158.58,160.6,142034,160.6
61,158.82,159.17,156.74,158.7625,173488,158.7625
62,157.92,160.1999,157.88,158.83,555405,158.83
63,156.45,160.38,156.04,158.39,132730,158.39
64,162.66,163.55,155.28,156.45,428220,156.45
65,163.98,164.14,162.7,162.86,246093,162.86
66,166.84,169.84,163.98,164.11,326598,164.11
67,167.75,168.71,166.55,166.98,189118,166.98
68,168.58,168.64,166.312,167.79,214334,167.79
