Date,Open,High,Low,Close,Volume,Adj Close
0,687.69,692.99,686.375,691.89,496166,691.89
1,690.55,692.4,687.2,687.33,386516,687.33
2,691.86,692.0,689.5,690.5392,228033,690.5392
3,693.0,694.47,691.8976,692.0,281151,692.0
4,694.24,695.49,692.61,693.255,215127,693.255
5,692.8901,694.99,692.2464,694.01,406964,694.01
6,689.07,693.74,688.65,693.005,669676,693.005
7,686.295,687.75,683.0,686.08,345999,686.08
8,683.2975,687.09,682.5,685.972,305739,685.972
9,686.47,686.608,683.1,683.15,215583,683.15
10,685.138,686.4,684.77,686.4,189360,686.4
11,682.72,685.18,680.67,684.93,445165,684.93
12,679.25,682.78,678.33,682.406,451637,682.406
13,676.1,679.37,675.89,679.25,965498,679.25
14,648.72,657.715,648.01,656.29,1043269,656.29
15,640.0,648.8,635.79,648.72,1734391,648.72
16,639.79,641.86,636.3,639.84,672896,639.84
17,637.76,640.432,635.56,639.57,596470,639.57
18,637.07,640.66,636.0,637.87,490106,637.87
19,630.76,637.0,629.3,636.98,809554,636.98
20,636.98,637.0,627.51,630.76,1557138,630.76
21,633.92,646.91,633.39,646.86,823314,646.86
22,636.81,639.25,630.6469,634.0,986726,634.0
23,630.5375,637.09,629.5,636.802,465919,636.802
24,631.36,632.08,627.65,630.4356,532050,630.4356
25,636.27,637.79,629.0,631.37,424825,631.37
26,634.1799,640.0,633.41,636.12,485414,636.12
27,633.79,636.64,631.712,634.15,663039,634.15
28,637.115,637.6,620.31,622.0,934460,622.0
29,637.2543,639.79,632.25,637.04,654563,637.04
30,634.7606,638.5,633.01,637.4,355611,637.4
31,630.22,635.58,629.54,634.89,343433,634.89
32,628.86,632.4095,626.4497,630.075,398696,630.075
33,624.3,631.0,624.18,629.0499,463282,629.0499
34,632.65,633.02,624.29,624.7699,810443,624.7699
35,617.8925,627.87,616.505,621.8,927526,621.8
36,628.1605,629.5661,615.5,617.7,807941,617.7
37,623.18,630.0,623.025,627.97,411466,627.97
38,618.11,623.63,617.24,623.0,389323,623.0
39,609.0001,618.8,608.36,618.238,400369,618.238
40,612.01,616.88,606.57,608.7,625861,608.7
41,607.94,616.22,607.69,612.4,1220452,612.4
42,623.24,624.14,617.0,619.66,859223,619.66
43,614.325,623.68,612.83,623.35,745383,623.35
44,615.58,616.08,610.39,614.397,710764,614.397
45,613.581,618.35,612.5101,615.4,446358,615.4
46,613.24,615.25,611.21,613.95,283077,613.95
47,612.06,614.69,610.01,613.45,325113,613.45
48,607.05,613.72,606.0,611.96,753876,611.96
49,611.25,619.85,609.01,612.48,601101,612.48
50,608.63,615.0,607.26,610.97,442055,610.97
51,613.322,614.89,605.13,608.15,417651,608.15
52,609.36,613.877,607.2,613.49,244836,613.49
53,603.0,610.0,598.57,609.34,484413,609.34
54,608.78,611.95,602.15,603.19,506103,603.19
55,617.74,618.86,604.64,608.6409,1082061,608.6409
56,621.985,625.99,620.0,625.25,697882,625.25
57,622.87,624.3807,620.1,622.19,501973,622.19
58,622.4588,623.59,619.28,623.01,353463,623.01
59,618.92,623.7,618.03,622.6374,418542,622.6374
60,616.895,622.5,616.77,618.9,341347,618.9
61,619.31,621.21,612.2415,616.9981,475429,616.9981
62,617.89,620.59,617.63,619.424,841471,619.424
63,610.0,620.88,608.83,620.88,503692,620.88
64,603.51,609.92,602.68,609.5,704132,609.5
65,601.8818,606.483,598.5,603.6,600884,603.6
66,600.8499,603.3885,599.58,601.885,494843,601.885
67,590.862,601.87,590.2,600.77,789372,600.77
68,588.19,591.71,582.0005,590.77,1173205,590.77
69,581.81,591.98,579.16,588.065,1694816,588.065
70,571.0,586.0,569.88,580.25,1109809,580.25
71,588.53,599.95,570.42,570.87,1916882,570.87
72,592.49,593.0,584.8,588.715,593903,588.715
73,590.07,594.11,589.11,592.1001,386998,592.1001
74,596.87,597.0,588.8508,589.85,336916,589.85
75,600.291,602.25,593.26,596.76,508096,596.76
76,593.0,600.99,592.39,600.2624,851061,600.2624
77,576.46,584.62,571.22,572.24,1191961,572.24
78,570.99,581.55,570.51,576.22,843283,576.22
79,571.845,573.55,569.5996,570.8,726177,570.8
80,569.91,573.749,565.3,571.875,687622,571.875
81,571.52,574.5117,569.1701,569.74,615263,569.74
82,573.89,573.91,566.27,571.41,611555,571.41
83,570.18,575.0,568.75,573.64,1113373,573.64
84,578.9283,584.0,576.33,577.09,748679,577.09
85,579.33,581.8608,575.55,579.36,573519,579.36
86,575.43,580.44,574.5,579.0,337963,579.0
87,571.99,575.8699,570.24,575.8699,369703,575.8699
88,573.9,575.45,571.5,572.34,357571,572.34
89,568.81,574.36,566.45,574.0,396684,574.0
90,574.48,576.41,567.65,568.32,776481,568.32
91,550.59,567.0,550.2635,564.36,966342,564.36
92,548.5,556.29,547.18,550.59,1094494,550.59
93,552.38,553.92,548.37,548.37,674579,548.37
94,554.49,554.88,548.42,552.26,621859,552.26
95,564.26,566.0,551.02,554.5,766985,554.5
96,563.67,566.78,558.9301,564.1454,679546,564.1454
97,571.77,578.45,562.455,564.11,1261330,564.11
98,569.8625,578.99,568.22,573.58,668353,573.58
99,583.263,587.594,569.68,569.94,880143,569.94
100,584.38,585.9399,581.0,583.49,362555,583.49
101,585.17,588.81,583.92,584.15,401558,584.15
102,582.5,586.389,579.03,585.42,319940,585.42
103,578.07,587.7,575.21,582.58,377738,582.58
104,575.02,578.76,574.3203,578.06,628790,578.06
105,587.84,589.9,584.1079,588.73,499720,588.73
106,592.1425,594.54,587.54,587.78,681695,587.78
107,592.3,595.286,590.68,592.0101,552798,592.0101
108,596.6,597.0,591.71,592.02,373900,592.02
109,597.48,597.65,595.429,596.8828,360184,596.8828
110,595.6231,600.1,594.5,597.49,640305,597.49
111,596.38,596.66,593.45,595.71,878535,595.71
112,604.5,608.5,594.56,597.99,624882,597.99
113,605.0,607.86,603.17,604.49,450573,604.49
114,598.46,605.0,596.61,604.8649,483942,604.8649
115,605.14,605.27,597.7,598.46,307264,598.46
116,603.02,606.67,603.0,605.1016,273022,605.1016
117,602.7,605.5,602.03,603.0,296022,603.0
118,596.53,604.45,595.41,602.63,731862,602.63
119,590.93,604.5,590.55,603.45,574110,603.45
120,593.174,597.4,591.1,591.2,552769,591.2
121,594.18,595.47,590.38,593.24,293404,593.24
122,596.165,599.06,594.4275,594.4275,234007,594.4275
123,600.03,603.6,596.16,596.5,374099,596.5
124,597.819,600.29,595.16,600.0525,222857,600.0525
125,601.25,601.69,596.15,597.44,534550,597.44
126,591.88,603.39,587.7,601.99,677768,601.99
127,588.12,592.3,584.17,592.29,515584,592.29
128,593.45,595.22,587.22,588.36,403145,588.36
129,593.06,596.7875,592.87,593.4588,260922,593.4588
130,594.0,594.24,589.2005,593.02,270725,593.02
131,585.34,595.94,584.1207,594.02,547025,594.02
132,583.35,585.625,578.78,585.35,1064629,585.35
133,608.495,616.46,605.0,608.37,1455492,608.37
134,607.31,611.304,597.55,608.6119,992770,608.6119
135,613.43,614.54,606.795,607.17,722600,607.17
136,625.99,628.86,612.5001,613.33,1066405,613.33
137,625.5,627.5,620.2859,625.81,740237,625.81
138,626.71,632.0,625.08,625.5311,842466,625.5311
139,635.35,638.06,626.46,626.55,2006465,626.55
140,577.87,593.0,570.0,571.98,3359819,571.98
141,578.27,582.95,576.0,577.87,1966478,577.87
142,586.3989,587.24,578.0652,578.26,1223410,578.26
143,588.49,588.62,582.29,586.4,908772,586.4
144,583.23,588.99,581.34,588.47,679418,588.47
145,584.825,586.75,580.27,583.1035,750354,583.1035
146,587.0,588.16,582.27,584.79,2082320,584.79
147,578.48,581.8,570.31,578.15,1310232,578.15
148,578.22,579.49,575.0,578.49,754251,578.49
149,577.59,579.73,575.0,578.22,506497,578.22
150,572.01,578.0557,570.66,577.46,494769,577.46
151,575.23,575.23,571.64,572.187,496165,572.187
152,575.72,576.0,572.41,575.07,431831,575.07
153,574.81,576.0,572.25,575.72,982721,575.72
154,568.111,571.56,558.39,570.0,957429,570.0
155,561.36,569.901,559.79,568.15,730038,568.15
156,560.48,562.26,558.75,561.43,516577,561.43
157,558.845,561.15,557.83,560.3,462508,560.3
158,552.4999,558.895,551.77,558.68,656983,558.68
159,550.6,554.8325,550.2048,552.5,648534,552.5
160,552.1,554.04,550.09,550.43,764294,550.43
161,535.63,556.0,533.91,553.5,1491819,553.5
162,535.84,536.34,523.114,535.43,2459804,535.43
163,536.79,539.2,528.15,535.65,841570,535.65
164,531.205,538.87,528.0,536.81,548755,536.81
165,522.505,532.82,521.9,531.9999,613949,531.9999
166,535.5899,535.74,522.26,522.26,905407,522.26
167,531.07,536.96,530.05,535.2471,1085286,535.2471
168,524.52,529.45,521.56,525.0,882413,525.0
169,535.66,535.74,519.2201,524.968,1236425,524.968
170,529.71,536.2,528.3,535.66,663780,535.66
171,529.3,532.28,527.66,530.15,316723,530.15
172,532.58,538.99,529.2165,529.41,669136,529.41
173,530.515,532.59,527.0,532.44,291262,532.44
174,536.26,536.91,528.93,530.42,769668,530.42
175,516.15,529.45,512.47,529.28,1377011,529.28
176,506.13,517.2598,505.79,515.97,1600386,515.97
177,510.71,510.99,501.8,506.02,1216063,506.02
178,507.88,512.45,506.751,510.75,574701,510.75
179,503.57,508.38,502.2013,507.61,617555,507.61
180,500.7416,504.55,499.19,503.4,1047253,503.4
181,502.13,504.8,500.0,501.0,1315944,501.0
182,489.17,493.5,476.84,486.47,2064749,486.47
183,482.7112,493.25,480.65,488.88,1399688,488.88
184,483.4813,483.82,475.21,482.88,1173439,482.88
185,481.28,488.825,480.6,483.07,730940,483.07
186,478.91,481.9461,477.0,480.97,517487,480.97
187,477.61,482.63,477.0,478.7701,578964,478.7701
188,488.1,492.3,476.79,477.61,1431859,477.61
189,494.08,498.38,475.19,478.01,1161850,478.01
190,483.35,497.5,482.68,494.36,1125629,494.36
191,482.93,488.6,481.13,483.0232,627638,483.0232
192,481.68,484.69,478.69,483.15,431973,483.15
193,479.57,482.535,474.0,481.8,684577,481.8
194,485.54,491.0,479.07,479.475,689676,479.475
195,482.07,491.7999,481.39,485.74,908352,485.74
196,495.91,496.8,486.0,491.76,730522,491.76
197,498.17,504.66,495.0,495.91,1571431,495.91
198,495.69,501.98,492.7,498.23,597710,498.23
199,495.99,497.925,493.6103,496.0,403033,496.0
200,496.37,499.42,494.251,496.27,308565,496.27
201,493.17,498.845,492.31,496.37,402114,496.37
202,490.48,495.9899,489.51,493.04,846982,493.04
203,493.975,494.96,484.0,491.17,882645,491.17
204,495.6,501.82,491.1,493.9675,1243980,493.9675
205,496.1399,497.7,490.82,495.53,740074,495.53
206,500.0,500.49,494.81,495.85,444166,495.85
207,495.39,501.99,494.5,499.88,470012,499.88
208,499.54,501.99,491.435,495.45,576126,495.45
209,503.82,509.3,497.2501,499.768,1359539,499.768
