Date,Close,High,Low,Open,Volume,Adj Close
2015-12-09 10:30:00,675.01,678.45,673.65,678.45,637153,675.01
2015-12-09 11:30:00,671.595,676.15,671.04,675.765,288860,671.595
2015-12-09 12:30:00,665.985,672.6,665.933,672.6,501370,665.985
2015-12-09 13:30:00,657.714,665.587,657.714,664.356,741895,657.714
2015-12-09 14:30:00,659.54,664.08,655.96,656.71,635992,659.54
2015-12-09 15:30:00,664.94,665.79,658.255,659.52,534947,664.94
2015-12-09 16:00:00,664.57,665.5,662.31,665.174,418164,664.57
2015-12-10 10:30:00,664.5,666.79,659.56,665.031,759128,664.5
2015-12-10 11:30:00,663.86,668.285,663.29,665.75,370742,663.86
2015-12-10 12:30:00,663.312,664.03,660.841,663.66,206537,663.312
2015-12-10 13:30:00,663.988,664.481,662.422,663.56,263467,663.988
2015-12-10 14:30:00,664.82,664.82,663.14,664.03,253403,664.82
2015-12-10 15:30:00,661.745,666.178,660.75,664.6,422977,661.745
2015-12-10 16:00:00,662.57,662.57,660.72,662.19,225491,662.57
2015-12-11 10:30:00,654.55,656.875,651.21,652.28,900783,654.55
2015-12-11 11:30:00,650.183,654.58,649.751,654.58,499505,650.183
2015-12-11 12:30:00,645.25,649.62,642.91,649.62,660082,645.25
2015-12-11 13:30:00,645.69,648.05,644.256,645.04,359117,645.69
2015-12-11 14:30:00,646.85,647.77,643.96,645.56,308416,646.85
2015-12-11 15:30:00,641.07,647.725,641.07,646.77,468589,641.07
2015-12-11 16:00:00,640.04,641.59,639.93,640.87,398722,640.04
2015-12-14 10:30:00,644.3,649.66,639.88,640.26,787043,644.3
2015-12-14 11:30:00,642.55,648.18,642.0,644.618,355781,642.55
2015-12-14 12:30:00,647.85,648.47,635.99,641.51,451584,647.85
2015-12-14 13:30:00,646.2,649.15,644.25,647.98,246782,646.2
2015-12-14 14:30:00,647.75,649.41,645.401,646.28,202808,647.75
2015-12-14 15:30:00,655.01,655.37,646.92,647.799,433009,655.01
2015-12-14 16:00:00,657.89,658.365,653.98,655.49,402776,657.89
2015-12-15 10:30:00,670.01,671.345,663.99,663.99,1226047,670.01
2015-12-15 11:30:00,668.87,670.66,666.75,669.97,360196,668.87
2015-12-15 12:30:00,668.41,668.8,663.87,668.8,361376,668.41
2015-12-15 13:30:00,666.968,669.82,666.865,669.195,301525,666.968
2015-12-15 14:30:00,666.0,668.145,665.48,666.95,222035,666.0
2015-12-15 15:30:00,660.41,667.222,657.5,666.537,406003,660.41
2015-12-15 16:00:00,659.0,660.64,658.73,659.66,343307,659.0
2015-12-16 10:30:00,662.894,664.87,659.32,664.59,472921,662.894
2015-12-16 11:30:00,663.85,664.52,661.81,663.43,263263,663.85
2015-12-16 12:30:00,664.55,665.165,663.59,663.953,224724,664.55
2015-12-16 13:30:00,663.97,666.12,663.0,664.66,159964,663.97
2015-12-16 14:30:00,665.83,670.07,660.15,663.85,474598,665.83
2015-12-16 15:30:00,676.48,676.48,663.1,664.544,789516,676.48
2015-12-16 16:00:00,676.11,677.06,675.24,676.19,310201,676.11
2015-12-17 10:30:00,677.735,681.59,675.87,678.561,744778,677.735
2015-12-17 11:30:00,676.56,679.06,671.335,678.41,493008,676.56
2015-12-17 12:30:00,676.3,678.54,675.49,675.65,286340,676.3
2015-12-17 13:30:00,673.87,676.6,672.985,676.343,303300,673.87
2015-12-17 14:30:00,674.94,676.68,673.5,673.5,152997,674.94
2015-12-17 15:30:00,673.3,675.62,672.106,675.14,234092,673.3
2015-12-17 16:00:00,671.76,675.118,671.55,673.0,200248,671.76
2015-12-18 10:30:00,671.01,676.25,669.85,670.49,1476851,671.01
2015-12-18 11:30:00,669.52,672.26,665.85,671.26,891767,669.52
2015-12-18 12:30:00,666.7,670.835,665.95,670.0,312627,666.7
2015-12-18 13:30:00,666.528,667.57,665.36,666.108,337425,666.528
2015-12-18 14:30:00,669.682,669.682,665.86,665.86,263903,669.682
2015-12-18 15:30:00,666.5,669.79,665.87,669.42,379096,666.5
2015-12-18 16:00:00,666.009,668.48,666.009,666.718,155870,666.009
2015-12-21 10:30:00,667.28,669.552,664.92,667.978,640664,667.28
2015-12-21 11:30:00,663.87,669.07,663.2,668.18,300863,663.87
2015-12-21 12:30:00,662.55,664.85,661.725,663.55,362595,662.55
2015-12-21 13:30:00,664.115,664.9,662.11,662.725,190553,664.115
2015-12-21 14:30:00,662.684,664.84,662.35,664.19,126548,662.684
2015-12-21 15:30:00,659.46,662.85,659.03,662.17,302511,659.46
2015-12-21 16:00:00,664.48,664.48,659.54,659.64,274844,664.48
2015-12-22 10:30:00,667.505,668.49,664.35,668.49,343411,667.505
2015-12-22 11:30:00,664.27,667.513,663.77,667.43,230325,664.27
2015-12-22 12:30:00,661.273,665.03,659.5,664.785,209339,661.273
2015-12-22 13:30:00,660.54,662.13,659.57,661.02,230483,660.54
2015-12-22 14:30:00,662.22,663.075,660.33,660.36,225848,662.22
2015-12-22 15:30:00,663.24,664.19,662.31,662.375,228288,663.24
2015-12-22 16:00:00,662.79,663.81,661.94,663.42,237778,662.79
2015-12-23 10:30:00,661.984,665.81,661.8,665.659,405934,661.984
2015-12-23 11:30:00,657.99,662.936,656.868,662.775,453946,657.99
