Date,Open,High,Low,Close,Volume,Adj Close
0,15.41,15.41,15.41,15.41,628,15.41
1,15.31,15.42,15.15,15.24,3470,15.24
2,15.34,15.49,15.28,15.28,2501,15.28
3,15.29,15.42,15.29,15.41,1600,15.41
4,15.44,15.44,15.29,15.4,1550,15.4
5,15.39,15.39,15.28,15.33,700,15.33
6,15.31,15.35,15.23,15.23,2302,15.23
7,15.27,15.5,15.2,15.415,4990,15.415
8,15.43,15.495,15.43,15.48,1600,15.48
9,15.48,15.565,15.3711,15.41,1912,15.41
10,15.32,15.39,15.28,15.37,2700,15.37
11,15.37,15.4,15.26,15.3157,5850,15.3157
12,15.3097,15.35,15.2797,15.33,2472,15.33
13,15.33,15.43,15.33,15.42,1111,15.42
14,15.41,15.6087,15.39,15.6087,6252,15.6087
15,15.66,15.66,15.59,15.62,700,15.62
16,15.526,15.7,15.5,15.7,1026,15.7
17,15.67,15.84,15.66,15.84,1900,15.84
18,15.895,15.9,15.81,15.825,2445,15.825
19,15.87,15.94,15.7,15.8601,2455,15.8601
20,15.84,15.89,15.84,15.89,600,15.89
21,15.86,15.94,15.8,15.94,920,15.94
22,15.98,16.01,15.95,16.01,300,16.01
23,15.94,16.05,15.85,16.0,2200,16.0
24,16.08,16.19,16.08,16.14,1900,16.14
25,16.21,16.23,16.04,16.08,5062,16.08
26,16.06,16.09,15.98,16.05,21523,16.05
27,16.05,16.05,16.05,16.05,265,16.05
28,16.7999,16.7999,16.12,16.18,1655,16.18
29,16.18,16.18,16.03,16.03,3500,16.03
30,15.98,16.2,15.98,16.04,7800,16.04
31,16.04,16.09,15.86,15.89,4000,15.89
32,15.955,16.07,15.955,16.02,2200,16.02
33,16.05,16.0975,15.91,15.91,2361,15.91
34,15.92,16.08,15.92,15.94,1500,15.94
35,15.99,16.1,15.91,15.91,2200,15.91
36,15.91,16.03,15.91,16.01,1700,16.01
37,15.96,16.12,15.96,16.085,3049,16.085
38,16.1,16.22,16.08,16.12,7710,16.12
39,16.15,16.23,16.14,16.22,1900,16.22
40,16.24,16.24,16.2,16.2,760,16.2
41,16.2,16.22,16.13,16.13,1300,16.13
42,16.135,16.31,16.13,16.23,2300,16.23
43,16.2,16.2,15.99,16.02,2400,16.02
44,16.02,16.18,15.96,16.18,2300,16.18
45,16.19,16.34,16.19,16.34,3600,16.34
46,16.34,16.4,16.2,16.23,4700,16.23
47,16.25,16.36,16.25,16.28,4672,16.28
48,16.3,16.38,16.3,16.32,4628,16.32
49,16.305,16.4,16.28,16.36,8708,16.36
50,16.35,16.35,16.15,16.22,4400,16.22
51,16.21,16.28,16.18,16.23,3000,16.23
52,16.25,16.32,16.2,16.28,8504,16.28
53,16.25,16.25,16.07,16.1,22008,16.1
54,16.3,16.3,16.3,16.3,2375,16.3
55,16.41,16.84,16.29,16.41,2974,16.41
56,16.47,16.49,16.38,16.4,1900,16.4
57,16.4,16.4,16.27,16.29,2000,16.29
58,16.27,16.27,16.08,16.08,1400,16.08
59,16.04,16.14,16.04,16.09,600,16.09
60,16.1,16.1,16.06,16.08,600,16.08
61,16.11,16.22,16.11,16.17,2811,16.17
62,16.22,16.22,16.22,16.22,100,16.22
63,16.23,16.23,16.16,16.21,1500,16.21
64,16.27,16.33,16.26,16.26,1900,16.26
65,16.35,16.36,16.35,16.36,200,16.36
66,16.39,16.4,16.37,16.4,400,16.4
67,16.37,16.39,16.36,16.39,900,16.39
68,16.33,16.34,16.28,16.34,400,16.34
69,16.36,16.4,16.355,16.37,4742,16.37
70,16.38,16.4,16.37,16.37,2600,16.37
71,16.4,16.4,16.36,16.36,900,16.36
72,16.38,16.4,16.33,16.4,1000,16.4
73,16.378,16.39,16.37,16.37,355,16.37
74,16.37,16.37,16.34,16.34,628,16.34
75,16.33,16.4,16.33,16.39,721,16.39
76,16.37,16.37,16.31,16.31,800,16.31
77,16.33,16.35,16.28,16.3,1782,16.3
78,16.3,16.3,16.28,16.3,1900,16.3
79,16.31,16.31,16.26,16.31,17369,16.31
80,16.22,16.22,16.22,16.22,572,16.22
81,16.06,16.06,15.27,15.83,6692,15.83
82,15.84,15.9,15.81,15.9,1040,15.9
83,15.82,15.87,15.73,15.73,1600,15.73
84,15.79,15.88,15.77,15.84,1400,15.84
85,15.85,15.87,15.75,15.755,2300,15.755
86,15.74,15.77,15.68,15.73,1700,15.73
87,15.73,15.73,15.589,15.6,1847,15.6
88,15.63,15.72,15.61,15.68,1400,15.68
89,15.73,15.73,15.67,15.7,600,15.7
90,15.67,15.72,15.66,15.68,1300,15.68
91,15.69,15.72,15.68,15.72,500,15.72
92,15.73,15.75,15.68,15.75,500,15.75
93,15.72,15.75,15.71,15.71,500,15.71
94,15.75,15.75,15.695,15.695,700,15.695
95,15.73,15.75,15.67,15.695,600,15.695
96,15.7,15.73,15.7,15.73,500,15.73
97,15.74,15.74,15.61,15.64,4549,15.64
