Date,Close,High,Low,Open,Volume,Adj Close
2015-09-14 10:30:00,24.435,24.45,24.2421,24.45,12996,24.435
2015-09-14 11:30:00,24.3911,24.46,24.345,24.4312,2859,24.3911
2015-09-14 12:30:00,24.4301,24.5,24.35,24.378,28268,24.4301
2015-09-14 13:30:00,24.42,24.48,24.38,24.448,4300,24.42
2015-09-14 14:30:00,24.38,24.44,24.3302,24.42,13146,24.38
2015-09-14 15:30:00,24.47,24.5,24.35,24.3884,11990,24.47
2015-09-14 16:00:00,24.66,24.67,24.39,24.495,24038,24.66
2015-09-15 10:30:00,24.655,24.82,24.38,24.54,14910,24.655
2015-09-15 11:30:00,24.685,24.8,24.52,24.52,5400,24.685
2015-09-15 12:30:00,24.6575,24.71,24.59,24.685,4277,24.6575
2015-09-15 13:30:00,24.8899,24.8899,24.605,24.635,12302,24.8899
2015-09-15 14:30:00,24.89,24.91,24.8105,24.8323,23291,24.89
2015-09-15 15:30:00,24.835,24.9105,24.81,24.91,14789,24.835
2015-09-15 16:00:00,24.67,24.85,24.63,24.85,9539,24.67
2015-09-16 10:30:00,24.5,24.92,24.45,24.64,30405,24.5
2015-09-16 11:30:00,24.77,24.88,24.43,24.5,14040,24.77
2015-09-16 12:30:00,24.79,24.79,24.625,24.722,6998,24.79
2015-09-16 13:30:00,24.718,24.93,24.7,24.8,3443,24.718
2015-09-16 14:30:00,24.6927,24.8391,24.64,24.66,5199,24.6927
2015-09-16 15:30:00,24.78,24.89,24.69,24.71,7447,24.78
2015-09-16 16:00:00,24.8299,24.8299,24.68,24.74,13758,24.8299
2015-09-17 10:30:00,24.81,24.9,24.4,24.9,7729,24.81
2015-09-17 11:30:00,24.6248,24.665,24.5048,24.64,4090,24.6248
2015-09-17 12:30:00,24.625,24.7377,24.6,24.63,5679,24.625
2015-09-17 13:30:00,24.82,24.825,24.61,24.6399,9381,24.82
2015-09-17 14:30:00,24.7999,24.8799,24.68,24.81,11051,24.7999
2015-09-17 15:30:00,24.65,25.1,24.65,24.77,18003,24.65
2015-09-17 16:00:00,24.78,24.79,24.64,24.66,12792,24.78
2015-09-18 10:30:00,24.656,24.9385,24.42,24.89,25997,24.656
2015-09-18 11:30:00,24.87,24.87,24.675,24.685,7685,24.87
2015-09-18 12:30:00,24.875,24.9,24.795,24.8499,8585,24.875
2015-09-18 13:30:00,24.93,25.03,24.87,24.9,5571,24.93
2015-09-18 14:30:00,24.9105,24.93,24.84,24.93,10117,24.9105
2015-09-18 15:30:00,24.92,24.95,24.87,24.905,12895,24.92
2015-09-18 16:00:00,24.87,24.96,24.86,24.936,69478,24.87
2015-09-21 10:30:00,25.05,25.05,24.75,24.89,17079,25.05
2015-09-21 11:30:00,25.28,25.29,25.05,25.05,35769,25.28
2015-09-21 12:30:00,25.24,25.31,25.24,25.265,7520,25.24
2015-09-21 13:30:00,25.295,25.33,25.25,25.26,16591,25.295
2015-09-21 14:30:00,25.28,25.31,25.2,25.29,5763,25.28
2015-09-21 15:30:00,25.205,25.29,25.205,25.27,17428,25.205
2015-09-21 16:00:00,25.17,25.29,25.17,25.23,13960,25.17
2015-09-22 10:30:00,24.79,25.02,24.68,25.005,23320,24.79
2015-09-22 11:30:00,24.92,25.05,24.775,24.775,20173,24.92
2015-09-22 12:30:00,24.76,25.0259,24.76,24.92,17208,24.76
2015-09-22 13:30:00,24.5694,24.68,24.53,24.66,28598,24.5694
2015-09-22 14:30:00,24.465,24.56,24.45,24.54,27999,24.465
2015-09-22 15:30:00,24.58,24.58,24.455,24.46,27839,24.58
2015-09-22 16:00:00,24.57,24.57,24.53,24.55,17573,24.57
2015-09-23 10:30:00,24.33,24.61,24.185,24.5051,16294,24.33
2015-09-23 11:30:00,24.195,24.336,24.1401,24.33,25099,24.195
2015-09-23 12:30:00,24.07,24.245,24.07,24.19,11333,24.07
2015-09-23 13:30:00,24.0676,24.14,23.925,24.075,12084,24.0676
2015-09-23 14:30:00,24.09,24.13,23.98,24.07,10921,24.09
2015-09-23 15:30:00,23.95,24.08,23.9,24.08,22323,23.95
2015-09-23 16:00:00,24.13,24.18,23.87,23.95,24436,24.13
2015-09-24 10:30:00,24.04,24.37,23.88,24.11,19697,24.04
2015-09-24 11:30:00,23.785,24.1304,23.7,24.04,22450,23.785
2015-09-24 12:30:00,23.72,23.86,23.71,23.78,13082,23.72
2015-09-24 13:30:00,23.65,23.77,23.65,23.74,15244,23.65
2015-09-24 14:30:00,23.8,23.8,23.666,23.695,17860,23.8
2015-09-24 15:30:00,23.95,23.95,23.79,23.82,12266,23.95
2015-09-24 16:00:00,23.85,23.95,23.8,23.95,17460,23.85
2015-09-25 10:30:00,23.7501,24.0,23.36,23.99,38525,23.7501
2015-09-25 11:30:00,23.73,23.77,23.455,23.75,20526,23.73
2015-09-25 12:30:00,23.505,23.8719,23.505,23.67,8638,23.505
2015-09-25 13:30:00,23.748,23.7895,23.59,23.59,12928,23.748
2015-09-25 14:30:00,23.69,23.76,23.6,23.76,8364,23.69
2015-09-25 15:30:00,23.64,23.7401,23.5401,23.565,16656,23.64
2015-09-25 16:00:00,23.6,23.68,23.6,23.62,12861,23.6
2015-09-28 10:30:00,23.16,23.55,23.13,23.55,10135,23.16
2015-09-28 11:30:00,23.31,23.4,23.16,23.16,5839,23.31
2015-09-28 12:30:00,23.1,23.28,23.08,23.26,8602,23.1
2015-09-28 13:30:00,23.14,23.2,23.08,23.14,10300,23.14
2015-09-28 14:30:00,23.52,23.52,23.15,23.22,27718,23.52
2015-09-28 15:30:00,23.51,23.75,23.37,23.57,20300,23.51
2015-09-28 16:00:00,23.33,23.59,23.33,23.59,12113,23.33
2015-09-29 10:30:00,23.51,23.58,23.41,23.58,8637,23.51
2015-09-29 11:30:00,23.18,23.51,23.1,23.51,7486,23.18
2015-09-29 12:30:00,22.74,23.06,22.74,23.05,35869,22.74
2015-09-29 13:30:00,22.62,22.8,22.57,22.68,10343,22.62
2015-09-29 14:30:00,22.63,23.61,22.63,22.69,17786,22.63
2015-09-29 15:30:00,22.09,22.71,22.03,22.62,51864,22.09
2015-09-29 16:00:00,21.98,22.06,21.95,22.01,45459,21.98
2015-09-30 10:30:00,22.0,22.4899,21.96,22.12,103860,22.0
2015-09-30 11:30:00,21.91,22.36,21.91,22.36,18517,21.91
2015-09-30 12:30:00,22.0308,22.08,21.905,21.92,45615,22.0308
2015-09-30 13:30:00,21.94,22.035,21.94,22.035,9535,21.94
2015-09-30 14:30:00,22.0,22.0,21.9,21.94,15952,22.0
2015-09-30 15:30:00,22.03,22.06,21.935,21.99,24779,22.03
2015-09-30 16:00:00,22.26,22.325,22.0,22.065,39004,22.26
2015-10-01 10:30:00,22.45,22.48,22.16,22.21,17489,22.45
2015-10-01 11:30:00,22.0,22.5,21.9701,22.5,26214,22.0
2015-10-01 12:30:00,22.15,22.15,21.985,22.04,10482,22.15
2015-10-01 13:30:00,22.17,22.18,21.965,22.075,29973,22.17
2015-10-01 14:30:00,22.14,22.16,21.97,22.15,16818,22.14
2015-10-01 15:30:00,21.8,22.185,21.8,22.185,72373,21.8
2015-10-01 16:00:00,21.5201,21.79,21.5201,21.71,93523,21.5201
2015-10-02 10:30:00,21.54,21.96,21.08,21.2,32870,21.54
2015-10-02 11:30:00,21.543,21.62,21.394,21.495,27050,21.543
2015-10-02 12:30:00,21.7099,21.77,21.515,21.61,14316,21.7099
2015-10-02 13:30:00,21.73,21.74,21.54,21.63,16982,21.73
2015-10-02 14:30:00,21.88,21.9,21.68,21.72,18911,21.88
2015-10-02 15:30:00,21.7393,21.88,21.7109,21.87,18969,21.7393
2015-10-02 16:00:00,21.89,21.89,21.7,21.71,19566,21.89
2015-10-05 10:30:00,22.2,22.33,21.755,21.755,35137,22.2
2015-10-05 11:30:00,22.48,22.48,22.04,22.18,28023,22.48
2015-10-05 12:30:00,22.47,22.525,22.4,22.42,20302,22.47
2015-10-05 13:30:00,22.625,22.6799,22.492,22.5,16653,22.625
2015-10-05 14:30:00,22.63,22.67,22.53,22.59,22335,22.63
2015-10-05 15:30:00,22.61,22.65,22.55,22.65,16177,22.61
2015-10-05 16:00:00,22.68,22.72,22.6,22.6,70953,22.68
2015-10-06 10:30:00,23.135,23.135,22.6,22.8,28254,23.135
2015-10-06 11:30:00,23.59,23.59,22.975,23.05,30419,23.59
2015-10-06 12:30:00,23.38,23.6564,23.38,23.59,20878,23.38
2015-10-06 13:30:00,23.56,23.6007,23.39,23.39,20745,23.56
2015-10-06 14:30:00,23.46,23.555,23.41,23.55,12009,23.46
2015-10-06 15:30:00,23.465,23.5698,23.41,23.5698,9862,23.465
2015-10-06 16:00:00,23.42,23.52,23.41,23.5,17709,23.42
2015-10-07 10:30:00,23.65,23.83,23.52,23.58,34342,23.65
2015-10-07 11:30:00,23.689,23.809,23.45,23.53,26786,23.689
2015-10-07 12:30:00,23.96,24.0,23.72,23.739,13175,23.96
2015-10-07 13:30:00,23.985,24.0,23.9361,23.9585,9344,23.985
2015-10-07 14:30:00,23.93,24.0288,23.9201,23.9803,8924,23.93
2015-10-07 15:30:00,23.88,24.06,23.83,23.98,14155,23.88
2015-10-07 16:00:00,23.91,23.995,23.83,23.9,29952,23.91
2015-10-08 10:30:00,23.93,24.04,23.842,23.99,26049,23.93
2015-10-08 11:30:00,24.05,24.05,23.94,23.9699,5310,24.05
2015-10-08 12:30:00,24.01,24.045,23.942,24.015,17716,24.01
2015-10-08 13:30:00,24.27,24.3209,24.02,24.055,7813,24.27
2015-10-08 14:30:00,24.2626,24.355,24.24,24.27,7467,24.2626
2015-10-08 15:30:00,24.02,24.332,24.02,24.31,18313,24.02
2015-10-08 16:00:00,24.11,24.11,23.97,24.04,18590,24.11
2015-10-09 10:30:00,24.0,24.27,24.0,24.11,32765,24.0
2015-10-09 11:30:00,24.005,24.03,23.946,23.946,9732,24.005
2015-10-09 12:30:00,23.91,24.03,23.91,24.01,7074,23.91
2015-10-09 13:30:00,23.9111,24.03,23.81,23.89,6795,23.9111
2015-10-09 14:30:00,23.92,23.9744,23.83,23.9599,12498,23.92
2015-10-09 15:30:00,23.54,23.91,23.54,23.88,9069,23.54
2015-10-09 16:00:00,23.62,23.732,23.59,23.63,21717,23.62
2015-10-12 10:30:00,23.27,24.05,23.27,23.65,11584,23.27
2015-10-12 11:30:00,23.32,23.43,23.151,23.25,44433,23.32
2015-10-12 12:30:00,23.264,23.36,23.21,23.345,19708,23.264
2015-10-12 13:30:00,23.24,23.2553,23.23,23.2443,4178,23.24
2015-10-12 14:30:00,23.25,23.26,23.24,23.25,7132,23.25
2015-10-12 15:30:00,23.16,23.258,23.12,23.258,16216,23.16
2015-10-12 16:00:00,23.15,23.2,23.13,23.165,34275,23.15
2015-10-13 10:30:00,23.32,23.4999,23.025,23.14,16279,23.32
2015-10-13 11:30:00,23.19,23.345,23.15,23.345,13667,23.19
2015-10-13 12:30:00,23.29,23.332,23.14,23.175,38276,23.29
2015-10-13 13:30:00,23.41,23.455,23.29,23.29,11659,23.41
2015-10-13 14:30:00,23.22,23.4199,23.135,23.39,25226,23.22
2015-10-13 15:30:00,23.11,23.2,23.02,23.2,20801,23.11
2015-10-13 16:00:00,23.15,23.235,23.14,23.14,22003,23.15
2015-10-14 10:30:00,23.23,23.436,23.14,23.436,36695,23.23
2015-10-14 11:30:00,23.0675,23.24,23.0,23.2,30696,23.0675
2015-10-14 12:30:00,22.97,23.1499,22.965,23.0675,27572,22.97
2015-10-14 13:30:00,22.994,23.09,22.92,22.948,10150,22.994
2015-10-14 14:30:00,22.75,23.01,22.75,23.01,12988,22.75
2015-10-14 15:30:00,22.73,22.86,22.5301,22.77,7941,22.73
2015-10-14 16:00:00,22.9,22.9,22.63,22.63,21876,22.9
2015-10-15 10:30:00,22.72,22.848,22.66,22.77,22426,22.72
2015-10-15 11:30:00,22.5392,22.71,22.5,22.71,14039,22.5392
2015-10-15 12:30:00,22.63,22.63,22.51,22.59,15395,22.63
2015-10-15 13:30:00,22.73,22.8,22.65,22.7,6365,22.73
2015-10-15 14:30:00,22.675,22.7302,22.64,22.7302,13330,22.675
2015-10-15 15:30:00,22.79,22.79,22.67,22.695,12903,22.79
2015-10-15 16:00:00,22.73,22.8,22.73,22.77,28731,22.73
2015-10-16 10:30:00,22.5942,22.84,22.5,22.7,17178,22.5942
2015-10-16 11:30:00,22.5,22.72,22.5,22.635,7608,22.5
2015-10-16 12:30:00,22.46,22.57,22.45,22.57,12244,22.46
2015-10-16 13:30:00,22.42,22.47,22.36,22.45,19384,22.42
2015-10-16 14:30:00,22.43,22.45,22.37,22.45,9338,22.43
2015-10-16 15:30:00,22.36,22.4645,22.36,22.39,15048,22.36
2015-10-16 16:00:00,22.44,22.53,22.31,22.4,28430,22.44
2015-10-19 10:30:00,22.53,22.6,22.3,22.5,33740,22.53
2015-10-19 11:30:00,22.34,22.6099,22.3,22.48,10925,22.34
2015-10-19 12:30:00,22.24,22.395,22.2,22.33,18986,22.24
2015-10-19 13:30:00,22.15,22.275,22.15,22.275,6600,22.15
2015-10-19 14:30:00,22.025,22.1456,22.02,22.11,7851,22.025
2015-10-19 15:30:00,22.067,22.14,22.01,22.05,15314,22.067
2015-10-19 16:00:00,22.11,22.15,22.062,22.062,14039,22.11
2015-10-20 10:30:00,22.3712,22.5299,22.0,22.0,20134,22.3712
