Date,Open,High,Low,Close,Volume,Adj Close
0,53.1,53.19,53.1,53.18,119649,53.18
1,53.21,53.26,53.05,53.15,142982,53.15
2,53.5,53.5649,53.21,53.21,127594,53.21
3,53.34,53.705,53.32,53.49,152772,53.49
4,53.42,53.46,53.29,53.34,208878,53.34
5,53.34,53.46,53.3,53.43,252725,53.43
6,53.33,53.365,53.32,53.335,263518,53.335
7,53.345,53.36,53.295,53.33,290585,53.33
8,53.36,53.38,53.33,53.35,333170,53.35
9,53.43,53.55,53.36,53.36,258865,53.36
10,53.51,53.61,53.4,53.425,259061,53.425
11,53.41,53.55,53.4,53.505,187496,53.505
12,53.3959,53.43,53.38,53.41,158112,53.41
13,53.365,53.42,53.36,53.39,163127,53.39
14,53.405,53.41,53.34,53.365,110797,53.365
15,53.42,53.49,53.39,53.41,157811,53.41
16,53.4999,53.52,53.38,53.4135,175919,53.4135
17,53.385,53.495,53.38,53.49,135273,53.49
18,53.445,53.45,53.385,53.385,150253,53.385
19,53.48,53.51,53.43,53.445,208714,53.445
20,53.46,53.49,53.445,53.479,139378,53.479
21,53.53,53.55,53.46,53.46,138564,53.46
22,53.51,53.54,53.46,53.525,165650,53.525
23,53.44,53.525,53.43,53.52,149167,53.52
24,53.42,53.45,53.37,53.44,93036,53.44
25,53.44,53.47,53.395,53.42,106688,53.42
26,53.4,53.45,53.38,53.43,119167,53.43
27,53.38,53.435,53.3525,53.395,127809,53.395
28,53.295,53.45,53.29,53.39,179206,53.39
29,53.41,53.45,53.24,53.29,191053,53.29
30,53.42,53.45,53.395,53.4,81296,53.4
31,53.418,53.44,53.3939,53.43,59342,53.43
32,53.42,53.48,53.38,53.42,75963,53.42
33,53.41,53.47,53.3744,53.422,179201,53.422
34,53.4733,53.48,53.395,53.4,105552,53.4
35,53.4701,53.48,53.42,53.48,93914,53.48
36,53.47,53.48,53.43,53.475,81778,53.475
37,53.47,53.48,53.4358,53.47,52308,53.47
38,53.47,53.48,53.44,53.4637,70406,53.4637
39,53.42,53.48,53.41,53.47,80544,53.47
40,53.43,53.48,53.43,53.43,52036,53.43
41,53.44,53.47,53.42,53.44,62913,53.44
42,53.46,53.47,53.43,53.44,70499,53.44
43,53.4199,53.46,53.41,53.46,66310,53.46
