Date,Close,High,Low,Open,Volume,Adj Close
2015-12-17 10:30:00,70.43,70.9,70.39,70.86,676880,70.43
2015-12-17 11:30:00,69.52,70.375,69.52,70.375,663705,69.52
2015-12-17 12:30:00,69.645,69.82,69.44,69.44,404802,69.645
2015-12-17 13:30:00,69.91,69.91,69.45,69.62,442165,69.91
2015-12-17 14:30:00,69.94,70.0538,69.85,69.89,368374,69.94
2015-12-17 15:30:00,69.76,69.955,69.7,69.955,530050,69.76
2015-12-17 16:00:00,69.62,69.93,69.58,69.75,648720,69.62
2015-12-18 10:30:00,68.015,68.975,67.98,68.84,3394204,68.015
2015-12-18 11:30:00,68.02,68.165,67.95,68.04,1291868,68.02
2015-12-18 12:30:00,68.0,68.08,67.92,68.02,1042591,68.0
2015-12-18 13:30:00,67.73,68.04,67.73,67.995,883560,67.73
2015-12-18 14:30:00,68.14,68.24,67.76,67.76,871711,68.14
2015-12-18 15:30:00,67.82,68.14,67.57,68.14,1024591,67.82
2015-12-18 16:00:00,67.82,68.01,67.82,67.89,690006,67.82
2015-12-21 10:30:00,68.6,68.71,68.31,68.43,705442,68.6
2015-12-21 11:30:00,68.242,68.75,68.205,68.64,447979,68.242
2015-12-21 12:30:00,68.19,68.21,68.02,68.21,547092,68.19
2015-12-21 13:30:00,68.31,68.32,68.21,68.27,458075,68.31
2015-12-21 14:30:00,68.295,68.4,68.28,68.315,562540,68.295
2015-12-21 15:30:00,68.13,68.295,68.0,68.295,575335,68.13
2015-12-21 16:00:00,68.405,68.405,68.03,68.18,541892,68.405
2015-12-22 10:30:00,68.4501,68.74,68.2808,68.74,486721,68.4501
2015-12-22 11:30:00,68.26,68.49,68.23,68.4503,326500,68.26
2015-12-22 12:30:00,68.44,68.505,68.28,68.31,294949,68.44
2015-12-22 13:30:00,68.68,68.684,68.45,68.45,272155,68.68
2015-12-22 14:30:00,68.805,68.91,68.66,68.66,424628,68.805
2015-12-22 15:30:00,69.0302,69.11,68.7735,68.82,522903,69.0302
2015-12-22 16:00:00,68.87,69.04,68.78,69.03,489800,68.87
2015-12-23 10:30:00,69.24,69.3194,68.96,69.12,890869,69.24
2015-12-23 11:30:00,69.48,69.63,69.27,69.33,373203,69.48
2015-12-23 12:30:00,69.64,69.7,69.42,69.52,405648,69.64
2015-12-23 13:30:00,69.719,69.76,69.62,69.62,311633,69.719
2015-12-23 14:30:00,69.71,69.78,69.5826,69.682,362574,69.71
2015-12-23 15:30:00,69.8621,69.8867,69.7,69.73,730357,69.8621
2015-12-23 16:00:00,69.96,69.99,69.81,69.85,806272,69.96
2015-12-24 10:30:00,70.2,70.2,69.84,69.84,445268,70.2
2015-12-24 11:30:00,70.22,70.3,70.16,70.26,315239,70.22
2015-12-24 12:30:00,70.411,70.51,70.215,70.24,431174,70.411
2015-12-24 13:30:00,70.16,70.45,70.15,70.41,573732,70.16
2015-12-28 10:30:00,69.54,70.01,69.5,69.99,621647,69.54
2015-12-28 11:30:00,69.47,69.6,69.43,69.545,372656,69.47
2015-12-28 12:30:00,69.58,69.65,69.38,69.47,327734,69.58
2015-12-28 13:30:00,69.8018,69.8018,69.5101,69.56,248654,69.8018
2015-12-28 14:30:00,69.815,69.87,69.7,69.813,256788,69.815
2015-12-28 15:30:00,69.81,69.9049,69.72,69.84,304367,69.81
2015-12-28 16:00:00,69.73,69.81,69.71,69.7799,302944,69.73
2015-12-29 10:30:00,70.3522,70.55,70.195,70.36,531705,70.3522
2015-12-29 11:30:00,70.24,70.35,70.16,70.33,407813,70.24
2015-12-29 12:30:00,70.17,70.28,70.14,70.24,457685,70.17
2015-12-29 13:30:00,70.3,70.32,70.1401,70.1401,266702,70.3
2015-12-29 14:30:00,70.41,70.432,70.26,70.3137,323793,70.41
2015-12-29 15:30:00,70.52,70.52,70.35,70.35,463679,70.52
2015-12-29 16:00:00,70.53,70.6,70.485,70.535,701991,70.53
2015-12-30 10:30:00,70.5701,70.6929,70.284,70.5474,336075,70.5701
2015-12-30 11:30:00,70.74,70.74,70.5651,70.5651,299084,70.74
2015-12-30 12:30:00,70.45,70.69,70.42,70.69,293262,70.45
2015-12-30 13:30:00,70.425,70.47,70.37,70.44,271750,70.425
2015-12-30 14:30:00,70.4066,70.5,70.4,70.43,289762,70.4066
2015-12-30 15:30:00,70.35,70.47,70.35,70.42,354155,70.35
2015-12-30 16:00:00,70.14,70.34,70.1385,70.34,516812,70.14
2015-12-31 10:30:00,69.85,69.9699,69.76,69.875,445638,69.85
2015-12-31 11:30:00,69.86,69.94,69.71,69.8,315770,69.86
2015-12-31 12:30:00,70.27,70.275,69.831,69.831,326320,70.27
2015-12-31 13:30:00,70.09,70.31,70.01,70.26,330666,70.09
2015-12-31 14:30:00,69.87,70.14,69.855,70.06,368246,69.87
2015-12-31 15:30:00,69.77,69.91,69.75,69.84,377065,69.77
2015-12-31 16:00:00,69.54,69.88,69.54,69.8001,438670,69.54
2016-01-04 10:30:00,67.56,68.1647,67.22,68.09,1312668,67.56
2016-01-04 11:30:00,67.2964,67.55,67.1,67.55,1049876,67.2964
2016-01-04 12:30:00,67.38,67.46,67.23,67.33,652907,67.38
2016-01-04 13:30:00,67.58,67.68,67.33,67.39,587997,67.58
2016-01-04 14:30:00,67.2,67.59,67.2,67.571,817955,67.2
2016-01-04 15:30:00,66.9,67.23,66.79,67.23,1269389,66.9
2016-01-04 16:00:00,67.56,67.56,66.97,66.98,1053701,67.56
2016-01-05 10:30:00,66.24,67.62,66.24,67.4299,1367055,66.24
2016-01-05 11:30:00,65.721,66.25,65.7,66.19,1580905,65.721
2016-01-05 12:30:00,66.08,66.08,65.74,65.74,1439703,66.08
2016-01-05 13:30:00,66.25,66.35,66.11,66.11,1025885,66.25
2016-01-05 14:30:00,66.33,66.41,66.23,66.241,1252467,66.33
2016-01-05 15:30:00,66.29,66.4,66.18,66.38,1138411,66.29
2016-01-05 16:00:00,66.545,66.63,66.27,66.29,1510724,66.545
2016-01-06 10:30:00,65.16,65.522,65.06,65.415,1114623,65.16
2016-01-06 11:30:00,65.4,65.49,65.03,65.09,939175,65.4
2016-01-06 12:30:00,65.08,65.425,65.055,65.39,593439,65.08
2016-01-06 13:30:00,64.83,65.22,64.79,65.05,917475,64.83
2016-01-06 14:30:00,64.6901,64.86,64.67,64.8015,1047411,64.6901
2016-01-06 15:30:00,64.34,64.7,64.24,64.7,1399661,64.34
2016-01-06 16:00:00,64.415,64.415,64.275,64.365,1776085,64.415
2016-01-07 10:30:00,63.789,64.09,63.12,63.19,2054434,63.789
2016-01-07 11:30:00,64.0,64.23,63.825,63.85,1353686,64.0
2016-01-07 12:30:00,63.6138,64.0,63.6138,64.0,796702,63.6138
2016-01-07 13:30:00,63.65,63.75,63.52,63.6,692688,63.65
2016-01-07 14:30:00,63.8023,63.88,63.49,63.62,1416668,63.8023
2016-01-07 15:30:00,63.54,64.1,63.54,63.88,1711589,63.54
2016-01-07 16:00:00,63.846,64.035,63.6,63.625,732300,63.846
2016-01-08 10:30:00,63.87,64.3128,63.84,64.2171,2341477,63.87
2016-01-08 11:30:00,63.87,64.12,63.6,63.9,1345196,63.87
2016-01-08 12:30:00,64.07,64.1,63.8,63.82,717210,64.07
2016-01-08 13:30:00,63.94,64.05,63.82,64.02,371630,63.94
2016-01-08 14:30:00,63.92,64.17,63.9,63.93,815303,63.92
2016-01-08 15:30:00,63.82,64.08,63.8,63.97,993205,63.82
2016-01-08 16:00:00,63.585,63.84,63.585,63.8,984271,63.585
2016-01-11 10:30:00,63.69,64.06,63.64,64.03,1500051,63.69
2016-01-11 11:30:00,63.3,63.98,63.15,63.73,1173005,63.3
2016-01-11 12:30:00,63.87,63.96,63.14,63.23,1080202,63.87
2016-01-11 13:30:00,63.73,64.17,63.73,63.85,789172,63.73
2016-01-11 14:30:00,63.85,63.85,63.36,63.76,807412,63.85
2016-01-11 15:30:00,63.79,63.88,63.38,63.82,750837,63.79
2016-01-11 16:00:00,64.14,64.2,63.77,63.77,707068,64.14
2016-01-12 10:30:00,64.275,64.8,64.27,64.46,1228028,64.275
2016-01-12 11:30:00,63.91,64.42,63.81,64.34,953632,63.91
2016-01-12 12:30:00,64.05,64.15,63.66,63.87,804691,64.05
2016-01-12 13:30:00,63.72,63.985,63.72,63.985,555789,63.72
2016-01-12 14:30:00,63.75,64.04,63.6,63.72,1133301,63.75
2016-01-12 15:30:00,64.26,64.28,63.79,63.8,1028800,64.26
2016-01-12 16:00:00,64.47,64.5,64.2,64.2,504973,64.47
2016-01-13 10:30:00,63.54,64.26,63.495,63.64,2047113,63.54
2016-01-13 11:30:00,63.455,63.74,63.43,63.51,1219048,63.455
2016-01-13 12:30:00,63.43,63.56,63.23,63.5,822065,63.43
2016-01-13 13:30:00,62.9,63.37,62.88,63.37,1007768,62.9
2016-01-13 14:30:00,62.791,62.96,62.529,62.96,1387677,62.791
2016-01-13 15:30:00,62.74,62.84,62.29,62.73,1678475,62.74
2016-01-13 16:00:00,62.86,62.86,62.64,62.78,906722,62.86
2016-01-14 10:30:00,63.31,63.31,62.38,62.88,1169927,63.31
2016-01-14 11:30:00,63.0198,63.56,62.94,63.29,729620,63.0198
2016-01-14 12:30:00,63.15,63.18,62.77,63.03,550592,63.15
2016-01-14 13:30:00,63.49,63.57,63.09,63.185,489020,63.49
