Date,Open,High,Low,Close,Volume,Adj Close
0,36.68,36.9,36.46,36.72,65851,36.72
1,36.73,36.79,36.48,36.52,68974,36.52
2,36.52,36.54,36.37,36.53,165968,36.53
3,36.52,36.54,36.38,36.48,72163,36.48
4,36.49,36.52,36.36,36.46,128697,36.46
5,36.46,36.51,36.36,36.38,142678,36.38
6,36.38,36.5,36.38,36.45,82061,36.45
7,36.45,36.515,36.42,36.45,64930,36.45
8,36.48,36.54,36.42,36.42,51640,36.42
9,36.42,36.47,36.3,36.35,36928,36.35
10,36.38,36.41,36.32,36.37,108702,36.37
11,36.37,36.41,36.13,36.16,58960,36.16
12,36.17,36.29,36.17,36.2,58770,36.2
13,36.2,36.59,36.2,36.5842,61046,36.5842
14,36.5864,36.65,36.52,36.6,49103,36.6
15,36.61,36.69,36.52,36.67,59504,36.67
16,36.67,37.05,36.67,37.05,56378,37.05
17,37.08,37.2,37.05,37.11,61212,37.11
18,37.1,37.13,36.94,37.08,109002,37.08
19,37.08,37.16,36.955,36.96,42935,36.96
20,36.99,37.11,36.935,37.06,63725,37.06
21,37.06,37.18,36.99,37.08,58539,37.08
22,37.08,37.2,37.01,37.2,54439,37.2
23,37.2,37.58,37.2,37.555,68849,37.555
24,37.55,37.61,37.36,37.39,155507,37.39
25,37.37,37.37,37.19,37.26,167639,37.26
26,37.35,37.48,37.0,37.04,75447,37.04
27,37.03,37.2,36.81,37.0,71768,37.0
28,37.01,37.49,37.01,37.43,49922,37.43
29,37.42,37.53,37.27,37.427,56719,37.427
30,37.425,37.505,37.28,37.46,106966,37.46
31,37.45,37.59,37.38,37.4,53145,37.4
32,37.42,37.6,37.31,37.55,48576,37.55
33,37.55,37.56,37.35,37.4,73742,37.4
34,37.41,37.61,37.38,37.51,63185,37.51
35,37.51,37.7,37.49,37.68,45377,37.68
36,37.7,37.83,37.6935,37.72,60766,37.72
37,37.73,37.81,37.68,37.74,36085,37.74
38,37.74,37.77,37.65,37.66,31995,37.66
39,37.64,37.64,37.53,37.57,24292,37.57
40,37.58,37.6742,37.56,37.58,41597,37.58
41,37.575,37.62,37.39,37.4,30224,37.4
42,37.39,37.45,37.24,37.42,43492,37.42
43,37.41,37.48,37.29,37.36,49646,37.36
44,37.38,37.38,37.12,37.14,41169,37.14
45,37.14,37.15,37.02,37.14,39069,37.14
46,37.13,37.3,37.13,37.26,47855,37.26
47,37.255,37.31,37.1,37.28,63044,37.28
48,37.27,37.31,37.13,37.26,162534,37.26
49,37.26,37.3,37.19,37.23,87162,37.23
50,37.23,37.42,37.23,37.35,148372,37.35
51,37.34,37.35,37.21,37.22,224185,37.22
52,37.91,37.91,37.91,37.91,200,37.91
53,37.78,37.87,37.58,37.68,91330,37.68
54,37.71,37.96,37.58,37.94,61666,37.94
55,37.95,38.0625,37.82,38.04,73093,38.04
56,38.04,38.09,37.95,38.05,60885,38.05
57,38.04,38.06,37.95,38.01,48470,38.01
58,38.015,38.07,37.93,37.93,162302,37.93
59,37.92,37.97,37.84,37.87,36808,37.87
60,37.865,38.02,37.85,38.0,32568,38.0
61,37.99,38.02,37.85,37.9,82009,37.9
62,37.9,37.96,37.82,37.85,109383,37.85
63,37.85,37.99,37.85,37.98,72691,37.98
64,37.98,37.99,37.885,37.91,32779,37.91
65,37.91,37.93,37.87,37.905,39021,37.905
66,37.9,38.06,37.9,38.04,20212,38.04
67,38.03,38.03,37.845,37.91,53435,37.91
68,37.905,38.05,37.905,37.9999,30332,37.9999
69,38.01,38.07,38.01,38.06,18615,38.06
70,38.05,38.11,38.05,38.1013,22308,38.1013
71,38.1,38.16,38.08,38.16,34437,38.16
72,38.16,38.18,38.01,38.01,35116,38.01
73,38.01,38.03,37.89,37.92,41457,37.92
74,37.93,37.98,37.91,37.97,32748,37.97
75,37.96,37.97,37.845,37.91,36390,37.91
76,37.92,37.975,37.885,37.9601,35185,37.9601
77,37.96,37.99,37.9,37.975,87444,37.975
78,37.98,38.0,37.93,37.97,168679,37.97
79,37.4,37.98,37.4,37.93,71583,37.93
80,37.93,37.98,37.82,37.88,38937,37.88
81,37.85,37.96,37.82,37.85,37762,37.85
82,37.81,38.01,37.79,37.95,36062,37.95
83,37.96,37.97,37.8342,37.88,66970,37.88
84,37.88,37.96,37.86,37.87,49840,37.87
85,37.85,37.86,37.78,37.82,104887,37.82
86,37.82,37.95,37.82,37.91,32022,37.91
87,37.91,38.01,37.87,37.91,39736,37.91
88,37.91,38.02,37.91,37.96,22769,37.96
89,37.95,38.0,37.88,37.88,33280,37.88
90,37.88,37.96,37.86,37.87,31015,37.87
91,37.86,37.9567,37.84,37.895,16521,37.895
92,37.89,37.94,37.86,37.93,19588,37.93
93,37.93,38.03,37.93,37.98,32877,37.98
94,37.98,38.0,37.94,37.97,30103,37.97
