Date,Open,High,Low,Close,Volume,Adj Close
0,42.068,42.11,41.715,41.9,59149,41.9
1,42.04,42.1,41.92,42.07,101851,42.07
2,42.125,42.14,41.93,42.05,88887,42.05
3,42.215,42.275,42.08,42.13,133240,42.13
4,42.27,42.27,42.095,42.21,101895,42.21
5,42.17,42.35,42.13,42.27,187307,42.27
6,41.81,42.165,41.81,42.165,442692,42.165
7,40.86,41.19,40.8,41.06,244109,41.06
8,40.49,40.94,40.42,40.87,297188,40.87
9,40.506,40.58,40.34,40.48,263625,40.48
10,40.43,40.56,40.35,40.5,230482,40.5
11,40.41,40.53,40.4,40.44,280700,40.44
12,40.48,40.59,40.37,40.415,256469,40.415
13,40.69,40.7,40.39,40.49,1123869,40.49
14,40.9,40.94,40.6,40.73,134518,40.73
15,40.62,40.95,40.59,40.905,235442,40.905
16,40.63,40.85,40.575,40.62,356846,40.62
17,40.48,40.64,40.395,40.64,258904,40.64
18,40.52,40.56,40.34,40.49,274751,40.49
19,40.5799,40.62,40.44,40.52,352123,40.52
20,40.55,40.615,40.46,40.58,561371,40.58
21,40.31,40.38,40.05,40.24,155715,40.24
22,40.54,40.545,40.25,40.28,194701,40.28
23,40.65,40.77,40.52,40.53,185865,40.53
24,40.74,40.8,40.56,40.65,176678,40.65
25,40.8,40.88,40.68,40.74,286599,40.74
26,40.61,40.99,40.6,40.81,295207,40.81
27,40.72,40.73,40.57,40.61,476436,40.61
28,39.59,40.15,39.59,40.14,238091,40.14
29,39.8599,39.96,39.51,39.58,292951,39.58
30,39.49,39.8801,39.47,39.85,244729,39.85
31,39.18,39.57,39.16,39.48,315872,39.48
32,39.09,39.2,38.84,39.19,358818,39.19
33,38.96,39.12,38.81,39.0897,446237,39.0897
34,39.0,39.19,38.85,38.96,1041857,38.96
35,39.65,39.705,39.22,39.22,206963,39.22
36,38.94,39.64,38.89,39.63,403358,39.63
37,38.94,39.005,38.65,38.94,272647,38.94
38,38.97,39.03,38.86,38.95,354270,38.95
39,38.58,39.0,38.56,38.97,333701,38.97
40,38.85,38.97,38.58,38.58,304814,38.58
41,38.6,38.89,38.465,38.85,865368,38.85
42,38.42,38.9,38.4,38.71,188114,38.71
43,37.91,38.425,37.91,38.42,460351,38.42
44,37.95,37.985,37.76,37.91,258957,37.91
45,37.8,37.99,37.76,37.96,217244,37.96
46,37.49,37.84,37.41,37.81,318555,37.81
47,37.63,37.73,37.42,37.49,284379,37.49
48,37.93,38.11,37.53,37.64,727855,37.64
49,38.41,38.58,38.2,38.43,167290,38.43
50,38.22,38.45,38.09,38.42,243267,38.42
51,38.08,38.24,37.86,38.22,181822,38.22
52,37.79,38.15,37.76,38.08,154086,38.08
53,37.78,37.91,37.73,37.8,166237,37.8
54,38.03,38.05,37.6462,37.78,207333,37.78
55,38.2,38.3,37.889,38.03,504668,38.03
56,38.32,38.47,38.14,38.35,221326,38.35
57,37.96,38.37,37.84,38.33,499387,38.33
58,37.77,38.05,37.73,37.96,220080,37.96
59,37.49,37.85,37.41,37.77,481057,37.77
60,37.12,37.59,37.12,37.5,307799,37.5
61,36.93,37.22,36.715,37.11,380408,37.11
62,36.87,37.07,36.83,36.94,1511444,36.94
63,36.64,37.27,36.59,36.94,130861,36.94
64,37.48,37.65,36.55,36.63,297746,36.63
65,37.54,37.595,37.31,37.48,293519,37.48
66,37.565,37.68,37.46,37.54,371248,37.54
67,37.6775,37.81,37.56,37.57,192573,37.57
68,37.85,37.8799,37.51,37.69,441998,37.69
69,37.6,37.865,37.53,37.865,735412,37.865
70,37.02,37.045,36.55,36.67,374549,36.67
71,37.285,37.56,36.86,37.0,507841,37.0
72,37.0786,37.31,36.98,37.28,349728,37.28
73,37.13,37.16,36.85,37.08,314446,37.08
74,37.02,37.14,36.93,37.14,149792,37.14
75,37.31,37.31,36.86,37.04,223934,37.04
76,37.12,37.35,37.015,37.3,445816,37.3
77,37.52,37.76,37.35,37.64,260521,37.64
78,37.71,37.92,37.34,37.51,329612,37.51
79,37.59,37.75,37.45,37.7001,199168,37.7001
80,37.16,37.58,37.08,37.57,175504,37.57
81,37.1,37.22,37.04,37.17,228461,37.17
82,36.895,37.11,36.79,37.09,285922,37.09
83,37.21,37.38,36.87,36.8901,566351,36.8901
84,36.52,36.9,36.46,36.68,134825,36.68
85,36.38,36.54,36.36,36.52,509506,36.52
86,36.35,36.54,36.3,36.38,235559,36.38
87,36.5842,36.59,36.13,36.38,287478,36.38
88,37.11,37.2,36.52,36.5864,226197,36.5864
89,37.08,37.18,36.935,37.1,274201,37.1
90,37.26,37.61,37.01,37.08,446434,37.08
91,37.0,37.48,36.81,37.35,147215,37.35
92,37.4,37.59,37.01,37.01,266752,37.01
93,37.68,37.7,37.31,37.42,230880,37.42
94,37.57,37.83,37.53,37.7,153138,37.7
95,37.36,37.6742,37.24,37.58,164959,37.58
96,37.28,37.38,37.02,37.38,191137,37.38
97,37.22,37.42,37.13,37.27,622253,37.27
98,37.94,37.96,37.58,37.91,153196,37.91
99,37.93,38.09,37.82,37.95,344750,37.95
100,37.85,38.02,37.82,37.92,260768,37.92
101,38.04,38.06,37.85,37.85,164703,37.85
102,38.1013,38.11,37.845,38.03,124690,38.03
103,37.97,38.18,37.89,38.1,143758,38.1
104,37.97,38.0,37.845,37.96,327698,37.96
