Date,Close,High,Low,Open,Volume,Adj Close
2015-12-17 10:30:00,41.42,41.53,41.29,41.455,395456,41.42
2015-12-17 11:30:00,41.25,41.495,41.11,41.4399,252651,41.25
2015-12-17 12:30:00,41.15,41.38,41.13,41.23,179819,41.15
2015-12-17 13:30:00,41.14,41.23,41.08,41.12,175342,41.14
2015-12-17 14:30:00,41.07,41.27,41.04,41.14,219974,41.07
2015-12-17 15:30:00,41.01,41.13,40.93,41.09,241299,41.01
2015-12-17 16:00:00,40.815,41.1,40.8,41.005,304090,40.815
2015-12-18 10:30:00,40.37,40.56,40.21,40.56,481151,40.37
2015-12-18 11:30:00,40.65,40.7,40.31,40.43,164150,40.65
2015-12-18 12:30:00,40.51,40.66,40.46,40.65,159636,40.51
2015-12-18 13:30:00,40.49,40.54,40.38,40.47,129159,40.49
2015-12-18 14:30:00,40.6,40.62,40.4,40.49,146132,40.6
2015-12-18 15:30:00,40.36,40.62,40.36,40.59,236733,40.36
2015-12-18 16:00:00,40.1803,40.4,40.1801,40.395,224462,40.1803
2015-12-21 10:30:00,40.9,40.98,40.58,40.68,291188,40.9
2015-12-21 11:30:00,40.9,41.1101,40.87,40.93,257002,40.9
2015-12-21 12:30:00,40.85,40.9,40.71,40.85,180281,40.85
2015-12-21 13:30:00,40.87,40.96,40.82,40.86,126736,40.87
2015-12-21 14:30:00,40.71,40.92,40.7,40.895,121353,40.71
2015-12-21 15:30:00,40.64,40.775,40.6,40.7,167844,40.64
2015-12-21 16:00:00,40.83,40.83,40.62,40.67,262938,40.83
2015-12-22 10:30:00,41.02,41.2,40.85,41.2,316841,41.02
2015-12-22 11:30:00,40.78,41.06,40.73,41.01,119656,40.78
2015-12-22 12:30:00,40.895,41.02,40.77,40.8,103047,40.895
2015-12-22 13:30:00,41.06,41.06,40.9,40.9,70207,41.06
2015-12-22 14:30:00,41.12,41.1917,41.04,41.06,101802,41.12
2015-12-22 15:30:00,41.28,41.33,41.1,41.13,122061,41.28
2015-12-22 16:00:00,41.24,41.3,41.15,41.27,278944,41.24
2015-12-23 10:30:00,41.705,41.82,41.4,41.49,274816,41.705
2015-12-23 11:30:00,41.635,41.86,41.63,41.72,177865,41.635
2015-12-23 12:30:00,41.62,41.685,41.54,41.65,150029,41.62
2015-12-23 13:30:00,41.45,41.64,41.43,41.63,163195,41.45
2015-12-23 14:30:00,41.7,41.72,41.44,41.46,127967,41.7
2015-12-23 15:30:00,41.68,41.78,41.6715,41.72,145621,41.68
2015-12-23 16:00:00,41.77,41.8,41.58,41.66,261901,41.77
2015-12-24 10:30:00,41.92,41.92,41.68,41.8,179820,41.92
2015-12-24 11:30:00,41.99,41.99,41.88,41.91,150707,41.99
2015-12-24 12:30:00,42.18,42.18,41.98,42.0,188039,42.18
2015-12-24 13:30:00,42.14,42.255,42.14,42.18,290974,42.14
2015-12-28 10:30:00,41.74,41.998,41.68,41.998,227381,41.74
2015-12-28 11:30:00,41.66,41.78,41.52,41.69,246407,41.66
2015-12-28 12:30:00,41.69,41.75,41.64,41.68,106069,41.69
2015-12-28 13:30:00,41.72,41.7401,41.62,41.7,202153,41.72
2015-12-28 14:30:00,41.59,41.8,41.57,41.77,119977,41.59
2015-12-28 15:30:00,41.705,41.72,41.58,41.59,140270,41.705
2015-12-28 16:00:00,41.77,41.77,41.685,41.685,203873,41.77
2015-12-29 10:30:00,42.28,42.37,41.93,42.0,225814,42.28
2015-12-29 11:30:00,42.28,42.34,42.175,42.3,172538,42.28
2015-12-29 12:30:00,42.26,42.35,42.13,42.31,104055,42.26
2015-12-29 13:30:00,42.43,42.45,42.22,42.265,110411,42.43
2015-12-29 14:30:00,42.46,42.46,42.37,42.42,160220,42.46
2015-12-29 15:30:00,42.43,42.46,42.39,42.43,107710,42.43
2015-12-29 16:00:00,42.35,42.46,42.35,42.46,178808,42.35
2015-12-30 10:30:00,42.18,42.37,42.15,42.32,140587,42.18
2015-12-30 11:30:00,42.21,42.29,42.1501,42.16,84962,42.21
2015-12-30 12:30:00,42.27,42.32,42.17,42.21,73950,42.27
2015-12-30 13:30:00,42.21,42.28,42.11,42.28,55248,42.21
2015-12-30 14:30:00,42.27,42.295,42.21,42.2251,70538,42.27
2015-12-30 15:30:00,42.28,42.32,42.24,42.29,77908,42.28
2015-12-30 16:00:00,42.17,42.28,42.12,42.28,182174,42.17
2015-12-31 10:30:00,42.03,42.09,41.85,41.93,114167,42.03
2015-12-31 11:30:00,41.99,42.13,41.93,41.96,105354,41.99
2015-12-31 12:30:00,42.135,42.15,41.9799,41.9799,111969,42.135
2015-12-31 13:30:00,42.19,42.27,42.1,42.13,95334,42.19
2015-12-31 14:30:00,42.21,42.35,42.12,42.16,158751,42.21
2015-12-31 15:30:00,41.99,42.24,41.96,42.185,203071,41.99
2015-12-31 16:00:00,41.81,42.06,41.81,42.0,296902,41.81
