Date,Open,High,Low,Close,Volume,Adj Close
0,68.025,68.13,65.83,66.41,2779298,66.41
1,66.41,67.5,66.1224,66.21,1338843,66.21
2,66.21,66.325,65.5,66.04,1415799,66.04
3,66.03,66.47,65.87,66.19,778843,66.19
4,66.17,66.23,65.61,66.21,590812,66.21
5,66.2,66.22,65.87,66.05,475303,66.05
6,66.05,66.59,66.01,66.33,577174,66.33
7,66.35,66.66,66.23,66.44,443499,66.44
8,66.46,66.74,66.43,66.43,405846,66.43
9,66.44,66.49,66.0,66.12,336399,66.12
10,66.13,66.32,65.55,65.77,426780,65.77
11,65.768,65.94,65.34,65.45,653270,65.45
12,65.4789,65.85,65.45,65.8,483317,65.8
13,65.8,66.5,65.6,66.5,558324,66.5
14,66.5,66.7,66.16,66.59,516335,66.59
15,66.58,66.86,66.18,66.73,442105,66.73
16,66.73,67.54,66.71,67.5,586716,67.5
17,67.5,68.11,67.46,67.92,607462,67.92
18,67.9,67.9,67.07,67.43,541211,67.43
19,67.44,67.65,67.0498,67.315,348921,67.315
20,67.35,67.59,66.94,67.37,471678,67.37
21,67.36,67.8,67.22,67.62,302177,67.62
22,67.62,68.2,67.4,68.12,461076,68.12
23,68.12,69.1124,68.11,68.905,656274,68.905
24,68.92,69.07,68.29,68.33,534838,68.33
25,68.31,68.71,68.0,68.69,846568,68.69
26,68.78,68.9,68.77,68.9,118157,68.9
27,68.87,69.05,67.1437,67.64,1264125,67.64
28,67.61,68.47,67.42,68.038,862170,68.038
29,68.05,69.5,67.93,69.331,847992,69.331
30,69.358,69.6899,68.75,69.6252,698570,69.6252
31,69.65,70.1,69.31,69.9105,702570,69.9105
32,69.91,70.0901,69.76,69.8,584576,69.8
33,69.81,70.375,69.53,70.11,466169,70.11
34,70.11,70.24,69.85,69.96,542488,69.96
35,69.97,70.39,69.97,70.34,583677,70.34
36,70.34,70.915,70.33,70.785,657256,70.785
37,70.804,71.27,70.78,71.17,662525,71.17
38,71.17,71.32,70.9518,71.2455,439053,71.2455
39,71.24,71.27,71.0,71.02,249768,71.02
40,71.03,71.38,70.92,71.36,553689,71.36
41,71.36,71.65,71.29,71.45,399433,71.45
42,71.45,71.53,70.89,70.89,556476,70.89
43,70.9,71.19,70.65,71.08,367519,71.08
44,71.08,71.37,70.86,71.07,388517,71.07
45,71.04,71.17,70.35,70.67,364592,70.67
46,70.65,70.79,70.25,70.56,399766,70.56
47,70.55,70.96,70.55,70.76,262288,70.76
48,70.75,71.38,70.44,71.27,366364,71.27
49,71.28,71.4,70.73,71.2,455343,71.2
50,71.21,71.22,70.81,70.85,321117,70.85
51,70.84,71.21,70.84,71.07,328671,71.07
52,71.07,71.088,70.65,70.76,970614,70.76
53,72.51,72.59,72.5,72.59,7250,72.59
54,72.6,73.34,71.28,71.99,2976264,71.99
55,71.99,72.0,71.4,71.6824,978227,71.6824
56,71.7012,72.21,71.69,72.07,807290,72.07
57,72.04,72.2,71.38,71.61,833454,71.61
58,71.6,71.93,71.42,71.67,622848,71.67
59,71.64,71.82,71.11,71.325,671872,71.325
60,71.32,71.5,70.7,70.81,866796,70.81
61,70.7956,71.12,70.66,70.83,667495,70.83
62,70.84,70.93,70.29,70.55,598782,70.55
63,70.5501,70.58,70.22,70.245,310422,70.245
64,70.24,70.44,70.06,70.3665,412934,70.3665
65,70.365,70.51,70.25,70.41,300533,70.41
66,70.4,70.54,70.26,70.38,262595,70.38
67,70.385,70.48,70.21,70.48,185348,70.48
68,70.48,70.525,70.12,70.33,198685,70.33
69,70.33,70.64,70.32,70.5,205068,70.5
70,70.5,70.6,70.3501,70.39,177285,70.39
71,70.39,70.46,70.25,70.37,174198,70.37
72,70.37,70.44,70.2,70.41,238156,70.41
73,70.4,70.52,70.18,70.194,299969,70.194
74,70.185,70.5,70.13,70.13,288248,70.13
75,70.1432,70.25,70.01,70.03,284444,70.03
76,70.03,70.25,69.89,70.07,451036,70.07
77,70.07,70.3335,70.023,70.3151,253277,70.3151
78,70.3,70.48,70.17,70.46,365121,70.46
79,70.465,70.47,70.24,70.32,1001515,70.32
80,70.8,70.8,69.15,69.82,2254932,69.82
81,69.84,69.84,69.02,69.53,1378222,69.53
82,69.51,69.99,69.32,69.775,824553,69.775
83,69.77,70.72,69.53,70.415,700026,70.415
84,70.41,70.64,70.111,70.2278,511816,70.2278
85,70.235,70.4,69.83,69.83,461371,69.83
86,69.83,69.87,69.34,69.3787,507789,69.3787
87,69.37,69.44,69.16,69.32,418343,69.32
88,69.33,69.49,69.05,69.06,311786,69.06
89,69.065,69.54,69.065,69.345,231985,69.345
90,69.35,69.62,69.29,69.44,386175,69.44
91,69.44,69.81,69.4,69.77,190455,69.77
92,69.76,70.06,69.62,69.96,193832,69.96
93,69.96,70.06,69.86,70.0,221919,70.0
94,69.99,70.145,69.93,70.103,272417,70.103
95,70.1,70.38,70.02,70.19,471440,70.19
96,70.2021,70.3199,70.07,70.08,143562,70.08
