Date,Open,High,Low,Close,Volume,Adj Close
0,73.29,75.5,71.88,73.3,6452902,73.3
1,73.2412,74.54,72.91,74.06,4639632,74.06
2,74.07,74.54,73.07,73.43,3004881,73.43
3,73.425,73.92,73.3,73.52,1582773,73.52
4,73.522,73.59,71.93,72.32,2591179,72.32
5,72.34,72.44,71.54,72.23,2230694,72.23
6,72.23,73.23,72.1,72.77,3829773,72.77
7,74.33,74.66,73.38,73.69,3090060,73.69
8,73.69,73.84,72.173,72.54,3181370,72.54
9,72.55,73.26,72.0,72.36,1865046,72.36
10,72.3799,72.59,72.08,72.15,1366385,72.15
11,72.15,72.89,71.73,71.95,2120735,71.95
12,71.95,72.6,71.7,71.89,2323796,71.89
13,71.89,72.05,70.67,70.71,4205683,70.71
14,71.29,71.73,70.01,70.12,3032049,70.12
15,70.111,71.38,69.8,70.598,3008172,70.598
16,70.59,71.22,70.05,70.9499,1614450,70.9499
17,70.95,71.07,70.58,70.73,1055970,70.73
18,70.74,70.77,69.11,69.26,1915793,69.26
19,69.2502,70.21,69.06,69.69,1515158,69.69
20,69.67,70.15,69.02,69.9001,3524017,69.9001
21,71.45,72.67,71.34,72.34,2827682,72.34
22,72.32,72.65,71.2701,71.52,1987150,71.52
23,71.52,71.75,71.04,71.4174,1461594,71.4174
24,71.44,71.72,71.0,71.21,721833,71.21
25,71.22,71.86,71.17,71.42,909855,71.42
26,71.42,72.33,71.2,72.28,1513680,72.28
27,72.27,72.77,71.97,72.665,2626162,72.665
28,72.77,73.239,72.2,72.42,1717906,72.42
29,72.41,72.58,71.66,71.8,1619050,71.8
30,71.7978,72.237,71.31,71.68,1084382,71.68
31,71.66,71.75,71.24,71.31,1034159,71.31
32,71.31,71.59,70.83,70.9711,1321928,70.9711
33,70.9705,71.14,70.35,70.81,1575753,70.81
34,70.83,71.3497,70.22,70.33,2638216,70.33
35,70.29,70.63,69.1897,69.22,2020303,69.22
36,69.2527,71.74,68.27,71.16,4187726,71.16
37,71.17,71.29,70.06,70.275,1507146,70.275
38,70.29,71.34,70.29,70.9,1520314,70.9
