Date,Open,High,Low,Close,Volume,Adj Close
0,14.435,14.44,14.4,14.4,15300,14.4
1,14.5999,14.63,14.31,14.45,16427777,14.45
2,14.4895,14.65,14.45,14.59,7305242,14.59
3,14.57,14.63,14.42,14.49,4913260,14.49
4,14.58,14.66,14.55,14.57,5717144,14.57
5,14.57,14.62,14.55,14.57,3725133,14.57
6,14.4801,14.61,14.48,14.57,3841137,14.57
7,14.4256,14.51,14.35,14.48,6789960,14.48
8,14.4,14.45,14.36,14.43,4674716,14.43
9,14.3399,14.41,14.32,14.4,4143137,14.4
10,14.2899,14.36,14.27,14.335,5461505,14.335
11,14.265,14.3,14.21,14.285,5078361,14.285
12,14.2,14.2699,14.15,14.265,4171374,14.265
13,14.21,14.21,14.13,14.2,4096881,14.2
14,14.375,14.38,14.21,14.21,4935945,14.21
15,14.37,14.4,14.32,14.37,4041204,14.37
16,14.33,14.405,14.33,14.37,3602513,14.37
17,14.44,14.45,14.33,14.34,3014280,14.34
18,14.3758,14.44,14.35,14.4399,3051643,14.4399
19,14.417,14.42,14.36,14.3736,2545527,14.3736
20,14.34,14.42,14.34,14.42,3362735,14.42
21,14.38,14.385,14.28,14.34,4219197,14.34
22,14.485,14.49,14.36,14.38,4423629,14.38
23,14.485,14.5,14.43,14.485,6761937,14.485
24,14.45,14.49,14.38,14.48,5685070,14.48
25,14.433,14.5,14.4,14.45,6436537,14.45
26,14.44,14.46,14.39,14.445,15129737,14.445
27,14.69,14.71,14.69,14.69,7800,14.69
28,14.47,14.79,14.37,14.69,16725442,14.69
29,14.55,14.59,14.4,14.47,8476403,14.47
30,14.47,14.57,14.45,14.5401,10044063,14.5401
31,14.51,14.53,14.41,14.4799,6354024,14.4799
32,14.41,14.52,14.4,14.51,4516676,14.51
33,14.2743,14.415,14.27,14.4,7163154,14.4
34,14.175,14.3,14.16,14.27,5249936,14.27
35,14.22,14.24,14.07,14.1748,8477613,14.1748
36,14.24,14.2762,14.19,14.23,6462380,14.23
37,14.12,14.29,14.12,14.2442,4470803,14.2442
38,14.1,14.16,14.07,14.121,3418566,14.121
39,14.075,14.11,14.01,14.105,5546017,14.105
40,14.035,14.14,14.03,14.075,3508652,14.075
41,14.035,14.05,14.01,14.035,2933181,14.035
42,14.105,14.18,14.02,14.04,5902555,14.04
43,14.1464,14.205,14.1,14.11,4883398,14.11
44,14.195,14.25,14.13,14.14,4865375,14.14
45,14.18,14.3,14.17,14.1925,5565651,14.1925
46,14.0601,14.19,14.03,14.18,5580553,14.18
47,14.2,14.21,14.04,14.0687,5228746,14.0687
48,14.11,14.235,14.1,14.2,4895077,14.2
49,14.205,14.225,14.06,14.11,5994098,14.11
50,14.25,14.29,14.16,14.205,5529340,14.205
51,14.34,14.36,14.2,14.25,10027422,14.25
52,14.4,14.41,14.3,14.35,9170750,14.35
53,14.249,14.42,14.24,14.41,10451213,14.41
54,13.8,13.81,13.77,13.79,14350,13.79
55,13.93,13.949,13.7357,13.8,22431441,13.8
56,13.7401,14.0,13.74,13.9299,10373768,13.9299
57,13.75,13.825,13.71,13.7499,8970440,13.7499
58,13.67,13.7825,13.66,13.7595,8451385,13.7595
59,13.5957,13.68,13.5,13.675,11993760,13.675
60,13.51,13.62,13.5,13.59,7739041,13.59
61,13.63,13.64,13.5015,13.51,6810607,13.51
62,13.595,13.665,13.55,13.635,7261175,13.635
63,13.43,13.61,13.42,13.59,8121849,13.59
64,13.3958,13.47,13.35,13.43,6303535,13.43
65,13.4069,13.42,13.33,13.39,6427410,13.39
66,13.349,13.425,13.27,13.41,8100864,13.41
67,13.3,13.4,13.28,13.345,9308715,13.345
68,13.446,13.45,13.27,13.3,9201303,13.3
69,13.41,13.51,13.4,13.441,7110239,13.441
70,13.415,13.47,13.35,13.405,4852559,13.405
71,13.49,13.5,13.413,13.4134,6107860,13.4134
72,13.525,13.57,13.483,13.49,7019944,13.49
73,13.54,13.61,13.49,13.52,5786385,13.52
74,13.49,13.57,13.48,13.55,7355736,13.55
75,13.4837,13.52,13.41,13.49,4726679,13.49
76,13.55,13.6,13.47,13.4865,4546500,13.4865
77,13.6599,13.66,13.51,13.55,10893555,13.55
78,13.876,13.8899,13.6501,13.6566,14304514,13.6566
79,13.83,13.89,13.76,13.88,11587979,13.88
80,13.7,13.83,13.65,13.825,14636995,13.825
81,13.64,13.67,13.63,13.67,9900,13.67
82,13.7001,13.84,13.63,13.63,15490744,13.63
83,13.64,13.72,13.62,13.7099,8929149,13.7099
84,13.695,13.7366,13.64,13.6401,12287330,13.6401
85,13.695,13.72,13.61,13.695,7579828,13.695
86,13.745,13.77,13.62,13.7,12275863,13.7
87,13.6725,13.82,13.67,13.745,6771203,13.745
88,13.68,13.77,13.63,13.68,11714757,13.68
89,13.585,13.7,13.56,13.69,5396157,13.69
90,13.59,13.63,13.56,13.59,5289863,13.59
91,13.64,13.65,13.58,13.594,5216402,13.594
92,13.63,13.72,13.62,13.64,7142922,13.64
93,13.6499,13.67,13.58,13.625,3344761,13.625
94,13.6135,13.65,13.59,13.64,3563167,13.64
95,13.52,13.62,13.48,13.6165,6419331,13.6165
96,13.48,13.56,13.48,13.5185,4343517,13.5185
97,13.444,13.5061,13.42,13.49,5790668,13.49
98,13.465,13.49,13.43,13.4443,5633209,13.4443
99,13.4377,13.49,13.41,13.465,4736376,13.465
100,13.31,13.45,13.31,13.44,4590516,13.44
101,13.335,13.3599,13.25,13.3157,5451777,13.3157
102,13.4,13.43,13.33,13.337,4531859,13.337
103,13.4,13.43,13.32,13.4,3846856,13.4
104,13.39,13.41,13.3,13.39,4003801,13.39
105,13.356,13.4,13.34,13.3957,3670421,13.3957
106,13.43,13.46,13.35,13.35,8675976,13.35
107,13.35,13.45,13.34,13.435,11167735,13.435
108,13.64,13.65,13.64,13.65,4000,13.65
109,13.6,13.72,13.55,13.64,15696717,13.64
110,13.59,13.63,13.47,13.6,12921965,13.6
111,13.63,13.67,13.52,13.59,11866255,13.59
112,13.61,13.66,13.57,13.6399,8713128,13.6399
113,13.54,13.64,13.52,13.61,6659045,13.61
114,13.58,13.595,13.53,13.54,4631350,13.54
115,13.58,13.63,13.543,13.58,3665755,13.58
116,13.59,13.65,13.55,13.58,5329443,13.58
117,13.526,13.59,13.51,13.583,6289017,13.583
118,13.5,13.53,13.47,13.52,3584097,13.52
119,13.48,13.54,13.47,13.5,4714243,13.5
120,13.52,13.53,13.47,13.48,2784592,13.48
121,13.515,13.6,13.49,13.52,10220510,13.52
122,13.545,13.55,13.5,13.515,19237193,13.515
123,13.51,13.55,13.48,13.545,3153227,13.545
124,13.535,13.56,13.51,13.51,2944490,13.51
125,13.525,13.55,13.51,13.53,2097578,13.53
126,13.585,13.59,13.52,13.525,3807080,13.525
127,13.6,13.61,13.55,13.585,3359156,13.585
128,13.54,13.61,13.54,13.605,2469990,13.605
129,13.51,13.57,13.5,13.55,3454237,13.55
130,13.57,13.57,13.5,13.505,2510718,13.505
131,13.5257,13.57,13.51,13.56,2503120,13.56
132,13.5349,13.54,13.5,13.52,2698423,13.52
133,13.595,13.6,13.52,13.54,4003125,13.54
134,13.55,13.6,13.55,13.595,9486576,13.595
135,13.54,13.54,13.54,13.54,300,13.54
136,13.35,13.55,13.33,13.54,10646787,13.54
137,13.24,13.3499,13.23,13.345,8391418,13.345
138,13.15,13.34,13.15,13.235,11042434,13.235
139,13.14,13.19,13.1,13.15,11652676,13.15
140,13.0863,13.17,13.06,13.1304,8158306,13.1304
141,13.09,13.14,13.06,13.08,6424436,13.08
142,13.08,13.11,13.03,13.09,6926624,13.09
143,13.16,13.18,13.05,13.08,7169611,13.08
144,13.0757,13.165,13.071,13.16,4678272,13.16
145,13.07,13.13,13.07,13.075,3800849,13.075
146,13.065,13.1,13.05,13.07,3328220,13.07
147,13.095,13.1,13.06,13.064,2694352,13.064
148,13.07,13.1,13.07,13.0959,3646614,13.0959
149,13.1,13.125,13.07,13.08,5015137,13.08
150,13.13,13.17,13.1,13.105,4927484,13.105
151,13.17,13.17,13.12,13.13,3817623,13.13
152,13.149,13.18,13.14,13.1666,4228051,13.1666
153,13.11,13.15,13.09,13.14,3623926,13.14
154,13.175,13.18,13.08,13.1,4916440,13.1
155,13.18,13.24,13.13,13.18,7663947,13.18
156,13.105,13.18,13.1,13.175,4861348,13.175
157,13.11,13.14,13.1,13.1,3257630,13.1
158,13.05,13.14,13.05,13.115,6182656,13.115
159,13.01,13.07,12.99,13.05,10976803,13.05
160,12.98,13.03,12.94,13.0,7156237,13.0
161,12.97,13.02,12.94,12.985,15394785,12.985
162,13.07,13.07,13.06,13.07,4500,13.07
163,13.171,13.18,13.04,13.07,11011531,13.07
164,13.075,13.19,13.07,13.18,6289484,13.18
165,13.205,13.21,13.074,13.075,6649705,13.075
166,13.205,13.27,13.2,13.21,7675383,13.21
167,13.335,13.35,13.2,13.208,9000364,13.208
168,13.25,13.34,13.25,13.34,3518549,13.34
169,13.325,13.325,13.24,13.25,3024953,13.25
170,13.265,13.33,13.25,13.33,2770928,13.33
171,13.22,13.28,13.22,13.2651,3061967,13.2651
172,13.2001,13.24,13.19,13.225,2782333,13.225
173,13.2635,13.28,13.2,13.2,3004248,13.2
174,13.335,13.34,13.26,13.26,4090844,13.26
175,13.335,13.35,13.31,13.3363,4592727,13.3363
176,13.275,13.34,13.27,13.3335,3623383,13.3335
177,13.27,13.29,13.24,13.275,2314340,13.275
178,13.22,13.31,13.21,13.27,3167982,13.27
179,13.25,13.26,13.21,13.22,2610532,13.22
180,13.235,13.26,13.23,13.24,1840530,13.24
181,13.259,13.27,13.22,13.23,2996654,13.23
182,13.27,13.3,13.24,13.26,3094637,13.26
