Date,Open,High,Low,Close,Volume,Adj Close
0,124.0,124.5,124.0,124.002,106408,124.002
1,124.38,124.94,123.21,124.0325,293406,124.0325
2,124.045,124.22,122.63,123.2,225907,123.2
3,123.21,123.28,122.38,122.78,272385,122.78
4,122.7575,122.84,121.7,122.09,314329,122.09
5,122.06,122.14,121.5,121.69,346917,121.69
6,121.72,121.73,120.65,120.665,275923,120.665
7,120.69,121.1195,120.52,120.95,280835,120.95
8,120.94,121.85,120.74,121.65,250651,121.65
9,121.6999,122.0725,121.37,121.37,121364,121.37
10,121.38,121.53,120.83,121.065,136681,121.065
11,121.055,121.19,120.71,120.76,143576,120.76
12,120.74,120.87,120.04,120.1357,160488,120.1357
13,120.1201,120.32,120.05,120.09,160875,120.09
14,120.07,120.9,119.82,120.9,302250,120.9
15,120.89,121.12,120.689,120.73,114221,120.73
16,120.76,121.0297,120.3762,120.72,88680,120.72
17,120.74,121.46,120.72,121.45,178681,121.45
18,121.45,121.88,121.29,121.5,217749,121.5
19,121.4775,122.09,121.0,121.78,219048,121.78
20,121.79,121.83,121.4276,121.44,168613,121.44
21,121.47,121.71,121.19,121.451,176806,121.451
22,121.44,122.05,121.26,121.72,154068,121.72
23,121.76,122.39,121.57,122.16,203742,122.16
24,122.19,123.32,122.19,123.17,364895,123.17
25,123.1975,123.37,122.42,122.54,344164,122.54
26,122.54,122.55,121.95,122.16,531665,122.16
27,122.77,123.185,121.54,122.36,236059,122.36
28,122.35,122.86,122.17,122.25,212726,122.25
29,122.26,124.24,122.24,124.07,303162,124.07
30,124.13,124.3899,123.31,123.663,193938,123.663
31,123.67,124.34,123.42,124.235,113931,124.235
32,124.25,124.9,123.5904,123.7,222831,123.7
33,123.76,124.55,123.41,124.08,164230,124.08
34,124.05,124.15,123.3,123.72,155483,123.72
35,123.78,124.63,123.78,124.3,178397,124.3
36,124.31,125.29,124.2,125.13,140733,125.13
37,125.18,125.53,125.01,125.05,150721,125.05
38,125.03,125.39,124.77,125.2356,167269,125.2356
39,125.2283,125.245,124.96,125.15,118208,125.15
40,125.15,125.3894,125.0,125.25,117295,125.25
41,125.28,125.98,125.27,125.38,109644,125.38
42,125.29,125.559,124.91,124.91,115475,124.91
43,124.9299,125.15,124.26,124.71,227197,124.71
44,124.7,124.913,124.26,124.45,119938,124.45
45,124.4799,124.5,123.5,123.56,177401,123.56
46,123.57,123.71,123.17,123.45,147147,123.45
47,123.5,123.93,123.5,123.81,162991,123.81
48,123.82,123.95,123.29,123.8882,143172,123.8882
49,123.86,123.9,123.22,123.67,101475,123.67
50,123.66,123.71,123.32,123.5117,113008,123.5117
51,123.515,124.07,123.4703,123.93,193599,123.93
52,123.91,123.9499,123.39,123.41,390173,123.41
53,124.42,124.42,124.42,124.42,100,124.42
54,124.56,125.16,124.25,124.59,463382,124.59
55,124.56,125.05,124.46,124.77,158789,124.77
56,124.76,125.63,124.64,125.63,177361,125.63
57,125.611,125.68,125.13,125.34,150574,125.34
58,125.39,125.5,124.76,124.91,137209,124.91
59,124.9,125.04,124.4,124.4228,132922,124.4228
60,124.4001,124.53,123.86,123.87,150854,123.87
61,123.8761,124.31,123.57,123.96,144421,123.96
