Date,Close,High,Low,Open,Volume,Adj Close
2015-12-07 10:30:00,148.66,149.43,148.306,148.45,412431,148.66
2015-12-07 11:30:00,147.872,148.97,147.872,148.64,226275,147.872
2015-12-07 12:30:00,148.33,148.34,147.9,147.93,220937,148.33
2015-12-07 13:30:00,147.81,148.31,147.54,148.3,272524,147.81
2015-12-07 14:30:00,148.22,148.24,147.38,147.79,286068,148.22
2015-12-07 15:30:00,148.37,148.47,147.855,148.4,394699,148.37
2015-12-07 16:00:00,148.46,148.69,148.17,148.34,467660,148.46
2015-12-08 10:30:00,145.2,147.085,144.937,147.085,682949,145.2
2015-12-08 11:30:00,145.134,145.95,145.015,145.08,496012,145.134
2015-12-08 12:30:00,144.83,145.28,144.72,145.145,425753,144.83
2015-12-08 13:30:00,144.93,145.08,144.66,144.83,423810,144.93
2015-12-08 14:30:00,145.49,145.75,144.83,144.95,709398,145.49
2015-12-08 15:30:00,144.947,145.67,144.91,145.47,578969,144.947
2015-12-08 16:00:00,145.08,145.4,144.965,144.97,693597,145.08
2015-12-09 10:30:00,144.81,145.65,144.16,144.48,463361,144.81
2015-12-09 11:30:00,144.925,145.4,144.58,145.12,311544,144.925
2015-12-09 12:30:00,143.15,144.98,143.125,144.91,290059,143.15
2015-12-09 13:30:00,143.31,143.33,142.33,142.9,253148,143.31
2015-12-09 14:30:00,143.43,143.94,143.21,143.26,247980,143.43
2015-12-09 15:30:00,143.73,143.84,143.22,143.507,357717,143.73
2015-12-09 16:00:00,144.17,144.17,143.77,143.77,662210,144.17
2015-12-10 10:30:00,145.54,145.779,144.29,144.62,527834,145.54
2015-12-10 11:30:00,146.45,146.615,145.48,145.55,362807,146.45
2015-12-10 12:30:00,145.99,146.39,145.41,146.39,400173,145.99
2015-12-10 13:30:00,146.36,146.91,145.96,145.98,310240,146.36
2015-12-10 14:30:00,147.36,147.36,146.45,146.465,279901,147.36
2015-12-10 15:30:00,146.38,147.43,146.002,147.33,394378,146.38
2015-12-10 16:00:00,146.5,146.57,146.21,146.3,412404,146.5
2015-12-11 10:30:00,145.225,145.64,143.9,144.59,605982,145.225
2015-12-11 11:30:00,144.61,145.33,144.55,145.33,341625,144.61
2015-12-11 12:30:00,143.89,144.56,143.77,144.56,293559,143.89
2015-12-11 13:30:00,144.237,144.64,143.87,143.889,166219,144.237
2015-12-11 14:30:00,144.06,144.39,144.01,144.3,219537,144.06
2015-12-11 15:30:00,144.22,144.41,144.0,144.03,388816,144.22
2015-12-11 16:00:00,144.51,144.53,144.1,144.23,468892,144.51
2015-12-14 10:30:00,142.386,144.4,142.29,144.116,743528,142.386
2015-12-14 11:30:00,141.96,142.74,141.814,142.35,470667,141.96
2015-12-14 12:30:00,142.21,142.21,141.655,141.839,696080,142.21
2015-12-14 13:30:00,141.89,142.51,141.8,142.3,510755,141.89
2015-12-14 14:30:00,141.635,141.99,141.5,141.84,455708,141.635
2015-12-14 15:30:00,142.27,142.3,141.46,141.595,425068,142.27
2015-12-14 16:00:00,143.02,143.09,142.33,142.4,339228,143.02
2015-12-15 10:30:00,145.86,146.38,144.94,144.94,1076585,145.86
2015-12-15 11:30:00,145.83,146.13,145.455,145.92,544200,145.83
2015-12-15 12:30:00,145.95,146.13,145.59,145.871,427350,145.95
2015-12-15 13:30:00,146.385,146.63,145.86,146.015,378967,146.385
2015-12-15 14:30:00,146.9,146.94,146.39,146.41,292901,146.9
2015-12-15 15:30:00,146.77,147.04,146.68,146.95,441916,146.77
2015-12-15 16:00:00,146.56,146.89,146.56,146.67,417159,146.56
2015-12-16 10:30:00,147.66,148.47,147.46,148.45,547111,147.66
2015-12-16 11:30:00,146.77,147.68,146.76,147.59,385095,146.77
2015-12-16 12:30:00,146.88,147.07,146.75,146.75,203275,146.88
2015-12-16 13:30:00,146.87,146.9,146.35,146.86,194304,146.87
2015-12-16 14:30:00,146.97,147.69,146.43,146.87,395893,146.97
2015-12-16 15:30:00,147.965,147.965,146.68,146.68,389260,147.965
2015-12-16 16:00:00,148.1,148.36,148.0,148.05,464425,148.1
2015-12-17 10:30:00,148.175,149.75,148.17,148.233,546082,148.175
2015-12-17 11:30:00,146.58,148.16,145.93,148.16,650335,146.58
2015-12-17 12:30:00,146.54,146.59,146.09,146.35,341753,146.54
2015-12-17 13:30:00,146.71,146.93,146.15,146.53,126910,146.71
2015-12-17 14:30:00,146.76,147.06,146.62,146.705,200432,146.76
2015-12-17 15:30:00,146.19,146.71,146.09,146.71,289349,146.19
2015-12-17 16:00:00,145.56,146.51,145.56,146.1,320074,145.56
2015-12-18 10:30:00,141.46,143.2,141.205,142.495,3019220,141.46
2015-12-18 11:30:00,140.976,141.66,140.77,141.42,688126,140.976
2015-12-18 12:30:00,140.46,141.15,139.99,140.97,668757,140.46
2015-12-18 13:30:00,139.53,140.4,139.53,140.4,424136,139.53
2015-12-18 14:30:00,139.43,139.544,138.95,139.48,623831,139.43
2015-12-18 15:30:00,139.5,140.205,139.02,139.44,690801,139.5
2015-12-18 16:00:00,139.715,140.37,139.458,139.54,308234,139.715
2015-12-21 10:30:00,140.54,141.85,140.51,140.76,759728,140.54
2015-12-21 11:30:00,140.39,140.698,140.26,140.57,379794,140.39
2015-12-21 12:30:00,140.21,140.31,139.74,140.31,287253,140.21
2015-12-21 13:30:00,140.81,140.94,140.24,140.27,277597,140.81
2015-12-21 14:30:00,140.63,141.08,140.61,140.92,353890,140.63
2015-12-21 15:30:00,140.4,140.755,140.24,140.55,345518,140.4
2015-12-21 16:00:00,140.87,140.87,140.39,140.44,520480,140.87
2015-12-22 10:30:00,141.244,141.97,140.52,141.97,384707,141.244
2015-12-22 11:30:00,141.46,141.79,141.14,141.276,213874,141.46
2015-12-22 12:30:00,141.54,141.69,141.14,141.47,197822,141.54
2015-12-22 13:30:00,141.84,141.84,141.47,141.54,166262,141.84
2015-12-22 14:30:00,142.37,142.47,141.85,141.85,260500,142.37
2015-12-22 15:30:00,142.62,142.78,142.23,142.33,276531,142.62
2015-12-22 16:00:00,142.42,142.54,141.91,142.51,332265,142.42
2015-12-23 10:30:00,142.941,143.35,142.84,143.105,382618,142.941
2015-12-23 11:30:00,143.13,143.45,142.91,143.03,343923,143.13
2015-12-23 12:30:00,143.45,143.52,142.93,143.21,198553,143.45
2015-12-23 13:30:00,143.61,143.65,143.25,143.38,176434,143.61
2015-12-23 14:30:00,143.79,143.79,143.45,143.58,172043,143.79
2015-12-23 15:30:00,143.82,143.9,143.67,143.8,222376,143.82
2015-12-23 16:00:00,144.0,144.0,143.57,143.76,458209,144.0
2015-12-24 10:30:00,143.65,143.89,143.37,143.6,245622,143.65
