Date,Open,High,Low,Close,Volume,Adj Close
0,16.74,16.76,16.61,16.7399,666393,16.7399
1,16.74,16.84,16.55,16.57,238336,16.57
2,16.58,16.68,16.54,16.62,207506,16.62
3,16.62,16.635,16.51,16.54,111585,16.54
4,16.53,16.6,16.44,16.6,100188,16.6
5,16.61,16.61,16.385,16.4,75301,16.4
6,16.39,16.61,16.39,16.59,118809,16.59
7,16.6,16.6601,16.5715,16.61,209743,16.61
8,16.62,16.7,16.6,16.62,142748,16.62
9,16.62,16.64,16.45,16.49,97111,16.49
10,16.49,16.52,16.43,16.47,86255,16.47
11,16.47,16.48,16.36,16.4,104580,16.4
12,16.41,16.53,16.4,16.48,87198,16.48
13,16.47,16.63,16.45,16.63,80458,16.63
14,16.64,16.69,16.6151,16.62,57057,16.62
15,16.6,16.65,16.56,16.62,70944,16.62
16,16.615,16.86,16.615,16.86,112831,16.86
17,16.86,16.94,16.86,16.88,104340,16.88
18,16.88,17.045,16.86,17.03,210238,17.03
19,17.02,17.09,17.0,17.025,149893,17.025
20,17.03,17.04,16.92,16.93,99755,16.93
21,16.92,17.0,16.89,16.96,128388,16.96
22,16.96,17.06,16.91,17.034,138766,17.034
23,17.04,17.28,17.04,17.24,233912,17.24
24,17.24,17.25,17.09,17.09,245742,17.09
25,17.09,17.09,16.99,17.06,243732,17.06
26,17.63,17.63,17.63,17.63,500,17.63
27,17.63,17.74,17.51,17.58,351863,17.58
28,17.57,17.699,17.46,17.61,158130,17.61
29,17.61,17.92,17.61,17.87,179676,17.87
30,17.86,18.11,17.85,18.09,233670,18.09
31,18.0911,18.38,18.02,18.38,214004,18.38
32,18.38,18.44,18.2594,18.34,185405,18.34
33,18.34,18.68,18.3,18.65,213517,18.65
34,18.66,18.66,18.33,18.37,161514,18.37
35,18.38,18.56,18.36,18.43,161738,18.43
36,18.44,18.59,18.44,18.55,77320,18.55
37,18.579,18.7,18.57,18.62,71022,18.62
38,18.625,18.69,18.541,18.61,40024,18.61
39,18.61,18.62,18.541,18.55,33656,18.55
40,18.55,18.55,18.46,18.532,57569,18.532
41,18.55,18.635,18.55,18.56,23860,18.56
42,18.55,18.55,18.37,18.43,60236,18.43
43,18.43,18.49,18.35,18.45,31129,18.45
44,18.45,18.48,18.35,18.45,41570,18.45
45,18.45,18.48,18.32,18.34,47582,18.34
46,18.33,18.34,18.21,18.34,73547,18.34
47,18.349,18.4562,18.3,18.42,42925,18.42
48,18.42,18.55,18.3599,18.54,86211,18.54
49,18.54,18.54,18.35,18.485,60516,18.485
50,18.48,18.57,18.44,18.55,191840,18.55
51,18.555,18.63,18.54,18.61,189644,18.61
52,18.6,18.605,18.54,18.55,350338,18.55
53,19.38,19.48,19.24,19.33,338451,19.33
54,19.33,19.39,19.14,19.39,219806,19.39
55,19.39,19.4,19.18,19.35,167790,19.35
56,19.36,19.42,19.23,19.33,239125,19.33
57,19.32,19.36,19.03,19.08,241620,19.08
58,19.09,19.1,18.72,18.72,244859,18.72
59,18.72,18.79,18.5672,18.59,274709,18.59
60,18.59,18.83,18.5801,18.78,143177,18.78
61,18.78,18.78,18.64,18.677,129929,18.677
62,18.68,18.7,18.605,18.64,53090,18.64
63,18.64,18.71,18.62,18.705,73551,18.705
64,18.7,18.8,18.67,18.69,106340,18.69
65,18.68,18.79,18.65,18.74,35199,18.74
66,18.74,18.75,18.68,18.74,30146,18.74
67,18.73,18.78,18.68,18.72,72411,18.72
68,18.72,18.77,18.7,18.71,40485,18.71
69,18.71,18.77,18.71,18.75,71194,18.75
70,18.76,18.85,18.75,18.84,79143,18.84
71,18.84,18.85,18.73,18.82,96552,18.82
72,18.82,18.82,18.66,18.66,97082,18.66
