Date,Open,High,Low,Close,Volume,Adj Close
0,22.91,23.08,22.69,23.07,54604,23.07
1,22.923,23.11,22.86,22.91,49731,22.91
2,22.92,23.11,22.83,22.93,31425,22.93
3,23.01,23.07,22.89,22.92,62950,22.92
4,23.05,23.14,22.99,23.01,67607,23.01
5,23.02,23.09,22.97,23.03,41752,23.03
6,23.05,23.07,22.89,23.03,51329,23.03
7,23.12,23.13,23.0,23.05,30194,23.05
8,23.1,23.17,23.02,23.11,42133,23.11
9,23.02,23.18,22.98,23.12,30111,23.12
10,23.02,23.07,22.94,23.01,30861,23.01
11,22.87,23.02,22.85,23.02,35262,23.02
12,22.94,22.95,22.85,22.89,75245,22.89
13,22.92,22.97,22.9,22.95,93332,22.95
14,23.03,23.05,22.91,22.93,46615,22.93
15,23.08,23.1,22.99,23.02,30605,23.02
16,23.12,23.13,23.0,23.06,54283,23.06
17,23.21,23.24,23.09,23.11,12434,23.11
18,23.15,23.22,23.09,23.21,26229,23.21
19,23.08,23.15,23.0201,23.14,28041,23.14
20,23.21,23.22,23.08,23.08,60053,23.08
21,23.345,23.36,23.17,23.2,20212,23.2
22,23.19,23.37,23.1,23.35,113583,23.35
23,23.19,23.25,23.055,23.2,153630,23.2
24,23.165,23.29,23.09,23.18,303791,23.18
25,23.23,23.28,23.15,23.16,126533,23.16
26,23.53,23.54,23.48,23.54,9197,23.54
27,23.03,23.53,23.01,23.5,33267,23.5
28,23.06,23.1,22.87,23.01,37614,23.01
29,23.26,23.33,23.01,23.06,44183,23.06
30,23.4,23.45,23.25,23.25,71395,23.25
31,23.17,23.405,23.11,23.4,40245,23.4
32,23.18,23.29,23.11,23.15,29432,23.15
33,22.99,23.24,22.91,23.17,73359,23.17
34,22.86,23.01,22.7132,23.0,95819,23.0
35,22.79,22.92,22.79,22.89,15900,22.89
36,22.79,22.86,22.76,22.79,33466,22.79
37,22.73,22.83,22.7,22.8,12010,22.8
38,22.68,22.74,22.62,22.74,15070,22.74
39,22.61,22.71,22.61,22.69,9804,22.69
40,22.61,22.64,22.56,22.62,26657,22.62
41,22.52,22.66,22.52,22.62,32267,22.62
42,22.52,22.62,22.5,22.5175,19368,22.5175
43,22.62,22.64,22.47,22.53,38916,22.53
44,22.67,22.71,22.62,22.63,34767,22.63
45,22.675,22.685,22.64,22.66,68971,22.66
46,22.7,22.73,22.65,22.67,40301,22.67
47,22.48,22.71,22.48,22.71,17977,22.71
48,22.39,22.47,22.36,22.47,32311,22.47
49,22.42,22.5,22.38,22.38,23800,22.38
50,22.54,22.56,22.38,22.42,34484,22.42
51,22.6,22.61,22.5,22.56,42500,22.56
52,22.51,22.64,22.49,22.6,137178,22.6
53,22.08,22.33,21.775,22.14,111710,22.14
54,21.63,22.08,21.59,22.08,38223,22.08
55,21.64,21.735,21.51,21.67,31384,21.67
56,21.58,21.74,21.52,21.67,32878,21.67
57,21.735,21.74,21.4959,21.6,57803,21.6
58,21.77,21.805,21.7,21.735,43920,21.735
59,21.945,21.9616,21.78,21.78,46959,21.78
60,22.01,22.025,21.9,21.95,94742,21.95
61,22.05,22.1005,22.02,22.02,19998,22.02
62,21.99,22.06,21.895,22.04,40265,22.04
63,22.06,22.07,21.955,21.995,37157,21.995
64,22.01,22.07,21.96,22.06,52407,22.06
65,21.96,22.05,21.95,22.04,40827,22.04
66,22.08,22.11,21.93,21.95,95292,21.95
67,22.04,22.1,22.01,22.09,25492,22.09
68,22.07,22.09,21.98,22.02,33921,22.02
69,22.41,22.42,22.07,22.09,32579,22.09
70,22.5,22.57,22.44,22.45,25174,22.45
71,22.63,22.67,22.33,22.49,26322,22.49
72,22.61,22.68,22.58,22.63,53620,22.63
73,22.51,22.66,22.51,22.62,43687,22.62
74,22.5,22.58,22.38,22.5,81731,22.5
75,22.6,22.62,22.45,22.51,90056,22.51
76,22.89,22.89,22.62,22.62,42321,22.62
77,22.74,22.9,22.67,22.89,84340,22.89
78,22.62,22.73,22.6,22.72,212934,22.72
79,22.37,22.6,22.36,22.6,40991,22.6
80,22.12,22.3,22.01,22.3,26361,22.3
81,22.485,22.54,22.11,22.11,47030,22.11
82,22.35,22.54,22.2,22.485,64674,22.485
83,22.545,22.55,22.29,22.36,77106,22.36
84,22.7193,22.77,22.465,22.55,171221,22.55
85,22.97,23.03,22.67,22.72,110609,22.72
86,22.8,22.96,22.75,22.96,32031,22.96
87,22.8,22.99,22.78,22.8,26192,22.8
88,22.94,23.0,22.81,22.82,25709,22.82
89,23.0,23.0899,22.925,22.925,21822,22.925
90,23.14,23.14,23.0,23.0,29136,23.0
91,23.02,23.18,23.02,23.14,36119,23.14
92,23.1,23.11,22.99,23.02,24434,23.02
93,23.11,23.18,23.08,23.1,33434,23.1
94,22.92,23.09,22.9,23.09,41921,23.09
95,23.0,23.03,22.87,22.91,54704,22.91
96,22.98,23.1,22.92,23.0,69751,23.0
97,22.79,23.02,22.79,23.0,26511,23.0
98,22.8,22.8325,22.755,22.8,16971,22.8
99,22.8403,22.89,22.79,22.82,27675,22.82
100,22.96,23.01,22.77,22.85,56459,22.85
101,22.88,22.94,22.78,22.94,37875,22.94
102,22.835,22.89,22.79,22.89,34566,22.89
103,22.91,22.97,22.84,22.84,76111,22.84
104,22.77,22.9325,22.77,22.91,149729,22.91
105,23.32,23.95,23.13,23.39,202879,23.39
106,23.325,23.35,22.65,23.35,249832,23.35
107,23.54,23.6,23.27,23.35,278507,23.35
108,23.53,23.67,23.45,23.53,224555,23.53
109,23.51,23.63,23.47,23.56,135134,23.56
110,23.5,23.57,23.46,23.53,146186,23.53
111,23.495,23.63,23.49,23.5,118044,23.5
112,23.59,23.78,23.4,23.49,132179,23.49
113,23.69,23.75,23.59,23.59,60631,23.59
114,23.58,23.72,23.54,23.67,70900,23.67
115,23.61,23.65,23.47,23.57,53106,23.57
116,23.58,23.62,23.44,23.59,136901,23.59
117,23.69,23.81,23.585,23.59,65419,23.59
