Date,Open,High,Low,Close,Volume,Adj Close
2016-01-13 23:00:00,92.6,93.84,91.18,91.81,66060,91.81
2016-01-14 00:00:00,91.37,91.66,89.89,91.29,116782,91.29
2016-01-14 01:00:00,91.16,92.148,89.47,89.71,154750,89.71
2016-01-14 02:00:00,89.55,90.1,88.19,88.44,102315,88.44
2016-01-14 03:00:00,88.44,88.82,86.56,86.6436,217887,86.6436
2016-01-14 04:00:00,86.64,86.78,84.58,85.88,203796,85.88
2016-01-14 05:00:00,85.89,86.38,83.67,84.12,691485,84.12
2016-01-14 23:00:00,86.27,86.86,79.23,79.595,841469,79.595
2016-01-15 00:00:00,79.59,85.98,77.59,83.74,1404301,83.74
2016-01-15 01:00:00,83.76,84.39,82.46,82.85,1169136,82.85
2016-01-15 02:00:00,82.86,83.25,81.74,81.92,392347,81.92
2016-01-15 03:00:00,81.97,84.71,81.705,83.3775,713582,83.3775
2016-01-15 04:00:00,83.34,84.5,81.83,84.3601,490989,84.3601
2016-01-15 05:00:00,84.375,85.58,83.9301,84.43,740306,84.43
2016-01-15 23:00:00,81.12,83.69,81.01,82.81,425818,82.81
2016-01-16 00:00:00,83.04,84.57,82.26,84.41,324233,84.41
2016-01-16 01:00:00,84.48,85.25,83.875,83.88,310317,83.88
2016-01-16 02:00:00,83.99,84.21,81.97,83.029,258959,83.029
2016-01-16 03:00:00,82.96,82.96,81.41,82.185,266082,82.185
2016-01-16 04:00:00,82.165,82.71,81.38,82.48,224324,82.48
2016-01-16 05:00:00,82.46,83.39,81.655,83.14,837867,83.14
2016-01-19 23:00:00,83.81,84.04,79.61,79.97,324726,79.97
2016-01-20 00:00:00,80.24,82.04,80.14,80.43,266660,80.43
2016-01-20 01:00:00,80.42,80.44,78.86,79.45,162852,79.45
2016-01-20 02:00:00,79.47,79.76,78.44,79.2099,252295,79.2099
2016-01-20 03:00:00,79.08,79.85,78.545,78.78,164329,78.78
2016-01-20 04:00:00,78.78,79.01,77.57,78.27,233639,78.27
2016-01-20 05:00:00,78.26,80.19,78.0,79.51,352663,79.51
2016-01-20 23:00:00,78.03,78.58,75.51,76.25,184649,76.25
2016-01-21 00:00:00,76.26,76.66,74.69,74.815,315443,74.815
2016-01-21 01:00:00,74.89,76.75,74.82,76.31,207270,76.31
2016-01-21 02:00:00,76.335,76.8,74.86,76.57,136530,76.57
2016-01-21 03:00:00,76.67,80.98,76.1,80.785,279440,80.785
2016-01-21 04:00:00,80.62,81.68,79.54,80.39,305488,80.39
2016-01-21 05:00:00,80.45,82.67,80.05,81.38,651594,81.38
2016-01-21 23:00:00,81.64,83.38,79.48,82.0,147244,82.0
2016-01-22 00:00:00,82.19,83.36,80.814,81.4,256171,81.4
2016-01-22 01:00:00,81.38,82.4,80.59,82.03,343813,82.03
2016-01-22 02:00:00,82.13,82.4,81.54,82.185,124858,82.185
2016-01-22 03:00:00,82.15,82.98,81.73,82.21,146738,82.21
2016-01-22 04:00:00,82.24,82.875,81.06,82.035,176072,82.035
2016-01-22 05:00:00,82.06,82.13,80.77,80.82,270605,80.82
2016-01-22 23:00:00,82.43,84.27,81.07,84.05,107742,84.05
2016-01-23 00:00:00,84.13,84.82,83.12,83.61,283901,83.61
2016-01-23 01:00:00,83.67,84.62,83.11,83.3,273691,83.3
2016-01-23 02:00:00,83.34,84.5,83.34,84.29,110470,84.29
2016-01-23 03:00:00,84.29,85.15,83.52,84.88,115646,84.88
2016-01-23 04:00:00,84.8701,85.84,84.605,84.83,159479,84.83
2016-01-23 05:00:00,84.79,84.9,83.86,84.66,490123,84.66
2016-01-25 23:00:00,83.86,87.33,83.86,85.955,79748,85.955
2016-01-26 00:00:00,85.955,86.93,85.44,85.84,156031,85.84
2016-01-26 01:00:00,85.76,87.45,85.62,87.365,181920,87.365
2016-01-26 02:00:00,87.29,87.515,86.045,86.29,107046,86.29
2016-01-26 03:00:00,86.34,86.88,85.56,85.745,127100,85.745
2016-01-26 04:00:00,85.74,86.86,85.39,86.86,172490,86.86
2016-01-26 05:00:00,86.87,87.22,84.87,85.01,397566,85.01
2016-01-26 23:00:00,84.62,85.51,82.12,82.12,129139,82.12
2016-01-27 00:00:00,82.15,85.57,82.05,84.4,188605,84.4
2016-01-27 01:00:00,84.38,85.42,84.12,84.59,101938,84.59
2016-01-27 02:00:00,84.68,86.295,84.4,86.2025,110040,86.2025
2016-01-27 03:00:00,86.26,87.25,86.06,86.7,144923,86.7
2016-01-27 04:00:00,86.74,86.76,85.81,86.17,150599,86.17
2016-01-27 05:00:00,86.25,86.52,85.8,86.04,254377,86.04
2016-01-27 23:00:00,86.18,87.93,85.0,85.33,114466,85.33
2016-01-28 00:00:00,85.45,86.38,83.53,85.74,218006,85.74
2016-01-28 01:00:00,85.8,85.93,84.37,85.67,107268,85.67
2016-01-28 02:00:00,85.69,86.55,85.46,85.57,56086,85.57
2016-01-28 03:00:00,85.53,85.8125,84.88,85.7,53169,85.7
2016-01-28 04:00:00,85.57,86.07,82.31,82.37,168518,82.37
2016-01-28 05:00:00,82.29,82.39,79.15,80.14,812533,80.14
2016-01-28 23:00:00,80.72,81.02,72.525,74.6125,377048,74.6125
2016-01-29 00:00:00,74.6,76.63,73.47,76.63,552872,76.63
2016-01-29 01:00:00,76.52,77.2,75.53,75.64,262211,75.64
2016-01-29 02:00:00,75.635,75.83,73.94,74.48,263565,74.48
