Date,Open,High,Low,Close,Volume,Adj Close
0,62.24,62.24,62.24,62.24,100,62.24
1,62.28,62.5,61.95,62.35,313432,62.35
2,62.36,62.71,62.33,62.49,266606,62.49
3,62.485,62.88,62.48,62.8,174971,62.8
4,62.8,62.94,62.67,62.77,122863,62.77
5,62.75,62.82,62.18,62.27,169002,62.27
6,62.27,62.28,61.83,61.85,219623,61.85
7,61.83,62.225,61.8,62.2,214238,62.2
8,62.19,62.53,62.1602,62.35,461390,62.35
9,62.32,62.95,62.32,62.66,296944,62.66
10,62.663,62.7218,62.45,62.52,262947,62.52
11,62.51,62.66,62.21,62.4,177035,62.4
12,62.4,62.4602,61.88,62.03,160958,62.03
13,62.03,62.18,61.99,62.02,198940,62.02
14,62.0224,62.77,62.0,62.741,221260,62.741
15,62.7404,62.97,62.64,62.78,154113,62.78
16,62.76,62.77,62.42,62.67,138104,62.67
17,62.67,63.38,62.6564,63.37,216656,63.37
18,63.4,63.66,63.31,63.41,195655,63.41
19,63.414,63.51,63.16,63.39,295024,63.39
20,63.4,63.82,63.31,63.39,239245,63.39
21,63.38,63.64,63.11,63.46,304378,63.46
22,63.44,63.84,63.31,63.61,230022,63.61
23,63.6,63.92,63.49,63.885,333086,63.885
24,63.88,64.58,63.88,64.17,480716,64.17
25,64.18,64.25,63.7,63.7499,614612,63.7499
26,63.73,63.76,63.3,63.56,820138,63.56
27,63.94,63.94,62.83,62.88,219546,62.88
28,62.83,63.0425,62.5,63.02,162603,63.02
29,62.995,63.57,62.92,63.47,163840,63.47
30,63.48,63.8,63.4,63.49,277790,63.49
31,63.47,63.69,63.23,63.36,160043,63.36
32,63.33,63.6299,63.09,63.11,94614,63.11
33,63.15,63.45,62.98,63.28,144932,63.28
34,63.29,63.4,62.98,63.08,230763,63.08
35,63.08,63.38,63.08,63.33,111898,63.33
36,63.33,63.59,63.3,63.52,121609,63.52
37,63.54,63.97,63.54,63.68,215887,63.68
38,63.68,63.77,63.5001,63.6062,120140,63.6062
39,63.62,63.69,63.42,63.43,78215,63.43
40,63.4301,63.54,63.36,63.44,94039,63.44
41,63.43,63.74,63.42,63.54,96638,63.54
42,63.54,63.71,63.43,63.43,88082,63.43
43,63.44,63.64,63.27,63.51,166170,63.51
44,63.51,63.61,63.27,63.46,164613,63.46
45,63.46,63.51,63.0,63.14,153324,63.14
46,63.145,63.15,62.75,62.99,205139,62.99
47,62.98,63.43,62.97,63.25,167892,63.25
48,63.26,63.42,63.09,63.35,125561,63.35
49,63.345,63.38,62.95,63.11,165863,63.11
50,63.1,63.15,62.93,63.08,183389,63.08
51,63.1,63.52,63.09,63.4,238911,63.4
52,63.39,63.415,63.12,63.13,635148,63.13
53,64.46,64.46,64.46,64.46,400,64.46
54,64.74,64.8,63.65,63.97,643286,63.97
55,64.0,64.408,63.93,64.34,256898,64.34
56,64.33,64.59,64.2261,64.36,473838,64.36
57,64.36,64.43,64.18,64.38,315908,64.38
58,64.39,64.505,64.26,64.28,276684,64.28
59,64.28,64.29,63.97,64.04,246891,64.04
60,64.04,64.125,63.89,63.97,216560,63.97
61,63.97,64.34,63.97,64.25,171911,64.25
62,64.23,64.36,64.08,64.23,156755,64.23
63,64.2242,64.28,64.06,64.12,139901,64.12
64,64.1,64.36,64.1,64.32,108737,64.32
65,64.33,64.35,64.14,64.21,111623,64.21
66,64.2,64.23,64.09,64.21,87501,64.21
67,64.2147,64.29,64.2,64.23,102215,64.23
68,64.23,64.25,64.13,64.17,116429,64.17
69,64.19,64.3,64.1301,64.19,118816,64.19
70,64.2,64.27,64.15,64.24,106370,64.24
71,64.24,64.265,64.19,64.23,153389,64.23
72,64.24,64.55,64.2,64.54,165368,64.54
73,64.55,64.56,64.31,64.32,148031,64.32
74,64.32,64.35,64.16,64.2,171737,64.2
75,64.19,64.3199,64.13,64.29,149352,64.29
76,64.28,64.31,64.09,64.16,108826,64.16
77,64.15,64.32,64.14,64.3,147049,64.3
78,64.32,64.5,64.13,64.48,245998,64.48
