Date,Open,High,Low,Close,Volume,Adj Close
0,52.44,52.44,52.38,52.38,45624,52.38
1,52.38,52.86,52.35,52.71,640120,52.71
2,52.7,52.77,52.58,52.65,882532,52.65
3,52.64,52.86,52.54,52.82,1126065,52.82
4,52.83,53.03,52.82,52.95,875910,52.95
5,52.95,52.96,52.7258,52.955,729871,52.955
6,52.96,52.96,52.83,52.92,2019453,52.92
7,52.91,53.25,52.87,53.21,3988745,53.21
8,53.22,53.52,53.16,53.51,1275992,53.51
9,53.51,53.76,53.39,53.39,714667,53.39
10,53.39,53.43,53.21,53.33,458945,53.33
11,53.34,53.45,53.33,53.405,1206945,53.405
12,53.4,53.47,53.1,53.145,1308386,53.145
13,53.15,53.32,53.1,53.295,1135607,53.295
14,53.3,53.54,53.11,53.53,1237237,53.53
15,53.5499,53.8,53.525,53.645,1305143,53.645
16,53.65,53.871,53.61,53.87,1404588,53.87
17,53.87,54.04,53.87,54.04,1221762,54.04
18,54.03,54.0899,53.725,53.78,1274465,53.78
19,53.77,53.85,53.55,53.84,1166951,53.84
20,53.85,53.86,53.59,53.615,1351197,53.615
21,53.615,54.08,53.6,53.96,1336823,53.96
22,53.95,54.1,53.91,54.07,1301254,54.07
23,54.07,54.2,53.94,54.19,1299790,54.19
24,54.19,54.44,54.17,54.42,1625900,54.42
25,54.42,54.46,54.06,54.15,2455346,54.15
26,54.15,54.1901,53.98,54.19,5043887,54.19
27,53.87,53.95,53.87,53.95,76042,53.95
28,53.93,54.31,53.84,54.11,274503,54.11
29,54.11,54.17,53.85,54.05,428648,54.05
30,54.06,54.38,54.02,54.31,322952,54.31
31,54.3,54.44,54.17,54.28,281125,54.28
32,54.28,54.35,54.19,54.26,274593,54.26
33,54.25,54.33,54.215,54.22,369339,54.22
34,54.23,54.25,54.09,54.15,389120,54.15
35,54.16,54.2,54.05,54.15,421531,54.15
36,54.15,54.26,54.15,54.21,250480,54.21
37,54.21,54.35,54.2,54.3,184302,54.3
38,54.3,54.415,54.23,54.25,140474,54.25
39,54.25,54.3,54.225,54.27,145427,54.27
40,54.27,54.34,54.21,54.21,234268,54.21
41,54.22,54.3,54.2,54.25,118360,54.25
42,54.2538,54.3222,54.25,54.265,169484,54.265
43,54.27,54.3,54.055,54.095,288048,54.095
44,54.09,54.16,54.03,54.125,202446,54.125
45,54.115,54.17,54.03,54.11,229142,54.11
46,54.12,54.14,53.8,53.83,352399,53.83
47,53.84,53.89,53.745,53.89,227199,53.89
48,53.88,54.09,53.87,53.965,326365,53.965
49,53.965,54.16,53.935,54.085,226284,54.085
50,54.09,54.09,53.93,53.99,222776,53.99
51,53.98,54.045,53.92,53.95,198972,53.95
52,53.95,54.135,53.95,54.115,325911,54.115
53,54.11,54.24,53.99,54.14,931731,54.14
54,54.4,54.4,54.4,54.4,45264,54.4
55,54.44,54.48,54.12,54.18,261631,54.18
56,54.21,54.29,54.12,54.175,280225,54.175
57,54.175,54.26,54.11,54.19,233213,54.19
58,54.2,54.26,54.07,54.11,285583,54.11
