Date,Close,High,Low,Open,Volume,Adj Close
2015-12-08 10:30:00,57.555,57.89,57.07,57.13,1731861,57.555
2015-12-08 11:30:00,57.75,57.935,57.57,57.57,1030414,57.75
2015-12-08 12:30:00,57.6749,57.825,57.58,57.74,762353,57.6749
2015-12-08 13:30:00,57.57,57.75,57.51,57.64,511493,57.57
2015-12-08 14:30:00,57.715,57.83,57.59,57.59,715947,57.715
2015-12-08 15:30:00,57.5,57.73,57.5,57.715,1191881,57.5
2015-12-08 16:00:00,57.65,57.72,57.53,57.53,564820,57.65
2015-12-09 10:30:00,57.6,57.73,57.32,57.47,557713,57.6
2015-12-09 11:30:00,57.56,57.78,57.53,57.69,507373,57.56
2015-12-09 12:30:00,57.17,57.62,57.17,57.61,373841,57.17
2015-12-09 13:30:00,57.3,57.35,57.125,57.125,760114,57.3
2015-12-09 14:30:00,57.25,57.43,57.25,57.3,440951,57.25
2015-12-09 15:30:00,57.44,57.5,57.28,57.28,341535,57.44
2015-12-09 16:00:00,57.47,57.545,57.395,57.48,410436,57.47
2015-12-10 10:30:00,57.85,57.91,57.44,57.69,988395,57.85
2015-12-10 11:30:00,57.93,58.05,57.78,57.855,493470,57.93
2015-12-10 12:30:00,57.88,58.02,57.8,57.91,283900,57.88
2015-12-10 13:30:00,58.1,58.1,57.81,57.86,310034,58.1
2015-12-10 14:30:00,58.44,58.44,58.09,58.12,458139,58.44
2015-12-10 15:30:00,58.11,58.471,58.031,58.45,478954,58.11
2015-12-10 16:00:00,57.98,58.11,57.84,58.11,640203,57.98
2015-12-11 10:30:00,57.87,57.87,57.33,57.47,496074,57.87
2015-12-11 11:30:00,57.67,57.97,57.66,57.93,401537,57.67
2015-12-11 12:30:00,57.58,57.81,57.54,57.66,282344,57.58
2015-12-11 13:30:00,57.65,57.8,57.54,57.54,176414,57.65
2015-12-11 14:30:00,57.73,57.84,57.65,57.7,212403,57.73
2015-12-11 15:30:00,57.52,57.76,57.4601,57.67,343617,57.52
2015-12-11 16:00:00,57.39,57.5,57.36,57.5,321763,57.39
2015-12-14 10:30:00,57.05,57.52,56.86,57.35,864947,57.05
2015-12-14 11:30:00,56.86,57.15,56.7,57.09,474494,56.86
2015-12-14 12:30:00,57.14,57.155,56.68,56.81,476571,57.14
2015-12-14 13:30:00,57.0,57.21,56.93,57.16,329303,57.0
2015-12-14 14:30:00,56.98,57.06,56.88,56.96,202362,56.98
2015-12-14 15:30:00,56.9699,57.06,56.88,56.95,305719,56.9699
2015-12-14 16:00:00,57.05,57.07,56.85,57.0,326047,57.05
2015-12-15 10:30:00,57.12,57.27,56.86,57.1,1080243,57.12
2015-12-15 11:30:00,57.13,57.2,57.07,57.13,569309,57.13
2015-12-15 12:30:00,56.89,57.13,56.78,57.13,622565,56.89
2015-12-15 13:30:00,56.9,56.98,56.84,56.87,1243139,56.9
2015-12-15 14:30:00,57.07,57.1,56.91,56.93,553701,57.07
2015-12-15 15:30:00,56.96,57.1,56.96,57.07,504668,56.96
2015-12-15 16:00:00,56.96,57.0,56.92,56.96,384260,56.96
2015-12-16 10:30:00,56.69,57.17,56.69,57.17,806568,56.69
2015-12-16 11:30:00,56.53,56.77,56.52,56.7,299430,56.53
2015-12-16 12:30:00,56.72,56.72,56.56,56.56,310732,56.72
2015-12-16 13:30:00,56.67,56.81,56.61,56.73,278555,56.67
2015-12-16 14:30:00,56.85,56.93,56.57,56.68,702443,56.85
2015-12-16 15:30:00,57.2,57.205,56.77,56.77,825086,57.2
2015-12-16 16:00:00,57.13,57.26,57.13,57.2,700838,57.13
2015-12-17 10:30:00,57.0799,57.49,57.02,57.33,655527,57.0799
2015-12-17 11:30:00,56.74,57.12,56.71,57.08,323327,56.74
2015-12-17 12:30:00,56.84,56.91,56.69,56.7,364263,56.84
2015-12-17 13:30:00,56.76,56.82,56.6201,56.82,244008,56.76
2015-12-17 14:30:00,56.88,56.97,56.76,56.76,281127,56.88
2015-12-17 15:30:00,56.8,56.89,56.74,56.87,406897,56.8
2015-12-17 16:00:00,56.59,56.86,56.575,56.78,316554,56.59
2015-12-18 10:30:00,56.56,56.7,56.14,56.29,1301129,56.56
2015-12-18 11:30:00,56.52,56.74,56.45,56.58,826039,56.52
2015-12-18 12:30:00,56.38,56.54,56.36,56.54,486550,56.38
2015-12-18 13:30:00,56.27,56.44,56.27,56.36,473581,56.27
2015-12-18 14:30:00,56.5,56.51,56.28,56.28,346116,56.5
2015-12-18 15:30:00,56.26,56.54,56.19,56.51,870263,56.26
2015-12-18 16:00:00,56.27,56.41,56.24,56.25,456319,56.27
