Date,Open,High,Low,Close,Volume,Adj Close
0,18.7,18.8,18.69,18.75,333455,18.75
1,18.67,18.71,18.61,18.7,483382,18.7
2,18.66,18.705,18.6,18.67,492045,18.67
3,18.67,18.7,18.65,18.665,440650,18.665
4,18.68,18.7,18.62,18.67,306873,18.67
5,18.63,18.7,18.63,18.68,359362,18.68
6,18.6,18.65,18.54,18.64,874150,18.64
7,18.58,18.6264,18.48,18.48,304842,18.48
8,18.58,18.64,18.5,18.58,303958,18.58
9,18.545,18.66,18.54,18.58,540954,18.58
10,18.645,18.66,18.54,18.55,445585,18.55
11,18.63,18.66,18.6,18.6425,498090,18.6425
12,18.52,18.63,18.52,18.63,321742,18.63
13,18.445,18.57,18.44,18.52,1369083,18.52
14,17.97,18.16,17.97,18.16,1060504,18.16
15,17.885,17.98,17.81,17.9699,2511979,17.9699
16,17.93,17.965,17.82,17.885,1153474,17.885
17,17.95,17.99,17.895,17.93,654705,17.93
18,17.935,18.055,17.92,17.955,822061,17.955
19,17.885,17.99,17.88,17.93,606918,17.93
20,18.0,18.0,17.82,17.89,1510152,17.89
21,18.15,18.22,17.99,18.0,872874,18.0
22,18.15,18.19,18.03,18.14,1283285,18.14
23,18.24,18.27,18.135,18.155,940712,18.155
24,18.19,18.26,18.13,18.24,881383,18.24
25,18.195,18.215,18.1125,18.19,537752,18.19
26,18.16,18.26,18.14,18.195,448057,18.195
27,18.185,18.21,18.11,18.16,1214203,18.16
28,18.1,18.13,17.9,17.94,628196,17.94
29,18.12,18.14,18.07,18.1,587979,18.1
30,18.12,18.2268,18.09,18.13,835230,18.13
31,18.14,18.17,18.085,18.12,631477,18.12
32,18.055,18.145,18.05,18.14,420415,18.14
33,17.905,18.12,17.89,18.05,837990,18.05
34,18.01,18.03,17.865,17.905,1653941,17.905
35,17.72,17.74,17.625,17.64,550720,17.64
36,17.83,17.9,17.71,17.72,761694,17.72
37,17.69,17.84,17.66,17.83,672426,17.83
38,17.625,17.7,17.6,17.68,464785,17.68
39,17.6,17.65,17.475,17.63,1255561,17.63
40,17.62,17.7,17.525,17.595,1032799,17.595
41,17.645,17.72,17.58,17.615,2286228,17.615
42,17.69,17.72,17.54,17.7,527471,17.7
43,17.61,17.7,17.515,17.695,1223312,17.695
44,17.58,17.64,17.47,17.62,917704,17.62
45,17.51,17.655,17.495,17.58,534323,17.58
46,17.45,17.54,17.45,17.51,568637,17.51
47,17.485,17.515,17.4,17.45,725039,17.45
48,17.43,17.51,17.37,17.48,3703178,17.48
49,17.335,17.51,17.33,17.48,782918,17.48
50,17.28,17.41,17.27,17.33,1309887,17.33
51,17.27,17.32,17.1401,17.28,1481720,17.28
52,17.185,17.29,17.155,17.28,1125631,17.28
53,17.0,17.2,16.955,17.185,1334307,17.185
54,17.01,17.13,16.98,17.0,1052956,17.0
55,17.13,17.16,16.965,17.01,3906755,17.01
56,17.53,17.63,17.18,17.24,1108422,17.24
57,17.54,17.6,17.42,17.535,2216927,17.535
58,17.595,17.63,17.46,17.53,1565721,17.53
59,17.59,17.7399,17.49,17.59,1203826,17.59
60,17.59,17.635,17.52,17.59,1064580,17.59
61,17.71,17.71,17.47,17.59,1187443,17.59
62,17.8,17.86,17.69,17.705,4089089,17.705
63,18.12,18.13,17.81,17.89,2063510,17.89
64,18.35,18.36,18.07,18.12,2799892,18.12
65,18.285,18.38,18.24,18.35,2051949,18.35
66,18.155,18.33,18.155,18.28,1929357,18.28
67,18.035,18.215,18.01,18.15,3012006,18.15
68,17.855,18.075,17.74,18.03,3355565,18.03
69,17.56,17.9,17.52,17.855,4373739,17.855
70,17.615,17.88,17.551,17.63,1369298,17.63
71,18.09,18.14,17.56,17.625,2421360,17.625
72,17.96,18.11,17.9,18.09,1482134,18.09
73,18.02,18.06,17.85,17.96,870699,17.96
74,18.22,18.22,18.02,18.02,1354321,18.02
75,18.26,18.26,18.14,18.22,1526436,18.22
76,18.16,18.33,18.13,18.26,3129398,18.26
77,17.8116,18.04,17.62,17.7,1773614,17.7
78,17.795,18.015,17.74,17.82,1555560,17.82
79,17.85,17.925,17.71,17.79,1177926,17.79
80,17.95,17.96,17.61,17.85,2379033,17.85
81,17.73,17.94,17.72,17.94,1496291,17.94
82,17.87,17.87,17.65,17.73,1230187,17.73
83,17.88,17.93,17.72,17.87,1895125,17.87
84,18.0,18.33,17.99,18.03,1710034,18.03
85,17.96,18.17,17.93,18.005,1787462,18.005
86,17.9725,18.03,17.86,17.95,1403222,17.95
87,17.765,17.9899,17.71,17.97,936276,17.97
88,17.7,17.79,17.68,17.77,707486,17.77
89,17.55,17.705,17.45,17.705,2380321,17.705
90,17.57,17.7,17.4,17.55,4569762,17.55
91,17.37,17.48,17.32,17.32,912251,17.32
92,17.12,17.39,17.1,17.38,1350186,17.38
93,17.09,17.21,17.075,17.11,1558909,17.11
94,17.02,17.1,16.87,17.09,1220873,17.09
95,17.26,17.29,16.93,17.03,1872406,17.03
96,17.42,17.51,17.185,17.25,1953289,17.25
97,17.545,17.7,17.39,17.42,2730478,17.42
98,17.41,17.65,17.37,17.58,727906,17.58
99,17.68,17.78,17.41,17.41,1554081,17.41
100,17.63,17.82,17.55,17.69,1793336,17.69
101,17.645,17.72,17.5,17.63,915976,17.63
102,17.6,17.71,17.54,17.65,968433,17.65
103,17.56,17.61,17.44,17.6,844665,17.6
104,17.55,17.6,17.47,17.5601,2655445,17.5601
105,17.88,17.885,17.7,17.81,1211469,17.81
106,17.76,17.93,17.74,17.88,1193912,17.88
107,17.8,17.85,17.7,17.765,790139,17.765
108,17.83,17.85,17.77,17.8,565795,17.8
109,17.86,17.87,17.77,17.8375,295079,17.8375
110,17.836,17.89,17.8,17.859,508400,17.859
111,17.85,17.87,17.79,17.84,1033504,17.84
112,17.89,17.97,17.78,17.81,1584327,17.81
113,17.73,17.91,17.73,17.89,826619,17.89
114,17.645,17.74,17.61,17.735,835665,17.735
115,17.71,17.75,17.62,17.64,607017,17.64
116,17.67,17.8,17.66,17.71,984127,17.71
117,17.66,17.7,17.565,17.66,1146678,17.66
118,17.54,17.71,17.46,17.66,2511928,17.66
119,17.44,17.66,17.37,17.62,513967,17.62
120,17.58,17.66,17.435,17.44,1439420,17.44
121,17.52,17.65,17.46,17.575,621788,17.575
122,17.545,17.62,17.515,17.52,509390,17.52
123,17.47,17.56,17.47,17.55,768511,17.55
124,17.38,17.475,17.34,17.47,1024357,17.47
125,17.38,17.465,17.36,17.38,1844151,17.38
126,17.315,17.495,17.27,17.37,667164,17.37
127,17.405,17.435,17.26,17.31,1358600,17.31
128,17.435,17.49,17.34,17.4,1364385,17.4
129,17.5175,17.55,17.43,17.44,1032699,17.44
130,17.52,17.555,17.48,17.52,399584,17.52
131,17.26,17.56,17.24,17.52,832215,17.52
132,17.21,17.26,17.13,17.26,2642880,17.26
133,17.01,17.31,17.0001,17.28,457559,17.28
134,16.87,17.01,16.68,17.01,1356294,17.01
135,16.8575,17.1,16.85,16.87,967905,16.87
136,16.915,17.03,16.85,16.855,406348,16.855
137,16.8,16.97,16.8,16.915,804813,16.915
138,16.93,17.025,16.8,16.8025,817582,16.8025
139,16.9,16.98,16.81,16.92,2530390,16.92
140,17.3,17.35,17.01,17.02,499114,17.02
141,17.325,17.42,17.27,17.3,1311047,17.3
142,17.49,17.525,17.32,17.33,977351,17.33
143,17.5,17.54,17.45,17.5,542038,17.5
144,17.47,17.5,17.39,17.49,834800,17.49
145,17.49,17.56,17.42,17.47,920920,17.47
146,17.52,17.57,17.46,17.49,3975405,17.49
147,17.385,17.565,17.27,17.45,1113449,17.45
148,17.51,17.57,17.36,17.385,1758170,17.385
149,17.6,17.63,17.48,17.505,1197906,17.505
150,17.54,17.58,17.51,17.55,589216,17.55
151,17.69,17.7,17.525,17.545,1776645,17.545
152,17.89,17.91,17.685,17.69,1921892,17.69
153,17.88,18.025,17.835,17.88,3533139,17.88
154,17.65,17.71,17.59,17.63,658108,17.63
155,17.835,17.85,17.645,17.655,1324798,17.655
156,17.8,17.9,17.79,17.83,1320701,17.83
157,17.74,17.81,17.7,17.805,1320018,17.805
158,17.715,17.8,17.67,17.73,1571765,17.73
