Date,Open,High,Low,Close,Volume,Adj Close
0,24.06,24.06,24.06,24.06,24083,24.06
1,24.1,24.44,23.61,23.765,275492,23.765
2,23.75,24.2,23.27,23.48,180046,23.48
3,23.455,23.7,23.25,23.66,237415,23.66
4,23.66,23.68,23.16,23.34,149765,23.34
5,23.345,23.37,23.03,23.3125,279912,23.3125
6,23.31,23.34,22.94,23.04,168289,23.04
7,23.02,23.58,22.95,23.43,267586,23.43
8,23.43,23.49,23.18,23.21,122914,23.21
9,23.22,23.42,23.08,23.09,74133,23.09
10,23.09,23.14,22.935,23.03,87773,23.03
11,23.02,23.16,23.02,23.13,72243,23.13
12,23.13,23.21,23.03,23.0302,85881,23.0302
13,23.04,23.12,22.99,23.08,99169,23.08
14,23.065,23.51,23.03,23.5,46985,23.5
15,23.49,23.66,23.4,23.61,110980,23.61
16,23.57,23.62,23.405,23.61,112764,23.61
17,23.61,24.15,23.49,24.15,135281,24.15
18,24.15,24.2,23.87,23.87,204168,23.87
19,23.88,24.11,23.68,24.0882,175009,24.0882
20,24.09,24.09,23.8,23.86,142253,23.86
21,23.86,23.93,23.68,23.81,58694,23.81
22,23.7911,24.1,23.72,24.05,126491,24.05
23,24.05,24.41,23.99,24.41,264280,24.41
24,24.42,24.92,24.41,24.89,120915,24.89
25,24.88,25.07,24.75,24.94,278072,24.94
26,24.93,25.08,24.77,24.87,657455,24.87
27,24.88,25.56,24.88,25.56,13247,25.56
28,24.88,25.2999,24.88,24.97,58466,24.97
29,24.94,25.4,24.84,25.17,98717,25.17
30,25.19,25.819,25.19,25.71,246103,25.71
31,25.7,25.92,25.12,25.47,161030,25.47
32,25.47,25.68,25.3,25.66,40673,25.66
33,25.66,25.74,25.11,25.11,71446,25.11
34,25.11,25.56,25.0,25.33,60354,25.33
35,25.31,25.33,24.88,24.95,37381,24.95
36,25.0,25.34,24.95,25.03,49402,25.03
37,25.015,25.45,25.015,25.42,29599,25.42
38,25.44,25.66,25.42,25.62,116536,25.62
39,25.615,25.77,25.525,25.68,33637,25.68
40,25.67,25.69,25.535,25.59,23763,25.59
41,25.59,25.62,25.45,25.5,27511,25.5
42,25.49,25.7,25.49,25.53,79597,25.53
43,25.51,25.55,25.1711,25.21,98604,25.21
44,25.19,25.55,25.13,25.54,140429,25.54
45,25.54,25.61,25.38,25.5,80966,25.5
46,25.51,25.55,25.22,25.25,41018,25.25
47,25.26,25.5,25.23,25.38,69504,25.38
48,25.42,25.56,25.38,25.53,54577,25.53
49,25.54,25.68,25.43,25.64,77446,25.64
50,25.63,25.7,25.34,25.485,54055,25.485
51,25.475,25.48,25.26,25.31,81181,25.31
52,25.3,25.51,25.29,25.405,73748,25.405
53,25.4,25.4,25.27,25.27,241443,25.27
54,25.96,25.96,25.81,25.81,18066,25.81
55,25.958,26.57,25.95,26.23,126792,26.23
56,26.23,26.89,25.89,26.87,103102,26.87
57,26.87,27.06,26.435,27.02,150612,27.02
58,27.03,27.1,26.69,26.83,155675,26.83
59,26.86,27.08,26.59,26.7,157913,26.7
60,26.7,26.78,26.26,26.26,139622,26.26
61,26.2723,26.41,26.0699,26.105,120738,26.105
62,26.12,26.22,26.01,26.11,97591,26.11
63,26.098,26.15,26.01,26.09,86128,26.09
64,26.07,26.18,25.97,26.04,109555,26.04
65,26.03,26.15,25.93,26.105,75524,26.105
66,26.1,26.24,26.02,26.225,47616,26.225
