Date,Open,High,Low,Close,Volume,Adj Close
0,59.53,60.54,59.31,60.26,591785,60.26
1,59.87,59.88,59.18,59.5319,328790,59.5319
2,59.86,60.08,59.62,59.85,294006,59.85
3,59.86,59.94,59.62,59.85,342245,59.85
4,59.88,60.04,59.76,59.87,303411,59.87
5,59.76,60.04,59.73,59.87,221703,59.87
6,59.69,59.91,59.682,59.76,169452,59.76
7,59.84,59.84,59.48,59.6971,231784,59.6971
8,59.76,59.92,59.7001,59.86,171561,59.86
9,59.59,59.88,59.57,59.76,119916,59.76
10,59.575,59.63,59.38,59.5799,154702,59.5799
11,59.61,59.65,59.38,59.57,174619,59.57
12,59.47,59.76,59.464,59.6078,110156,59.6078
13,59.43,59.52,59.4,59.47,102357,59.47
14,59.42,59.562,59.39,59.44,106051,59.44
15,59.42,59.62,59.37,59.44,109754,59.44
16,59.32,59.48,59.31,59.42,103741,59.42
17,59.22,59.405,59.21,59.304,114923,59.304
18,58.82,59.24,58.81,59.21,257657,59.21
19,58.84,58.9,58.671,58.82,262897,58.82
20,58.62,58.87,58.6,58.84,202349,58.84
21,58.73,58.77,58.48,58.6,225625,58.6
22,58.89,58.96,58.68,58.725,255649,58.725
23,59.224,59.23,58.8,58.9,250949,58.9
24,59.26,59.32,59.04,59.22,336422,59.22
25,59.0311,59.34,59.03,59.26,906573,59.26
26,57.9,58.265,57.61,58.08,679163,58.08
27,57.16,58.0,57.12,57.89,590204,57.89
28,57.0,57.32,56.97,57.17,474376,57.17
29,56.8,57.0401,56.57,56.99,572960,56.99
30,57.09,57.18,56.36,56.81,358156,56.81
31,56.93,57.12,56.9,57.1,294362,57.1
32,57.4,57.6,56.94,56.94,388029,56.94
33,57.3,57.42,57.21,57.3902,213672,57.3902
34,57.1,57.455,57.1,57.3,170581,57.3
35,57.03,57.14,56.858,57.1,243159,57.1
36,57.01,57.18,56.89,57.05,121908,57.05
37,56.7399,57.04,56.65,57.0,190313,57.0
38,56.78,56.91,56.7,56.7335,179583,56.7335
39,57.2853,57.31,56.65,56.77,192226,56.77
40,57.13,57.3502,57.1,57.28,190740,57.28
41,57.25,57.3196,56.95,57.14,149312,57.14
42,57.88,57.892,57.24,57.25,306073,57.25
43,57.95,58.22,57.795,57.88,470757,57.88
44,58.1,58.18,57.68,57.93,321265,57.93
45,58.17,58.34,57.96,58.0709,280817,58.0709
46,58.255,58.28,57.92,58.18,275990,58.18
47,58.48,58.57,58.03,58.25,535619,58.25
48,58.6,58.68,58.38,58.48,315526,58.48
49,59.307,59.38,58.6,58.6,446185,58.6
50,59.02,59.33,58.94,59.31,765513,59.31
51,58.82,59.0481,58.76,59.02,761738,59.02
52,58.83,59.0,58.83,59.0,119414,59.0
53,58.7,59.3,58.64,58.83,373139,58.83
54,58.38,58.688,58.25,58.688,445804,58.688
55,59.0044,59.17,58.34,58.37,415854,58.37
56,58.87,59.19,58.48,59.01,483528,59.01
57,59.31,59.34,58.71,58.87,351345,58.87
58,58.945,59.46,58.91,59.3,318558,59.3
59,59.47,59.6,58.65,58.94,464075,58.94
60,59.15,59.57,59.03,59.48,202251,59.48
61,59.46,59.66,59.15,59.15,193261,59.15
62,60.01,60.07,59.41,59.44,436894,59.44
63,60.15,60.42,60.02,60.03,391713,60.03
64,60.28,60.32,60.09,60.15,314455,60.15
65,60.12,60.34,60.1,60.3,262891,60.3
66,59.97,60.14,59.76,60.135,178945,60.135
67,59.98,60.31,59.96,59.965,150953,59.965
68,59.45,60.01,59.4301,59.9702,132194,59.9702
69,59.86,59.99,59.4088,59.45,223527,59.45
70,59.66,60.0099,59.53,59.85,155929,59.85
71,59.33,59.7409,59.31,59.674,144453,59.674
72,59.35,59.41,59.02,59.3301,244408,59.3301
73,59.55,59.65,59.29,59.34,113211,59.34
74,59.85,59.94,59.275,59.56,156234,59.56
75,59.7,59.86,59.37,59.86,151973,59.86
76,59.66,59.9,59.57,59.7,277858,59.7
77,59.86,59.9275,59.6662,59.6662,289351,59.6662
78,59.69,59.85,59.645,59.85,524131,59.85
79,61.66,61.73,60.96,61.23,680981,61.23
80,61.89,61.93,61.22,61.65,504229,61.65
81,62.54,62.54,61.6,61.91,574211,61.91
82,61.91,62.56,61.7,62.534,641213,62.534
83,61.38,61.9399,61.21,61.89,402404,61.89
84,61.0561,61.38,60.89,61.37,256712,61.37
85,60.72,61.12,60.67,61.059,355415,61.059
86,61.06,61.14,60.62,60.72,180407,60.72
87,60.83,61.09,60.7,61.03,128425,61.03
88,60.73,60.93,60.6,60.83,123525,60.83
89,61.01,61.02,60.73,60.75,144776,60.75
90,61.19,61.19,60.93,61.02,181080,61.02
91,61.12,61.31,61.06,61.18,146297,61.18
92,61.23,61.27,61.052,61.11,112643,61.11
93,60.97,61.23,60.85,61.23,146460,61.23
94,60.98,61.11,60.93,60.97,198330,60.97
95,61.06,61.12,60.99,60.99,173711,60.99
96,61.21,61.24,61.04,61.06,73201,61.06
97,61.29,61.3,61.0,61.2,107099,61.2
98,60.99,61.34,60.97,61.27,124685,61.27
99,60.87,61.08,60.85,60.99,188002,60.99
100,60.94,60.99,60.805,60.87,114329,60.87
101,60.75,60.98,60.66,60.93,180869,60.93
102,60.85,60.87,60.71,60.75,201761,60.75
103,61.07,61.07,60.74,60.8535,216323,60.8535
104,60.9899,61.1,60.95,61.07,696866,61.07
105,59.0,59.02,58.96,58.96,2201,58.96
106,59.05,59.35,58.47,58.99,1367201,58.99
107,58.78,59.23,58.63,59.05,673866,59.05
108,58.72,59.28,58.63,58.77,563210,58.77
109,58.8901,59.22,58.68,58.7,340117,58.7
110,58.91,59.23,58.81,58.89,294504,58.89
111,58.66,59.09,58.64,58.92,291619,58.92
112,58.57,58.73,58.4702,58.65,278602,58.65
113,58.82,58.91,58.43,58.56,479258,58.56
114,58.46,58.8214,58.45,58.8214,153331,58.8214
115,58.7,58.81,58.44,58.47,205411,58.47
116,58.36,58.73,58.34,58.682,212037,58.682
117,58.48,58.65,58.32,58.35,214237,58.35
118,58.45,58.56,58.36,58.48,259388,58.48
119,58.465,58.49,58.35,58.44,180457,58.44
120,58.61,58.72,58.45,58.455,228844,58.455
121,58.57,58.76,58.48,58.61,159249,58.61
122,58.529,58.67,58.51,58.58,150749,58.58
123,58.34,58.59,58.34,58.52,190717,58.52
124,58.2475,58.409,58.19,58.3201,245585,58.3201
125,58.37,58.4,58.22,58.25,227149,58.25
126,58.19,58.3799,58.11,58.3799,210239,58.3799
127,58.36,58.38,58.13,58.185,194178,58.185
128,58.16,58.47,58.13,58.365,220201,58.365
129,58.01,58.24,57.95,58.16,329242,58.16
130,57.82,58.06,57.8,58.01,486862,58.01
131,57.9,57.95,57.76,57.83,938163,57.83
