Date,Open,High,Low,Close,Volume,Adj Close
0,32.23,32.83,32.23,32.83,600,32.83
1,32.15,32.45,32.03,32.45,243353,32.45
2,32.43,32.5,32.15,32.23,235406,32.23
3,32.22,32.31,32.01,32.23,144094,32.23
4,32.2396,32.41,32.12,32.3101,221590,32.3101
5,32.35,32.35,31.95,32.14,148249,32.14
6,32.14,32.14,31.96,32.0,116361,32.0
7,32.0101,32.28,31.99,32.27,118579,32.27
8,32.25,32.2599,32.06,32.115,41175,32.115
9,32.12,32.187,32.01,32.02,63783,32.02
10,32.04,32.15,32.03,32.11,151608,32.11
11,32.11,32.15,31.94,32.05,47096,32.05
12,32.05,32.132,32.02,32.07,121138,32.07
13,32.08,32.15,32.0,32.0,55558,32.0
14,32.0,32.2995,31.99,32.295,144859,32.295
15,32.28,32.41,32.24,32.351,104686,32.351
16,32.32,32.634,32.26,32.59,60451,32.59
17,32.603,33.0,32.603,33.0,45578,33.0
18,33.02,33.2,32.89,32.895,38569,32.895
19,32.85,33.06,32.74,33.02,116413,33.02
20,33.02,33.17,32.99,33.09,66028,33.09
21,33.07,33.08,32.89,33.02,47818,33.02
22,33.0,33.25,32.99,33.2,74479,33.2
23,33.2,33.4,33.14,33.39,55897,33.39
24,33.4,33.84,33.4,33.83,76840,33.83
25,33.83,33.87,33.555,33.62,89132,33.62
26,33.6,33.61,33.44,33.47,109272,33.47
27,33.14,33.67,33.14,33.15,24672,33.15
28,33.5,33.5,32.14,32.81,144934,32.81
29,32.77,33.14,32.6,32.725,57836,32.725
30,32.72,33.34,32.71,33.19,54539,33.19
31,33.21,33.375,32.7701,33.1,36909,33.1
32,33.04,33.29,32.95,33.25,23209,33.25
33,33.24,33.306,32.79,32.79,42379,32.79
34,32.81,33.31,32.69,33.09,83528,33.09
35,33.1,33.26,32.98,33.0201,68819,33.0201
36,33.05,33.24,33.0,33.0,139412,33.0
37,33.01,33.35,33.0,33.27,215312,33.27
38,33.29,33.48,33.18,33.24,137110,33.24
39,33.23,33.45,33.19,33.23,82584,33.23
40,33.23,33.23,32.97,32.99,42225,32.99
41,33.0,33.0,32.69,32.79,111820,32.79
42,32.79,33.13,32.79,32.95,132685,32.95
43,32.93,32.94,32.55,32.67,57164,32.67
44,32.66,32.94,32.55,32.85,76019,32.85
45,32.84,33.02,32.75,32.84,69479,32.84
46,32.85,32.88,32.61,32.62,102527,32.62
47,32.63,32.73,32.48,32.61,101533,32.61
48,32.63,32.84,32.53,32.76,98194,32.76
49,32.76,33.02,32.69,32.91,144112,32.91
50,32.91,32.911,32.58,32.77,225061,32.77
51,32.77,33.0,32.66,32.85,237350,32.85
52,32.87,33.13,32.756,32.9,176819,32.9
53,32.9,33.03,32.89,32.96,290524,32.96
54,33.91,33.91,33.69,33.69,500,33.69
55,33.89,34.16,33.68,34.0801,95053,34.0801
56,34.12,34.42,33.91,34.42,51745,34.42
57,34.42,34.52,34.08,34.52,93728,34.52
58,34.54,34.55,33.9808,34.015,121755,34.015
59,34.015,34.025,33.52,33.595,100452,33.595
60,33.59,33.61,33.39,33.6,65958,33.6
61,33.6,33.81,33.59,33.77,186389,33.77
62,33.76,34.0,33.71,33.91,55475,33.91
63,33.91,33.93,33.73,33.78,73839,33.78
64,33.786,33.85,33.71,33.74,73118,33.74
65,33.73,33.87,33.71,33.87,102886,33.87
66,33.87,34.11,33.83,34.035,60022,34.035
67,33.9701,34.24,33.9701,34.03,33277,34.03
68,34.043,34.12,34.01,34.06,31183,34.06
69,34.06,34.0765,33.85,34.06,55631,34.06
70,34.05,34.1,34.0,34.0,32259,34.0
71,34.01,34.1,33.97,34.05,47546,34.05
72,34.06,34.3,34.06,34.3,45041,34.3
73,34.29,34.3,34.02,34.26,72455,34.26
74,34.265,34.32,34.12,34.16,43373,34.16
75,34.14,34.17,34.0,34.081,91221,34.081
76,34.09,34.23,34.08,34.18,51491,34.18
77,34.19,34.19,33.92,34.0,57138,34.0
78,34.0,34.12,33.98,34.1,64088,34.1
79,34.1,34.2,34.0199,34.19,92171,34.19
80,34.19,34.22,34.14,34.17,119584,34.17
81,33.58,33.58,33.58,33.58,100,33.58
82,33.47,33.98,33.47,33.92,66753,33.92
83,33.9199,34.262,33.71,34.19,49424,34.19
84,34.16,34.5,34.11,34.11,80317,34.11
85,34.12,34.39,34.08,34.17,30331,34.17
86,34.16,34.24,33.97,34.05,39758,34.05
87,34.01,34.1,33.83,33.88,17006,33.88
88,33.82,33.84,33.61,33.65,28323,33.65
89,33.65,33.895,33.62,33.88,22027,33.88
90,33.895,33.93,33.5,33.51,37201,33.51
91,33.53,33.745,33.5065,33.55,13616,33.55
92,33.5346,33.66,33.47,33.49,21194,33.49
93,33.485,33.62,33.485,33.5,15192,33.5
94,33.51,33.63,33.45,33.52,14373,33.52
95,33.52,33.52,33.355,33.44,21748,33.44
96,33.44,33.63,33.44,33.5409,21009,33.5409
97,33.5201,33.5901,33.445,33.54,19307,33.54
98,33.5598,33.7,33.53,33.56,61640,33.56
99,33.53,33.54,33.33,33.39,30568,33.39
100,33.38,33.515,33.35,33.51,25271,33.51
101,33.5,33.595,33.49,33.56,41877,33.56
102,33.55,33.56,33.42,33.42,23310,33.42
103,33.44,33.54,33.38,33.53,36270,33.53
104,33.54,33.61,33.42,33.42,24448,33.42
105,33.42,33.48,33.27,33.36,44959,33.36
106,33.36,33.4281,33.23,33.26,82025,33.26
107,33.27,33.33,33.165,33.24,120863,33.24
108,33.65,33.65,33.65,33.65,100,33.65
109,33.79,33.92,33.58,33.86,107578,33.86
110,33.8276,33.85,33.6,33.7,44430,33.7
111,33.72,34.33,33.7,34.32,59768,34.32
112,34.3355,34.6,34.3355,34.5,156769,34.5
113,34.5,34.66,34.47,34.66,58318,34.66
114,34.7,34.7,34.49,34.6,53690,34.6
115,34.56,34.77,34.548,34.77,54782,34.77
116,34.78,35.04,34.72,34.9901,52526,34.9901
117,35.01,35.01,34.7731,34.79,27993,34.79
118,34.8016,34.88,34.69,34.69,27628,34.69
119,34.73,34.98,34.67,34.96,40738,34.96
120,34.98,35.04,34.84,34.87,17063,34.87
121,34.88,34.94,34.8352,34.875,16761,34.875
122,34.85,34.91,34.84,34.86,20520,34.86
123,34.88,35.14,34.87,35.13,84869,35.13
124,35.13,35.44,35.13,35.43,68255,35.43
125,35.44,35.63,35.39,35.61,66754,35.61
126,35.6116,35.71,35.4,35.4,56767,35.4
127,35.39,35.4728,35.33,35.35,51723,35.35
128,35.36,35.58,35.33,35.34,57170,35.34
129,35.33,35.48,35.2702,35.48,64200,35.48
130,35.46,35.6,35.42,35.5,83257,35.5
131,35.49,35.53,35.36,35.53,44832,35.53
132,35.55,35.615,35.48,35.6,66846,35.6
133,35.6,35.89,35.56,35.87,151545,35.87
134,35.86,35.87,35.7,35.83,261391,35.83
135,35.55,35.55,35.45,35.45,16105,35.45
136,35.24,36.06,35.24,35.97,44333,35.97
137,35.97,36.11,35.7,35.93,67656,35.93
138,35.95,36.04,35.54,35.76,121024,35.76
139,35.7525,36.19,35.7,36.12,51913,36.12
140,36.15,36.56,35.93,36.53,125346,36.53
141,36.52,36.57,36.26,36.46,86395,36.46
142,36.5,36.75,36.3701,36.66,90557,36.66
143,36.65,36.95,36.6,36.89,65521,36.89
144,36.92,37.13,36.74,37.055,99495,37.055
145,37.06,37.1198,36.73,36.97,57631,36.97
146,36.96,37.09,36.84,37.07,167387,37.07
147,37.07,37.23,37.02,37.03,49587,37.03
148,37.03,37.06,36.74,36.91,57544,36.91
149,36.9,37.0,36.8,36.83,28552,36.83
150,36.84,36.975,36.8,36.9,31111,36.9
151,36.88,36.93,36.8,36.86,34032,36.86
152,36.85,37.16,36.85,37.14,58258,37.14
153,37.13,37.5,37.09,37.45,157708,37.45
154,37.4101,37.52,36.82,36.93,50318,36.93
155,36.95,37.28,36.92,37.16,45042,37.16
156,37.13,37.18,36.9,36.93,129987,36.93
157,36.95,37.14,36.78,36.8337,48903,36.8337
158,36.84,36.84,36.4227,36.44,57518,36.44
159,36.42,36.62,36.38,36.555,70988,36.555
160,36.57,36.6954,36.51,36.53,69167,36.53
161,36.52,36.64,36.48,36.51,134745,36.51
162,37.34,37.34,37.34,37.34,100,37.34
163,37.93,37.93,36.8875,37.03,98045,37.03
164,37.03,37.38,36.93,37.055,56565,37.055
165,37.06,37.07,36.75,36.92,88366,36.92
166,36.94,37.06,36.58,36.67,62630,36.67
167,36.65,37.0,36.45,36.98,37271,36.98
168,36.97,37.01,36.735,37.01,29871,37.01
169,37.02,37.38,37.0,37.15,36340,37.15
170,37.18,37.35,37.01,37.02,26182,37.02
171,37.03,37.07,36.83,36.85,41712,36.85
172,36.8534,36.86,36.625,36.63,31442,36.63
173,36.61,36.87,36.61,36.84,26827,36.84
174,36.84,37.09,36.84,37.06,18226,37.06
175,37.07,37.28,37.01,37.25,53129,37.25
176,37.19,37.24,37.046,37.21,35279,37.21
177,37.21,37.27,37.08,37.26,18544,37.26
178,37.3,37.32,36.98,37.09,45294,37.09
179,37.081,37.11,37.01,37.06,22866,37.06
180,37.0426,37.09,36.86,36.89,26582,36.89
181,36.88,37.08,36.86,37.08,23685,37.08
182,37.09,37.11,36.89,37.08,34907,37.08
183,37.1,37.135,37.005,37.0101,35537,37.0101
184,37.03,37.1277,37.01,37.12,96688,37.12
185,37.12,37.3069,37.1,37.215,58570,37.215
186,37.23,37.24,37.1,37.11,38668,37.11
187,37.11,37.22,37.06,37.0699,50490,37.0699
188,37.08,37.18,37.07,37.09,159236,37.09
189,37.08,37.08,36.75,36.75,12638,36.75
190,37.1,37.71,36.9146,37.46,89078,37.46
191,37.43,37.81,37.43,37.79,28346,37.79
192,37.8099,38.22,37.75,38.07,56147,38.07
193,38.07,38.2,37.971,38.0,45906,38.0
194,38.01,38.08,37.96,38.02,78787,38.02
195,38.02,38.15,37.97,38.0301,52686,38.0301
196,38.06,38.16,38.0,38.04,27436,38.04
197,38.01,38.01,37.7,37.77,35303,37.77
198,37.8,37.86,37.68,37.736,31827,37.736
199,37.74,37.84,37.69,37.73,18867,37.73
200,37.73,37.89,37.71,37.88,14734,37.88
201,37.88,38.13,37.88,38.1,17238,38.1
202,38.11,38.39,38.1,38.35,31428,38.35
203,38.37,38.38,38.26,38.37,21391,38.37
204,38.38,38.455,38.35,38.44,35450,38.44
205,38.43,38.69,38.39,38.69,56104,38.69
206,38.68,38.825,38.56,38.77,93583,38.77
207,38.75,38.8196,38.61,38.65,24363,38.65
208,38.64,38.76,38.61,38.76,50220,38.76
209,38.75,38.95,38.75,38.79,39650,38.79
210,38.81,38.83,38.69,38.75,46425,38.75
211,38.76,38.8,38.51,38.56,38503,38.56
212,38.55,38.63,38.44,38.63,58214,38.63
213,38.63,38.74,38.59,38.71,56335,38.71
214,38.71,38.79,38.66,38.75,81229,38.75
215,38.74,38.87,38.74,38.83,171140,38.83
216,38.19,38.4,37.67,37.8,201451,37.8
217,37.81,37.93,37.31,37.52,113580,37.52
218,37.49,37.864,37.08,37.635,71516,37.635
219,37.625,37.88,37.6,37.82,53135,37.82
220,37.8,38.075,37.69,38.075,33992,38.075
221,38.1193,38.45,37.98,38.43,109624,38.43
222,38.42,38.49,38.18,38.49,31877,38.49
223,38.51,38.51,38.07,38.28,38641,38.28
224,38.29,38.32,38.11,38.21,15323,38.21
225,38.22,38.22,37.9,38.11,48933,38.11
226,38.08,38.24,38.005,38.22,32534,38.22
227,38.231,38.28,38.14,38.26,23327,38.26
228,38.2799,38.39,38.1317,38.16,29273,38.16
229,38.1695,38.21,37.99,38.06,16048,38.06
230,38.12,38.26,37.98,38.07,22983,38.07
231,38.06,38.2,38.001,38.152,33758,38.152
232,38.13,38.16,38.01,38.05,17217,38.05
233,38.08,38.28,38.04,38.27,28112,38.27
234,38.25,38.35,38.09,38.13,33993,38.13
235,38.11,38.35,38.11,38.34,18912,38.34
236,38.34,38.49,38.318,38.48,29595,38.48
237,38.45,38.46,38.23,38.43,36836,38.43
238,38.44,38.495,38.3268,38.35,47011,38.35
239,38.33,38.55,38.33,38.51,41729,38.51
240,38.49,38.61,38.43,38.61,54456,38.61
241,38.6,38.605,38.45,38.54,129051,38.54
242,37.85,37.85,37.85,37.85,100,37.85
243,37.68,37.84,37.4,37.774,95144,37.774
244,37.83,37.92,37.68,37.85,24095,37.85
245,37.86,38.11,37.81,37.83,40737,37.83
246,37.82,37.95,37.72,37.95,41457,37.95
247,37.92,38.0,37.74,37.98,18522,37.98
248,38.025,38.07,37.87,38.0001,104585,38.0001
249,38.02,38.12,37.9463,38.09,18954,38.09
250,38.15,38.23,38.06,38.16,11833,38.16
251,38.14,38.44,38.14,38.34,34839,38.34
252,38.3642,38.375,38.17,38.18,14402,38.18
253,38.17,38.2,37.74,37.78,54889,37.78
254,37.77,37.94,37.72,37.91,40798,37.91
255,37.9,38.1,37.88,38.075,13696,38.075
256,38.08,38.1,37.98,38.02,18630,38.02
257,38.02,38.1,37.96,38.05,34098,38.05
258,38.06,38.34,38.06,38.33,82594,38.33
259,38.335,38.335,38.18,38.24,22046,38.24
260,38.24,38.25,37.94,37.96,46755,37.96
261,37.96,38.215,37.96,38.19,187870,38.19
262,38.19,38.33,37.9701,37.9701,198066,37.9701
263,37.98,38.1,37.91,38.04,28933,38.04
264,37.99,37.9935,37.71,37.71,52650,37.71
265,37.71,37.81,37.71,37.81,34025,37.81
266,37.8,37.91,37.774,37.8401,32543,37.8401
267,37.86,38.01,37.84,37.96,36451,37.96
268,37.95,37.95,37.79,37.8,153503,37.8
269,38.38,38.38,38.38,38.38,100,38.38
270,38.65,38.69,37.92,37.92,29633,37.92
271,37.94,38.06,37.68,37.75,50471,37.75
272,37.76,37.76,37.07,37.11,49336,37.11
273,37.08,37.24,36.94,36.96,42692,36.96
274,36.95,37.03,36.73,37.03,19001,37.03
275,37.0,37.54,36.96,37.46,47116,37.46
276,37.46,37.51,37.14,37.45,64479,37.45
277,37.46,37.98,37.46,37.71,45928,37.71
278,37.68,37.88,37.53,37.69,29332,37.69
279,37.7,37.78,37.47,37.65,18943,37.65
280,37.67,37.75,37.38,37.39,66857,37.39
281,37.37,37.48,37.2,37.26,87543,37.26
282,37.255,37.34,37.1,37.13,42995,37.13
283,37.1371,37.25,37.04,37.24,98903,37.24
284,37.24,37.35,37.21,37.24,18680,37.24
285,37.29,37.32,37.15,37.16,17694,37.16
286,37.16,37.18,36.92,36.96,32180,36.96
287,37.0,37.03,36.84,36.85,20055,36.85
288,36.86,37.11,36.86,37.03,25201,37.03
289,37.04,37.31,36.97,37.26,39111,37.26
290,37.2518,37.32,37.14,37.24,39836,37.24
291,37.29,37.42,37.2,37.42,49605,37.42
292,37.43,37.46,37.3199,37.36,56852,37.36
293,37.36,37.39,37.21,37.21,54010,37.21
294,37.21,37.32,37.14,37.26,132795,37.26
295,37.27,37.37,37.22,37.36,237870,37.36
296,37.42,37.45,37.08,37.08,16456,37.08
297,37.28,38.12,37.28,37.61,59326,37.61
298,37.595,38.2,37.49,38.2,71526,38.2
299,38.24,38.5,38.01,38.47,146036,38.47
300,38.45,38.67,38.38,38.51,109621,38.51
301,38.53,38.68,38.36,38.44,81943,38.44
302,38.4625,38.66,38.34,38.58,44121,38.58
303,38.57,38.57,38.0911,38.19,47944,38.19
304,38.19,38.2199,37.8597,37.88,48190,37.88
305,37.88,37.975,37.75,37.75,31453,37.75
306,37.73,38.02,37.61,37.8232,31742,37.8232
307,37.86,38.29,37.77,38.13,59543,38.13
308,38.102,38.25,37.92,38.0,33048,38.0
309,38.02,38.22,37.92,38.03,56590,38.03
310,38.035,38.16,37.79,37.83,84995,37.83
311,37.83,38.23,37.83,38.0501,36129,38.0501
312,38.07,38.18,37.89,37.98,39483,37.98
313,37.99,38.22,37.94,38.03,28692,38.03
314,38.01,38.01,37.81,37.83,47740,37.83
315,37.82,37.83,37.63,37.74,60547,37.74
316,37.74,37.84,37.575,37.61,66667,37.61
317,37.61,37.72,37.57,37.62,45331,37.62
318,37.63,37.7,37.5101,37.67,72017,37.67
319,37.66,37.695,37.48,37.57,102666,37.57
320,37.58,37.67,37.54,37.61,82754,37.61
321,37.62,37.71,37.6,37.62,249063,37.62
322,37.615,37.7,37.55,37.61,363671,37.61
323,37.33,37.33,37.3,37.3,14038,37.3
324,37.43,37.5894,37.24,37.49,65526,37.49
325,37.48,38.015,37.34,37.81,114340,37.81
326,37.83,38.03,37.71,37.85,66166,37.85
327,37.82,37.94,37.47,37.49,38904,37.49
328,37.47,37.74,37.41,37.55,61112,37.55
329,37.56,37.57,37.19,37.213,35843,37.213
330,37.23,37.27,36.92,37.02,28676,37.02
331,37.01,37.02,36.83,37.01,35807,37.01
332,37.03,37.17,36.86,36.86,69738,36.86
333,36.91,37.25,36.9,37.18,21309,37.18
334,37.17,37.201,37.02,37.07,31700,37.07
