Date,Open,High,Low,Close,Volume,Adj Close
0,39.72,39.771,38.83,38.83,163216,38.83
1,38.82,38.8912,38.43,38.75,146759,38.75
2,38.75,38.81,38.4,38.46,115333,38.46
3,38.46,38.46,38.25,38.34,85087,38.34
4,38.36,38.64,38.27,38.6,191549,38.6
5,38.6,38.72,38.5,38.61,126778,38.61
6,38.61,38.76,38.5629,38.75,282239,38.75
7,37.94,38.58,37.91,38.58,117072,38.58
8,38.58,38.79,38.33,38.41,153032,38.41
9,38.4199,38.94,38.35,38.35,98800,38.35
10,38.36,38.42,38.22,38.2882,91161,38.2882
11,38.25,38.33,38.055,38.239,109537,38.239
12,38.23,38.36,38.13,38.23,245770,38.23
13,38.23,38.63,38.17,38.56,312535,38.56
14,37.57,38.51,37.57,38.47,199276,38.47
15,38.41,38.45,37.88,38.17,184316,38.17
16,38.18,38.25,37.69,37.775,195236,37.775
17,37.79,37.85,37.65,37.727,177861,37.727
18,37.72,37.82,37.52,37.605,241674,37.605
19,37.6,37.65,37.04,37.25,188367,37.25
20,37.25,37.33,36.95,37.13,359681,37.13
21,37.19,37.64,36.96,37.3599,155476,37.3599
22,37.29,37.4,36.98,37.14,407138,37.14
23,37.14,37.29,36.97,37.29,266805,37.29
24,37.28,37.49,37.08,37.25,118828,37.25
25,37.28,37.3,37.01,37.06,137969,37.06
26,37.05,37.16,37.02,37.04,195966,37.04
27,37.02,37.24,36.73,36.81,391789,36.81
28,36.93,36.98,35.95,36.025,190988,36.025
29,36.0,36.345,35.859,35.9,347067,35.9
30,35.85,35.93,35.63,35.8733,221838,35.8733
31,35.8699,35.9,35.7569,35.83,176606,35.83
32,35.83,35.85,35.525,35.62,229590,35.62
33,35.62,35.99,35.58,35.83,152076,35.83
34,35.83,36.15,35.62,36.09,366124,36.09
35,36.75,36.89,36.42,36.42,84865,36.42
36,36.4,36.4,35.5301,35.7,117441,35.7
37,35.68,35.84,35.3,35.8,243834,35.8
38,35.79,36.02,35.3401,35.51,181975,35.51
39,35.51,35.66,35.2952,35.43,169125,35.43
40,35.42,35.93,35.27,35.914,191042,35.914
41,35.915,36.1699,35.74,36.12,298241,36.12
42,36.59,36.75,36.17,36.28,115862,36.28
43,36.35,36.525,35.8618,36.28,158730,36.28
44,36.26,36.28,35.74,35.77,123688,35.77
45,35.78,35.86,35.57,35.75,120451,35.75
46,35.75,35.82,35.55,35.78,533931,35.78
47,35.7829,36.03,35.48,35.6575,489035,35.6575
48,35.66,35.96,35.65,35.86,651483,35.86
49,35.89,36.03,34.44,34.49,206200,34.49
50,34.47,35.7,34.37,35.62,405413,35.62
51,35.6225,35.74,34.75,35.07,291680,35.07
52,35.1,35.51,34.83,35.43,196217,35.43
53,35.43,35.6,35.26,35.36,169529,35.36
54,35.36,35.57,35.28,35.55,199695,35.55
55,35.55,35.66,35.31,35.35,426549,35.35
56,34.23,35.02,33.89,34.45,266634,34.45
57,34.41,35.0,34.38,34.55,224423,34.55
58,34.53,34.68,34.37,34.51,193022,34.51
59,34.5099,34.52,34.04,34.45,194810,34.45
60,34.45,35.03,34.24,35.03,266487,35.03
61,35.02,35.11,34.82,35.07,179835,35.07
62,35.05,35.11,34.75,35.05,459693,35.05
63,35.23,35.29,33.5744,34.07,239531,34.07
64,34.04,34.31,33.73,34.13,331657,34.13
65,34.1,34.33,33.96,34.16,252048,34.16
66,34.15,34.15,33.83,33.91,262907,33.91
67,33.92,34.07,33.72,33.8,303471,33.8
68,33.8,33.81,33.15,33.29,481503,33.29
69,33.28,33.708,33.26,33.52,344749,33.52
70,32.23,32.83,32.03,32.23,479359,32.23
71,32.22,32.41,31.95,32.0,630294,32.0
72,32.0101,32.28,31.99,32.11,375145,32.11
73,32.11,32.2995,31.94,32.295,368651,32.295
74,32.28,33.2,32.24,32.895,249284,32.895
75,32.85,33.25,32.74,33.2,304738,33.2
76,33.2,33.87,33.14,33.47,331141,33.47
77,33.14,33.67,32.14,32.725,227442,32.725
78,32.72,33.375,32.71,32.79,157036,32.79
79,32.81,33.35,32.69,33.27,507071,33.27
80,33.29,33.48,32.69,32.79,373739,32.79
81,32.79,33.13,32.55,32.84,335347,32.84
82,32.85,33.02,32.48,32.91,446366,32.91
83,32.91,33.13,32.58,32.96,929754,32.96
84,33.91,34.42,33.68,34.42,147298,34.42
85,34.42,34.55,33.39,33.6,381893,33.6
86,33.6,34.0,33.59,33.74,388821,33.74
87,33.73,34.24,33.71,34.06,227368,34.06
88,34.06,34.3,33.85,34.3,180477,34.3
89,34.29,34.32,34.0,34.18,258540,34.18
90,34.19,34.22,33.92,34.17,332981,34.17
91,33.58,34.262,33.47,34.19,116277,34.19
92,34.16,34.5,33.83,33.88,167412,33.88
93,33.82,33.93,33.5,33.55,101167,33.55
94,33.5346,33.66,33.355,33.44,72507,33.44
95,33.44,33.7,33.33,33.39,132524,33.39
96,33.38,33.595,33.35,33.53,126728,33.53
97,33.54,33.61,33.165,33.24,272295,33.24
98,33.65,33.92,33.58,33.7,152108,33.7
99,33.72,34.7,33.7,34.6,328545,34.6
100,34.56,35.04,34.548,34.69,162929,34.69
101,34.73,35.04,34.67,34.86,95082,34.86
102,34.88,35.71,34.87,35.4,276645,35.4
103,35.39,35.6,35.2702,35.5,256350,35.5
104,35.49,35.85,35.36,35.83,323024,35.83
105,35.55,36.11,35.24,35.93,128094,35.93
106,35.95,36.57,35.54,36.46,384678,36.46
107,36.5,37.13,36.3701,36.97,313204,36.97
108,36.96,37.23,36.74,36.83,303070,36.83
109,36.84,37.5,36.8,37.45,281109,37.45
110,37.4101,37.52,36.78,36.8337,274250,36.8337
111,36.84,36.84,36.38,36.51,332418,36.51
112,37.34,37.93,36.8875,37.055,154710,37.055
113,37.06,37.07,36.45,37.01,218138,37.01
114,37.02,37.38,36.625,36.63,135676,36.63
115,36.61,37.28,36.61,37.21,133461,37.21
116,37.21,37.32,36.86,36.89,113286,36.89
117,36.88,37.135,36.86,37.12,190817,37.12
118,37.12,37.3069,37.06,37.09,306964,37.09
119,37.08,37.81,36.75,37.79,130062,37.79
120,37.8099,38.22,37.75,38.0301,233526,38.0301
121,38.06,38.16,37.68,37.73,113433,37.73
122,37.73,38.39,37.71,38.37,84791,38.37
123,38.38,38.825,38.35,38.65,209500,38.65
124,38.64,38.95,38.51,38.56,174798,38.56
125,38.55,38.87,38.44,38.83,366918,38.83
126,38.19,38.4,37.31,37.52,315031,37.52
127,37.49,38.45,37.08,38.43,268267,38.43
128,38.42,38.51,37.9,38.11,134774,38.11
129,38.24,38.39,37.99,38.06,47171,38.06
130,38.12,38.28,37.98,38.27,102070,38.27
131,38.25,38.49,38.09,38.43,119336,38.43
132,38.44,38.61,38.3268,38.54,272247,38.54
133,37.85,37.92,37.4,37.85,119339,37.85
134,37.86,38.11,37.72,38.0001,205301,38.0001
135,38.02,38.44,37.9463,38.18,80028,38.18
136,38.17,38.2,37.72,38.02,128013,38.02
137,38.02,38.34,37.94,37.96,185493,37.96
138,37.96,38.33,37.71,37.71,467519,37.71
139,37.71,38.01,37.71,37.8,256522,37.8
140,38.38,38.69,37.68,37.75,80204,37.75
141,37.76,37.76,36.73,37.46,158145,37.46
142,37.46,37.98,37.14,37.65,158682,37.65
143,37.67,37.75,37.04,37.24,296298,37.24
144,37.24,37.35,36.84,36.85,88609,36.85
145,36.86,37.42,36.86,37.42,153753,37.42
146,37.43,37.46,37.14,37.36,481527,37.36
147,37.42,38.2,37.08,38.2,147308,38.2
148,38.24,38.68,38.01,38.58,381721,38.58
149,38.57,38.57,37.61,37.8232,159329,37.8232
150,37.86,38.29,37.77,37.83,234176,37.83
151,37.83,38.23,37.81,37.83,152044,37.83
152,37.82,37.84,37.5101,37.67,244562,37.67
153,37.66,37.71,37.48,37.61,798154,37.61
154,37.33,38.015,37.24,37.81,193904,37.81
155,37.83,38.03,37.19,37.213,202025,37.213
156,37.23,37.27,36.83,37.18,155530,37.18
157,37.17,37.201,36.82,36.94,138627,36.94
158,36.93,37.04,36.85,36.98,128627,36.98
159,36.98,36.98,36.77,36.89,152822,36.89
160,36.9,37.02,36.74,36.96,390724,36.96
161,36.28,36.28,35.35,35.3665,480866,35.3665
162,35.39,35.65,34.5501,34.59,171889,34.59
163,34.62,34.83,34.21,34.73,186582,34.73
164,34.77,34.79,34.2632,34.27,75880,34.27
165,34.28,34.31,33.51,33.556,152058,33.556
166,33.58,33.87,33.47,33.85,159912,33.85
167,33.84,34.8,33.81,34.46,644734,34.46
168,34.16,34.78,33.5,34.61,125114,34.61
169,34.62,35.17,34.54,34.61,280209,34.61
170,34.61,35.14,34.49,34.56,317334,34.56
171,34.54,34.91,34.22,34.34,209981,34.34
172,34.34,34.36,33.94,34.0,140664,34.0
173,34.02,34.85,34.02,34.835,147280,34.835
174,34.83,35.14,34.45,34.55,570083,34.55
175,34.55,34.96,33.645,33.98,173449,33.98
176,33.99,34.1,33.36,33.66,375713,33.66
177,33.68,33.68,32.93,33.13,304340,33.13
178,33.12,33.54,32.9299,33.13,246292,33.13
179,33.13,33.16,32.75,32.825,241012,32.825
180,32.83,32.98,32.52,32.7,295295,32.7
181,32.7,32.91,32.48,32.51,697439,32.51
182,32.36,32.94,31.55,32.79,228566,32.79
183,32.7378,33.08,31.93,32.03,234857,32.03
184,32.05,32.17,31.65,31.9199,124229,31.9199
185,31.92,31.96,31.58,31.86,115177,31.86
186,31.86,31.97,31.54,31.61,128946,31.61
187,31.605,31.89,31.31,31.7515,275513,31.7515
188,31.78,31.87,31.4601,31.52,544208,31.52
189,32.29,32.4896,31.46,31.5,114472,31.5
190,31.46,32.0896,31.3,31.95,153757,31.95
191,31.96,32.78,31.9494,32.55,109008,32.55
192,32.58,32.7399,32.39,32.42,109983,32.42
193,32.41,32.48,32.15,32.19,89476,32.19
194,32.2,32.42,32.13,32.37,118816,32.37
195,32.37,32.61,32.325,32.41,231209,32.41
196,33.39,33.66,32.17,32.19,182960,32.19
197,32.21,32.55,31.89,32.28,254210,32.28
198,32.29,32.92,32.11,32.92,119970,32.92
199,32.905,32.935,32.49,32.66,184296,32.66
200,32.665,33.0,32.64,32.94,94641,32.94
201,32.95,33.1,32.93,33.08,102602,33.08
202,33.08,33.19,32.95,33.0,362774,33.0
203,33.15,33.75,32.94,33.26,157200,33.26
204,33.27,33.93,33.22,33.85,272407,33.85
