Date,Open,High,Low,Close,Volume,Adj Close
0,102.0,103.09,101.85,101.95,436170,101.95
1,104.56,104.57,101.01,101.94,456535,101.94
2,102.43,104.6199,102.263,104.56,255206,104.56
3,102.61,103.58,101.98,102.46,270216,102.46
4,104.23,104.43,102.47,102.6999,262143,102.6999
5,103.63,104.845,103.6,104.04,222728,104.04
6,103.17,104.11,103.01,103.57,163302,103.57
7,103.23,103.5,102.79,103.115,181255,103.115
8,103.59,103.64,103.105,103.2008,199979,103.2008
9,103.36,104.05,103.089,103.63,146621,103.63
10,103.47,103.79,103.2,103.3,239426,103.3
11,102.75,103.5,102.75,103.48,234780,103.48
12,101.42,102.77,101.38,102.74,292125,102.74
13,101.84,101.94,100.86,101.46,313747,101.46
14,102.4,102.75,101.81,101.84,201395,101.84
15,101.88,102.52,101.58,102.4899,152362,102.4899
16,101.8,102.0199,101.52,101.88,229598,101.88
17,101.96,102.03,101.4,101.76,206656,101.76
18,101.88,102.49,101.7,101.9766,136398,101.9766
19,102.02,102.2999,101.59,101.92,97759,101.92
20,101.04,102.1,101.04,101.9911,164368,101.9911
21,101.1199,101.3385,100.82,101.07,237843,101.07
22,102.403,102.48,101.01,101.093,312719,101.093
23,102.426,102.77,102.104,102.39,233013,102.39
24,102.53,102.67,101.64,102.48,356412,102.48
25,103.04,103.32,102.39,102.52,430814,102.52
26,103.06,103.16,102.83,103.06,1341715,103.06
27,104.5,104.59,104.5,104.59,81674,104.59
28,103.25,104.755,102.64,104.5,505251,104.5
29,103.97,104.03,102.014,103.3,520745,103.3
30,104.53,104.8,103.76,104.015,443782,104.015
31,104.94,105.05,104.22,104.484,115542,104.484
32,104.92,105.6299,104.5,104.94,318726,104.94
33,103.9,105.27,103.89,104.94,202099,104.94
34,103.55,104.38,103.52,103.925,220948,103.925
35,103.79,103.79,103.26,103.55,159264,103.55
36,103.97,104.25,103.7,103.84,118722,103.84
37,103.707,104.27,103.7,103.94,135835,103.94
38,103.94,104.05,103.55,103.7483,139257,103.7483
39,103.59,103.88,103.0,103.87,159655,103.87
40,103.31,104.205,103.31,103.59,106787,103.59
41,103.5,103.56,103.16,103.36,80467,103.36
42,103.227,103.845,103.2,103.51,86640,103.51
43,102.57,103.63,102.56,103.22,145673,103.22
44,102.21,102.96,102.18,102.56,92939,102.56
45,102.46,103.06,102.26,102.28,119407,102.28
46,101.72,102.58,101.696,102.415,153493,102.415
47,101.96,101.99,101.38,101.6883,161227,101.6883
48,101.615,102.185,101.58,101.92,146322,101.92
49,101.78,102.07,101.41,101.625,159888,101.625
50,101.85,102.53,101.55,101.805,267668,101.805
51,103.42,103.525,101.61,101.875,449297,101.875
52,103.47,103.67,102.99,103.45,324779,103.45
53,102.99,103.87,102.97,103.475,1116317,103.475
54,101.93,101.93,101.67,101.67,106034,101.67
55,101.6275,103.89,101.22,101.93,483314,101.93
56,102.72,102.97,101.615,101.6325,303377,101.6325
57,103.1083,103.6,102.4574,102.7229,352057,102.7229
58,102.795,103.53,102.35,103.09,409274,103.09
59,102.29,103.06,101.8362,102.7499,343927,102.7499
60,101.52,102.3556,101.34,102.26,235252,102.26
61,103.097,103.15,101.5,101.5,242988,101.5
62,103.3,103.679,102.82,103.07,241111,103.07
63,104.18,104.34,103.287,103.33,280762,103.33
64,103.71,104.645,103.34,104.19,392769,104.19
65,103.25,104.08,102.98,103.72,209567,103.72
66,102.4628,103.45,102.03,103.25,209583,103.25
67,102.6,103.0,102.301,102.43,193421,102.43
68,104.17,104.3,102.3,102.56,262932,102.56
69,104.05,104.6799,103.76,104.202,286589,104.202
70,104.09,104.33,103.11,104.0,174090,104.0
71,105.4283,105.55,104.08,104.13,283031,104.13
72,106.65,107.09,105.48,105.5,413233,105.5
73,106.65,106.86,105.62,106.64,297785,106.64
74,106.26,106.95,106.02,106.57,230785,106.57
75,106.13,106.75,105.655,106.26,247430,106.26
76,106.76,107.49,105.81,106.145,317735,106.145
77,107.65,107.84,106.33,106.8699,369952,106.8699
78,109.21,109.56,107.62,107.65,951740,107.65
79,107.85,109.45,107.79,109.212,602844,109.212
80,107.49,107.98,106.68,107.81,1209638,107.81
81,108.15,108.25,108.15,108.22,84512,108.22
82,106.67,108.23,105.7,108.23,376095,108.23
83,107.9575,108.43,106.06,106.532,354669,106.532
84,109.13,109.41,107.73,108.0453,389440,108.0453
85,109.065,109.33,108.51,109.09,342692,109.09
86,107.845,109.14,107.83,109.05,245673,109.05
87,108.23,108.69,107.665,107.82,285074,107.82
88,108.3,108.81,106.65,108.26,258097,108.26
89,107.11,108.63,106.83,108.26,182169,108.26
90,106.97,107.65,106.91,107.17,190926,107.17
91,107.96,107.97,106.98,107.0,210719,107.0
92,108.18,108.6,107.86,107.97,477059,107.97
93,107.75,108.3,107.57,108.25,78322,108.25
94,106.755,107.9994,106.69,107.735,188972,107.735
95,106.09,106.8,105.99,106.74,446423,106.74
96,106.31,106.7799,106.04,106.06,276786,106.06
97,106.1057,107.0,106.09,106.31,202040,106.31
98,105.99,106.28,105.44,106.13,183770,106.13
99,106.44,106.59,105.94,106.028,189719,106.028
100,105.84,106.656,105.77,106.46,215058,106.46
101,106.18,106.3,105.5,105.85,264175,105.85
102,106.37,106.83,106.02,106.175,160769,106.175
103,106.76,106.935,105.83,106.4,139115,106.4
104,106.12,106.73,105.853,106.63,183488,106.63
105,106.17,106.28,105.71,106.145,207854,106.145
106,106.53,106.85,106.12,106.12,206230,106.12
107,105.46,106.59,105.4,106.5,1185509,106.5
108,108.44,108.44,108.05,108.09,93107,108.09
109,107.3,108.44,106.47,108.25,298781,108.25
110,108.73,108.87,106.7,107.28,241614,107.28
111,109.18,109.27,108.13,108.63,394222,108.63
112,109.22,109.7,108.85,109.24,253112,109.24
113,109.3,109.5399,108.9,109.23,200205,109.23
114,108.336,109.33,108.21,109.29,187882,109.29
115,108.92,108.96,108.32,108.32,158422,108.32
116,109.26,109.332,108.82,108.92,187079,108.92
117,108.58,109.3399,108.43,109.28,121706,109.28
118,108.36,109.0125,108.16,108.6199,152596,108.6199
119,108.675,108.91,108.3,108.33,129064,108.33
120,109.0,109.06,108.54,108.71,96797,108.71
121,108.75,109.06,108.49,109.0,126541,109.0
122,108.89,109.042,108.56,108.76,85783,108.76
123,108.54,108.92,108.33,108.91,71910,108.91
124,108.825,108.8833,108.47,108.59,98136,108.59
125,108.91,109.02,108.76,108.88,104755,108.88
126,108.91,109.09,108.86,108.9499,105954,108.9499
127,109.35,109.371,108.6,108.9,161082,108.9
128,108.77,109.37,108.77,109.37,99089,109.37
129,108.49,109.03,108.15,108.75,166333,108.75
130,108.52,108.69,108.32,108.46,85264,108.46
131,108.3,108.64,108.21,108.51,118429,108.51
132,108.53,108.6,108.1,108.26,141923,108.26
133,108.89,108.91,107.94,108.542,368569,108.542
134,108.81,108.92,108.34,108.865,691733,108.865
135,109.01,109.25,109.01,109.24,90386,109.24
136,109.11,109.25,107.01,109.23,210258,109.23
137,108.57,109.49,108.55,109.0,292219,109.0
138,109.05,109.47,108.28,108.54,148717,108.54
139,109.69,109.84,108.75,109.04,201822,109.04
140,108.73,109.69,108.62,109.62,120808,109.62
141,108.73,109.19,108.55,108.75,58157,108.75
142,108.92,109.06,108.533,108.67,106227,108.67
143,109.235,109.37,108.84,108.88,68303,108.88
144,109.13,109.58,108.97,109.286,113624,109.286
145,109.54,109.71,109.092,109.092,65923,109.092
146,109.2,109.76,109.155,109.52,116504,109.52
147,109.38,109.69,109.18,109.19,55782,109.19
148,109.56,109.91,109.34,109.39,176713,109.39
149,109.645,109.8,109.45,109.59,130910,109.59
150,109.79,109.9,109.5,109.64,124147,109.64
151,109.15,109.7899,109.13,109.74,75259,109.74
152,108.86,109.52,108.84,109.12,99495,109.12
153,108.44,108.85,108.44,108.85,116865,108.85
154,108.15,108.565,107.88,108.44,127456,108.44
155,107.92,108.2479,107.61,108.11,86390,108.11
