Date,Open,High,Low,Close,Volume,Adj Close
0,120.83,121.14,120.24,120.99,199343,120.99
1,120.73,120.98,120.45,120.91,257736,120.91
2,121.37,121.43,120.46,120.7,300785,120.7
3,121.29,121.43,121.09,121.3614,212551,121.3614
4,121.5301,121.9,121.225,121.33,256366,121.33
5,121.35,121.79,121.15,121.53,230545,121.53
6,120.68,121.47,120.44,121.36,772042,121.36
7,119.9,120.67,119.59,119.89,270153,119.89
8,120.45,120.58,119.78,119.87,447470,119.87
9,120.81,120.9699,120.39,120.45,347131,120.45
10,121.25,121.83,120.71,120.82,373551,120.82
11,121.15,121.32,120.51,121.23,253280,121.23
12,120.48,121.195,120.45,121.14,230299,121.14
13,119.76,120.65,119.73,120.475,983132,120.475
14,117.97,118.43,116.66,116.77,644299,116.77
15,116.78,118.06,116.67,117.98,755619,117.98
16,116.795,117.23,116.2,116.77,577451,116.77
17,116.5606,116.93,116.22,116.8,359440,116.8
18,116.885,117.21,116.53,116.56,306824,116.56
19,116.67,116.95,116.1,116.85,413461,116.85
20,117.59,117.75,116.14,116.63,1336374,116.63
21,119.1001,119.59,117.67,117.71,444400,117.71
22,118.5,119.2654,118.36,119.182,568108,119.182
23,117.21,118.68,117.041,118.5,494561,118.5
24,116.995,117.41,116.68,117.23,387793,117.23
25,118.14,118.5,116.99,117.04,312344,117.04
26,118.03,118.49,117.87,118.155,276980,118.155
27,117.96,118.33,117.556,118.03,925594,118.03
28,116.32,117.86,115.73,116.22,572216,116.22
29,117.09,117.73,116.22,116.3999,489803,116.3999
30,117.25,117.61,116.73,117.11,453372,117.11
31,117.42,117.7,116.96,117.26,312520,117.26
32,116.34,117.47,116.28,117.4,258838,117.4
33,115.81,117.25,115.75,116.3599,372532,116.3599
34,116.71,117.11,115.59,115.78,906823,115.78
35,114.59,114.99,113.88,114.21,477050,114.21
36,115.28,115.47,113.36,114.55,607252,114.55
37,113.6399,115.3584,113.41,115.266,407436,115.266
38,113.5,114.03,113.24,113.57,314091,113.57
39,112.15,113.54,111.88,113.5399,372196,113.5399
40,112.38,113.02,111.72,112.13,578362,112.13
41,111.89,112.69,111.86,112.42,1627161,112.42
42,114.27,114.65,112.51,112.82,869831,112.82
43,112.3245,114.73,112.14,114.27,1438268,114.27
44,110.66,112.69,110.07,112.32,709532,112.32
45,111.11,112.02,110.7,110.73,443883,110.73
46,110.45,111.32,110.2,111.128,487540,111.128
47,110.06,110.59,109.7,110.4624,734613,110.4624
48,108.98,110.42,108.79,110.08,1815729,110.08
49,108.48,109.96,107.77,109.55,560710,109.55
50,105.15,109.53,104.0,108.5099,2808059,108.5099
51,102.1,106.35,99.33,105.055,4754699,105.055
52,102.57,103.63,101.25,102.0401,1386230,102.0401
53,100.85,102.995,100.15,102.66,1031652,102.66
54,101.58,103.04,100.38,100.86,1179065,100.86
55,103.03,103.79,100.68,101.59,2679211,101.59
56,106.46,107.92,103.75,104.0,1383273,104.0
57,104.9557,106.57,104.54,106.41,1058021,106.41
58,104.96,105.27,104.256,104.95,747622,104.95
59,103.74,105.31,103.45,104.96,586092,104.96
60,103.53,104.4,103.46,103.83,644851,103.83
61,105.545,105.73,102.86,103.52,806847,103.52
62,106.85,107.11,105.13,105.57,2366091,105.57
63,106.84,108.63,106.7248,106.98,680125,106.98
64,105.35,107.17,104.54,106.795,795595,106.795
65,103.92,106.3,103.76,105.3,726834,105.3
66,102.89,104.3,102.82,103.884,605690,103.884
67,101.85,103.5779,101.85,102.85,697359,102.85
68,101.26,102.17,100.3,101.922,1160315,101.922
69,100.67,102.24,100.46,101.3,2174166,101.3
70,99.76,102.71,99.44,101.34,867012,101.34
71,103.3,104.354,99.515,99.74,1321351,99.74
72,104.69,104.86,102.82,103.221,866846,103.221
73,105.09,106.2499,104.68,104.7,892272,104.7
74,106.11,106.49,104.9,105.06,463704,105.06
75,106.195,106.32,105.315,106.11,722995,106.11
76,105.62,107.18,105.316,106.23,2176642,106.23
77,102.43,104.6199,101.01,101.95,1147911,101.95
78,103.17,104.845,101.98,102.46,918389,102.46
79,103.47,104.05,102.79,103.115,767281,103.115
80,102.4,103.5,100.86,103.48,1042047,103.48
81,101.88,102.52,101.4,102.4899,725014,102.4899
82,102.403,102.48,100.82,101.92,812689,101.92
83,103.06,103.32,101.64,102.39,2361954,102.39
84,103.97,104.755,102.014,104.59,1107670,104.59
85,103.9,105.6299,103.76,104.015,1080149,104.015
86,103.707,104.38,103.26,103.925,634769,103.925
87,103.5,104.205,103.0,103.7483,486166,103.7483
88,102.46,103.845,102.18,103.51,444659,103.51
89,101.78,102.58,101.38,102.415,620930,102.415
90,102.99,103.87,101.55,101.805,2158061,101.805
91,102.72,103.89,101.22,101.67,892725,101.67
92,101.52,103.6,101.34,102.7229,1340510,102.7229
93,103.71,104.645,101.5,101.5,1157630,101.5
94,104.17,104.3,102.03,103.72,875503,103.72
95,106.65,107.09,103.11,104.202,1156943,104.202
96,106.76,107.49,105.62,106.64,1093735,106.64
97,107.49,109.56,106.33,106.8699,3134174,106.8699
98,107.9575,108.43,105.7,108.22,815276,108.22
99,108.23,109.41,107.665,108.0453,1262879,108.0453
100,107.96,108.81,106.65,108.26,841911,108.26
101,106.09,108.6,105.99,107.97,1190776,107.97
102,106.44,107.0,105.44,106.06,852315,106.06
103,106.76,106.935,105.5,106.46,779117,106.46
104,105.46,106.85,105.4,106.63,1783081,106.63
105,108.73,108.87,106.47,108.09,633502,108.09
106,108.336,109.7,108.13,108.63,1035421,108.63
107,108.36,109.3399,108.16,108.32,619803,108.32
108,108.89,109.06,108.3,108.33,438185,108.33
109,108.91,109.09,108.33,108.91,380755,108.91
110,108.52,109.371,108.15,108.9,511768,108.9
111,108.81,108.92,107.94,108.51,1320654,108.51
112,108.57,109.49,107.01,109.24,592863,109.24
113,108.73,109.84,108.28,108.54,529504,108.54
114,109.54,109.71,108.533,108.67,354077,108.67
115,109.645,109.91,109.155,109.52,479909,109.52
116,108.44,109.9,108.44,109.64,415766,109.64
117,108.2,108.565,107.435,108.44,532470,108.44
118,106.7,108.58,106.55,108.1928,1666983,108.1928
119,104.1,107.58,104.0,107.06,513232,107.06
120,105.353,106.59,104.05,104.09,965357,104.09
121,105.675,106.255,105.33,105.35,332580,105.35
122,106.5,107.0,105.64,105.69,363970,105.69
123,106.25,107.0911,106.1238,106.49,275241,106.49
124,105.48,106.41,105.169,106.22,370263,106.22
125,105.99,106.27,105.21,105.5,1105560,105.5
126,105.01,108.33,104.84,107.78,634298,107.78
127,104.36,105.0,103.51,105.0,752020,105.0
128,105.505,105.59,103.68,104.33,804303,104.33
129,104.89,106.49,104.76,105.53,401340,105.53
130,105.02,105.13,104.44,104.89,305287,104.89
131,102.3833,105.27,102.3833,105.04,873058,105.04
132,102.31,102.83,101.2,102.35,2432399,102.35
133,99.16,102.35,98.6933,101.51,1383153,101.51
134,97.71,99.29,95.1,99.11,3786839,99.11
135,96.89,99.63,96.75,97.65,1902922,97.65
136,98.5,99.31,96.12,96.835,1143724,96.835
137,97.19,98.83,97.05,98.51,680869,98.51
138,97.14,98.36,96.3,97.242,1044212,97.242
139,97.21,97.48,95.9,97.19,2221821,97.19
140,99.16,99.86,95.56,97.27,1088989,97.27
141,98.64,99.63,98.208,99.06,1431437,99.06
142,98.7199,99.39,98.19,98.63,897282,98.63
143,99.35,99.85,98.5,98.72,746659,98.72
144,98.75,99.5699,98.48,99.35,842816,99.35
145,98.29,98.79,98.01,98.7696,749215,98.7696
146,100.32,100.42,98.195,98.3,3112367,98.3
147,98.19,100.12,98.07,99.69,597396,99.69
148,98.14,98.6,97.5,98.19,1563616,98.19
149,97.79,98.78,97.72,98.1144,1129182,98.1144
150,97.0301,98.06,96.9,97.81,1242371,97.81
151,98.27,98.3128,96.91,97.04,757104,97.04
152,99.5,99.68,98.04,98.29,1249567,98.29
153,100.8,101.83,99.48,99.5,2901225,99.5
154,99.11,99.73,98.555,99.04,608258,99.04
155,98.77,100.63,98.75,99.105,1086390,99.105
156,97.79,98.91,97.75,98.75,810226,98.75
157,97.635,97.89,96.66,97.76,773249,97.76
158,96.7463,97.64,96.43,97.64,592084,97.64
159,96.55,97.13,96.3,96.75,662505,96.75
160,96.85,97.7,96.22,96.53,2138263,96.53
161,95.31,97.94,94.83,97.8,730633,97.8
162,95.41,95.931,93.05,95.31,1755173,95.31
163,96.38,96.81,94.79,95.41,1297493,95.41
164,96.1201,96.81,95.55,96.38,575808,96.38
165,96.02,96.49,95.57,96.19,628974,96.19
166,99.49,99.95,95.97,96.02,1429063,96.02
167,99.49,99.64,98.33,99.425,1673020,99.425
168,100.4,100.68,98.75,99.43,526559,99.43
169,102.31,103.69,99.306,100.44,1880724,100.44
170,101.28,102.282,100.97,102.282,1132576,102.282
171,101.4,101.995,101.04,101.3,714012,101.3
172,101.74,102.32,101.33,101.39,714207,101.39
173,101.83,101.83,100.8736,101.71,542868,101.71
174,101.93,102.52,101.41,101.8,1348577,101.8
175,99.86,101.94,99.75,101.72,654232,101.72
176,99.455,100.35,99.2,99.83,902775,99.83
177,98.49,99.86,97.81,99.5,772812,99.5
178,98.51,99.24,98.22,98.48,670632,98.48
179,96.99,98.69,96.7316,98.48,790168,98.48
180,96.97,97.5499,96.4,97.01,771311,97.01
181,97.89,98.0,96.55,96.945,2260322,96.945
182,96.5005,97.81,95.51,96.44,1130918,96.44
183,98.58,99.36,96.4,96.49,1302743,96.49
184,99.1375,99.1599,96.95,98.58,1088750,98.58
185,98.95,99.63,98.51,99.12,846159,99.12
186,98.3,98.95,97.61,98.94,675417,98.94
187,97.94,98.6,97.48,98.32,712438,98.32
188,99.18,100.7,97.88,97.925,2366844,97.925
189,98.5,99.595,95.75,96.73,922708,96.73
190,97.98,100.36,97.93,98.5,1018357,98.5
191,98.73,99.715,97.93,97.935,645180,97.935
192,98.95,99.8,98.7,98.76,456857,98.76
