Date,Open,High,Low,Close,Volume,Adj Close
0,18.24,18.25,18.24,18.25,14395,18.25
1,18.3,18.36,18.15,18.295,131608,18.295
2,18.27,18.34,18.17,18.305,66335,18.305
3,18.3,18.3799,18.25,18.27,86832,18.27
4,18.19,18.31,18.14,18.28,65747,18.28
5,17.98,18.21,17.975,18.1807,55782,18.1807
6,17.89,18.07,17.89,17.98,47051,17.98
7,17.89,17.975,17.89,17.89,34974,17.89
8,17.905,17.92,17.8,17.89,86716,17.89
9,17.93,17.95,17.86,17.9199,57726,17.9199
10,17.9,17.97,17.87,17.94,27266,17.94
11,17.88,17.915,17.84,17.89,40135,17.89
12,17.88,17.88,17.79,17.87,37731,17.87
13,17.815,17.89,17.815,17.8701,44983,17.8701
14,17.8,17.84,17.76,17.82,33386,17.82
15,17.835,17.8799,17.775,17.8,36476,17.8
16,17.79,17.88,17.779,17.839,42681,17.839
17,17.73,17.82,17.73,17.79,37415,17.79
18,17.705,17.77,17.6901,17.7301,65883,17.7301
19,17.604,17.705,17.604,17.7,71347,17.7
20,17.67,17.67,17.59,17.606,88137,17.606
21,17.52,17.67,17.52,17.67,53333,17.67
22,17.485,17.52,17.46,17.52,73248,17.52
23,17.52,17.58,17.47,17.48,84214,17.48
24,17.64,17.65,17.48,17.52,121142,17.52
25,17.71,17.73,17.63,17.64,201438,17.64
26,17.58,17.74,17.55,17.72,724684,17.72
27,17.15,17.28,17.15,17.28,28639,17.28
28,17.28,17.33,17.11,17.14,130059,17.14
29,17.23,17.33,17.12,17.2801,115463,17.2801
30,17.08,17.2401,17.01,17.2401,89497,17.2401
31,16.985,17.11,16.96,17.07,88712,17.07
32,16.97,16.99,16.87,16.98,85781,16.98
33,16.8775,16.975,16.83,16.97,119356,16.97
34,16.92,16.935,16.81,16.88,97382,16.88
35,16.905,16.965,16.86,16.91,91000,16.91
36,16.86,16.96,16.86,16.89,94532,16.89
37,16.79,16.885,16.7,16.86,85172,16.86
38,16.73,16.845,16.705,16.79,54097,16.79
39,16.67,16.785,16.66,16.73,96302,16.73
40,16.7,16.73,16.67,16.67,65895,16.67
41,16.8,16.8,16.68,16.69,125253,16.69
42,16.67,16.82,16.665,16.81,191014,16.81
43,16.7601,16.79,16.63,16.67,111507,16.67
44,16.92,16.9405,16.75,16.765,162278,16.765
45,16.98,17.03,16.9095,16.93,67715,16.93
46,17.01,17.085,16.89,16.9762,163806,16.9762
47,17.03,17.1,16.97,17.01,97543,17.01
48,17.07,17.11,16.97,17.04,101799,17.04
49,17.175,17.215,17.01,17.06,118461,17.06
50,17.34,17.35,17.13,17.18,124780,17.18
51,17.56,17.57,17.34,17.35,178186,17.35
52,17.39,17.565,17.36,17.56,207843,17.56
53,17.34,17.39,17.275,17.39,414956,17.39
54,17.51,17.51,17.5,17.5,16348,17.5
55,17.52,17.62,17.42,17.51,140516,17.51
56,17.3,17.505,17.3,17.5,128271,17.5
57,17.56,17.6,17.3,17.31,87187,17.31
58,17.5,17.62,17.41,17.55,89892,17.55
59,17.64,17.66,17.44,17.5,81673,17.5
60,17.54,17.706,17.54,17.63,120143,17.63
61,17.7,17.76,17.51,17.55,110253,17.55
62,17.56,17.71,17.545,17.7,71526,17.7
63,17.575,17.685,17.56,17.57,95682,17.57
64,17.77,17.82,17.58,17.58,96884,17.58
65,17.73,17.89,17.73,17.78,78225,17.78
66,17.79,17.8,17.66,17.73,122338,17.73
67,17.71,17.8,17.7,17.785,77500,17.785
68,17.68,17.72,17.65,17.71,53782,17.71
69,17.67,17.77,17.67,17.68,34431,17.68
70,17.51,17.67,17.51,17.66,55809,17.66
71,17.55,17.59,17.44,17.51,87534,17.51
72,17.48,17.59,17.46,17.55,45533,17.55
73,17.4,17.51,17.38,17.49,92998,17.49
74,17.4,17.42,17.33,17.41,52173,17.41
75,17.49,17.51,17.41,17.41,109907,17.41
76,17.55,17.57,17.4,17.5,129523,17.5
77,17.5,17.54,17.43,17.54,145263,17.54
78,17.43,17.53,17.43,17.5,147781,17.5
79,17.53,17.56,17.43,17.43,111575,17.43
80,17.44,17.53,17.44,17.52,186867,17.52
81,17.83,17.85,17.77,17.77,21562,17.77
82,17.66,17.8651,17.52,17.79,47507,17.79
83,17.85,17.85,17.59,17.66,54535,17.66
84,17.86,17.91,17.73,17.85,60253,17.85
85,18.12,18.1499,17.77,17.86,310454,17.86
86,18.15,18.23,18.09,18.13,209567,18.13
87,17.95,18.15,17.95,18.15,103699,18.15
88,17.865,18.01,17.85,17.96,74672,17.96
89,18.04,18.05,17.84,17.86,97940,17.86
90,17.92,18.04,17.905,18.03,53542,18.03
91,17.94,17.955,17.86,17.93,67970,17.93
92,18.02,18.03,17.93,17.94,40769,17.94
93,18.08,18.09,17.984,18.01,50988,18.01
94,18.03,18.09,18.03,18.08,43639,18.08
95,18.04,18.04,17.97,18.02,23646,18.02
96,17.95,18.03,17.9,18.03,30638,18.03
97,17.92,18.015,17.92,17.96,29090,17.96
98,17.93,17.96,17.91,17.93,25369,17.93
