Date,Close,High,Low,Open,Volume,Adj Close
2015-12-18 10:30:00,2.045,2.14,2.03,2.08,307655,2.045
2015-12-18 11:30:00,2.035,2.07,2.03,2.05,156084,2.035
2015-12-18 12:30:00,2.04,2.055,2.01,2.02,185783,2.04
2015-12-18 13:30:00,2.04,2.05,2.0101,2.02,91123,2.04
2015-12-18 14:30:00,2.08,2.08,2.035,2.04,76800,2.08
2015-12-18 15:30:00,2.055,2.08,2.05,2.08,132044,2.055
2015-12-18 16:00:00,2.075,2.075,2.05,2.0599,47539,2.075
2015-12-21 10:30:00,2.22,2.22,2.0499,2.142,259627,2.22
2015-12-21 11:30:00,2.17,2.28,2.17,2.22,226293,2.17
2015-12-21 12:30:00,2.13,2.19,2.13,2.17,307182,2.13
2015-12-21 13:30:00,2.08,2.13,2.08,2.13,153323,2.08
2015-12-21 14:30:00,2.1,2.11,2.075,2.075,97067,2.1
2015-12-21 15:30:00,2.0,2.1,1.95,2.1,761515,2.0
2015-12-21 16:00:00,1.99,2.0,1.985,1.985,248663,1.99
2015-12-22 10:30:00,2.03,2.1,2.0,2.0,364975,2.03
2015-12-22 11:30:00,2.06,2.06,2.02,2.03,171255,2.06
2015-12-22 12:30:00,2.04,2.08,2.02,2.06,139451,2.04
2015-12-22 13:30:00,2.08,2.08,2.03,2.04,142752,2.08
2015-12-22 14:30:00,2.1,2.1,2.08,2.08,153210,2.1
2015-12-22 15:30:00,2.07,2.1,2.06,2.1,149179,2.07
2015-12-22 16:00:00,2.1,2.1,2.07,2.07,170652,2.1
2015-12-23 10:30:00,2.16,2.24,2.13,2.16,180440,2.16
2015-12-23 11:30:00,2.25,2.25,2.175,2.175,314011,2.25
2015-12-23 12:30:00,2.25,2.28,2.2449,2.2449,165684,2.25
2015-12-23 13:30:00,2.27,2.27,2.25,2.25,89442,2.27
2015-12-23 14:30:00,2.255,2.27,2.25,2.265,91096,2.255
2015-12-23 15:30:00,2.33,2.33,2.25,2.255,176647,2.33
2015-12-23 16:00:00,2.32,2.33,2.3,2.33,240739,2.32
2015-12-24 10:30:00,2.335,2.4,2.3,2.3701,151903,2.335
2015-12-24 11:30:00,2.3269,2.35,2.3,2.33,125247,2.3269
2015-12-24 12:30:00,2.315,2.33,2.27,2.32,132102,2.315
2015-12-24 13:30:00,2.29,2.32,2.29,2.315,84608,2.29
2015-12-28 10:30:00,2.2,2.263,2.17,2.22,170086,2.2
2015-12-28 11:30:00,2.15,2.21,2.135,2.21,94808,2.15
2015-12-28 12:30:00,2.18,2.19,2.15,2.15,61006,2.18
2015-12-28 13:30:00,2.205,2.21,2.19,2.2,137119,2.205
2015-12-28 14:30:00,2.2,2.24,2.2,2.21,73460,2.2
2015-12-28 15:30:00,2.21,2.21,2.2,2.205,67547,2.21
2015-12-28 16:00:00,2.215,2.22,2.205,2.205,115188,2.215
2015-12-29 10:30:00,2.25,2.275,2.24,2.27,188716,2.25
2015-12-29 11:30:00,2.25,2.26,2.24,2.25,212318,2.25
2015-12-29 12:30:00,2.215,2.27,2.21,2.26,119049,2.215
2015-12-29 13:30:00,2.215,2.24,2.21,2.215,63409,2.215
2015-12-29 14:30:00,2.22,2.25,2.21,2.215,91647,2.22
2015-12-29 15:30:00,2.215,2.22,2.2,2.22,114631,2.215
2015-12-29 16:00:00,2.235,2.235,2.2,2.22,141509,2.235
2015-12-30 10:30:00,2.13,2.25,2.11,2.2,143434,2.13
2015-12-30 11:30:00,2.08,2.16,2.08,2.14,145105,2.08
2015-12-30 12:30:00,2.05,2.09,2.05,2.06,169497,2.05
2015-12-30 13:30:00,2.05,2.07,2.05,2.05,96329,2.05
2015-12-30 14:30:00,2.05,2.06,2.05,2.055,38126,2.05
2015-12-30 15:30:00,2.06,2.06,2.05,2.05,85825,2.06
2015-12-30 16:00:00,2.04,2.06,2.04,2.05,193792,2.04
2015-12-31 10:30:00,2.04,2.0943,2.0172,2.04,143384,2.04
2015-12-31 11:30:00,2.0001,2.06,2.0,2.046,282506,2.0001
2015-12-31 12:30:00,2.0201,2.0201,2.0,2.0,153097,2.0201
2015-12-31 13:30:00,2.03,2.05,2.02,2.05,108938,2.03
2015-12-31 14:30:00,2.02,2.05,2.02,2.03,81535,2.02
2015-12-31 15:30:00,2.045,2.05,2.015,2.02,95300,2.045
2015-12-31 16:00:00,2.075,2.08,2.04,2.045,143621,2.075
2016-01-04 10:30:00,2.1,2.13,2.02,2.02,201102,2.1
2016-01-04 11:30:00,2.065,2.09,2.03,2.09,114890,2.065
2016-01-04 12:30:00,2.105,2.105,2.06,2.065,99137,2.105
2016-01-04 13:30:00,2.2,2.2,2.08,2.09,178536,2.2
2016-01-04 14:30:00,2.16,2.23,2.16,2.19,123107,2.16
2016-01-04 15:30:00,2.215,2.24,2.14,2.16,127257,2.215
2016-01-04 16:00:00,2.205,2.2475,2.2,2.2284,122037,2.205
2016-01-05 10:30:00,2.07,2.205,2.07,2.2,170826,2.07
2016-01-05 11:30:00,2.05,2.09,2.05,2.07,342024,2.05
2016-01-05 12:30:00,2.06,2.08,2.05,2.08,153721,2.06
2016-01-05 13:30:00,2.0225,2.06,2.02,2.055,128617,2.0225
2016-01-05 14:30:00,2.05,2.07,2.02,2.02,124690,2.05
