Date,Open,High,Low,Close,Volume,Adj Close
0,63.98,64.16,63.7,63.79,91671,63.79
1,64.07,64.32,63.9094,63.99,94840,63.99
2,64.27,64.33,64.0647,64.09,116406,64.09
3,64.17,64.3066,64.12,64.26,128751,64.26
4,64.33,64.37,64.14,64.17,84557,64.17
5,64.29,64.3651,64.16,64.33,136119,64.33
6,64.19,64.36,64.08,64.29,193088,64.29
7,64.23,64.35,64.19,64.19,123278,64.19
8,64.345,64.36,64.18,64.23,185496,64.23
9,64.35,64.485,64.325,64.34,198462,64.34
10,64.29,64.4025,64.27,64.36,92920,64.36
11,64.101,64.29,64.06,64.28,80076,64.28
12,64.04,64.11,63.92,64.1,102131,64.1
13,64.105,64.19,64.03,64.03,114271,64.03
14,64.22,64.24,64.09,64.11,87503,64.11
15,64.25,64.3,64.23,64.23,109511,64.23
16,64.215,64.32,64.1801,64.25,92574,64.25
17,64.27,64.35,64.19,64.21,101036,64.21
18,64.29,64.325,64.2,64.27,111119,64.27
19,64.18,64.37,64.14,64.295,161887,64.295
20,64.125,64.17,64.08,64.17,323130,64.17
21,64.03,64.1999,64.03,64.12,145732,64.12
22,63.8838,64.024,63.85,64.0205,140949,64.0205
23,64.07,64.07,63.85,63.87,174091,63.87
24,64.13,64.17,64.0,64.065,163129,64.065
25,64.3201,64.365,64.13,64.14,280193,64.14
26,64.3,64.52,64.2301,64.33,523165,64.33
27,63.19,63.68,63.1,63.46,472969,63.46
28,63.45,63.56,63.19,63.205,372929,63.205
29,63.32,63.47,63.265,63.44,336492,63.44
30,63.0,63.34,62.97,63.31,185550,63.31
31,62.71,63.02,62.7,63.0,326613,63.0
32,62.38,62.71,62.36,62.71,300168,62.71
33,62.5,62.5143,62.33,62.38,282223,62.38
34,62.42,62.73,62.38,62.5,263753,62.5
35,62.46,62.58,62.41,62.41,97785,62.41
36,62.315,62.48,62.29,62.46,150668,62.46
37,62.06,62.355,62.05,62.3,146069,62.3
38,61.6202,62.05,61.59,62.05,184817,62.05
39,61.555,61.73,61.54,61.62,250282,61.62
40,61.66,61.675,61.4,61.56,267165,61.56
41,61.76,61.81,61.58,61.66,179368,61.66
