Date,Open,High,Low,Close,Volume,Adj Close
0,64.73,65.165,64.6,65.07,359674,65.07
1,65.07,65.15,64.8,64.96,498926,64.96
2,64.96,65.14,64.78,65.0686,382183,65.0686
3,65.06,65.07,64.73,64.97,391319,64.97
4,64.97,65.065,64.78,65.04,436634,65.04
5,65.05,65.26,64.95,65.01,464519,65.01
6,65.011,65.06,64.595,65.0,997346,65.0
7,64.21,64.47,64.09,64.29,255027,64.29
8,64.29,64.54,64.2,64.3,432762,64.3
9,64.31,64.6399,64.3,64.38,469633,64.38
10,64.38,64.52,64.36,64.45,360686,64.45
11,64.44,64.46,64.29,64.3485,273869,64.3485
12,64.33,64.54,63.99,64.025,534894,64.025
13,64.02,64.255,63.955,64.16,1366605,64.16
14,63.4,63.9,63.0,63.6,443037,63.6
15,63.6,63.83,63.435,63.48,537822,63.48
16,63.48,63.55,63.27,63.36,414160,63.36
17,63.35,63.52,63.22,63.24,371354,63.24
18,63.24,63.255,62.82,62.97,374697,62.97
19,62.97,63.14,62.8,62.88,489857,62.88
20,62.9,63.19,62.76,63.03,996274,63.03
21,63.1,63.18,62.79,63.18,302396,63.18
22,63.155,63.35,62.89,63.25,436069,63.25
23,63.24,63.33,62.94,63.29,376823,63.29
24,63.29,63.42,63.23,63.36,231430,63.36
25,63.35,63.42,63.08,63.21,242211,63.21
26,63.2,63.36,62.93,62.96,278368,62.96
27,62.95,63.0261,62.37,62.56,680967,62.56
28,62.85,63.2,62.65,62.71,214254,62.71
29,62.71,62.82,62.445,62.53,441242,62.53
30,62.51,62.81,62.4,62.6899,260887,62.6899
31,62.69,62.7,62.31,62.4,203369,62.4
32,62.41,62.49,62.08,62.18,267350,62.18
33,62.19,62.61,62.13,62.45,279549,62.45
34,62.45,63.05,62.36,62.81,742725,62.81
35,63.27,63.42,63.08,63.37,451553,63.37
36,63.36,63.39,62.83,63.02,334634,63.02
37,63.025,63.025,62.71,62.925,249289,62.925
38,62.93,63.07,62.67,62.76,166548,62.76
39,62.77,63.195,62.77,63.06,223556,63.06
40,63.07,63.29,62.8716,63.22,290040,63.22
41,63.21,63.5,63.06,63.39,684025,63.39
42,63.6,63.72,63.34,63.6,396399,63.6
43,63.58,63.83,63.46,63.76,547512,63.76
44,63.75,63.935,63.7,63.74,440533,63.74
45,63.75,63.8,63.45,63.47,200426,63.47
46,63.46,63.61,63.415,63.44,270488,63.44
47,63.43,63.455,62.9,63.03,386903,63.03
48,63.03,63.22,62.8,62.9,735616,62.9
49,63.03,63.48,62.98,63.14,239516,63.14
50,63.13,63.93,63.06,63.91,717427,63.91
51,63.91,64.14,63.71,63.85,600544,63.85
52,63.86,63.91,63.6,63.6,344703,63.6
53,63.6,63.81,63.56,63.75,241751,63.75
54,63.76,63.79,63.58,63.77,307918,63.77
55,63.78,63.93,63.36,63.51,716714,63.51
56,62.37,63.92,62.32,62.94,778768,62.94
57,62.9,63.52,62.69,63.42,633744,63.42
58,63.41,63.67,63.36,63.4725,553003,63.4725
59,63.47,63.5199,62.91,63.19,535378,63.19
60,63.2,63.26,62.86,62.96,588241,62.96
61,62.96,63.19,62.8,63.17,570217,63.17
62,63.16,63.36,62.905,63.34,1474130,63.34
63,63.79,64.33,63.7,64.27,302917,64.27
64,64.26,64.37,64.08,64.19,542515,64.19
65,64.19,64.485,64.18,64.29,600156,64.29
66,64.28,64.29,63.92,64.22,383981,64.22
67,64.23,64.35,64.1801,64.29,414240,64.29
68,64.295,64.37,63.85,63.8838,771698,63.8838
69,63.87,64.52,63.85,64.3,1140578,64.3
70,63.46,63.68,63.1,63.45,845898,63.45
71,63.44,63.47,62.36,62.38,1148823,62.38
72,62.38,62.73,62.29,62.315,794429,62.315
73,62.3,62.355,61.4,61.66,848333,61.66
74,61.66,62.02,61.54,61.84,665920,61.84
75,61.84,61.93,61.58,61.84,978100,61.84
76,61.85,62.815,61.795,62.45,2085161,62.45
77,62.32,62.94,61.91,62.2,449315,62.2
78,62.19,63.24,62.16,63.08,717229,63.08
79,63.09,63.46,63.02,63.42,651528,63.42
80,63.42,63.76,63.42,63.6525,537338,63.6525
81,63.6525,63.765,63.3,63.4749,406812,63.4749
82,63.48,63.66,62.97,63.63,818929,63.63
83,63.62,63.96,63.46,63.66,1276499,63.66
84,64.33,64.66,63.8701,64.59,357509,64.59
85,64.59,64.77,64.515,64.53,1019568,64.53
86,64.525,64.8681,64.5125,64.7325,450420,64.7325
87,64.74,64.85,64.45,64.57,334416,64.57
88,64.58,64.82,64.52,64.745,333667,64.745
89,64.735,64.91,64.61,64.75,387448,64.75
90,64.7525,64.775,64.465,64.61,855272,64.61
91,64.33,64.5,63.76,63.9,319975,63.9
92,63.89,64.13,63.76,64.11,586689,64.11
93,64.11,64.49,63.96,64.42,385580,64.42
94,64.42,64.52,64.31,64.4101,234657,64.4101
95,64.415,64.605,64.22,64.22,377120,64.22
96,64.22,64.48,64.1468,64.37,349282,64.37
97,64.37,64.41,63.86,63.94,769175,63.94
98,64.01,64.74,63.98,64.58,357110,64.58
99,64.59,64.81,64.56,64.645,684599,64.645
100,64.66,64.72,64.32,64.34,342150,64.34
101,64.34,64.69,64.31,64.61,353200,64.61
102,64.615,64.7074,64.3801,64.39,264698,64.39
103,64.39,64.51,64.3101,64.46,246343,64.46
104,64.47,64.495,64.24,64.33,522046,64.33
105,64.29,64.53,64.07,64.45,260714,64.45
106,64.45,64.59,64.3,64.4,416882,64.4
107,64.4,64.975,64.3442,64.78,347588,64.78
108,64.78,65.04,64.78,64.92,352628,64.92
109,64.93,65.0,64.845,64.96,226759,64.96
110,64.94,65.1,64.2501,64.29,432918,64.29
111,64.28,64.34,63.88,64.3,652865,64.3
112,64.56,64.92,64.32,64.75,317556,64.75
113,64.75,65.01,64.58,65.0,1078803,65.0
114,65.0,65.07,64.61,64.61,962697,64.61
115,64.63,65.36,64.62,65.36,436569,65.36
116,65.36,65.38,65.04,65.21,514744,65.21
117,65.21,65.55,65.11,65.23,455887,65.23
118,65.23,65.29,64.94,65.02,1144847,65.02
119,64.99,65.7,64.37,64.86,737905,64.86
120,64.88,65.71,64.35,65.37,1067660,65.37
121,65.37,67.46,65.16,67.455,1362867,67.455
122,67.45,67.45,66.54,66.59,791622,66.59
123,66.6,67.17,66.6,67.06,535905,67.06
124,67.06,67.65,66.93,67.44,825789,67.44
125,67.44,67.585,67.23,67.51,2269674,67.51
126,66.93,67.08,66.08,66.17,663781,66.17
127,66.17,66.54,66.08,66.21,622906,66.21
128,66.22,66.33,65.9,66.15,628688,66.15
129,65.95,66.0,65.89,65.99,128933,65.99
130,66.0,66.24,66.0,66.18,332457,66.18
131,66.18,66.39,66.01,66.34,502502,66.34
132,66.34,66.64,66.14,66.15,1123591,66.15
133,65.62,66.08,65.552,65.7,283744,65.7
134,65.69,65.81,65.54,65.72,632176,65.72
135,65.725,65.99,65.69,65.76,327839,65.76
136,65.76,65.8,65.6,65.7,414262,65.7
137,65.7,65.7878,65.37,65.4,255678,65.4
138,65.41,65.55,65.3001,65.39,340893,65.39
139,65.39,65.56,65.17,65.36,790445,65.36
140,65.84,65.91,65.43,65.54,437497,65.54
