Date,Close,High,Low,Open,Volume,Adj Close
2015-09-14 10:30:00,61.81,61.885,61.58,61.716,203873,61.81
2015-09-14 11:30:00,61.98,62.075,61.82,61.82,183137,61.98
2015-09-14 12:30:00,61.73,62.05,61.73,61.9601,133240,61.73
2015-09-14 13:30:00,61.83,61.83,61.62,61.705,112592,61.83
2015-09-14 14:30:00,62.01,62.04,61.825,61.825,134777,62.01
2015-09-14 15:30:00,61.9995,62.11,61.94,62.0,190393,61.9995
2015-09-14 16:00:00,62.1,62.135,61.95,61.99,205445,62.1
2015-09-15 10:30:00,61.99,62.26,61.8,62.25,213893,61.99
2015-09-15 11:30:00,62.11,62.3,62.03,62.065,182437,62.11
2015-09-15 12:30:00,62.04,62.16,62.03,62.16,121552,62.04
2015-09-15 13:30:00,62.345,62.345,62.02,62.025,124654,62.345
2015-09-15 14:30:00,62.39,62.45,62.25,62.37,198901,62.39
2015-09-15 15:30:00,62.58,62.63,62.38,62.39,150245,62.58
2015-09-15 16:00:00,62.43,62.61,62.43,62.58,158637,62.43
2015-09-16 10:30:00,63.035,63.07,62.735,62.735,104322,63.035
2015-09-16 11:30:00,63.135,63.16,62.81,63.03,137294,63.135
2015-09-16 12:30:00,63.03,63.18,62.975,63.14,98812,63.03
2015-09-16 13:30:00,62.91,63.13,62.89,63.02,53524,62.91
2015-09-16 14:30:00,62.89,63.0,62.86,62.91,83447,62.89
2015-09-16 15:30:00,63.16,63.16,62.89,62.89,125959,63.16
2015-09-16 16:00:00,63.065,63.215,63.05,63.155,139717,63.065
2015-09-17 10:30:00,63.26,63.3701,63.06,63.07,122716,63.26
2015-09-17 11:30:00,63.38,63.38,63.25,63.27,111111,63.38
2015-09-17 12:30:00,63.585,63.59,63.32,63.32,116910,63.585
2015-09-17 13:30:00,63.68,63.73,63.58,63.61,160224,63.68
2015-09-17 14:30:00,63.55,63.79,63.45,63.695,234800,63.55
2015-09-17 15:30:00,63.425,64.04,63.37,63.615,373416,63.425
2015-09-17 16:00:00,63.29,63.535,63.18,63.37,303751,63.29
2015-09-18 10:30:00,63.28,63.45,62.645,62.645,192617,63.28
2015-09-18 11:30:00,63.49,63.64,63.21,63.29,244165,63.49
2015-09-18 12:30:00,63.11,63.49,63.09,63.435,100279,63.11
2015-09-18 13:30:00,63.14,63.24,62.98,63.1,106387,63.14
2015-09-18 14:30:00,63.2,63.2,62.96,63.12,188614,63.2
2015-09-18 15:30:00,63.0525,63.18,62.92,63.15,326037,63.0525
2015-09-18 16:00:00,62.72,63.095,62.72,63.055,787456,62.72
2015-09-21 10:30:00,63.14,63.32,62.9699,63.02,257606,63.14
2015-09-21 11:30:00,63.2,63.3799,63.18,63.2,148306,63.2
2015-09-21 12:30:00,63.13,63.205,62.955,63.199,116155,63.13
2015-09-21 13:30:00,63.2599,63.2599,63.0,63.1,115694,63.2599
2015-09-21 14:30:00,63.325,63.4,63.24,63.26,123156,63.325
2015-09-21 15:30:00,63.225,63.425,63.21,63.325,303214,63.225
2015-09-21 16:00:00,63.12,63.21,62.99,63.21,281839,63.12
2015-09-22 10:30:00,62.16,62.68,62.07,62.53,269247,62.16
2015-09-22 11:30:00,61.77,62.13,61.75,62.13,209676,61.77
2015-09-22 12:30:00,62.02,62.16,61.8,61.82,93126,62.02
