Date,Open,High,Low,Close,Volume,Adj Close
0,462.75,462.75,462.75,462.75,100,462.75
1,461.52,464.43,458.01,459.365,93788,459.365
2,459.1565,463.0,458.01,461.0,73640,461.0
3,463.0,463.3089,458.77,459.005,43535,459.005
4,459.12,459.3676,453.7101,457.37,59652,457.37
5,456.85,456.99,451.55,454.28,62226,454.28
6,454.37,454.8,451.09,451.51,38910,451.51
7,451.51,458.24,451.13,457.71,74083,457.71
8,457.345,460.42,456.97,460.28,51922,460.28
9,460.485,462.66,460.485,461.25,59271,461.25
10,460.85,461.47,457.28,458.59,40109,458.59
11,458.18,460.96,458.148,458.63,38683,458.63
12,458.82,458.82,455.2,456.34,28669,456.34
13,456.84,458.58,456.0194,456.415,46735,456.415
14,456.38,460.12,455.52,460.12,36139,460.12
15,460.018,461.39,459.19,459.96,51868,459.96
16,459.86,459.86,457.03,458.48,52056,458.48
17,458.36,467.63,458.29,467.275,87734,467.275
18,467.55,469.3399,466.86,467.87,39400,467.87
19,467.04,467.85,463.2,465.213,62145,465.213
20,466.67,467.07,463.17,463.98,33832,463.98
21,464.77,465.373,462.8601,463.7838,34562,463.7838
22,463.21,466.47,462.04,464.853,33174,464.853
23,464.6055,468.0096,462.92,468.0096,43501,468.0096
24,468.23,472.27,468.2,471.475,42363,471.475
25,471.48,472.79,466.11,468.01,50496,468.01
26,468.0,468.11,464.23,465.6,84430,465.6
27,469.79,470.22,464.1978,464.1978,33849,464.1978
28,464.327,468.55,462.09,467.94,34716,467.94
29,467.865,473.62,467.4101,471.1858,51280,471.1858
30,470.57,472.98,468.29,471.22,18306,471.22
31,471.64,472.6,470.07,472.4,27097,472.4
32,472.5,474.15,469.1,469.1,56165,469.1
33,468.506,472.39,468.245,470.17,25481,470.17
34,470.1,470.62,468.25,468.25,15369,468.25
35,468.72,470.45,467.66,469.55,15480,469.55
36,469.21,474.08,469.21,473.1777,49516,473.1777
37,473.316,475.59,472.5725,472.67,20186,472.67
38,472.68,475.1,472.68,475.1,38000,475.1
39,474.97,475.31,471.99,471.99,40903,471.99
40,472.005,472.99,471.75,471.84,23880,471.84
41,471.81,474.0,471.65,472.541,29506,472.541
42,472.63,472.63,468.0,468.37,40186,468.37
43,468.44,468.99,466.01,466.75,32023,466.75
44,466.89,467.8604,465.577,466.2,35777,466.2
45,466.745,466.75,462.2701,462.43,40454,462.43
46,462.504,464.096,461.36,464.096,31602,464.096
47,464.1608,466.19,463.5011,465.5,29015,465.5
48,465.03,465.57,462.79,464.74,28155,464.74
49,464.5,464.55,461.46,463.65,36619,463.65
50,463.31,464.56,462.28,463.41,25321,463.41
51,463.0,465.25,463.0,464.43,31921,464.43
52,463.95,464.43,461.0,461.6299,84085,461.6299
53,466.22,466.33,457.01,458.74,67783,458.74
54,459.25,459.52,455.82,456.4321,41929,456.4321
55,456.67,458.5738,456.28,457.6,50741,457.6
56,457.59,458.21,454.3211,455.4,66431,455.4
57,455.4,456.0199,452.2,453.02,73126,453.02
58,453.03,454.099,450.61,451.18,32824,451.18
59,451.6576,454.08,451.01,451.55,31695,451.55
60,451.35,454.58,451.3,454.58,36155,454.58
61,454.17,455.2,452.66,452.76,46984,452.76
62,453.18,453.5,451.62,453.01,28540,453.01
63,453.11,454.08,452.21,453.38,25807,453.38
64,453.97,455.08,452.91,454.53,31344,454.53
65,454.66,456.44,454.0,455.35,31562,455.35
66,455.3,456.768,454.37,455.66,14473,455.66
67,455.32,456.5,454.2,454.73,25377,454.73
68,454.87,455.2,454.0,454.1,31557,454.1
69,454.01,454.4,452.35,452.58,38775,452.58
70,452.655,452.7,451.1221,452.1,37400,452.1
71,452.54,454.02,451.51,454.02,24029,454.02
72,454.01,454.215,451.7,451.7,29294,451.7
73,451.51,452.0,449.8101,450.99,42732,450.99
74,450.75,452.1,450.4,450.715,36758,450.715
75,450.99,450.99,448.25,448.39,46041,448.39
76,448.42,449.29,446.7,448.56,45585,448.56
77,448.56,450.83,447.87,450.4,47530,450.4
78,450.43,451.42,450.0,450.76,95966,450.76
79,447.92,448.915,441.87,446.27,71828,446.27
80,445.25,446.16,441.5,443.16,43987,443.16
81,442.11,443.995,440.09,440.508,67070,440.508
82,440.09,441.64,435.245,437.79,72948,437.79
83,437.79,437.79,435.27,436.48,32426,436.48
84,435.5601,436.99,433.699,435.8569,50178,435.8569
85,435.575,435.75,432.02,432.2755,70337,432.2755
86,432.02,434.2655,431.52,433.609,43388,433.609
87,433.55,436.16,433.33,434.47,37808,434.47
88,434.3,436.58,434.12,436.5,43684,436.5
89,436.05,437.5,435.12,436.91,39230,436.91
90,437.1015,440.03,436.55,437.68,51358,437.68
91,437.65,439.4072,437.4,437.4,38358,437.4
92,437.5,439.35,436.4907,439.07,39416,439.07
93,439.021,442.16,438.679,442.16,41312,442.16
94,441.7217,443.7633,440.12,440.13,49678,440.13
95,440.14,441.63,440.14,440.6,22488,440.6
96,440.71,441.289,438.82,440.996,97238,440.996
97,440.75,441.0,439.47,439.7307,31168,439.7307
98,439.55,439.96,437.57,438.9723,50471,438.9723
99,438.6981,441.4,438.6981,440.7205,31066,440.7205
100,440.4952,442.78,440.325,441.955,33095,441.955
101,441.72,442.844,439.7675,439.7675,30525,439.7675
102,440.0,441.15,439.0568,439.52,28935,439.52
103,439.4,444.1012,439.0156,443.744,58376,443.744
104,443.4721,444.5,441.5701,442.17,58026,442.17
105,442.0,442.0,442.0,442.0,7076,442.0
106,441.99,448.88,440.933,444.8,18596,444.8
107,443.68,444.97,440.01,443.55,21500,443.55
108,443.94,448.0,443.76,447.87,22561,447.87
109,447.8942,449.44,446.8,447.87,20961,447.87
110,447.95,449.38,446.0,449.2,27079,449.2
111,448.64,448.84,445.4,445.8065,20544,445.8065
112,446.12,447.5,445.05,445.7,25965,445.7
113,445.59,445.74,443.454,444.12,14454,444.12
114,443.82,444.23,442.5012,443.08,25579,443.08
115,443.514,445.98,443.3,445.56,22671,445.56
116,445.6,447.1,445.011,446.945,21411,446.945
117,446.5101,447.09,446.25,446.615,15155,446.615
118,446.46,447.14,446.41,446.75,12604,446.75
119,446.97,447.41,446.77,447.41,10163,447.41
120,447.07,447.5,446.11,447.0,24622,447.0
121,447.23,449.3996,446.888,448.7499,18519,448.7499
122,448.2016,449.03,448.2016,448.34,14818,448.34
123,448.1,448.95,447.72,448.375,10359,448.375
124,448.375,448.375,447.75,448.2,25925,448.2
125,448.03,449.2644,447.54,447.54,14266,447.54
126,447.51,448.4,447.14,447.9525,17770,447.9525
127,448.0,449.07,447.33,448.22,29218,448.22
128,448.22,448.8999,447.68,448.56,32070,448.56
129,448.565,449.0,447.71,448.9,42986,448.9
130,448.91,449.89,447.92,449.78,26702,449.78
131,449.77,449.9,448.02,448.7,36535,448.7
132,448.5,448.5,448.5,448.5,3712,448.5
133,448.31,449.6,444.61,448.53,21081,448.53
134,448.86,449.06,446.1,448.44,11359,448.44
135,447.6571,448.09,444.36,445.648,15104,445.648
136,445.58,449.48,445.25,448.36,31464,448.36
137,448.39,450.88,448.07,450.88,42947,450.88
138,450.67,451.21,449.3,449.69,34833,449.69
139,449.6,450.0838,448.5201,448.83,30675,448.83
140,448.63,449.6888,448.21,449.03,31569,449.03
141,449.4,450.4536,448.74,449.89,31509,449.89
142,449.73,451.0,449.146,450.52,44796,450.52
143,450.4705,452.006,450.0,451.9867,37568,451.9867
144,451.68,454.49,451.46,452.49,47624,452.49
145,452.98,453.45,451.45,452.13,21370,452.13
146,452.185,452.9732,450.5,450.5,29176,450.5
147,450.56,452.92,450.56,451.89,35625,451.89
148,451.62,451.885,449.2277,449.44,39476,449.44
149,449.54,450.92,447.24,447.99,38061,447.99
150,447.92,448.8,447.035,447.38,32842,447.38
151,447.755,449.69,446.33,446.84,22735,446.84
152,447.0792,449.66,446.85,448.65,25107,448.65
153,448.79,449.97,447.0564,447.17,32487,447.17
154,447.27,448.0499,445.1,445.85,46043,445.85
155,445.895,445.9,442.285,442.5,48983,442.5
156,442.596,446.02,442.25,444.6045,44224,444.6045
157,444.68,445.12,443.0,443.48,48161,443.48
158,443.545,444.48,442.83,443.08,72590,443.08
159,446.98,451.5899,443.3,450.44,44608,450.44
160,449.48,450.49,448.05,448.658,27797,448.658
161,448.88,449.005,445.65,445.65,33226,445.65
162,446.1191,448.45,445.66,446.02,31693,446.02
163,446.4614,446.9,444.08,445.835,57681,445.835
164,445.92,448.88,445.91,448.66,39147,448.66
165,448.63,451.14,448.13,451.015,29566,451.015
166,451.01,451.62,449.8,450.03,38118,450.03
167,449.99,450.96,448.5,449.5109,21736,449.5109
168,449.49,451.02,448.49,449.99,37497,449.99
169,449.98,452.76,449.98,452.1,24085,452.1
