Date,Open,High,Low,Close,Volume,Adj Close
0,33.16,33.44,32.66,32.76,451903,32.76
1,32.78,32.95,32.705,32.89,320842,32.89
2,32.92,33.03,32.7,32.99,488114,32.99
3,32.99,33.0,32.7,32.79,213681,32.79
4,32.8,32.85,32.5326,32.572,209681,32.572
5,32.59,32.59,32.39,32.47,88970,32.47
6,32.47,32.58,32.38,32.38,118521,32.38
7,32.38,32.44,32.245,32.29,180818,32.29
8,32.28,32.31,32.15,32.23,104264,32.23
9,32.22,32.225,32.02,32.02,108102,32.02
10,32.015,32.1,31.965,32.072,116266,32.072
11,32.07,32.26,32.015,32.17,85350,32.17
12,32.17,32.255,32.1,32.12,52681,32.12
13,32.12,32.24,32.06,32.2,57443,32.2
14,32.2,32.2,31.88,31.91,137790,31.91
15,31.91,32.22,31.9,32.05,243723,32.05
16,32.04,32.17,31.98,32.1,136048,32.1
17,32.1,32.27,32.093,32.21,194358,32.21
18,32.21,32.37,32.125,32.37,109599,32.37
19,32.37,32.4,32.24,32.245,157395,32.245
20,32.25,32.3,32.105,32.12,106188,32.12
21,32.12,32.26,32.11,32.18,133557,32.18
22,32.185,32.23,32.01,32.145,127313,32.145
23,32.146,32.38,32.12,32.355,169543,32.355
24,32.36,32.45,32.27,32.45,177263,32.45
25,32.45,32.495,32.38,32.422,344336,32.422
26,32.06,32.17,32.01,32.17,62092,32.17
27,32.03,32.055,31.21,31.265,324577,31.265
28,31.25,31.59,30.99,31.35,297176,31.35
29,31.34,31.69,31.236,31.315,258669,31.315
30,31.29,31.78,31.25,31.37,218725,31.37
31,31.37,31.78,31.23,31.6,348510,31.6
32,31.59,31.86,31.52,31.66,400350,31.66
33,31.6799,31.71,31.41,31.41,297409,31.41
34,31.4042,31.49,31.31,31.415,137317,31.415
35,31.41,31.57,31.39,31.42,189842,31.42
36,31.42,31.51,31.32,31.34,249586,31.34
37,31.33,31.43,31.27,31.29,102859,31.29
38,31.29,31.38,31.26,31.32,98118,31.32
39,31.31,31.64,31.31,31.475,153939,31.475
40,31.47,31.47,31.225,31.25,125433,31.25
41,31.25,31.39,31.18,31.36,182885,31.36
42,31.35,31.385,31.24,31.3,82637,31.3
