Date,Open,High,Low,Close,Volume,Adj Close
0,32.56,32.8955,32.49,32.61,219120,32.61
1,32.68,32.88,32.56,32.57,270450,32.57
2,32.6123,32.73,32.51,32.69,295117,32.69
3,32.72,32.81,32.57,32.62,171757,32.62
4,32.8,32.81,32.63,32.72,120174,32.72
5,32.86,32.87,32.67,32.81,323224,32.81
6,32.73,32.9,32.72,32.85,629466,32.85
7,32.4,32.62,32.0801,32.35,646658,32.35
8,32.63,32.99,32.361,32.41,783285,32.41
9,32.94,32.99,32.45,32.63,673444,32.63
10,33.1001,33.14,32.9,32.94,438528,32.94
11,33.51,33.56,33.06,33.1,542981,33.1
12,33.57,33.62,33.37,33.52,831207,33.52
13,33.64,33.66,33.43,33.56,1592580,33.56
14,33.53,33.97,33.31,33.82,489834,33.82
15,33.64,33.79,33.37,33.54,540142,33.54
16,33.69,33.695,33.455,33.6355,410533,33.6355
17,33.4589,33.6997,33.31,33.6997,376570,33.6997
18,33.76,33.81,33.45,33.47,274661,33.47
19,34.066,34.09,33.69,33.75,660259,33.75
20,33.98,34.19,33.95,34.06,1304509,34.06
21,33.29,33.469,33.16,33.21,295708,33.21
22,33.08,33.36,33.07,33.29,447048,33.29
23,33.17,33.355,33.03,33.075,572329,33.075
24,33.12,33.19,33.03,33.18,305368,33.18
25,32.96,33.13,32.96,33.12,601819,33.12
26,32.46,32.99,32.37,32.96,762462,32.96
27,32.77,32.88,32.43,32.45,965386,32.45
28,32.88,33.12,32.1,32.1,417448,32.1
29,33.04,33.07,32.7,32.88,665394,32.88
30,32.95,33.11,32.9351,33.04,468504,33.04
31,33.12,33.27,32.94,32.94,483916,32.94
32,32.96,33.145,32.78,33.12,683411,33.12
33,32.91,33.02,32.81,32.96,978163,32.96
34,32.88,32.99,32.73,32.91,854202,32.91
35,32.85,33.25,32.77,33.01,310861,33.01
36,32.46,32.87,32.37,32.85,732910,32.85
37,32.31,32.49,32.0301,32.46,497530,32.46
38,32.37,32.67,32.2975,32.3,406365,32.3
39,32.2,32.455,32.075,32.37,354002,32.37
40,32.07,32.3,32.05,32.19,466316,32.19
41,31.94,32.14,31.87,32.06,1236803,32.06
42,32.255,32.5855,31.98,31.98,293443,31.98
43,32.32,32.55,32.17,32.25,458750,32.25
44,32.55,32.66,32.17,32.31,315902,32.31
45,32.51,32.6,32.38,32.56,276447,32.56
46,32.26,32.535,32.155,32.51,471948,32.51
47,32.38,32.57,32.23,32.26,508451,32.26
48,32.755,32.89,32.39,32.39,1196718,32.39
49,32.95,33.47,32.95,33.21,268429,33.21
50,32.56,33.02,32.5,32.9302,371690,32.9302
51,32.29,32.56,32.185,32.55,336553,32.55
52,32.28,32.38,32.175,32.29,227598,32.29
53,32.135,32.47,32.135,32.29,354068,32.29
54,32.315,32.39,31.84,32.13,794406,32.13
55,32.59,32.69,32.26,32.3201,650547,32.3201
56,32.81,32.9458,32.34,32.73,210103,32.73
57,32.5,32.9401,32.27,32.79,392337,32.79
58,32.28,32.49,32.24,32.49,274780,32.49
59,32.2,32.325,32.07,32.29,364846,32.29
60,31.77,32.225,31.75,32.195,467378,32.195
61,31.71,31.9,31.44,31.76,866326,31.76
62,31.52,31.72,31.39,31.71,1448538,31.71
63,30.63,31.72,30.6,31.59,340975,31.59
64,31.37,31.62,30.49,30.6101,795526,30.6101
65,31.46,31.525,31.19,31.37,472261,31.37
66,31.71,31.77,31.284,31.465,277539,31.465
