Date,Open,High,Low,Close,Volume,Adj Close
0,38.21,38.21,38.21,38.21,300,38.21
1,38.25,39.5695,38.16,38.2,2943607,38.2
2,38.2,38.22,37.2585,37.96,996158,37.96
3,37.955,38.45,37.57,38.45,1019049,38.45
4,38.4598,38.54,37.7,38.09,980116,38.09
5,38.076,38.13,37.63,37.86,697853,37.86
6,37.8425,37.91,37.27,37.3401,494103,37.3401
7,37.36,37.54,37.02,37.03,472294,37.03
8,37.04,37.54,36.89,37.44,554496,37.44
9,37.45,37.5,37.04,37.1601,265751,37.1601
10,37.1719,37.1872,36.745,36.76,511391,36.76
11,36.76,37.19,36.755,37.18,398925,37.18
12,37.18,37.39,37.018,37.27,434610,37.27
13,37.255,37.7,37.185,37.44,462320,37.44
14,37.43,37.66,37.415,37.64,353671,37.64
15,37.63,37.63,37.35,37.54,250419,37.54
16,37.54,37.66,37.4,37.4,280594,37.4
17,37.41,37.5,37.31,37.36,294020,37.36
18,37.37,37.7413,37.34,37.67,320276,37.67
19,37.66,37.733,37.41,37.66,486593,37.66
20,37.67,37.71,37.465,37.5,523068,37.5
21,37.495,37.516,37.31,37.325,473742,37.325
22,37.3299,37.57,37.3,37.49,402601,37.49
23,37.48,37.52,37.365,37.4628,349183,37.4628
24,37.47,37.56,37.41,37.49,444048,37.49
25,37.49,37.6151,37.39,37.595,611691,37.595
26,37.5951,37.77,37.59,37.64,1252751,37.64
27,36.8,37.09,36.5,36.5801,1004847,36.5801
28,36.593,37.0599,36.39,36.98,722137,36.98
29,36.95,37.4776,36.51,36.52,492632,36.52
30,36.51,36.92,36.09,36.18,640167,36.18
31,36.18,36.44,35.95,36.07,867068,36.07
32,36.07,36.17,35.82,35.84,642201,35.84
33,35.8401,35.86,35.31,35.32,840678,35.32
34,35.31,35.63,35.25,35.6,828279,35.6
35,35.6,35.6,35.295,35.3,317074,35.3
36,35.315,35.49,35.28,35.34,512824,35.34
37,35.34,35.4601,35.28,35.32,614198,35.32
38,35.31,35.45,35.23,35.39,474159,35.39
39,35.38,35.57,35.345,35.46,383767,35.46
40,35.465,35.6,35.3958,35.5151,341525,35.5151
41,35.52,35.71,35.47,35.68,412320,35.68
42,35.68,35.78,35.455,35.46,336034,35.46
43,35.46,35.675,35.44,35.57,269347,35.57
44,35.565,35.575,35.255,35.27,335281,35.27
45,35.276,35.3172,35.05,35.1,521387,35.1
46,35.11,35.145,35.0,35.02,532796,35.02
47,35.02,35.2,35.0,35.1099,754801,35.1099
48,35.105,35.2,35.0,35.011,907563,35.011
49,35.005,35.08,34.99,35.08,951900,35.08
50,35.08,35.13,34.75,34.76,685347,34.76
51,34.7501,34.83,34.21,34.255,1109058,34.255
52,34.3,34.35,34.19,34.24,1503523,34.24
53,35.07,35.14,33.75,34.14,1344876,34.14
54,34.14,34.26,33.44,33.4899,757006,33.4899
55,33.475,34.4,33.47,34.26,1378814,34.26
56,34.27,34.338,33.66,33.87,1245489,33.87
57,33.8657,34.1,33.835,33.97,1046762,33.97
58,33.98,34.01,33.47,33.55,1741561,33.55
59,33.56,33.79,33.47,33.595,1302927,33.595
60,33.6,34.29,33.5301,34.23,1365596,34.23
61,34.23,34.24,33.765,33.8,1056284,33.8
62,33.8,34.26,33.755,34.22,1030947,34.22
63,34.22,34.61,34.165,34.595,1260577,34.595
64,34.595,35.01,34.59,34.98,1476078,34.98
65,34.98,35.5,34.94,35.33,1782273,35.33
66,35.3384,35.8,35.32,35.76,1327100,35.76
67,35.77,35.91,35.29,35.29,903111,35.29
68,35.29,35.54,35.24,35.36,627797,35.36
69,35.37,35.41,34.93,34.9386,521821,34.9386
70,34.94,35.125,34.82,34.89,397400,34.89
71,34.89,34.92,34.65,34.651,468418,34.651
72,34.65,34.88,34.62,34.75,497170,34.75
73,34.75,34.94,34.72,34.8499,557388,34.8499
74,34.84,34.85,34.711,34.82,548097,34.82
75,34.82,35.03,34.78,35.03,642089,35.03
76,35.03,35.18,34.945,35.06,693721,35.06
77,35.05,35.45,35.0,35.42,914168,35.42
78,35.43,35.43,35.29,35.34,1270229,35.34
79,34.92,35.15,34.9,35.03,144831,35.03
80,35.0,35.03,34.18,34.8,738819,34.8
81,34.81,35.17,34.44,34.56,505470,34.56
82,34.57,34.62,34.24,34.38,673580,34.38
83,34.38,34.67,34.18,34.43,730265,34.43
84,34.435,35.68,34.365,35.6499,926970,35.6499
85,35.65,35.8,35.0,35.12,747568,35.12
86,35.13,35.46,35.0,35.211,610209,35.211
87,35.2,35.72,35.09,35.59,504412,35.59
88,35.6,36.6,35.58,36.48,1146236,36.48
89,36.48,36.94,36.46,36.835,1227470,36.835
90,36.82,36.98,36.68,36.95,833937,36.95
91,36.94,37.15,36.87,36.9,777611,36.9
92,36.91,36.95,36.6189,36.815,715565,36.815
93,36.8139,36.97,36.71,36.775,544923,36.775
94,36.775,36.82,36.52,36.7,694852,36.7
95,36.7,36.79,36.34,36.655,422450,36.655
96,36.65,37.05,36.65,36.995,587911,36.995
97,37.0,37.45,36.98,37.45,619899,37.45
98,37.45,37.73,36.28,36.44,986425,36.44
99,36.44,37.1,36.36,36.8701,797464,36.8701
100,36.87,36.96,36.5,36.6,566855,36.6
101,36.62,36.95,36.26,36.41,603851,36.41
102,36.4,36.42,35.655,35.74,730725,35.74
103,35.74,36.11,35.61,36.0,722290,36.0
104,36.0001,36.23,35.909,36.21,879024,36.21
105,36.21,36.42,36.07,36.2,1573724,36.2
106,37.92,37.97,37.92,37.97,1500,37.97
107,37.8,39.43,37.3,38.45,3190946,38.45
108,38.45,39.0,38.3,38.59,1280268,38.59
109,38.5864,38.66,38.01,38.48,792091,38.48
110,38.51,38.54,37.41,37.4466,941153,37.4466
111,37.44,37.77,37.08,37.58,495994,37.58
112,37.58,37.81,37.32,37.795,529584,37.795
113,37.81,38.155,37.77,38.03,392369,38.03
114,38.04,38.2389,37.75,37.75,520536,37.75
115,37.75,37.97,37.52,37.67,355298,37.67
116,37.66,37.84,37.46,37.485,313682,37.485
117,37.5,37.93,37.49,37.84,369515,37.84
118,37.85,38.16,37.79,38.12,239821,38.12
119,38.13,38.2199,38.01,38.11,357885,38.11
120,38.11,38.14,37.76,37.9173,188687,37.9173
121,37.92,38.03,37.785,38.02,174266,38.02
122,38.03,38.03,37.65,37.93,252789,37.93
123,37.9301,38.045,37.81,37.88,218181,37.88
124,37.88,37.95,37.53,37.53,346629,37.53
125,37.53,37.77,37.48,37.535,430132,37.535
126,37.54,37.63,37.345,37.62,380343,37.62
127,37.63,37.72,37.49,37.5,265993,37.5
128,37.51,37.92,37.49,37.88,479533,37.88
129,37.88,38.02,37.78,37.94,432272,37.94
130,37.95,37.99,37.64,37.66,395747,37.66
131,37.67,37.945,37.66,37.895,533446,37.895
132,37.895,38.08,37.87,37.99,1149081,37.99
133,38.09,38.7,38.02,38.44,813405,38.44
134,38.44,39.11,38.39,38.82,1070829,38.82
135,38.82,39.27,38.68,39.16,777451,39.16
136,39.17,39.26,38.42,38.44,457164,38.44
137,38.44,38.47,37.98,38.095,868712,38.095
138,38.1,38.43,38.0,38.41,461160,38.41
139,38.41,38.6127,38.36,38.53,388954,38.53
140,38.52,38.54,38.1151,38.2,467174,38.2
141,38.19,38.26,37.52,37.59,756298,37.59
142,37.59,37.91,37.58,37.76,659008,37.76
143,37.76,37.91,37.6,37.89,348829,37.89
144,37.895,38.1432,37.825,38.08,390505,38.08
145,38.09,38.1401,37.945,38.07,449030,38.07
146,38.07,38.2,37.95,38.08,347790,38.08
147,38.085,38.32,38.01,38.261,358883,38.261
148,38.265,38.4,38.14,38.34,214486,38.34
149,38.3437,38.4875,38.23,38.4875,289258,38.4875
150,38.49,38.59,38.27,38.562,419765,38.562
151,38.56,38.589,38.3,38.3651,422715,38.3651
152,38.36,38.665,38.36,38.65,313566,38.65
153,38.64,38.7349,38.61,38.67,327634,38.67
154,38.67,38.75,38.65,38.75,335807,38.75
155,38.7469,38.895,38.635,38.88,902861,38.88
156,38.89,38.97,38.71,38.93,555561,38.93
157,38.929,39.005,38.83,38.89,699448,38.89
158,38.89,39.09,38.86,39.08,1938513,39.08
159,38.24,38.24,38.24,38.24,200,38.24
160,38.25,38.4,37.82,38.02,620299,38.02
161,38.01,38.29,37.61,38.16,540131,38.16
162,38.16,38.3999,37.78,38.15,625260,38.15
163,38.16,38.44,38.04,38.09,540238,38.09
164,38.07,38.23,37.87,38.06,448842,38.06
165,38.05,38.37,38.01,38.29,335637,38.29
166,38.29,38.5406,38.185,38.51,399259,38.51
167,38.52,38.585,38.14,38.38,402312,38.38
168,38.38,38.52,38.22,38.27,251474,38.27
169,38.2751,38.3,38.06,38.24,268374,38.24
170,38.24,38.34,38.07,38.1599,285746,38.1599
171,38.15,38.16,38.02,38.07,148763,38.07
172,38.07,38.11,37.94,38.02,244455,38.02
173,38.0149,38.02,37.85,37.8851,240582,37.8851
174,37.88,38.01,37.72,37.743,430626,37.743
175,37.7465,37.8999,37.72,37.89,255671,37.89
176,37.8949,37.91,37.77,37.8136,243716,37.8136
177,37.81,38.24,37.79,38.2087,287374,38.2087
178,38.2,38.32,38.18,38.22,287869,38.22
179,38.22,38.48,38.2,38.48,271440,38.48
180,38.48,38.58,38.44,38.55,306236,38.55
181,38.54,38.6,38.45,38.54,355445,38.54
182,38.55,38.6,38.39,38.52,374248,38.52
183,38.53,38.88,38.47,38.85,546859,38.85
184,38.85,38.98,38.7,38.97,601344,38.97
185,38.97,38.97,38.55,38.58,1174608,38.58
186,37.61,37.66,36.7784,37.03,846049,37.03
187,37.01,37.404,36.86,37.15,670226,37.15
188,37.14,37.69,37.06,37.46,625328,37.46
189,37.46,37.55,37.09,37.35,454701,37.35
190,37.345,37.68,37.0899,37.58,582888,37.58
191,37.58,37.7,37.325,37.4662,546263,37.4662
192,37.46,38.08,37.37,38.07,717328,38.07
193,38.07,38.18,37.88,37.98,447227,37.98
194,37.98,38.18,37.87,37.94,502950,37.94
195,37.93,37.98,37.75,37.85,472083,37.85
196,37.84,37.85,37.43,37.5,317308,37.5
197,37.5,37.76,37.415,37.715,294160,37.715
198,37.71,37.79,37.56,37.705,383888,37.705
199,37.7,37.72,37.35,37.51,353891,37.51
200,37.52,37.52,37.3,37.32,313514,37.32
201,37.33,37.42,37.265,37.39,330512,37.39
202,37.39,37.39,37.08,37.18,265045,37.18
203,37.1755,37.21,37.04,37.0458,292926,37.0458
204,37.05,37.27,37.04,37.18,278012,37.18
205,37.18,37.24,36.88,36.9,498087,36.9
206,36.91,36.9799,36.85,36.895,669778,36.895
207,36.9,36.9769,36.63,36.63,642706,36.63
208,36.63,36.7044,36.45,36.505,781651,36.505
209,36.5,36.65,36.44,36.53,644160,36.53
210,36.52,36.65,36.48,36.63,875494,36.63
211,36.63,36.65,36.5,36.59,1181132,36.59
212,37.59,37.59,37.57,37.57,300,37.57
213,37.55,37.61,37.07,37.25,771683,37.25
214,37.2301,37.29,36.6,36.82,796218,36.82
215,36.79,36.84,35.93,35.9802,642945,35.9802
216,35.98,36.21,35.86,35.92,818137,35.92
217,35.91,36.67,35.59,36.63,754073,36.63
218,36.6486,37.2602,36.55,37.25,955857,37.25
219,37.24,37.2804,36.5,37.15,715854,37.15
220,37.15,37.53,37.06,37.33,489447,37.33
221,37.33,37.6,37.05,37.55,602124,37.55
222,37.58,37.61,37.08,37.2835,557088,37.2835
223,37.28,37.5,37.18,37.27,408067,37.27
224,37.27,37.44,37.02,37.08,373822,37.08
225,37.07,37.07,36.66,36.7,417167,36.7
226,36.7,37.2,36.65,37.11,412419,37.11
227,37.11,37.27,36.92,36.96,455476,36.96
228,36.98,37.2554,36.89,37.21,401525,37.21
229,37.21,37.23,36.89,36.89,404598,36.89
230,36.895,36.95,36.73,36.7975,439912,36.7975
231,36.81,37.28,36.8,37.19,432210,37.19
232,37.19,37.7,37.08,37.57,546313,37.57
233,37.5753,37.69,37.36,37.68,848726,37.68
234,37.68,38.371,37.68,38.35,869603,38.35
235,38.35,38.73,38.11,38.58,711975,38.58
236,38.57,38.61,38.16,38.17,951554,38.17
237,38.17,38.44,37.88,38.43,1269175,38.43
238,38.43,38.64,38.36,38.6,1515873,38.6
239,38.5,38.58,38.5,38.54,1000,38.54
240,38.6,39.0,36.89,36.9,3605104,36.9
241,36.9,37.64,35.92,36.9201,5031057,36.9201
242,36.94,37.34,36.7,37.0799,2527964,37.0799
243,37.06,38.02,37.0101,38.0,2317187,38.0
244,38.002,38.51,37.67,37.935,1879449,37.935
245,37.93,38.4,37.75,37.97,1776031,37.97
246,37.97,38.01,36.764,36.775,1441123,36.775
247,36.775,37.02,36.55,36.8978,887862,36.8978
248,36.91,36.91,36.52,36.65,1150175,36.65
249,36.6498,36.71,36.22,36.28,1238417,36.28
250,36.27,36.62,36.12,36.45,1242135,36.45
251,36.45,36.45,35.53,35.8792,1714039,35.8792
252,35.86,36.1,35.78,35.89,944578,35.89
253,35.9,36.03,35.27,35.29,1317205,35.29
254,35.3,35.8,35.02,35.37,1626887,35.37
255,35.35,35.56,35.215,35.36,1411587,35.36
256,35.3595,36.03,35.32,35.99,1325971,35.99
257,35.99,36.0,35.52,35.5599,634665,35.5599
