Date,Open,High,Low,Close,Volume,Adj Close
0,69.13,69.37,69.13,69.37,89292,69.37
1,69.11,69.49,68.71,69.1,366553,69.1
2,69.15,69.75,68.6,68.69,224090,68.69
3,68.68,68.77,68.36,68.52,248163,68.52
4,68.54,68.6,67.81,67.85,338631,67.85
5,67.84,67.85,67.35,67.727,226268,67.727
6,67.7691,67.775,67.27,67.3,143091,67.3
7,67.33,67.69,67.17,67.5578,285068,67.5578
8,67.56,68.04,67.4,67.83,221111,67.83
9,67.86,68.4,67.86,67.99,186641,67.99
10,67.99,68.05,67.35,67.69,263039,67.69
11,67.68,67.89,67.43,67.74,270189,67.74
12,67.73,67.81,67.065,67.23,207452,67.23
13,67.22,67.4362,67.02,67.117,197705,67.117
14,67.12,67.87,66.94,67.86,138054,67.86
15,67.91,68.16,67.76,67.95,172900,67.95
16,67.95,67.95,67.58,67.65,179937,67.65
17,67.63,68.55,67.62,68.55,148190,68.55
18,68.5595,68.87,68.36,68.77,233018,68.77
19,68.77,69.01,68.42,68.84,185693,68.84
20,68.86,68.99,68.55,68.64,278786,68.64
21,68.65,69.01,68.42,68.74,166771,68.74
22,68.725,69.57,68.71,69.17,219835,69.17
23,69.18,69.855,69.09,69.78,198462,69.78
24,69.79,70.83,69.78,70.58,408950,70.58
25,70.62,70.64,70.13,70.43,340641,70.43
26,70.41,70.65,70.0,70.36,739479,70.36
27,70.36,70.5,69.7,69.93,133743,69.93
28,69.928,69.928,69.14,69.635,188228,69.635
29,69.645,70.39,69.645,70.2,193846,70.2
30,70.22,70.505,69.66,70.09,200032,70.09
31,70.13,70.25,69.77,70.04,241370,70.04
32,70.01,70.4,69.9621,70.05,222418,70.05
33,70.106,70.38,69.93,70.13,212021,70.13
34,70.16,70.23,69.52,69.65,135525,69.65
35,69.68,70.13,69.64,69.985,64171,69.985
36,69.97,70.41,69.97,70.27,151119,70.27
37,70.27,70.64,70.23,70.4,186866,70.4
38,70.41,70.55,70.25,70.41,82316,70.41
39,70.43,70.4855,70.23,70.26,99384,70.26
40,70.26,70.31,70.06,70.16,41925,70.16
41,70.14,70.48,70.11,70.23,56056,70.23
42,70.204,70.33,69.92,69.93,60997,69.93
43,69.94,70.19,69.7,70.09,63705,70.09
44,70.09,70.26,69.9501,70.08,75793,70.08
45,70.12,70.17,69.6,69.685,77162,69.685
46,69.7,69.71,69.34,69.67,91675,69.67
47,69.68,70.02,69.67,69.9,127106,69.9
48,69.9,70.16,69.552,70.01,87169,70.01
49,69.98,69.99,69.45,69.69,131047,69.69
50,69.71,69.85,69.52,69.65,123496,69.65
51,69.655,70.07,69.64,69.93,171735,69.93
52,69.91,69.91,69.49,69.5,513473,69.5
53,70.45,70.75,70.4,70.68,41324,70.68
54,70.4,70.94,70.3,70.68,164462,70.68
55,70.66,71.2,70.45,71.149,156759,71.149
56,71.15,71.34,70.87,70.96,221483,70.96
57,70.95,70.96,70.56,70.64,159592,70.64
58,70.67,70.92,70.62,70.75,70363,70.75
59,70.75,70.89,70.72,70.76,71722,70.76
60,70.78,70.88,70.55,70.7,60673,70.7
61,70.68,70.95,70.55,70.88,64420,70.88
62,70.905,70.94,70.594,70.63,51838,70.63
63,70.63,70.69,70.42,70.46,103720,70.46
64,70.45,71.0,70.44,70.98,96806,70.98
65,70.99,70.9949,70.75,70.84,36485,70.84
66,70.8,71.09,70.73,70.96,41631,70.96
67,70.98,71.19,70.92,71.19,32699,71.19
68,71.19,71.23,70.98,71.09,78520,71.09
69,71.14,71.32,71.11,71.19,44511,71.19
70,71.19,71.3,71.18,71.25,47121,71.25
71,71.265,71.4,71.22,71.37,39708,71.37
72,71.37,71.61,71.285,71.6,71917,71.6
73,71.63,71.64,71.45,71.52,80272,71.52
74,71.52,71.57,71.24,71.25,87944,71.25
75,71.24,71.48,71.24,71.39,39539,71.39
76,71.39,71.43,71.14,71.21,45097,71.21
77,71.19,71.368,71.11,71.35,65741,71.35
78,71.33,71.44,71.16,71.37,102602,71.37
79,71.38,71.58,71.32,71.54,346372,71.54
80,71.23,71.4,71.04,71.12,85085,71.12
81,71.12,71.12,70.75,70.95,55404,70.95
82,70.93,71.32,70.87,70.94,67299,70.94
83,70.97,71.04,70.75,70.77,105625,70.77
84,70.77,70.91,70.47,70.482,54714,70.482
85,70.47,70.62,70.42,70.45,53109,70.45
86,70.45,70.46,70.14,70.28,59246,70.28
87,70.2552,70.4,70.21,70.28,111800,70.28
88,70.27,70.34,70.08,70.1,70114,70.1
89,70.1,70.31,70.01,70.23,41636,70.23
90,70.25,70.28,70.05,70.05,64348,70.05
91,70.04,70.12,69.95,70.04,66588,70.04
92,70.05,70.155,69.8711,70.1,200970,70.1
93,70.1,70.39,70.06,70.38,78746,70.38
94,70.39,70.86,70.39,70.83,54829,70.83
95,70.83,70.97,70.8,70.91,76119,70.91
96,70.9133,71.0,70.83,70.84,54496,70.84
97,70.83,70.85,70.55,70.55,53294,70.55
98,70.54,70.755,70.47,70.72,61652,70.72
99,70.73,70.81,70.55,70.75,47830,70.75
100,70.72,70.83,70.62,70.63,59370,70.63
101,70.625,70.71,70.5,70.67,41131,70.67
102,70.67,70.77,70.24,70.2466,77408,70.2466
103,70.2618,70.32,70.02,70.1,77527,70.1
104,70.07,70.12,69.8,69.84,196270,69.84
105,69.84,70.03,69.8,69.93,233658,69.93
106,69.96,70.04,69.43,69.86,134870,69.86
107,69.87,69.87,69.22,69.46,60653,69.46
108,69.47,69.775,69.25,69.65,154765,69.65
109,69.67,70.1,69.65,69.77,85727,69.77
110,69.79,69.98,69.6,69.96,76189,69.96
111,69.95,70.02,69.8,69.8,110215,69.8
112,69.795,70.08,69.66,69.79,127911,69.79
113,69.78,69.86,69.617,69.8477,70444,69.8477
114,69.84,69.85,69.54,69.67,49429,69.67
115,69.68,69.82,69.58,69.6897,101134,69.6897
116,69.69,69.94,69.63,69.92,105446,69.92
117,69.95,70.1,69.86,69.99,110952,69.99
118,69.98,70.06,69.9,69.95,41888,69.95
119,69.92,69.96,69.71,69.8,37531,69.8
120,69.81,69.9,69.66,69.72,37122,69.72
121,69.715,70.0885,69.71,69.98,50798,69.98
122,70.0,70.02,69.75,69.78,55305,69.78
123,69.77,70.02,69.75,69.96,63104,69.96
124,69.95,69.99,69.77,69.78,81828,69.78
125,69.77,69.92,69.71,69.76,102526,69.76
126,69.77,69.83,69.58,69.75,77937,69.75
127,69.77,69.91,69.6,69.75,75952,69.75
128,69.73,69.83,69.6,69.77,132896,69.77
129,69.77,69.87,69.59,69.79,107774,69.79
130,69.8,70.03,69.63,70.01,145720,70.01
131,70.0021,70.02,69.77,69.87,243327,69.87
132,69.27,69.33,69.23,69.23,25115,69.23
133,69.27,69.85,69.14,69.32,142870,69.32
134,69.37,69.63,69.36,69.41,68062,69.41
135,69.39,69.4075,68.81,68.96,99938,68.96
136,68.94,68.94,68.53,68.55,137297,68.55
137,68.55,69.07,68.52,68.97,132768,68.97
138,68.98,68.98,68.6,68.7,93859,68.7
139,68.69,68.71,68.55,68.59,91078,68.59
140,68.57,68.85,68.44,68.81,107114,68.81
141,68.81,69.2,68.758,69.2,249346,69.2
142,69.2,69.355,69.12,69.27,181709,69.27
143,69.271,69.47,69.11,69.13,184379,69.13
144,69.135,69.265,68.86,68.9,147015,68.9
145,68.9,68.96,68.77,68.85,70410,68.85
146,68.84,69.04,68.8,68.86,93808,68.86
147,68.86,68.9,68.77,68.84,71535,68.84
148,68.82,68.87,68.55,68.57,95783,68.57
149,68.57,68.71,68.55,68.6,45925,68.6
150,68.61,68.79,68.54,68.7,66904,68.7
151,68.72,68.9,67.89,68.12,215419,68.12
152,68.17,68.39,68.07,68.21,243234,68.21
153,68.17,68.33,67.69,67.9846,190061,67.9846
154,68.0,68.2299,67.69,67.79,123209,67.79
155,67.76,67.81,67.1366,67.18,205871,67.18
156,67.2,67.44,67.03,67.31,369490,67.31
157,67.3,67.57,67.2,67.42,286909,67.42
158,67.42,67.57,67.26,67.4499,607590,67.4499
159,66.88,67.0,66.76,66.84,61525,66.84
160,66.86,67.17,66.1,66.88,308942,66.88
161,66.87,67.5,66.545,66.98,429931,66.98
162,67.03,67.05,66.32,66.34,324037,66.34
163,66.35,66.39,65.65,65.65,361272,65.65
164,65.64,65.97,65.28,65.84,343885,65.84
165,65.845,66.13,65.53,66.01,167096,66.01
166,65.99,66.24,65.97,66.12,332824,66.12
167,66.12,66.22,65.85,65.86,256231,65.86
168,65.88,65.93,65.52,65.59,249779,65.59
169,65.59,65.95,65.42,65.45,277284,65.45
170,65.45,65.86,65.44,65.64,354281,65.64
171,65.64,65.948,65.44,65.92,204569,65.92
172,65.94,66.2,65.83,65.92,291887,65.92
173,65.93,66.0,65.64,65.69,297319,65.69
174,65.69,65.83,65.6,65.77,177701,65.77
175,65.79,65.82,65.41,65.6,154637,65.6
176,65.605,65.69,65.5,65.58,190481,65.58
177,65.5895,65.72,65.39,65.39,145387,65.39
178,65.41,65.97,65.27,65.9,215852,65.9
179,65.9,65.95,65.7,65.8375,218336,65.8375
180,65.84,65.97,65.59,65.68,244746,65.68
181,65.685,65.75,65.47,65.52,154219,65.52
182,65.51,65.87,65.43,65.725,210687,65.725
183,65.73,65.78,65.54,65.6,185642,65.6
184,65.58,66.0225,65.57,65.74,339514,65.74
185,65.73,65.91,65.66,65.7,774472,65.7
186,66.49,66.5,66.45,66.45,53933,66.45
187,66.5,67.09,66.12,66.84,227154,66.84
188,66.89,67.12,66.7701,67.03,177787,67.03
189,67.01,67.41,66.93,67.0501,176138,67.0501
190,67.05,67.31,66.91,66.93,88614,66.93
191,66.9299,66.99,66.82,66.98,140107,66.98
192,67.0,67.0,66.6,66.67,150710,66.67
193,66.7,67.3,66.7,67.14,119286,67.14
194,67.14,67.17,66.65,66.795,87120,66.795
195,66.82,66.89,66.57,66.62,77654,66.62
196,66.62,67.01,66.5276,66.87,151897,66.87
197,66.8899,67.08,66.8478,66.91,143374,66.91
198,66.91,67.19,66.8775,67.1,185680,67.1
199,67.11,67.485,67.08,67.45,121926,67.45
200,67.45,67.49,67.28,67.29,55279,67.29
201,67.2902,67.38,67.17,67.25,50305,67.25
202,67.25,67.28,66.98,67.07,73011,67.07
203,67.08,67.25,67.003,67.21,38821,67.21
204,67.21,67.38,67.19,67.35,117873,67.35
205,67.36,67.3742,67.23,67.35,139644,67.35
206,67.37,67.51,67.37,67.51,95800,67.51
207,67.5,67.57,67.3501,67.5,133055,67.5
208,67.49,67.58,67.2801,67.34,109475,67.34
209,67.34,67.705,67.31,67.7,169196,67.7
210,67.7,67.9,67.55,67.85,168688,67.85
211,67.85,67.86,67.64,67.79,272562,67.79
212,67.79,68.1,67.77,68.045,970841,68.045
213,67.59,67.62,67.5,67.5,21418,67.5
214,67.45,67.9,67.13,67.76,230519,67.76
215,67.691,67.75,67.07,67.6,136947,67.6
216,67.6,67.86,67.28,67.81,134081,67.81
217,67.82,68.17,67.65,67.79,143128,67.79
218,67.79,68.21,67.7,68.16,120594,68.16
219,68.17,68.27,68.0583,68.22,118296,68.22
220,68.22,68.33,67.96,67.99,166031,67.99
221,68.0,68.02,67.731,67.8616,116239,67.8616
222,67.87,68.18,67.83,68.18,120007,68.18
223,68.18,68.3,68.04,68.24,103585,68.24
224,68.23,68.35,67.96,68.0,100243,68.0
225,68.01,68.07,67.81,67.82,52602,67.82
226,67.82,67.95,67.73,67.94,91607,67.94
227,67.94,68.03,67.8,67.91,86263,67.91
228,67.92,67.99,67.76,67.87,111122,67.87
229,67.8685,68.19,67.79,68.11,63669,68.11
230,68.13,68.21,68.02,68.08,66026,68.08
231,68.08,68.325,68.06,68.29,90297,68.29
232,68.29,68.34,68.16,68.22,119448,68.22
233,68.22,68.62,68.15,68.6156,137040,68.6156
234,68.62,68.83,68.5,68.805,139315,68.805
235,68.8,68.99,68.64,68.95,114557,68.95
236,68.95,69.0,68.69,68.8,149005,68.8
237,68.78,69.0902,68.7641,68.96,185383,68.96
238,68.97,68.99,68.68,68.805,226666,68.805
239,68.8136,68.8136,68.4,68.42,392617,68.42
240,67.65,67.75,67.65,67.66,64295,67.66
241,67.65,67.7222,65.35,65.59,700333,65.59
242,65.55,66.145,65.36,65.84,407615,65.84
243,65.84,66.44,65.67,66.0,278657,66.0
244,66.0,66.05,65.6402,65.71,273305,65.71
245,65.71,65.73,65.14,65.3225,314067,65.3225
246,65.3003,65.41,65.18,65.24,268868,65.24
247,65.22,65.36,64.99,65.36,367364,65.36
248,65.36,65.56,65.16,65.24,183164,65.24
249,65.23,65.43,65.01,65.04,129512,65.04
250,65.03,65.06,64.68,64.7061,245809,64.7061
251,64.7,65.06,64.69,64.7,85375,64.7
252,64.71,64.95,64.62,64.89,97820,64.89
253,64.88,65.18,64.755,65.1599,91967,65.1599
254,65.15,65.29,64.98,65.05,107701,65.05
255,65.04,65.04,64.74,64.7801,108437,64.7801
256,64.79,64.9,64.532,64.88,118514,64.88
257,64.87,64.88,64.56,64.58,119223,64.58
258,64.58,64.58,64.29,64.3001,138973,64.3001
259,64.31,64.65,64.23,64.5896,240064,64.5896
260,64.59,64.78,64.44,64.5,289530,64.5
261,64.47,64.94,64.28,64.67,277505,64.67
262,64.655,64.76,64.45,64.48,242463,64.48
263,64.4799,64.5,64.16,64.26,257122,64.26
264,64.26,64.5,64.19,64.4,287215,64.4
265,64.405,64.6,64.35,64.53,344984,64.53
266,64.53,64.58,64.38,64.54,662518,64.54
267,65.42,65.65,65.42,65.52,69722,65.52
268,65.52,66.5,64.76,64.91,558093,64.91
269,64.89,64.93,64.315,64.44,256767,64.44
270,64.35,64.48,63.53,63.77,308919,63.77
271,63.75,64.04,63.59,63.61,226673,63.61
272,63.59,63.8598,63.24,63.78,186851,63.78
273,63.78,64.58,63.71,64.57,252976,64.57
