Date,Open,High,Low,Close,Volume,Adj Close
0,79.454,79.66,79.23,79.3,159453,79.3
1,79.84,79.89,79.45,79.47,166694,79.47
2,79.52,79.87,79.32,79.85,164425,79.85
3,79.62,79.6999,79.484,79.53,159371,79.53
4,79.57,79.7,79.54,79.62,122760,79.62
5,79.475,79.65,79.44,79.57,252524,79.57
6,79.12,79.57,78.97,79.46,432631,79.46
7,79.2,79.29,78.83,78.99,175789,78.99
8,78.94,79.24,78.54,79.18,208073,79.18
9,79.32,79.39,78.897,78.95,212533,78.95
10,79.17,79.415,79.16,79.34,157573,79.34
11,79.08,79.18,78.82,79.15,200393,79.15
12,78.9,79.1,78.767,79.09,232656,79.09
13,78.37,78.91,78.36,78.9,483199,78.9
14,76.56,77.21,76.31,77.14,641631,77.14
15,76.03,76.535,75.81,76.51,673789,76.51
16,76.4,76.43,75.64,76.03,710545,76.03
17,76.265,76.44,75.8,76.373,477888,76.373
18,76.16,76.54,76.12,76.26,351803,76.26
19,76.07,76.23,75.81,76.14,332430,76.14
20,76.73,76.74,75.69,76.06,742478,76.06
21,77.475,77.57,77.0,77.07,261978,77.07
22,77.8096,77.97,77.15,77.46,395584,77.46
23,77.07,77.81,76.99,77.79,194920,77.79
24,76.84,77.07,76.67,77.07,149748,77.07
25,77.26,77.3,76.75,76.8499,141307,76.8499
26,77.26,77.6,77.1301,77.25,205282,77.25
27,77.07,77.49,76.96,77.2401,524848,77.2401
28,76.26,76.34,75.72,75.72,204447,75.72
29,76.72,77.33,76.01,76.28,693526,76.28
30,76.71,76.965,76.35,76.73,195938,76.73
31,76.39,76.79,76.36,76.73,143767,76.73
32,75.92,76.414,75.92,76.39,241608,76.39
33,75.71,76.25,75.63,75.93,358089,75.93
34,76.31,76.39,75.654,75.69,1151279,75.69
35,75.1,75.51,74.7,75.13,582379,75.13
36,75.43,75.6,74.63,75.09,881051,75.09
37,74.8683,75.56,74.75,75.43,325591,75.43
38,74.39,74.93,74.3,74.85,306673,74.85
39,73.91,74.4,73.47,74.4,420582,74.4
40,74.68,74.79,73.83,73.92,625694,73.92
41,74.29,74.67,74.11,74.64,910057,74.64
42,75.18,75.26,74.47,74.78,353400,74.78
43,74.13,75.16,74.01,75.16,330812,75.16
44,73.93,74.24,73.38,74.12,401976,74.12
45,74.16,74.55,73.86,73.95,251803,73.95
46,73.73,74.27,73.64,74.18,376212,74.18
47,73.71,74.03,73.61,73.708,253779,73.708
48,73.26,73.96,72.9,73.72,906662,73.72
49,72.89,73.83,72.88,73.74,316406,73.74
50,73.01,73.49,72.84,72.87,466576,72.87
51,73.31,73.52,72.84,73.01,323793,73.01
52,72.73,73.31,72.63,73.31,227774,73.31
53,72.0258,72.8299,71.86,72.73,316970,72.73
54,72.67,72.87,71.95,72.05,318660,72.05
55,73.16,73.56,72.12,72.67,963861,72.67
56,74.832,75.28,73.87,73.97,519399,73.97
57,74.13,74.84,74.01,74.84,841501,74.84
58,74.12,74.34,73.61,74.12,510902,74.12
59,73.5,74.19,73.46,74.125,349187,74.125
60,73.53,73.79,73.25,73.52,246831,73.52
61,74.0,74.07,73.05,73.52,221148,73.52
62,74.44,74.62,73.77,73.99,715635,73.99
63,75.51,75.71,74.9,74.99,566226,74.99
64,74.7549,75.53,74.6,75.45,420870,75.45
65,73.71,74.79,73.62,74.7,375049,74.7
66,73.39,74.12,73.33,73.7356,242887,73.7356
67,72.95,73.75,72.75,73.38,252266,73.38
68,72.71,73.25,71.8,72.895,538096,72.895
69,72.38,73.17,72.25,72.72,1252147,72.72
70,71.28,72.75,71.01,72.42,453646,72.42
71,73.2181,73.62,70.87,71.24,561283,71.24
72,72.8,73.33,72.51,73.24,453858,73.24
