Date,Close,High,Low,Open,Volume,Adj Close
2015-09-14 10:30:00,70.02,70.1299,69.89,70.01,126238,70.02
2015-09-14 11:30:00,70.01,70.21,69.97,70.02,120925,70.01
2015-09-14 12:30:00,69.78,69.99,69.58,69.99,140221,69.78
2015-09-14 13:30:00,69.725,69.91,69.59,69.76,94310,69.725
2015-09-14 14:30:00,69.82,70.01,69.73,69.73,112741,69.82
2015-09-14 15:30:00,69.9294,69.93,69.72,69.83,252908,69.9294
2015-09-14 16:00:00,69.9,69.94,69.79,69.91,180712,69.9
2015-09-15 10:30:00,70.77,70.8,70.24,70.48,270698,70.77
2015-09-15 11:30:00,71.3601,71.3601,70.75,70.75,482425,71.3601
2015-09-15 12:30:00,71.52,71.58,71.12,71.37,157639,71.52
2015-09-15 13:30:00,71.55,71.56,71.33,71.54,166964,71.55
2015-09-15 14:30:00,71.27,71.695,71.222,71.55,201713,71.27
2015-09-15 15:30:00,71.62,71.69,71.27,71.27,223460,71.62
2015-09-15 16:00:00,71.24,71.585,71.24,71.525,266174,71.24
2015-09-16 10:30:00,71.44,71.95,71.26,71.44,314683,71.44
2015-09-16 11:30:00,71.85,71.9,71.35,71.465,194062,71.85
2015-09-16 12:30:00,71.57,71.82,71.52,71.82,182499,71.57
2015-09-16 13:30:00,71.12,71.6,71.07,71.52,172917,71.12
2015-09-16 14:30:00,71.27,71.61,71.15,71.15,111136,71.27
2015-09-16 15:30:00,71.88,71.91,71.27,71.27,206314,71.88
2015-09-16 16:00:00,71.87,71.985,71.86,71.87,142172,71.87
2015-09-17 10:30:00,72.3,72.45,71.65,71.65,367214,72.3
2015-09-17 11:30:00,72.3699,72.428,72.18,72.295,245966,72.3699
2015-09-17 12:30:00,72.3613,72.4276,72.17,72.29,106771,72.3613
2015-09-17 13:30:00,72.03,72.4198,71.92,72.39,217221,72.03
2015-09-17 14:30:00,72.16,72.373,71.65,72.07,155230,72.16
2015-09-17 15:30:00,72.4,73.12,72.24,72.26,259904,72.4
2015-09-17 16:00:00,72.3,72.64,72.2,72.41,271604,72.3
2015-09-18 10:30:00,72.206,72.35,71.07,71.5,443711,72.206
2015-09-18 11:30:00,72.04,72.415,71.92,72.2,150175,72.04
2015-09-18 12:30:00,71.6,72.2644,71.445,71.97,117292,71.6
2015-09-18 13:30:00,71.45,71.76,71.3,71.6004,81558,71.45
2015-09-18 14:30:00,71.7475,71.79,71.17,71.48,78938,71.7475
2015-09-18 15:30:00,71.41,71.77,71.2301,71.75,108041,71.41
2015-09-18 16:00:00,71.4,71.47,71.08,71.36,243896,71.4
2015-09-21 10:30:00,72.2,72.2,71.515,71.74,115187,72.2
2015-09-21 11:30:00,72.15,72.44,72.15,72.23,162005,72.15
2015-09-21 12:30:00,71.54,72.12,71.46,72.097,106345,71.54
2015-09-21 13:30:00,71.831,71.831,71.09,71.49,179747,71.831
2015-09-21 14:30:00,72.09,72.22,71.85,71.8874,142687,72.09
2015-09-21 15:30:00,72.37,72.6,72.04,72.04,179771,72.37
2015-09-21 16:00:00,72.12,72.34,71.93,72.34,150429,72.12
2015-09-22 10:30:00,71.43,71.86,71.25,71.63,331550,71.43
2015-09-22 11:30:00,71.195,71.4475,70.935,71.385,220280,71.195
2015-09-22 12:30:00,71.395,71.5504,71.15,71.21,106440,71.395
2015-09-22 13:30:00,71.17,71.39,71.13,71.382,114215,71.17
2015-09-22 14:30:00,71.32,71.32,71.07,71.15,147638,71.32
2015-09-22 15:30:00,71.5798,71.5798,71.08,71.3199,297970,71.5798
2015-09-22 16:00:00,71.64,71.7,71.52,71.63,198435,71.64
2015-09-23 10:30:00,72.08,72.15,70.98,71.69,237871,72.08
2015-09-23 11:30:00,71.81,72.3392,71.8,72.13,107494,71.81
2015-09-23 12:30:00,71.58,71.78,71.36,71.74,73875,71.58
2015-09-23 13:30:00,71.58,71.94,71.566,71.566,72126,71.58
2015-09-23 14:30:00,71.942,72.13,71.59,71.61,78618,71.942
2015-09-23 15:30:00,71.84,71.965,71.71,71.965,166516,71.84
2015-09-23 16:00:00,71.98,72.09,71.72,71.83,130920,71.98
2015-09-24 10:30:00,70.8602,71.61,70.7,71.53,186301,70.8602
2015-09-24 11:30:00,70.68,71.01,70.45,70.93,194819,70.68
2015-09-24 12:30:00,71.035,71.04,70.61,70.72,90319,71.035
2015-09-24 13:30:00,70.84,71.32,70.72,71.2,88762,70.84
2015-09-24 14:30:00,71.39,71.4753,70.81,70.82,74764,71.39
2015-09-24 15:30:00,71.87,71.94,71.32,71.39,167160,71.87
2015-09-24 16:00:00,71.74,71.89,71.54,71.89,147069,71.74
2015-09-25 10:30:00,72.85,72.95,72.0,72.45,272076,72.85
2015-09-25 11:30:00,73.19,73.2748,72.85,72.9,235994,73.19
2015-09-25 12:30:00,73.22,73.355,72.92,73.21,238712,73.22
2015-09-25 13:30:00,73.38,73.6,73.18,73.22,383948,73.38
2015-09-25 14:30:00,73.04,73.525,73.0,73.35,209807,73.04
2015-09-25 15:30:00,72.39,73.16,72.03,73.08,385011,72.39
2015-09-25 16:00:00,72.45,72.56,72.29,72.52,222545,72.45
2015-09-28 10:30:00,71.84,72.66,71.61,71.99,109524,71.84
2015-09-28 11:30:00,71.65,72.36,71.52,71.8,97912,71.65
2015-09-28 12:30:00,70.78,71.67,70.48,71.67,129623,70.78
2015-09-28 13:30:00,69.85,70.79,69.85,70.79,102564,69.85
2015-09-28 14:30:00,69.365,70.03,69.251,69.93,165829,69.365
