Date,Open,High,Low,Close,Volume,Adj Close
0,30.05,30.881,30.02,30.58,73445,30.58
1,29.87,30.07,29.8,30.04,216809,30.04
2,30.08,30.095,29.63,29.86,222658,29.86
3,29.805,30.08,29.78,30.08,119337,30.08
4,29.8538,29.91,29.6,29.8,118944,29.8
5,29.69,29.87,29.65,29.87,141414,29.87
6,29.53,29.74,29.52,29.71,475697,29.71
7,29.11,29.35,28.31,29.35,278406,29.35
8,28.825,29.14,28.55,29.14,273699,29.14
9,28.98,29.08,28.74,28.82,144995,28.82
10,29.21,29.45,28.87,28.98,143555,28.98
11,29.41,29.45,29.16,29.21,107321,29.21
12,29.23,29.42,29.17,29.41,94542,29.41
13,29.3,29.31,29.05,29.22,344896,29.22
14,28.47,29.54,28.38,29.48,214905,29.48
15,28.76,28.82,28.39,28.46,231873,28.46
16,28.39,28.8,28.3,28.79,229182,28.79
17,28.06,28.4,27.66,28.38,1001371,28.38
18,28.0,28.06,27.52,28.06,415864,28.06
19,27.73,28.01,27.64,28.01,420276,28.01
20,27.56,27.74,27.3201,27.72,1146287,27.72
21,27.29,27.37,26.76,27.07,273739,27.07
22,27.53,27.92,26.94,27.29,460700,27.29
23,27.43,27.62,27.32,27.52,232345,27.52
24,27.3,27.44,27.1705,27.435,245850,27.435
25,26.93,27.29,26.87,27.29,276960,27.29
26,26.97,27.13,26.8,26.92,406908,26.92
27,26.8,27.045,26.73,26.975,1331157,26.975
28,26.12,26.1899,25.65,26.1,186220,26.1
29,26.7,26.72,26.08,26.15,252760,26.15
30,26.87,27.15,26.61,26.7,271063,26.7
31,26.46,27.005,26.41,26.87,326772,26.87
32,26.09,26.455,26.03,26.45,197149,26.45
33,26.68,26.85,26.07,26.0873,364571,26.0873
34,26.8,26.95,26.565,26.67,892887,26.67
35,28.51,29.45,27.51,27.51,1821268,27.51
36,27.73,28.65,27.6,28.515,1661437,28.515
37,28.05,28.19,27.32,27.73,1044972,27.73
38,28.14,28.25,27.86,28.03,624649,28.03
39,27.91,28.2,27.76,28.14,506267,28.14
40,27.74,27.97,27.7,27.91,423690,27.91
41,27.8,28.05,27.7,27.74,1334764,27.74
42,27.445,28.3554,27.33,27.9,331113,27.9
43,27.23,27.93,27.2,27.445,336978,27.445
44,27.51,27.63,26.981,27.22,288463,27.22
45,26.91,27.51,26.91,27.51,285194,27.51
46,26.54,26.99,26.52,26.93,430324,26.93
47,26.81,26.96,26.43,26.539,419163,26.539
48,26.86,27.12,26.69,26.82,787374,26.82
49,27.085,27.64,27.05,27.12,119737,27.12
50,26.8573,27.12,26.72,27.05,212334,27.05
51,26.81,26.89,26.48,26.82,189986,26.82
52,26.31,26.84,26.28,26.81,173622,26.81
53,26.2085,26.45,26.2,26.32,157305,26.32
54,26.27,26.31,26.02,26.2,203958,26.2
55,26.41,26.45,26.11,26.27,549945,26.27
56,27.06,27.11,26.3,26.4,217793,26.4
57,26.81,27.14,26.63,27.08,215795,27.08
58,26.665,26.84,26.6,26.8,174325,26.8
59,26.33,26.775,26.302,26.65,193422,26.65
60,26.01,26.4,26.01,26.34,179334,26.34
61,25.9,26.11,25.68,26.0,216771,26.0
62,25.76,25.97,25.67,25.89,625015,25.89
63,25.45,25.86,25.09,25.71,216728,25.71
64,27.05,27.27,25.39,25.44,614789,25.44
65,26.92,27.08,26.52,27.06,349594,27.06
66,26.87,27.04,26.76,26.93,357624,26.93
67,27.325,27.36,26.845,26.86,300446,26.86
68,27.51,27.615,27.205,27.325,527484,27.325
69,27.47,27.79,27.4,27.505,863047,27.505
70,26.48,26.78,26.0,26.65,227782,26.65
71,26.31,26.89,26.24,26.47,244633,26.47
72,26.49,26.53,26.24,26.29,301136,26.29
73,26.47,26.59,26.2,26.5,222657,26.5
74,26.8,26.98,26.33,26.48,249126,26.48
75,27.14,27.15,26.7,26.79,238063,26.79
76,26.94,27.18,26.86,27.14,752550,27.14
77,26.75,27.32,26.64,27.26,111685,27.26
78,26.24,26.8301,26.24,26.73,293829,26.73
79,26.3,26.36,26.0,26.24,331222,26.24
80,26.01,26.37,26.0,26.28,171055,26.28
81,25.9199,26.16,25.82,26.02,188814,26.02
82,26.04,26.13,25.71,25.94,278010,25.94
