Date,Open,High,Low,Close,Volume,Adj Close
0,44.1,44.1,44.08,44.08,67350,44.08
1,44.1,45.11,43.945,44.16,381139,44.16
2,44.19,44.23,43.78,43.97,287747,43.97
3,44.03,44.0899,43.685,44.01,208978,44.01
4,44.01,44.02,43.58,43.93,257347,43.93
5,43.94,44.05,43.81,43.93,145115,43.93
6,43.97,44.0,43.75,43.76,54291,43.76
7,43.76,43.85,43.49,43.69,112387,43.69
8,43.67,43.94,43.62,43.84,60290,43.84
9,43.8,43.9,43.69,43.79,105604,43.79
10,43.785,43.91,43.7,43.77,62434,43.77
11,43.78,43.96,43.75,43.89,61018,43.89
12,43.9,43.94,43.64,43.77,106045,43.77
13,43.76,43.76,43.64,43.71,80588,43.71
14,43.69,43.81,43.64,43.75,48110,43.75
15,43.75,43.81,43.64,43.75,73301,43.75
16,43.72,43.85,43.7,43.77,44865,43.77
17,43.78,43.82,43.695,43.81,39203,43.81
18,43.82,43.83,43.66,43.71,183342,43.71
19,43.69,43.76,43.46,43.62,160528,43.62
20,43.6299,43.63,43.39,43.46,87552,43.46
21,43.479,43.5,43.35,43.38,46536,43.38
22,43.41,43.48,43.37,43.42,62712,43.42
23,43.41,43.48,43.1,43.19,90964,43.19
24,43.21,43.29,43.1,43.17,108143,43.17
25,43.19,43.19,42.98,43.04,253589,43.04
26,43.04,43.06,42.86,42.93,636641,42.93
27,43.0,43.0,43.0,43.0,42529,43.0
28,42.97,43.14,42.82,42.94,186201,42.94
29,42.95,43.102,42.83,43.08,135777,43.08
30,43.05,43.16,42.95,42.98,137835,42.98
31,43.0,43.47,43.0,43.23,67004,43.23
32,43.22,43.38,43.0,43.12,75349,43.12
33,43.1167,43.35,43.02,43.06,37020,43.06
34,43.03,43.19,42.97,43.04,89903,43.04
35,43.05,43.29,42.96,43.28,64042,43.28
36,43.27,43.32,42.98,43.0,52446,43.0
37,43.02,43.25,42.99,43.14,54270,43.14
38,43.13,43.265,43.07,43.11,49827,43.11
39,43.09,43.24,43.09,43.15,36762,43.15
40,43.16,43.35,43.11,43.26,56903,43.26
41,43.27,43.43,43.25,43.35,39534,43.35
42,43.36,43.38,43.25,43.335,52820,43.335
43,43.34,43.37,43.25,43.255,44031,43.255
44,43.27,43.355,43.25,43.25,42514,43.25
45,43.25,43.2699,43.01,43.04,55380,43.04
46,43.03,43.18,42.98,43.09,55680,43.09
47,43.09,43.2,42.99,43.2,57922,43.2
48,43.16,43.265,43.09,43.2555,69620,43.2555
49,43.24,43.274,43.1,43.2,104289,43.2
50,43.2,43.25,42.97,42.98,79872,42.98
51,42.98,43.01,42.895,42.96,105307,42.96
52,42.96,43.035,42.74,42.79,249915,42.79
53,42.78,43.01,42.78,42.92,1140147,42.92
54,42.76,42.81,42.7,42.74,21996,42.74
55,42.74,43.34,42.32,42.47,298451,42.47
56,42.545,42.565,41.65,41.83,205804,41.83
57,41.82,42.5,41.82,42.32,155013,42.32
58,42.36,42.4,42.18,42.244,80863,42.244
59,42.28,42.38,42.14,42.26,140840,42.26
60,42.25,42.33,42.05,42.27,118211,42.27
61,42.29,42.6,42.16,42.57,92416,42.57
62,42.56,42.7,42.4,42.67,71881,42.67
63,42.66,42.71,42.53,42.65,74661,42.65
64,42.65,43.08,42.62,42.83,211858,42.83
65,42.83,43.12,42.83,43.1,60593,43.1
66,43.12,43.19,43.02,43.09,73934,43.09
67,43.1,43.17,42.89,42.89,76284,42.89
68,42.87,42.93,42.71,42.76,49350,42.76
69,42.78,42.825,42.56,42.7,63992,42.7
70,42.72,42.9999,42.7,42.88,69603,42.88
71,42.92,42.96,42.72,42.76,41551,42.76
72,42.77,42.89,42.71,42.71,32815,42.71
73,42.75,42.75,42.57,42.66,46645,42.66
74,42.67,42.74,42.57,42.64,61011,42.64
75,42.63,42.69,42.53,42.69,40132,42.69
76,42.7,42.7,42.5104,42.54,44563,42.54
77,42.54,42.59,42.43,42.565,66154,42.565
78,42.5601,42.67,42.5,42.55,61812,42.55
79,42.5658,42.82,42.53,42.82,107310,42.82
80,42.83,42.84,42.71,42.83,267289,42.83
81,42.26,42.26,42.26,42.26,34284,42.26
82,42.41,43.15,42.3,42.88,139464,42.88
83,42.85,43.1,42.54,42.75,179250,42.75
84,42.73,42.77,42.5,42.58,170382,42.58
85,42.57,42.75,42.5,42.61,190065,42.61
86,42.6,42.75,42.486,42.66,136296,42.66
87,42.64,42.67,42.53,42.62,147302,42.62
88,42.625,42.86,42.53,42.65,173809,42.65
89,42.65,42.8,42.625,42.72,96294,42.72
90,42.72,42.98,42.67,42.82,102245,42.82
91,42.84,42.98,42.67,42.74,126728,42.74
92,42.74,42.84,42.69,42.8,55929,42.8
93,42.78,42.88,42.52,42.55,66654,42.55
94,42.56,42.59,42.35,42.43,286412,42.43
95,42.43,42.7,42.38,42.42,359184,42.42
96,42.42,42.49,42.23,42.23,56999,42.23
97,42.23,42.24,42.0,42.08,89213,42.08
98,42.11,42.19,42.05,42.05,72415,42.05
99,42.07,42.52,42.04,42.425,84460,42.425
100,42.42,42.55,41.9645,41.97,140937,41.97
101,41.98,42.16,41.9,42.04,68312,42.04
102,42.01,42.06,41.64,41.81,83050,41.81
103,41.79,41.89,41.64,41.67,76459,41.67
104,41.68,41.68,41.34,41.38,176522,41.38
105,41.4,41.635,41.33,41.52,118216,41.52
106,41.515,41.64,41.43,41.64,284585,41.64
107,41.61,41.625,41.44,41.57,346831,41.57
108,42.25,42.25,42.25,42.25,26154,42.25
109,42.37,42.49,42.0,42.3,249676,42.3
110,42.33,42.34,41.53,41.71,210617,41.71
111,41.72,41.8,40.92,40.975,265302,40.975
112,40.98,41.1,40.75,40.75,399023,40.75
113,40.76,40.99,40.54,40.77,363048,40.77
114,40.76,40.76,40.51,40.72,349315,40.72
115,40.74,40.8,40.57,40.683,280544,40.683
116,40.7,40.8,40.58,40.73,179390,40.73
117,40.75,40.76,40.51,40.59,126498,40.59
118,40.585,40.68,40.505,40.62,119657,40.62
119,40.62,41.02,40.62,40.98,155648,40.98
120,40.98,41.02,40.75,40.9603,140717,40.9603
121,40.99,41.23,40.9,41.14,148382,41.14
122,41.16,41.17,40.66,40.83,109043,40.83
123,40.8,40.86,40.71,40.86,78682,40.86
124,40.87,40.88,40.51,40.74,85384,40.74
125,40.77,40.9,40.73,40.83,71569,40.83
126,40.83,40.95,40.79,40.79,64667,40.79
127,40.78,41.17,40.76,40.96,124310,40.96
128,40.98,41.03,40.76,40.95,81458,40.95
129,40.97,40.97,40.73,40.77,204662,40.77
130,40.79,40.84,40.52,40.55,146837,40.55
131,40.56,40.88,40.545,40.83,188220,40.83
132,40.85,40.86,40.73,40.78,117398,40.78
133,40.77,40.91,40.72,40.725,175351,40.725
134,40.71,40.88,40.71,40.84,429490,40.84
135,41.23,41.68,41.23,41.625,52350,41.625
136,41.7,42.79,41.57,42.7,338268,42.7
137,42.71,42.91,42.59,42.75,155182,42.75
138,42.75,43.1,42.7025,42.895,209562,42.895
139,42.87,43.0075,42.54,42.65,109260,42.65
140,42.6523,42.675,42.43,42.5,149877,42.5
141,42.52,42.56,42.29,42.435,99700,42.435
142,42.435,42.67,42.39,42.4,163712,42.4
