Date,Open,High,Low,Close,Volume,Adj Close
0,76.08,76.99,76.08,76.72,53592,76.72
1,75.62,76.07,75.32,76.06,53061,76.06
2,76.05,76.05,75.33,75.65,102056,75.65
3,76.15,76.49,75.96,76.11,62796,76.11
4,76.285,76.39,75.9,76.14,49126,76.14
5,76.28,76.39,75.95,76.3,55841,76.3
6,75.65,76.3,75.64,76.28,222379,76.28
7,72.81,74.4,72.61,74.4,149622,74.4
8,72.485,72.82,72.28,72.82,166500,72.82
9,73.17,73.33,72.21,72.42,144126,72.42
10,73.91,74.02,72.95,73.1999,103419,73.1999
11,73.8,74.31,73.8,73.91,120448,73.91
12,73.58,73.9403,73.37,73.81,132427,73.81
13,74.17,74.18,73.19,73.586,395210,73.586
14,74.37,75.99,74.28,74.57,41784,74.57
15,74.11,74.46,73.74,74.36,75070,74.36
16,74.2,74.28,73.7,74.1104,101932,74.1104
17,73.76,74.21,73.27,74.21,113722,74.21
18,74.09,74.13,73.53,73.81,79866,73.81
19,73.89,74.1798,73.67,74.1,105174,74.1
20,73.55,74.1,73.4303,73.91,567822,73.91
21,73.14,73.15,72.5,72.54,103247,72.54
22,73.44,73.64,72.83,73.25,125774,73.25
23,73.6736,73.95,73.115,73.43,76596,73.43
24,73.6025,73.75,73.41,73.65,62915,73.65
25,73.57,73.64,73.36,73.57,74951,73.57
26,73.4,73.73,73.25,73.55,125844,73.55
27,73.99,74.05,73.3,73.385,627883,73.385
28,72.5399,73.005,71.67,72.29,96259,72.29
29,73.09,73.238,72.1601,72.54,73534,72.54
30,72.16,73.14,72.16,73.04,83313,73.04
31,71.59,72.28,71.56,72.15,103170,72.15
32,70.65,71.6016,70.65,71.6016,123828,71.6016
33,70.78,71.02,70.4806,70.68,223264,70.68
34,70.93,71.21,70.48,70.7925,578823,70.7925
35,71.36,71.73,70.89,71.37,89639,71.37
36,71.45,71.59,70.87,71.25,118070,71.25
37,71.05,71.56,70.56,71.445,90148,71.445
38,71.5,71.66,71.075,71.11,55981,71.11
39,70.99,71.5,70.95,71.5,79094,71.5
40,70.92,71.15,70.77,71.01,123452,71.01
41,69.68,70.96,69.51,70.91,741909,70.91
42,68.92,70.27,68.77,69.76,95405,69.76
43,68.87,69.31,68.7,68.92,151332,68.92
44,68.91,69.03,68.32,68.87,193904,68.87
45,68.62,68.93,68.4,68.89,93826,68.89
46,67.7,68.69,67.63,68.64,130549,68.64
47,68.09,68.3,67.57,67.7,162538,67.7
48,68.87,69.18,67.7,68.1,559571,68.1
49,70.435,70.76,69.56,69.56,134883,69.56
50,70.35,70.58,69.94,70.43,167916,70.43
51,70.035,70.36,69.5776,70.35,156961,70.35
52,69.7,70.2599,69.545,70.05,124089,70.05
53,69.98,70.14,69.5575,69.72,132781,69.72
54,70.58,70.64,69.38,69.97,223766,69.97
55,70.79,70.97,70.42,70.6,408748,70.6
56,69.64,71.1,69.58,70.8,141511,70.8
57,69.67,70.23,69.38,69.62,258420,69.62
58,68.905,69.73,68.82,69.66,59251,69.66
59,68.32,68.99,68.2601,68.92,95998,68.92
60,67.7,68.55,67.6,68.3,93791,68.3
