Date,Open,High,Low,Close,Volume,Adj Close
0,23.37,23.71,23.09,23.09,12852,23.09
1,23.13,23.29,22.81,23.01,24942,23.01
2,23.0,23.33,22.92,23.33,19336,23.33
3,23.33,23.34,22.98,23.09,8700,23.09
4,23.13,23.17,22.97,23.06,9200,23.06
5,23.04,23.18,22.93,23.13,11800,23.13
6,23.08,23.17,22.97,23.14,27788,23.14
7,22.88,23.03,22.88,23.0,6041,23.0
8,23.0,23.0,22.76,22.86,14190,22.86
9,22.93,23.06,22.865,22.9745,18329,22.9745
10,22.955,23.02,22.955,22.955,4000,22.955
11,22.94,23.04,22.91,22.93,5219,22.93
12,22.93,23.01,22.92,22.95,7920,22.95
13,22.935,23.04,22.8,22.97,30416,22.97
14,22.24,22.505,21.88,22.09,23989,22.09
15,22.09,22.15,21.81,22.0,32547,22.0
16,21.96,21.96,21.7,21.8,33906,21.8
17,21.74,21.82,21.51,21.82,22368,21.82
18,21.8099,21.95,21.56,21.71,36267,21.71
19,21.7,21.78,21.5,21.755,24127,21.755
20,21.755,21.78,21.4,21.5,42059,21.5
21,21.76,21.82,21.51,21.61,23735,21.61
22,21.64,21.69,21.46,21.5,14075,21.5
23,21.5,21.96,21.39,21.93,134880,21.93
24,21.96,22.28,21.86,22.12,13468,22.12
25,22.16,22.19,22.02,22.12,8190,22.12
26,22.14,22.16,21.92,21.9454,9403,21.9454
27,21.97,22.03,21.35,21.47,40326,21.47
28,21.49,21.49,20.83,20.9,11268,20.9
29,20.89,20.95,20.64,20.64,10013,20.64
30,20.61,20.65,20.48,20.56,8110,20.56
31,20.57,20.71,20.34,20.52,100082,20.52
32,20.5,20.57,20.1301,20.21,24949,20.21
33,20.265,20.66,20.24,20.36,18521,20.36
34,20.4,20.65,20.21,20.46,47372,20.46
35,20.5,20.6954,20.06,20.66,19805,20.66
36,20.65,20.65,20.15,20.27,20435,20.27
37,20.27,20.52,20.22,20.52,18679,20.52
38,20.53,20.66,20.34,20.5,38400,20.5
39,20.475,20.65,20.444,20.6,20850,20.6
40,20.51,20.63,20.47,20.63,14392,20.63
41,20.56,20.75,20.51,20.63,22549,20.63
42,20.54,20.99,20.54,20.66,21399,20.66
43,20.6,20.61,20.43,20.53,20268,20.53
44,20.53,20.67,20.45,20.47,13350,20.47
45,20.53,20.6,20.39,20.47,37226,20.47
46,20.47,20.61,20.341,20.438,64956,20.438
47,20.42,20.57,19.62,20.26,140383,20.26
48,20.3,20.56,20.25,20.51,72944,20.51
49,20.5,20.51,20.3,20.48,13742,20.48
50,20.43,20.5,20.13,20.375,109838,20.375
51,20.355,20.42,19.8,20.2,144008,20.2
52,20.22,20.38,19.94,20.09,52410,20.09
53,20.13,20.38,20.12,20.27,56835,20.27
54,20.24,20.44,20.15,20.3999,59508,20.3999
55,20.36,20.4,20.14,20.18,76250,20.18
56,19.81,19.93,19.62,19.69,25398,19.69
57,19.58,19.61,19.19,19.2,23021,19.2
58,19.21,19.36,19.125,19.31,6700,19.31
59,19.28,19.3,19.01,19.26,6398,19.26
60,19.12,19.42,19.01,19.29,21769,19.29
61,19.26,19.34,19.165,19.3,9728,19.3
62,19.38,19.63,19.21,19.51,35686,19.51
63,20.0,20.0,19.4,19.61,16649,19.61
64,19.605,19.74,19.31,19.56,43029,19.56
65,19.53,19.66,19.46,19.59,48800,19.59
66,19.57,19.6,19.44,19.5,21240,19.5
67,19.54,19.57,19.41,19.41,11920,19.41
68,19.47,19.5,19.1,19.22,36849,19.22
69,19.21,19.37,19.0,19.31,60939,19.31
70,18.77,18.914,17.68,18.52,28265,18.52
71,18.52,18.58,18.1,18.28,28075,18.28
72,18.2032,18.34,18.09,18.09,35389,18.09
73,18.12,18.2537,17.9111,18.2537,22643,18.2537
74,18.22,18.7,18.17,18.64,11198,18.64
75,18.65,18.65,18.29,18.38,18092,18.38
76,18.35,18.5599,18.28,18.45,55685,18.45
77,18.45,18.45,17.93,18.14,6528,18.14
78,18.12,18.51,18.12,18.14,14276,18.14
79,18.16,18.35,18.16,18.33,9700,18.33
80,18.33,18.59,18.32,18.48,22210,18.48
81,18.51,18.6,18.39,18.5,11698,18.5
82,18.5034,18.61,18.39,18.51,51436,18.51
83,18.5,18.82,18.5,18.79,33364,18.79
84,19.17,19.79,18.85,19.22,36267,19.22
85,19.22,19.6,19.02,19.02,30990,19.02
86,19.01,19.14,18.85,18.85,13758,18.85
87,18.9,18.9,18.68,18.76,8900,18.76
88,18.76,18.815,18.36,18.65,20799,18.65
89,18.78,18.78,18.3,18.36,74457,18.36
90,18.34,18.54,18.04,18.38,136811,18.38
91,18.32,18.37,18.11,18.2,18642,18.2
92,18.27,18.44,18.2,18.37,17729,18.37
93,18.31,18.34,18.11,18.25,17269,18.25
94,18.23,18.28,18.16,18.25,5300,18.25
95,18.25,18.43,18.19,18.22,18758,18.22
96,18.23,18.26,18.0205,18.21,37046,18.21
97,18.25,18.35,18.08,18.23,35138,18.23
98,18.28,18.35,17.675,17.96,29110,17.96
99,18.03,18.65,17.94,18.16,9560,18.16
100,18.2,18.42,18.14,18.23,15869,18.23
101,18.24,18.3,18.125,18.15,7263,18.15
102,18.21,18.28,18.19,18.23,3558,18.23
103,18.25,18.36,18.19,18.36,20176,18.36
104,18.28,18.44,18.1,18.16,31696,18.16
105,18.07,18.22,17.9,17.94,6029,17.94
106,17.95,18.01,17.79,17.89,17261,17.89
107,17.97,18.1,17.8965,17.96,7217,17.96
108,17.98,18.09,17.93,17.98,3800,17.98
109,17.98,17.99,17.84,17.99,4900,17.99
110,17.98,18.03,17.89,17.9491,6500,17.9491
111,17.94,17.97,17.83,17.93,25682,17.93
112,18.0,18.0,17.84,17.89,7091,17.89
113,17.84,17.84,17.4,17.65,22530,17.65
114,17.65,17.87,17.54,17.55,7878,17.55
115,17.57,17.76,17.57,17.68,4000,17.68
116,17.71,17.76,17.5,17.51,3900,17.51
117,17.54,17.67,17.51,17.67,7400,17.67
118,17.63,17.75,17.6,17.67,12013,17.67
119,17.91,18.4,17.91,18.24,26545,18.24
120,18.14,18.52,18.14,18.26,36824,18.26
121,18.28,18.32,18.18,18.25,11200,18.25
122,18.24,18.33,18.17,18.2,26615,18.2
123,18.21,18.27,17.93,17.94,32382,17.94
124,17.95,18.14,17.95,18.116,26380,18.116
