Date,Open,High,Low,Close,Volume,Adj Close
0,16.73,16.73,16.72,16.72,62600,16.72
1,16.74,16.8,16.73,16.74,487900,16.74
2,16.74,16.75,16.72,16.74,120500,16.74
3,16.65,16.74,16.64,16.73,186000,16.73
4,16.65,16.68,16.61,16.66,150500,16.66
5,16.64,16.69,16.63,16.65,100900,16.65
6,16.7,16.7,16.63,16.64,85100,16.64
7,16.72,16.77,16.68,16.7,236200,16.7
8,16.68,16.72,16.66,16.72,245300,16.72
9,16.8,16.81,16.8,16.81,599300,16.81
10,16.69,16.8,16.65,16.74,318900,16.74
11,16.7,16.7,16.67,16.69,157400,16.69
12,16.7,16.71,16.68,16.7,132100,16.7
13,16.61,16.61,16.61,16.61,31000,16.61
14,16.42,16.65,16.4,16.64,581900,16.64
15,16.37,16.43,16.3,16.42,776000,16.42
16,16.28,16.37,16.27,16.37,712800,16.37
17,16.3,16.31,16.28,16.29,217100,16.29
18,16.29,16.31,16.25,16.3,420700,16.3
19,16.31,16.31,16.28,16.3,184100,16.3
20,16.28,16.31,16.27,16.3,493800,16.3
21,16.28,16.29,16.23,16.27,979900,16.27
22,16.34,16.34,16.34,16.34,190200,16.34
23,16.26,16.35,16.2,16.35,1405400,16.35
24,16.23,16.27,16.2,16.27,613600,16.27
25,16.26,16.26,16.23,16.24,212500,16.24
26,16.23,16.26,16.23,16.26,127600,16.26
27,16.23,16.24,16.2,16.23,296400,16.23
28,16.21,16.25,16.2,16.23,266100,16.23
29,16.21,16.25,16.21,16.21,329500,16.21
30,16.25,16.25,16.21,16.21,552800,16.21
31,16.26,16.26,16.26,16.26,91700,16.26
32,16.25,16.32,16.24,16.26,463400,16.26
33,16.17,16.25,16.16,16.24,744700,16.24
34,16.2,16.2,16.16,16.17,204300,16.17
35,16.17,16.2,16.17,16.2,159300,16.2
36,16.16,16.18,16.16,16.18,134300,16.18
37,16.17,16.18,16.16,16.17,148800,16.17
38,16.15,16.17,16.15,16.17,461000,16.17
39,16.1,16.14,16.09,16.14,1629800,16.14
40,16.01,16.01,16.0,16.0,431700,16.0
41,15.81,16.03,15.8,16.0,3267400,16.0
42,15.81,15.85,15.78,15.8,1578700,15.8
