Date,Open,High,Low,Close,Volume,Adj Close
0,20.68,20.68,20.68,20.68,700,20.68
1,20.62,20.73,20.58,20.68,249175,20.68
2,20.57,20.64,20.52,20.62,137110,20.62
3,20.6,20.62,20.53,20.57,153888,20.57
4,20.67,20.685,20.6,20.6,55199,20.6
5,20.585,20.71,20.55,20.68,123765,20.68
6,20.501,20.615,20.5,20.58,100480,20.58
7,20.54,20.57,20.495,20.5,132950,20.5
8,20.57,20.58,20.5,20.535,230206,20.535
9,20.61,20.61,20.55,20.58,96448,20.58
10,20.57,20.63,20.56,20.61,62667,20.61
11,20.5465,20.58,20.515,20.5757,55381,20.5757
12,20.485,20.54,20.43,20.54,96360,20.54
13,20.45,20.51,20.45,20.49,71943,20.49
14,20.435,20.46,20.4,20.4399,98325,20.4399
15,20.4392,20.46,20.42,20.44,93531,20.44
16,20.43,20.475,20.42,20.43,67244,20.43
17,20.42,20.45,20.4,20.43,81615,20.43
18,20.42,20.47,20.42,20.43,30502,20.43
19,20.33,20.43,20.32,20.41,33817,20.41
20,20.325,20.34,20.29,20.3288,58093,20.3288
21,20.25,20.34,20.24,20.33,115407,20.33
22,20.27,20.295,20.23,20.24,60237,20.24
23,20.31,20.36,20.26,20.27,82796,20.27
24,20.4,20.42,20.29,20.32,202620,20.32
25,20.43,20.44,20.36,20.405,303997,20.405
26,20.42,20.48,20.41,20.43,239303,20.43
27,19.67,19.83,19.585,19.74,387864,19.74
28,19.48,19.73,19.47,19.68,246283,19.68
29,19.45,19.52,19.43,19.48,451822,19.48
30,19.39,19.48,19.38,19.44,192230,19.44
31,19.42,19.425,19.291,19.39,138785,19.39
32,19.195,19.42,19.195,19.42,165039,19.42
33,19.2515,19.285,19.2,19.2,122065,19.2
34,19.28,19.33,19.22,19.26,119650,19.26
35,19.23,19.36,19.23,19.29,141746,19.29
36,19.23,19.26,19.185,19.24,124917,19.24
37,19.23,19.27,19.165,19.23,75954,19.23
38,19.12,19.23,19.09,19.23,108061,19.23
39,19.116,19.17,19.115,19.12,167538,19.12
40,19.27,19.27,19.1,19.11,50083,19.11
41,19.24,19.3161,19.23,19.28,49241,19.28
42,19.27,19.29,19.164,19.23,58334,19.23
43,19.37,19.38,19.265,19.265,93574,19.265
