Date,Open,High,Low,Close,Volume,Adj Close
0,54.67,54.81,54.67,54.81,51363,54.81
1,53.58,54.87,53.46,54.87,362727,54.87
2,53.84,53.89,53.3003,53.59,181773,53.59
3,53.93,54.09,53.732,53.84,353985,53.84
4,54.3,54.35,53.93,53.9372,354316,53.9372
5,54.16,54.37,54.07,54.31,411839,54.31
6,53.855,54.16,53.75,54.16,178866,54.16
7,53.75,54.04,53.67,53.84,104644,53.84
8,53.95,53.96,53.6799,53.76,116233,53.76
9,54.05,54.18,53.88,53.95,179282,53.95
10,53.87,54.1351,53.86,54.05,106927,54.05
11,53.77,53.93,53.59,53.8721,161222,53.8721
12,53.71,53.77,53.61,53.765,220939,53.765
13,53.62,53.82,53.61,53.71,152832,53.71
14,53.58,53.66,53.505,53.61,118270,53.61
15,53.41,53.64,53.4,53.59,101229,53.59
16,53.36,53.62,53.35,53.41,105226,53.41
17,53.29,53.49,53.29,53.35,120376,53.35
18,53.18,53.44,53.14,53.31,135627,53.31
19,52.9,53.26,52.86,53.18,168471,53.18
20,52.78,52.9,52.7,52.9,175138,52.9
21,52.6,52.905,52.59,52.78,241989,52.78
22,52.74,52.77,52.55,52.59,159106,52.59
23,52.79,52.93,52.69,52.74,214930,52.74
24,53.08,53.09,52.6733,52.8,267037,52.8
25,53.24,53.27,52.97,53.08,421586,53.08
26,53.24,53.465,53.085,53.235,797016,53.235
27,52.5,52.8,52.5,52.8,88896,52.8
28,51.98,52.71,51.76,52.68,201726,52.68
29,51.75,52.0,51.63,51.99,289887,51.99
30,51.54,51.85,51.43,51.75,270638,51.75
31,51.6,51.65,51.29,51.53,137385,51.53
32,51.53,51.61,51.28,51.61,184274,51.61
33,51.49,51.58,51.36,51.535,172550,51.535
34,51.67,51.73,51.5,51.52,181022,51.52
35,51.52,51.675,51.46,51.66,127394,51.66
36,51.35,51.68,51.32,51.52,122318,51.52
37,51.28,51.42,51.16,51.35,153473,51.35
38,51.24,51.36,51.1,51.2754,131665,51.2754
39,50.97,51.2999,50.91,51.24,156172,51.24
40,50.95,51.08,50.88,50.98,152895,50.98
41,51.4,51.43,50.89,50.94,301680,50.94
42,51.42,51.62,51.39,51.41,179861,51.41
43,51.49,51.5808,51.2,51.42,189372,51.42
44,52.12,52.12,51.48,51.5025,186708,51.5025
45,52.16,52.45,52.1,52.12,171895,52.12
46,52.23,52.42,52.0,52.15,159294,52.15
47,52.22,52.38,52.13,52.215,226273,52.215
48,52.22,52.3616,52.09,52.2272,205028,52.2272
49,52.345,52.58,52.13,52.23,174525,52.23
50,52.561,52.65,52.27,52.35,208436,52.35
51,53.15,53.18,52.56,52.57,258077,52.57
52,52.97,53.16,52.9,53.13,420006,53.13
53,52.8,53.035,52.681,52.96,516431,52.96
54,52.38,52.44,52.38,52.44,80000,52.44
55,51.97,52.79,51.94,52.79,107967,52.79
56,51.72,52.05,51.652,51.93,173854,51.93
57,52.38,52.56,51.7124,51.73,176290,51.73
58,52.44,52.56,52.21,52.32,232177,52.32
59,52.49,52.7,52.26,52.4697,103919,52.4697
