Date,Open,High,Low,Close,Volume,Adj Close
0,95.35,95.7,95.1,95.62,4455,95.62
1,96.1,96.64,95.32,95.62,1889452,95.62
2,95.83,96.88,95.4,96.08,867290,96.08
3,95.24,95.95,95.11,95.83,670176,95.83
4,95.65,96.0,95.17,95.24,528937,95.24
5,95.75,96.12,95.6,95.68,424569,95.68
6,95.9264,96.18,95.61,95.74,328264,95.74
7,95.51,96.01,95.21,95.91,654909,95.91
8,95.24,95.723,94.98,95.5199,1007454,95.5199
9,95.16,95.25,94.986,95.23,594682,95.23
10,94.98,95.26,94.95,95.15,550694,95.15
11,94.65,95.065,94.5,94.97,491541,94.97
12,94.06,94.66,93.84,94.65,666370,94.65
13,94.22,94.26,93.84,94.05,790714,94.05
14,94.33,94.5,94.15,94.23,626914,94.23
15,94.18,94.44,93.95,94.3214,557335,94.3214
16,94.06,94.45,94.02,94.17,430799,94.17
17,94.3,94.3295,93.9,94.04,326599,94.04
18,94.3687,94.86,94.2502,94.31,421028,94.31
19,94.1,94.39,93.95,94.36,410529,94.36
20,93.7702,94.22,93.74,94.12,504042,94.12
21,94.0983,94.21,93.585,93.78,458125,93.78
22,94.3,94.3499,93.88,94.105,789600,94.105
23,93.993,94.31,93.81,94.29,947309,94.29
24,94.0,94.05,93.46,94.009,987058,94.009
25,93.92,94.0,93.6,93.99,1060099,93.99
26,93.88,93.99,93.68,93.93,1407206,93.93
27,94.2401,95.07,94.2301,95.0,1036300,95.0
28,94.14,94.4337,93.5546,94.24,907846,94.24
29,94.57,94.69,93.94,94.15,749952,94.15
30,94.7946,94.91,94.5001,94.5699,517335,94.5699
31,94.58,94.9299,94.53,94.79,714574,94.79
32,94.3496,94.6025,94.12,94.57,432375,94.57
33,94.46,94.66,94.299,94.34,277546,94.34
34,94.47,94.61,93.98,94.46,453334,94.46
35,94.5,94.6,94.27,94.48,294586,94.48
36,94.28,94.61,94.26,94.5,259584,94.5
37,94.06,94.3,93.79,94.28,372857,94.28
38,93.99,94.08,93.79,94.05,341465,94.05
39,93.96,94.25,93.95,93.99,445963,93.99
40,93.97,94.1,93.78,93.96,246823,93.96
41,93.99,94.25,93.84,93.96,376588,93.96
42,93.97,94.26,93.93,94.01,150735,94.01
43,93.84,94.09,93.8099,93.97,224956,93.97
44,93.99,94.12,93.845,93.8497,238030,93.8497
45,93.6,94.1,93.6,93.98,413076,93.98
46,93.6299,93.675,93.43,93.6032,298353,93.6032
47,93.2,93.72,93.2,93.6,422749,93.6
48,93.48,93.51,93.03,93.2002,353577,93.2002
49,93.81,93.93,93.4003,93.4702,319386,93.4702
50,94.02,94.11,93.66,93.82,327140,93.82
51,94.23,94.29,93.94,94.03,486546,94.03
52,93.95,94.33,93.93,94.23,826196,94.23
53,92.14,92.27,92.1,92.18,1400,92.18
54,91.96,92.69,91.79,92.14,1004266,92.14
55,91.77,92.36,91.6,91.98,611072,91.98
56,91.85,91.98,91.45,91.76,558729,91.76
57,91.86,92.06,91.71,91.85,722096,91.85
58,91.76,91.9205,91.3724,91.86,438260,91.86
59,91.29,91.79,91.22,91.77,505468,91.77
60,91.3,91.45,91.09,91.2835,671856,91.2835
61,91.15,91.52,91.085,91.317,551005,91.317
62,91.15,91.38,91.09,91.16,417285,91.16
63,90.95,91.28,90.814,91.16,465489,91.16
64,90.87,91.17,90.76,90.96,380930,90.96
65,90.53,91.0,90.42,90.85,435503,90.85
66,90.63,90.78,90.51,90.53,347615,90.53
67,91.28,91.3,90.45,90.62,414974,90.62
68,91.25,91.45,91.16,91.3,306435,91.3
69,91.28,91.49,90.86,91.264,355464,91.264
70,92.15,92.19,91.25,91.27,483838,91.27
71,92.19,92.4699,92.02,92.16,518820,92.16
72,92.09,92.345,91.8607,92.18,470998,92.18
73,91.95,92.32,91.82,92.1,385523,92.1
74,92.18,92.38,91.78,91.96,903548,91.96
75,92.5,92.67,92.02,92.19,462719,92.19
76,92.64,92.81,92.29,92.51,681785,92.51
77,93.5278,93.64,92.642,92.642,840720,92.642
78,92.89,93.61,92.82,93.54,770560,93.54
79,92.54,92.91,92.44,92.88,803299,92.88
80,92.87,92.87,92.87,92.87,100,92.87
81,92.46,93.2442,92.3,92.87,714637,92.87
82,92.65,92.81,92.31,92.4599,389928,92.4599
83,93.845,93.91,92.64,92.65,531526,92.65
84,93.56,94.0332,93.27,93.86,370465,93.86
85,93.81,94.0,93.26,93.56,397757,93.56
86,93.56,94.14,93.51,93.802,395101,93.802
87,93.76,94.02,93.39,93.57,363741,93.57
88,93.64,93.94,93.515,93.79,268562,93.79
89,93.86,93.953,93.59,93.67,337300,93.67
90,94.2126,94.24,93.775,93.85,353343,93.85
91,94.44,94.689,94.18,94.22,647594,94.22
92,94.35,94.53,94.16,94.45,267417,94.45
93,94.42,94.6383,94.32,94.35,251642,94.35
94,94.39,94.44,94.17,94.42,192017,94.42
95,94.62,94.7855,94.38,94.38,288380,94.38
96,94.28,94.86,94.28,94.62,459608,94.62
97,94.29,94.4318,94.0,94.28,258069,94.28
98,94.195,94.4499,94.02,94.2901,303085,94.2901
99,93.61,94.255,93.51,94.21,310823,94.21
100,93.792,93.8,93.5,93.62,343498,93.62
101,94.07,94.115,93.71,93.78,289518,93.78
102,94.315,94.42,93.8354,94.065,430875,94.065
103,94.23,94.315,93.84,94.3,387141,94.3
104,94.0,94.34,93.96,94.24,450038,94.24
105,94.3,94.41,94.0,94.01,443395,94.01
106,94.02,94.32,94.01,94.28,548218,94.28
107,96.0,96.0,95.95,95.95,842,95.95
108,96.26,96.31,95.55,95.9,1028130,95.9
109,96.71,96.8,96.1,96.2679,1008995,96.2679
110,96.97,96.98,96.64,96.71,595151,96.71
111,97.32,97.42,96.91,96.97,752905,96.97
112,97.28,97.38,96.9,97.315,421414,97.315
113,96.92,97.3,96.91,97.26,472559,97.26
114,96.69,97.05,96.67,96.911,477327,96.911
115,96.87,97.12,96.5,96.68,478831,96.68
116,96.74,96.89,96.51,96.84,269124,96.84
117,96.55,96.8,96.38,96.74,332285,96.74
118,96.66,96.75,96.5186,96.55,182043,96.55
119,96.7,96.83,96.54,96.65,215265,96.65
120,96.77,96.89,96.54,96.71,142575,96.71
121,96.93,96.97,96.5954,96.77,129669,96.77
122,97.0,97.02,96.88,96.92,261881,96.92
123,97.07,97.08,96.91,96.98,185378,96.98
124,97.0,97.13,96.84,97.08,169841,97.08
125,97.03,97.099,96.906,96.99,134745,96.99
126,97.04,97.11,96.94,97.03,169995,97.03
127,96.9925,97.125,96.97,97.05,240839,97.05
128,96.75,97.13,96.69,97.0,421930,97.0
129,96.99,97.0168,96.75,96.76,249961,96.76
130,96.7628,97.01,96.65,96.9999,322402,96.9999
131,96.8247,96.88,96.68,96.75,279070,96.75
132,97.03,97.055,96.65,96.82,402178,96.82
133,96.91,97.07,96.82,97.02,727958,97.02
134,96.34,96.68,96.34,96.42,174187,96.42
135,96.24,96.6,96.2,96.42,244362,96.42
136,96.15,96.25,96.01,96.22,262001,96.22
137,96.15,96.58,96.11,96.14,208911,96.14
138,96.13,96.35,96.055,96.15,187279,96.15
139,96.01,96.19,95.92,96.13,206354,96.13
140,96.01,96.19,95.95,96.01,157295,96.01
141,95.96,96.12,95.9,96.01,170049,96.01
142,96.18,96.2,95.94,95.96,149747,95.96
143,96.04,96.23,96.04,96.18,131879,96.18
144,96.07,96.23,96.0,96.04,115961,96.04
145,96.0307,96.18,95.98,96.0601,154491,96.0601
146,96.03,96.11,95.94,96.02,104718,96.02
147,96.16,96.18,95.95,96.043,160178,96.043
148,96.265,96.29,96.07,96.169,138649,96.169
149,96.515,96.53,96.265,96.265,186312,96.265
150,96.52,96.67,96.5098,96.51,136129,96.51
151,96.525,96.6325,96.5,96.52,146398,96.52
152,96.28,96.59,96.28,96.525,172922,96.525
153,96.3,96.36,96.22,96.27,206281,96.27
154,96.285,96.39,96.13,96.29,219725,96.29
155,96.17,96.3127,96.14,96.2816,222658,96.2816
156,96.02,96.23,96.0,96.171,247718,96.171
157,95.69,96.11,95.69,96.01,285509,96.01
158,95.4384,95.79,95.41,95.7,324663,95.7
159,95.2,95.54,95.1204,95.42,469732,95.42
160,95.31,95.42,95.17,95.195,676251,95.195
161,95.49,95.49,95.49,95.49,300,95.49
162,95.5,96.12,95.29,95.47,461467,95.47
163,95.57,95.7,95.09,95.48,306496,95.48
164,95.6803,95.9,95.53,95.6,311368,95.6
