Date,Close,High,Low,Open,Volume,Adj Close
2015-09-14 10:30:00,43.301,43.58,43.02,43.58,588688,43.301
2015-09-14 11:30:00,43.26,43.535,43.2165,43.35,461516,43.26
2015-09-14 12:30:00,43.15,43.3,43.09,43.25,458434,43.15
2015-09-14 13:30:00,43.22,43.265,43.119,43.14,311757,43.22
2015-09-14 14:30:00,43.185,43.32,43.13,43.23,385878,43.185
2015-09-14 15:30:00,43.185,43.33,43.17,43.18,554131,43.185
2015-09-14 16:00:00,43.09,43.185,43.07,43.18,809098,43.09
2015-09-15 10:30:00,43.485,43.58,43.1301,43.4,585731,43.485
2015-09-15 11:30:00,43.415,43.62,43.375,43.565,497819,43.415
2015-09-15 12:30:00,43.34,43.4699,43.285,43.45,436376,43.34
2015-09-15 13:30:00,43.485,43.505,43.26,43.32,488892,43.485
2015-09-15 14:30:00,43.61,43.63,43.415,43.4701,921921,43.61
2015-09-15 15:30:00,43.82,43.905,43.6,43.6,1324990,43.82
2015-09-15 16:00:00,43.62,43.81,43.62,43.74,900930,43.62
2015-09-16 10:30:00,44.3,44.3,43.75,43.75,557857,44.3
2015-09-16 11:30:00,44.49,44.61,44.215,44.28,665169,44.49
2015-09-16 12:30:00,44.5864,44.625,44.445,44.5,510734,44.5864
2015-09-16 13:30:00,44.5401,44.795,44.5401,44.6,498871,44.5401
2015-09-16 14:30:00,44.58,44.79,44.5,44.5,470277,44.58
2015-09-16 15:30:00,44.81,44.84,44.54,44.585,809879,44.81
2015-09-16 16:00:00,45.0,45.02,44.83,44.83,942637,45.0
2015-09-17 10:30:00,45.01,45.03,44.62,44.73,619265,45.01
2015-09-17 11:30:00,44.91,45.08,44.81,44.96,554605,44.91
2015-09-17 12:30:00,44.85,44.965,44.81,44.8701,446197,44.85
2015-09-17 13:30:00,44.78,44.86,44.7735,44.84,404086,44.78
2015-09-17 14:30:00,44.68,44.96,44.49,44.8599,935006,44.68
2015-09-17 15:30:00,44.61,45.22,44.52,44.73,1202605,44.61
2015-09-17 16:00:00,44.2,44.65,44.08,44.55,1038604,44.2
2015-09-18 10:30:00,43.54,43.62,43.05,43.42,878850,43.54
2015-09-18 11:30:00,43.67,43.82,43.385,43.57,472143,43.67
2015-09-18 12:30:00,43.68,44.0,43.64,43.65,387232,43.68
2015-09-18 13:30:00,43.71,43.76,43.58,43.65,348504,43.71
2015-09-18 14:30:00,43.71,43.755,43.5201,43.705,461876,43.71
2015-09-18 15:30:00,43.475,43.735,43.43,43.72,687513,43.475
2015-09-18 16:00:00,43.47,43.545,43.38,43.46,1237065,43.47
2015-09-21 10:30:00,43.795,43.97,43.6,43.66,591070,43.795
