Date,Open,High,Low,Close,Volume,Adj Close
0,69.0,69.0,69.0,69.0,2097,69.0
1,69.17,69.3,68.73,69.06,313577,69.06
2,69.03,69.17,68.855,69.15,68971,69.15
3,69.13,69.2,68.71,69.03,77157,69.03
4,69.38,69.44,69.07,69.13,75845,69.13
5,69.13,69.4,69.13,69.37,79017,69.37
6,69.1,69.165,69.04,69.13,64232,69.13
7,68.9999,69.23,68.93,69.1,86010,69.1
8,68.84,69.02,68.795,68.99,122020,68.99
9,68.69,68.87,68.65,68.83,138258,68.83
10,68.73,68.89,68.68,68.69,95750,68.69
11,68.5025,68.7399,68.45,68.72,91789,68.72
12,68.48,68.53,68.32,68.51,69918,68.51
13,68.44,68.515,68.33,68.47,177797,68.47
14,68.355,68.47,68.27,68.45,59752,68.45
15,68.41,68.55,68.365,68.37,97558,68.37
16,68.2899,68.46,68.28,68.41,90076,68.41
17,68.25,68.32,68.18,68.28,59451,68.28
18,68.26,68.345,68.18,68.25,67922,68.25
19,68.45,68.45,68.25,68.26,73563,68.26
20,68.63,68.67,68.44,68.455,81559,68.455
21,68.85,68.9,68.62,68.63,108806,68.63
22,69.03,69.035,68.81,68.855,145592,68.855
23,68.9175,69.03,68.8675,69.02,157827,69.02
24,68.86,68.92,68.63,68.92,94037,68.92
25,68.86,68.89,68.65,68.86,179113,68.86
26,68.86,68.945,68.74,68.86,273869,68.86
27,69.05,69.23,69.01,69.23,28343,69.23
28,69.19,69.42,68.69,69.2299,213938,69.2299
29,69.24,69.6,69.01,69.22,142162,69.22
30,69.0,69.25,68.92,69.24,120112,69.24
31,69.16,69.2,68.8,68.99,70781,68.99
32,69.21,69.23,68.98,69.16,67800,69.16
33,69.08,69.3254,69.06,69.2,69527,69.2
34,69.09,69.25,69.065,69.08,72944,69.08
35,69.18,69.21,68.96,69.1,64143,69.1
36,69.35,69.48,69.17,69.18,52828,69.18
37,69.3,69.41,69.25,69.36,55860,69.36
38,69.25,69.33,69.2,69.3,65294,69.3
39,69.23,69.25,69.15,69.24,54974,69.24
40,69.29,69.43,69.17,69.22,67180,69.22
41,69.39,69.4,69.28,69.28,54636,69.28
42,69.35,69.47,69.35,69.4,67740,69.4
43,69.41,69.49,69.335,69.36,58754,69.36
44,69.45,69.51,69.38,69.4,46725,69.4
45,69.55,69.57,69.45,69.45,42763,69.45
46,69.56,69.66,69.53,69.55,93594,69.55
47,69.5,69.565,69.42,69.56,100349,69.56
48,69.57,69.61,69.495,69.5,76016,69.5
49,69.51,69.57,69.46,69.57,90127,69.57
50,69.64,69.66,69.46,69.5,120909,69.5
51,69.785,69.8,69.64,69.64,111657,69.64
52,69.95,69.97,69.78,69.79,167609,69.79
53,69.89,70.06,69.85,69.95,253341,69.95
54,69.45,69.45,69.45,69.45,31124,69.45
55,69.53,69.75,69.25,69.45,150495,69.45
56,69.24,69.55,69.12,69.52,119652,69.52
57,69.28,69.3725,69.18,69.24,115415,69.24
58,68.95,69.25,68.83,69.25,107965,69.25
59,68.64,68.97,68.59,68.93,117806,68.93
60,68.73,68.9,68.6,68.64,116062,68.64
61,68.65,68.925,68.65,68.74,92013,68.74
62,68.655,68.84,68.63,68.6699,88387,68.6699
63,68.76,68.82,68.64,68.65,79556,68.65
64,68.58,68.79,68.53,68.76,78665,68.76
65,68.4,68.675,68.3346,68.598,78012,68.598
66,68.16,68.39,68.13,68.39,71692,68.39
67,68.13,68.35,68.12,68.16,157243,68.16
68,68.3,68.33,67.94,68.12,121566,68.12
69,68.19,68.342,68.12,68.32,106644,68.32
70,68.15,68.2,68.02,68.2,87349,68.2
71,68.33,68.33,67.98,68.13,89329,68.13
72,68.19,68.38,68.18,68.35,90380,68.35
73,68.17,68.24,68.1,68.19,82030,68.19
74,68.16,68.26,68.07,68.17,91344,68.17
75,68.19,68.21,68.0669,68.17,134453,68.17
76,68.32,68.36,68.17,68.19,111000,68.19
77,68.52,68.529,68.3,68.33,131948,68.33
78,69.1676,69.2,68.51,68.519,216513,68.519
79,69.0,69.2,68.9769,69.18,265671,69.18
80,68.74,69.015,68.65,69.015,326792,69.015
81,69.05,69.05,69.05,69.05,27649,69.05
82,68.4602,69.0018,68.38,68.9704,72649,68.9704
83,68.2,68.57,68.1,68.48,59689,68.48
84,68.25,68.28,67.97,68.2,71759,68.2
85,68.17,68.57,68.14,68.233,89802,68.233
86,68.5,68.55,68.14,68.19,44333,68.19
87,68.45,68.64,68.4001,68.48,43564,68.48
88,68.62,68.66,68.3,68.48,62962,68.48
89,68.59,68.66,68.47,68.63,62634,68.63
90,68.35,68.59,68.31,68.58,84752,68.58
91,68.52,68.53,68.3,68.35,142621,68.35
92,68.54,68.65,68.51,68.5175,71202,68.5175
93,68.64,68.64,68.46,68.54,54326,68.54
94,68.65,68.74,68.52,68.65,42712,68.65
95,68.5,68.65,68.37,68.65,64970,68.65
96,68.35,68.51,68.34,68.49,40405,68.49
97,68.17,68.4,68.16,68.34,37743,68.34
98,68.27,68.33,68.09,68.18,65814,68.18
99,68.36,68.37,68.17,68.2699,68620,68.2699
100,68.22,68.39,68.17,68.37,72383,68.37
101,68.03,68.25,67.97,68.23,55827,68.23
102,68.4,68.42,68.04,68.04,59498,68.04
103,68.58,68.58,68.36,68.4,66617,68.4
104,68.47,68.58,68.3032,68.57,56847,68.57
105,68.48,68.51,68.33,68.46,53174,68.46
106,68.68,68.72,68.48,68.49,74764,68.49
