Date,Open,High,Low,Close,Volume,Adj Close
0,96.41,96.49,96.38,96.43,398882,96.43
1,96.42,96.7,95.92,96.0399,2332457,96.0399
2,96.0399,96.3,95.49,96.08,2069930,96.08
3,96.12,96.85,96.099,96.81,1545620,96.81
4,96.8,97.31,96.68,97.25,1707362,97.25
5,97.25,97.44,97.06,97.1601,1406516,97.1601
6,97.1699,97.22,96.75,96.8037,1189735,96.8037
7,96.8,97.06,96.47,96.66,1191378,96.66
8,96.65,97.09,96.54,97.02,742433,97.02
9,97.02,97.16,96.35,96.51,845785,96.51
10,96.5,96.79,96.2981,96.51,778099,96.51
11,96.51,97.07,96.49,97.02,718027,97.02
12,97.03,97.13,96.86,97.09,737381,97.09
13,97.09,97.09,96.89,96.96,622144,96.96
14,96.95,97.38,96.854,97.32,664643,97.32
15,97.32,97.4,97.17,97.36,787977,97.36
16,97.37,97.69,97.37,97.52,707525,97.52
17,97.53,97.67,97.38,97.47,573760,97.47
18,97.47,97.65,97.38,97.58,612978,97.58
19,97.58,98.05,97.51,98.0285,864234,98.0285
20,98.039,98.07,97.7,97.71,818898,97.71
21,97.71,97.9389,97.51,97.685,895981,97.685
22,97.6876,98.07,97.43,97.6401,1015244,97.6401
23,97.64,97.765,97.19,97.38,836310,97.38
24,97.39,97.77,97.23,97.67,806385,97.67
25,97.6799,97.99,97.52,97.94,924205,97.94
26,97.95,98.0,97.714,97.94,2645842,97.94
27,98.72,98.83,98.51,98.55,281527,98.55
28,98.52,98.89,97.94,98.672,2465138,98.672
29,98.6603,99.09,98.06,99.01,2177454,99.01
30,99.0,99.39,98.7,98.73,1841799,98.73
31,98.73,99.02,98.55,98.95,1355726,98.95
32,98.96,99.05,98.615,98.7,1157181,98.7
33,98.6875,98.72,98.36,98.41,957173,98.41
34,98.41,98.445,97.89,98.0851,1442730,98.0851
35,98.08,98.47,97.95,98.072,986112,98.072
36,98.07,98.1601,97.78,97.7899,865981,97.7899
37,97.78,98.24,97.67,98.064,854565,98.064
38,98.07,98.3122,98.03,98.144,575402,98.144
39,98.15,98.44,98.13,98.41,636802,98.41
40,98.4076,98.86,98.3,98.73,816414,98.73
41,98.748,99.02,98.57,98.99,738946,98.99
42,99.0,99.48,98.88,99.42,1137041,99.42
43,99.42,99.48,99.07,99.11,759364,99.11
44,99.11,99.32,99.1,99.21,495806,99.21
45,99.1979,99.22,98.36,98.37,714265,98.37
46,98.36,98.548,98.26,98.37,749406,98.37
47,98.36,98.53,98.13,98.37,654428,98.37
48,98.37,98.51,98.175,98.23,683147,98.23
49,98.23,98.34,98.03,98.045,697149,98.045
50,98.04,98.28,97.5701,97.6399,1002192,97.6399
51,97.64,97.695,97.15,97.2921,1589132,97.2921
52,97.28,97.37,97.05,97.07,1516420,97.07
53,97.08,97.37,96.93,97.01,3117341,97.01
54,97.76,97.76,97.61,97.67,196660,97.67
55,97.68,97.75,96.4,96.65,1917221,96.65
56,96.67,96.75,95.66,95.81,1947371,95.81
57,95.8,96.58,95.8,96.4,1466910,96.4
58,96.4,96.78,96.2,96.25,1204149,96.25
59,96.24,96.87,96.18,96.65,1152472,96.65
60,96.671,96.85,96.38,96.59,778576,96.59
61,96.57,96.829,96.3,96.534,966722,96.534
62,96.54,96.5699,96.05,96.45,920591,96.45
63,96.45,96.74,96.3,96.7112,655942,96.7112
64,96.71,96.9701,96.6244,96.91,753313,96.91
65,96.9,97.25,96.76,97.13,844330,97.13
66,97.1282,97.3801,96.98,97.26,655777,97.26
67,97.26,97.43,97.14,97.28,558515,97.28
68,97.28,97.29,96.88,97.07,539888,97.07
69,97.07,97.49,97.06,97.375,878694,97.375
70,97.38,97.88,97.38,97.7692,768545,97.7692
71,97.761,97.81,97.4732,97.5401,549850,97.5401
72,97.54,97.78,97.49,97.595,421201,97.595
73,97.55,97.56,97.125,97.1599,617541,97.1599
74,97.14,97.28,96.81,96.83,868316,96.83
