Date,Open,High,Low,Close,Volume,Adj Close
0,14.41,14.41,14.34,14.36,85493,14.36
1,14.4,14.68,13.95,14.05,713370,14.05
2,14.04,14.31,13.77,13.82,556469,13.82
3,13.8326,13.85,13.61,13.78,409313,13.78
4,13.7799,13.8,13.53,13.6144,318440,13.6144
5,13.6126,13.65,13.4228,13.53,363652,13.53
6,13.53,13.58,13.28,13.355,315218,13.355
7,13.355,13.75,13.3501,13.69,308819,13.69
8,13.6876,13.82,13.6876,13.7401,178986,13.7401
9,13.742,14.07,13.73,13.895,390388,13.895
10,13.8963,13.8963,13.6609,13.74,231445,13.74
11,13.755,13.8258,13.75,13.7807,96561,13.7807
12,13.78,13.83,13.54,13.5838,192801,13.5838
13,13.59,13.65,13.55,13.63,78552,13.63
14,13.64,13.94,13.62,13.92,127460,13.92
15,13.93,14.012,13.85,13.89,153123,13.89
16,13.8815,14.07,13.8,14.06,170962,14.06
17,14.055,14.46,14.055,14.4301,240692,14.4301
18,14.4411,14.54,14.39,14.47,243420,14.47
19,14.47,14.48,14.21,14.3899,254836,14.3899
20,14.381,14.46,14.33,14.35,141478,14.35
21,14.35,14.38,14.1301,14.312,204458,14.312
22,14.31,14.58,14.31,14.52,162632,14.52
23,14.53,14.7,14.46,14.6999,228545,14.6999
24,14.7,14.9699,14.7,14.865,325813,14.865
25,14.865,14.92,14.72,14.8,340015,14.8
26,14.79,14.97,14.75,14.87,569032,14.87
27,15.92,15.98,15.9,15.97,92934,15.97
28,15.97,15.97,15.23,15.23,1435650,15.23
29,15.235,15.24,14.74,15.17,1475603,15.17
30,15.165,15.69,15.165,15.6302,1079336,15.6302
31,15.648,15.65,15.1101,15.24,505038,15.24
32,15.24,15.49,15.15,15.44,366791,15.44
33,15.44,15.56,15.34,15.34,347369,15.34
34,15.34,15.56,15.25,15.53,367411,15.53
35,15.53,15.54,15.24,15.25,314930,15.25
36,15.2499,15.535,15.2499,15.39,228467,15.39
37,15.395,15.51,15.37,15.46,210724,15.46
38,15.46,15.74,15.46,15.56,415160,15.56
39,15.5795,15.7,15.52,15.53,113182,15.53
40,15.54,15.58,15.32,15.35,149119,15.35
41,15.3401,15.45,15.295,15.33,160356,15.33
42,15.33,15.5,15.33,15.38,111222,15.38
43,15.37,15.42,15.22,15.24,154157,15.24
44,15.24,15.32,15.09,15.2689,244838,15.2689
45,15.26,15.31,15.13,15.241,161978,15.241
46,15.25,15.26,14.9201,14.95,254591,14.95
47,14.95,14.95,14.72,14.8278,420392,14.8278
48,14.83,14.99,14.73,14.765,510094,14.765
49,14.765,14.91,14.49,14.78,626496,14.78
50,14.78,14.86,14.6401,14.84,386210,14.84
51,14.85,14.87,14.7301,14.75,292695,14.75
52,14.76,14.93,14.75,14.86,398740,14.86
53,14.86,14.89,14.77,14.79,711481,14.79
54,15.2266,15.2266,15.17,15.18,65969,15.18
55,15.17,15.47,14.9,15.18,559344,15.18
56,15.18,15.61,15.05,15.58,498803,15.58
57,15.6,15.6,15.3,15.57,402174,15.57
58,15.57,15.58,15.3684,15.45,272796,15.45
59,15.45,15.57,15.25,15.335,283899,15.335
60,15.34,15.43,15.19,15.213,243752,15.213
61,15.21,15.24,15.06,15.12,222755,15.12
62,15.118,15.32,15.1,15.2899,125909,15.2899
63,15.29,15.296,15.12,15.2,97633,15.2
64,15.21,15.38,15.1501,15.29,179505,15.29
65,15.29,15.36,15.26,15.36,118781,15.36
66,15.36,15.56,15.32,15.52,191394,15.52
67,15.53,15.6,15.5,15.525,261392,15.525
68,15.52,15.8499,15.51,15.81,354716,15.81
69,15.79,15.8,15.62,15.69,201168,15.69
70,15.6888,15.83,15.685,15.73,203299,15.73
71,15.74,15.79,15.7,15.77,166102,15.77
72,15.7628,15.91,15.73,15.91,248326,15.91
73,15.9,15.9,15.74,15.8662,180588,15.8662
74,15.866,15.89,15.83,15.87,197981,15.87
75,15.864,15.96,15.79,15.84,320147,15.84
76,15.84,15.96,15.83,15.92,259721,15.92
77,15.9299,15.94,15.85,15.86,275364,15.86
78,15.86,15.94,15.826,15.94,199028,15.94
79,15.93,16.1,15.9,16.1,528926,16.1
80,16.1,16.1,16.01,16.03,780154,16.03
81,15.85,15.85,15.85,15.85,46878,15.85
82,15.8403,15.9,15.5501,15.67,228485,15.67
83,15.6724,15.745,15.53,15.735,200610,15.735
84,15.72,15.82,15.56,15.56,258587,15.56
85,15.55,15.66,15.43,15.52,376944,15.52
86,15.52,15.59,15.43,15.495,196424,15.495
87,15.49,15.5851,15.34,15.34,211788,15.34
88,15.35,15.4,15.24,15.29,290977,15.29
89,15.29,15.3767,15.27,15.37,126909,15.37
90,15.37,15.38,15.16,15.165,363107,15.165
91,15.1599,15.29,15.14,15.14,156606,15.14
92,15.13,15.18,15.01,15.02,199055,15.02
93,15.018,15.11,14.97,14.99,256125,14.99
94,14.99,15.15,14.98,15.12,181898,15.12
95,15.12,15.18,15.08,15.12,194527,15.12
96,15.125,15.3475,15.125,15.3401,215436,15.3401
97,15.34,15.37,15.28,15.295,184321,15.295
98,15.3,15.33,15.24,15.26,87616,15.26
99,15.26,15.27,15.095,15.14,158513,15.14
100,15.13,15.23,15.1,15.23,170455,15.23
101,15.225,15.27,15.16,15.26,143109,15.26
102,15.26,15.34,15.225,15.25,138157,15.25
103,15.25,15.25,15.18,15.2,370775,15.2
104,15.2,15.26,15.12,15.1265,264852,15.1265
105,15.13,15.15,14.93,14.935,369415,14.935
106,14.94,14.95,14.78,14.79,465177,14.79
107,14.79,14.8301,14.76,14.79,698141,14.79
108,14.82,14.9,14.82,14.9,45686,14.9
109,14.93,14.9989,14.61,14.8,312744,14.8
110,14.82,14.83,14.41,14.51,179499,14.51
111,14.52,14.8,14.4923,14.72,197051,14.72
112,14.73,14.79,14.62,14.66,161777,14.66
113,14.66,14.72,14.615,14.68,126392,14.68
