Date,Open,High,Low,Close,Volume,Adj Close
0,20.772,21.07,20.72,20.83,293000,20.83
1,20.878,20.9,20.62,20.78,474436,20.78
2,20.9466,20.99,20.85,20.8799,286077,20.8799
3,20.83,20.98,20.8157,20.9499,317297,20.9499
4,20.825,20.9,20.63,20.8201,423007,20.8201
5,20.97,20.99,20.783,20.84,330563,20.84
6,20.74,21.0,20.721,20.9739,751718,20.9739
7,21.01,21.07,20.28,20.41,572406,20.41
8,21.2401,21.31,20.93,21.02,780021,21.02
9,21.53,21.55,21.19,21.245,533714,21.245
10,21.62,21.67,21.39,21.52,540714,21.52
11,21.88,22.075,21.63,21.63,694856,21.63
12,21.7,21.92,21.59,21.8799,514740,21.8799
13,21.87,21.91,21.63,21.7,1063706,21.7
14,22.02,22.38,21.91,22.29,783931,22.29
15,22.245,22.35,21.88,22.02,860539,22.02
16,21.96,22.48,21.92,22.24,746614,22.24
17,21.73,21.949,21.62,21.9439,504773,21.9439
18,21.78,21.845,21.66,21.74,306339,21.74
19,21.61,21.8321,21.57,21.785,347480,21.785
20,21.64,21.7,21.56,21.61,627052,21.61
21,21.4449,21.46,21.05,21.3,319370,21.3
22,21.138,21.44,21.0701,21.44,461772,21.44
23,20.9362,21.31,20.91,21.14,443292,21.14
24,20.8099,21.05,20.76,20.93,406045,20.93
25,20.72,20.86,20.6364,20.81,494648,20.81
26,20.37,20.79,20.341,20.72,609362,20.72
27,20.53,20.7,20.37,20.37,824929,20.37
28,19.67,20.15,19.66,20.01,938682,20.01
29,19.69,19.86,19.33,19.68,1623798,19.68
30,19.4,19.86,19.36,19.7,719890,19.7
31,19.26,19.51,19.255,19.4,603191,19.4
32,18.9499,19.32,18.935,19.27,404739,19.27
33,19.06,19.0801,18.8,18.94,834663,18.94
34,19.01,19.16,18.98,19.06,1383038,19.06
35,19.11,19.42,19.0,19.39,508823,19.39
36,18.7,19.13,18.6801,19.13,625863,19.13
37,18.5,18.839,18.315,18.72,912311,18.72
38,18.725,18.9,18.5,18.508,690006,18.508
39,18.55,18.81,18.53,18.7239,393914,18.7239
40,18.61,18.72,18.51,18.565,398388,18.565
41,18.32,18.71,18.275,18.61,1058821,18.61
42,17.76,18.55,17.71,18.55,809517,18.55
43,17.2175,17.82,17.17,17.77,1792143,17.77
44,16.95,17.26,16.51,17.21,2693049,17.21
45,16.81,17.04,16.65,16.95,1021927,16.95
46,16.545,16.92,16.39,16.82,802283,16.82
47,17.0144,17.03,16.55,16.55,709930,16.55
48,17.38,17.59,16.95,17.03,1658701,17.03
49,18.04,18.26,17.7,17.76,735556,17.76
50,17.53,18.07,17.363,18.07,623968,18.07
51,16.99,17.555,16.95,17.53,640779,17.53
52,16.76,17.13,16.74,16.99,574781,16.99
53,16.62,16.83,16.52,16.77,573158,16.77
54,16.93,16.94,16.52,16.621,599732,16.621
55,16.85,16.97,16.729,16.9301,1232066,16.9301
56,17.912,18.63,17.68,17.71,2233732,17.71
57,18.082,18.13,17.57,17.8901,1516929,17.8901
58,17.58,18.31,17.51,18.08,1257468,18.08
59,17.22,17.739,17.17,17.5766,821294,17.5766
60,16.7011,17.3123,16.679,17.21,1326742,17.21
61,16.9,16.99,16.52,16.7199,919141,16.7199
62,16.64,17.0,16.55,16.91,1387996,16.91
63,15.55,16.9999,15.51,16.74,1205306,16.74
64,16.53,16.89,15.38,15.58,2088040,15.58
65,16.26,16.64,15.93,16.535,970490,16.535
66,16.23,16.44,16.07,16.27,858425,16.27
67,16.694,16.77,16.23,16.24,566777,16.24
68,16.79,16.83,16.5,16.71,526666,16.71
69,16.7,16.91,16.6299,16.8,1053502,16.8
70,16.1,16.36,15.51,16.06,921721,16.06
71,16.04,16.43,15.79,16.06,910845,16.06
72,15.75,16.24,15.7,16.03,829651,16.03
