Date,Open,High,Low,Close,Volume,Adj Close
0,17.2,17.2,17.04,17.19,300218,17.19
1,17.14,17.23,17.05,17.19,737964,17.19
2,17.04,17.235,17.02,17.13,471290,17.13
3,17.01,17.1,16.95,17.03,475933,17.03
4,17.06,17.1,16.99,17.01,371573,17.01
5,17.07,17.14,17.04,17.05,399678,17.05
6,17.06,17.13,17.05,17.07,536356,17.07
7,17.05,17.09,16.975,17.06,322053,17.06
8,17.03,17.09,17.02,17.045,317849,17.045
9,16.955,17.07,16.935,17.03,244644,17.03
10,16.955,17.01,16.94,16.9561,214331,16.9561
11,16.97,17.0,16.9,16.96,212494,16.96
12,16.84,16.96,16.8201,16.96,189049,16.96
13,16.8193,16.84,16.75,16.83,198532,16.83
14,16.92,16.94,16.815,16.82,174942,16.82
15,16.925,16.95,16.865,16.925,262969,16.925
16,16.92,16.95,16.885,16.92,186443,16.92
17,17.01,17.02,16.91,16.91,217252,16.91
18,16.9769,17.02,16.94,17.01,341928,17.01
19,17.05,17.05,16.94,16.98,196867,16.98
20,16.975,17.07,16.975,17.0497,212006,17.0497
21,17.0,17.04,16.93,16.98,235007,16.98
22,17.135,17.1399,16.99,17.006,174399,17.006
23,17.092,17.14,17.04,17.135,276843,17.135
24,17.11,17.12,17.0,17.09,304172,17.09
25,17.12,17.17,17.06,17.11,557633,17.11
26,17.12,17.17,17.09,17.12,1370156,17.12
27,17.41,17.41,17.41,17.41,71856,17.41
28,17.19,17.44,17.17,17.4,518059,17.4
29,17.23,17.25,17.13,17.19,482167,17.19
30,17.26,17.33,17.22,17.22,352661,17.22
31,17.31,17.31,17.21,17.2638,208313,17.2638
32,17.26,17.325,17.225,17.32,261494,17.32
33,17.1,17.295,17.1,17.26,433742,17.26
34,17.06,17.145,17.04,17.0991,304881,17.0991
35,17.12,17.13,17.02,17.07,261484,17.07
36,17.14,17.17,17.11,17.13,171004,17.13
37,17.05,17.17,17.035,17.14,242168,17.14
38,17.0,17.07,16.97,17.035,248192,17.035
39,16.99,16.99,16.905,16.99,257311,16.99
40,16.925,17.01,16.92,16.98,283837,16.98
41,16.95,16.95,16.89,16.925,200520,16.925
42,16.98,17.01,16.93,16.95,136886,16.95
43,16.96,17.03,16.95,16.98,179811,16.98
44,16.95,17.02,16.925,16.95,193422,16.95
45,16.94,17.03,16.925,16.96,184816,16.96
46,16.84,16.95,16.84,16.935,247099,16.935
47,16.87,16.87,16.8,16.84,304801,16.84
48,16.76,16.875,16.76,16.87,223146,16.87
49,16.775,16.8,16.72,16.755,241002,16.755
50,16.815,16.88,16.765,16.78,357961,16.78
51,16.885,16.91,16.78,16.815,353351,16.815
52,16.93,16.955,16.86,16.89,662433,16.89
53,16.88,16.96,16.87,16.93,1525886,16.93
54,16.51,16.55,16.51,16.51,57719,16.51
55,16.42,16.6,16.345,16.52,1245151,16.52
56,16.296,16.46,16.2197,16.43,1942605,16.43
57,16.19,16.32,16.14,16.3,1018783,16.3
58,16.23,16.28,16.11,16.19,644523,16.19
59,16.185,16.25,16.13,16.22,652919,16.22
60,16.11,16.19,16.09,16.19,743205,16.19
61,16.19,16.24,16.104,16.11,723910,16.11
62,16.22,16.23,16.15,16.2,414291,16.2
63,16.13,16.24,16.13,16.21,359254,16.21
64,16.04,16.155,16.02,16.125,235709,16.125
65,16.04,16.09,15.98,16.05,346766,16.05
66,15.97,16.06,15.95,16.03,428699,16.03
67,16.04,16.09,15.97,15.97,209956,15.97
68,16.19,16.19,16.02,16.04,306604,16.04
69,16.11,16.235,16.11,16.2,420413,16.2
70,16.125,16.14,16.05,16.11,316567,16.11
71,16.27,16.27,16.11,16.12,544569,16.12
72,16.25,16.305,16.24,16.27,531074,16.27
73,16.28,16.35,16.18,16.24,348234,16.24
74,16.285,16.34,16.25,16.28,432725,16.28
75,16.27,16.3,16.22,16.2838,499454,16.2838
76,16.39,16.42,16.255,16.27,442424,16.27
77,16.4775,16.48,16.35,16.39,518179,16.39
78,16.665,16.67,16.47,16.475,513524,16.475
79,16.61,16.715,16.59,16.67,946325,16.67
80,16.53,16.615,16.5,16.61,1776506,16.61
81,17.2489,17.2489,16.76,16.76,59379,16.76
82,16.29,17.23,15.96,17.1001,1628947,17.1001
83,16.2859,16.39,16.02,16.29,953253,16.29
84,16.43,16.45,16.27,16.29,702323,16.29
85,16.4475,16.52,16.34,16.43,718940,16.43
86,16.506,16.52,16.36,16.45,549764,16.45
87,16.26,16.57,16.25,16.5,694402,16.5
88,16.24,16.3001,16.2,16.26,1170491,16.26
89,16.28,16.3275,16.24,16.25,696556,16.25
90,16.34,16.42,16.28,16.28,642313,16.28
91,16.435,16.48,16.34,16.35,509114,16.35
92,16.455,16.56,16.43,16.43,519404,16.43
93,16.4315,16.5,16.39,16.455,275187,16.455
94,16.405,16.46,16.39,16.435,295261,16.435
95,16.36,16.41,16.32,16.41,495319,16.41
96,16.265,16.38,16.26,16.36,361684,16.36
97,16.16,16.3,16.14,16.26,535360,16.26
98,16.0932,16.2,16.09,16.16,441592,16.16
99,16.03,16.11,16.01,16.095,431582,16.095
100,15.905,16.05,15.89,16.04,481784,16.04
101,15.89,15.92,15.85,15.91,491768,15.91
102,15.9099,15.995,15.89,15.895,852066,15.895
103,16.03,16.055,15.85,15.905,709745,15.905
104,15.93,16.04,15.83,16.04,866834,16.04
105,15.78,15.93,15.76,15.925,970244,15.925
106,15.87,15.9,15.77,15.775,1152053,15.775
107,15.73,15.87,15.72,15.86,3509048,15.86
108,16.05,16.1,16.0,16.09,97984,16.09
109,15.805,16.18,15.66,16.01,2063706,16.01
110,15.915,15.97,15.73,15.8,1316047,15.8
111,15.875,15.95,15.86,15.915,1055519,15.915
112,15.8,15.88,15.73,15.8799,1591096,15.8799
113,15.88,15.935,15.79,15.8,939455,15.8
114,15.84,15.9,15.78,15.885,481980,15.885
115,15.87,15.89,15.78,15.84,852620,15.84
116,15.89,15.94,15.845,15.87,414495,15.87
117,15.87,15.9,15.84,15.89,341833,15.89
118,15.79,15.88,15.79,15.865,472101,15.865
119,15.925,15.94,15.79,15.8,373342,15.8
120,15.95,15.96,15.89,15.92,379860,15.92
121,15.915,16.0,15.91,15.945,310852,15.945
122,15.93,15.93,15.88,15.92,317473,15.92
123,15.955,15.975,15.92,15.93,266512,15.93
124,15.93,16.0,15.91,15.96,302353,15.96
125,15.94,15.95,15.87,15.93,450003,15.93
126,15.95,16.01,15.93,15.94,420526,15.94
127,16.03,16.03,15.92,15.95,326479,15.95
128,15.92,16.03,15.9,16.03,557070,16.03
129,15.87,15.94,15.85,15.915,574230,15.915
130,15.94,15.94,15.8611,15.87,321549,15.87
131,15.905,15.95,15.865,15.94,630868,15.94
132,15.92,15.95,15.9,15.905,546624,15.905
133,15.96,15.96,15.9,15.92,831133,15.92
134,15.94,15.99,15.93,15.955,2864913,15.955
135,15.79,15.79,15.78,15.78,83699,15.78
136,15.65,15.88,15.61,15.79,723476,15.79
137,15.6,15.65,15.56,15.64,480244,15.64
138,15.56,15.67,15.56,15.59,706783,15.59
139,15.49,15.585,15.49,15.56,707815,15.56
140,15.39,15.52,15.37,15.5,626365,15.5
141,15.34,15.405,15.34,15.39,363639,15.39
142,15.21,15.35,15.205,15.34,857403,15.34
143,15.245,15.285,15.2,15.21,770341,15.21
144,15.17,15.245,15.165,15.24,532445,15.24
145,15.155,15.21,15.15,15.17,346052,15.17
146,15.09,15.17,15.08,15.15,592248,15.15
147,15.065,15.125,15.05,15.085,1165207,15.085
148,15.03,15.1,15.03,15.06,595920,15.06
149,15.0,15.04,14.965,15.033,1586844,15.033
150,15.04,15.16,14.9999,15.0,922385,15.0
151,15.15,15.18,15.03,15.04,736731,15.04
152,15.175,15.18,15.11,15.14,488345,15.14
153,15.0875,15.18,15.07,15.175,737556,15.175
154,15.145,15.16,15.06,15.08,526153,15.08
155,15.15,15.2,15.12,15.145,533263,15.145
156,15.04,15.16,15.035,15.15,878215,15.15
157,14.99,15.05,14.975,15.04,972078,15.04
158,14.94,15.01,14.9,14.995,1170706,14.995
159,15.0,15.03,14.915,14.935,1064758,14.935
160,14.97,15.01,14.91,15.0,1046689,15.0
161,15.01,15.01,14.96,14.9625,2452897,14.9625
162,15.14,15.17,15.14,15.14,89324,15.14
163,15.16,15.22,15.05,15.13,885657,15.13
164,15.14,15.17,15.05,15.17,570715,15.17
165,15.19,15.22,15.12,15.15,676103,15.15
166,15.24,15.27,15.16,15.19,632408,15.19
167,15.3,15.32,15.23,15.2362,789215,15.2362
168,15.215,15.35,15.21,15.305,1239022,15.305
169,15.275,15.28,15.2,15.22,646201,15.22
170,15.255,15.3,15.21,15.27,524701,15.27
171,15.2311,15.26,15.18,15.26,305700,15.26
172,15.29,15.33,15.22,15.23,444654,15.23
173,15.331,15.34,15.28,15.29,615955,15.29
174,15.37,15.4,15.33,15.33,244442,15.33
175,15.365,15.4,15.35,15.37,368073,15.37
