Date,Open,High,Low,Close,Volume,Adj Close
0,64.02,65.79,64.001,65.62,212864,65.62
1,65.58,66.26,65.34,66.19,397664,66.19
2,66.2044,66.22,65.56,65.65,486735,65.65
3,65.63,65.7,64.95,64.975,567125,64.975
4,64.97,64.98,64.43,64.45,299586,64.45
5,64.44,64.76,64.32,64.655,184334,64.655
6,64.6,64.94,64.44,64.44,637745,64.44
7,65.45,65.5,63.91,64.18,344383,64.18
8,64.12,64.34,63.63,64.1125,400236,64.1125
9,64.11,64.13,63.2,63.48,358553,63.48
10,63.5,63.85,63.27,63.85,384476,63.85
11,63.84,63.95,63.24,63.425,201453,63.425
12,63.45,63.55,62.97,62.97,395586,62.97
13,62.985,63.13,62.66,62.7,1086464,62.7
14,62.92,63.68,62.6,62.64,240168,62.64
15,62.59,62.74,62.14,62.2,251049,62.2
16,62.18,62.84,61.95,62.682,250424,62.682
17,62.67,62.85,62.57,62.65,237554,62.65
18,62.65,62.74,61.86,61.94,255836,61.94
19,61.94,62.42,61.77,62.07,351803,62.07
20,62.08,62.95,62.025,62.6,621948,62.6
21,63.36,63.77,62.77,63.29,166833,63.29
22,63.32,63.33,62.87,62.975,199272,62.975
23,62.95,62.98,62.25,62.32,188983,62.32
24,62.29,62.59,62.24,62.51,157924,62.51
25,62.51,62.8,62.39,62.53,117396,62.53
26,62.52,63.02,62.12,62.99,171193,62.99
27,63.01,63.5,62.78,63.4,360763,63.4
28,63.43,63.43,62.58,62.88,126711,62.88
29,62.83,63.29,62.54,62.9899,234859,62.9899
30,62.99,63.19,62.65,62.71,275792,62.71
31,62.7,62.73,62.03,62.18,257917,62.18
32,62.16,62.19,61.72,61.79,229689,61.79
33,61.8023,61.94,61.34,61.76,201879,61.76
34,61.79,62.03,61.42,61.64,586158,61.64
35,61.21,61.67,60.7,60.84,167435,60.84
36,60.87,61.72,60.36,61.51,580970,61.51
37,61.5,61.61,60.41,60.995,433247,60.995
38,61.02,61.59,60.91,61.3,241994,61.3
39,61.3066,62.09,61.29,61.72,256456,61.72
40,61.7375,62.0,61.49,61.96,204565,61.96
41,61.96,62.36,61.5,61.55,545242,61.55
42,60.19,60.9,59.76,60.2,182156,60.2
43,60.21,60.86,60.04,60.44,231580,60.44
44,60.44,60.61,59.8,59.8,289447,59.8
45,59.79,59.85,59.01,59.71,365054,59.71
46,59.73,60.65,59.57,60.48,503257,60.48
47,60.48,60.98,60.04,60.96,274363,60.96
48,60.96,60.97,60.33,60.64,430608,60.64
49,61.26,62.53,61.24,62.4475,345622,62.4475
50,62.45,63.75,62.2,62.22,710095,62.22
51,62.21,62.43,61.83,62.02,387433,62.02
52,62.01,62.15,61.4101,62.13,396021,62.13
53,62.13,62.56,62.11,62.3,407404,62.3
54,62.29,62.47,62.14,62.26,556552,62.26
55,62.29,63.06,62.27,62.81,643657,62.81
56,62.01,62.61,61.05,61.3,170742,61.3
57,61.3,61.63,60.39,60.41,437897,60.41
58,60.41,60.9,60.22,60.3,698347,60.3
59,60.32,60.44,59.83,60.26,780344,60.26
60,60.3,61.07,59.76,60.68,671854,60.68
61,60.71,62.21,60.23,62.07,884536,62.07
62,62.13,62.82,61.92,62.23,631707,62.23
63,61.82,63.0,61.71,62.66,199322,62.66
64,62.66,63.95,62.59,63.68,365983,63.68
65,63.71,64.63,63.59,64.56,449080,64.56
66,64.58,65.07,64.55,64.81,448728,64.81
67,64.77,64.91,64.11,64.46,309875,64.46
68,64.462,64.73,63.9575,64.65,259529,64.65
69,64.64,64.79,64.22,64.56,515587,64.56
70,64.96,65.61,64.5,65.35,201012,65.35
71,65.38,65.6,65.05,65.36,413867,65.36
72,65.34,65.49,64.54,64.55,298452,64.55
73,64.54,65.01,64.54,64.98,128221,64.98
74,64.95,65.15,64.8,65.06,161893,65.06
75,65.07,65.12,64.8,64.99,164140,64.99
76,64.985,65.22,64.66,65.2,352543,65.2
77,65.35,65.49,64.73,65.06,112127,65.06
78,65.07,65.105,64.59,64.87,177170,64.87
79,64.86,64.99,64.56,64.93,157798,64.93
80,64.93,65.06,64.67,64.8499,119357,64.8499
81,64.84,65.11,64.82,64.87,118750,64.87
82,64.86,64.99,64.69,64.86,151953,64.86
83,64.87,65.03,64.3,64.46,412227,64.46
84,65.74,66.55,65.22,66.125,408632,66.125
85,66.14,66.64,66.09,66.4,334204,66.4
86,66.43,66.76,66.06,66.22,231099,66.22
87,66.22,66.56,66.18,66.42,207602,66.42
88,66.42,66.66,66.266,66.44,190270,66.44
89,66.445,66.49,65.79,65.84,314317,65.84
90,65.84,66.17,65.795,66.14,264594,66.14
91,65.64,66.9,65.64,66.46,481821,66.46
92,66.48,66.61,65.82,65.93,341973,65.93
93,65.97,66.59,65.835,66.48,206745,66.48
94,66.47,66.65,66.27,66.33,151576,66.33
95,66.325,66.47,66.13,66.26,93952,66.26
96,66.29,66.64,65.9,65.93,287131,65.93
97,65.95,65.96,65.395,65.73,430122,65.73
98,66.8,66.98,66.27,66.79,224064,66.79
99,66.82,66.85,65.83,66.58,276191,66.58
100,66.58,67.04,66.45,66.89,277447,66.89
101,66.88,67.5,66.8,67.33,278121,67.33
102,67.33,67.53,67.07,67.11,226908,67.11
103,67.1,67.43,67.1,67.39,168004,67.39
104,67.39,67.5,67.07,67.33,449065,67.33
105,67.65,67.8,67.22,67.675,136549,67.675
106,67.71,67.97,67.49,67.75,212570,67.75
107,67.78,68.5,67.78,68.2,199914,68.2
108,68.17,68.22,67.95,68.01,160146,68.01
109,68.01,68.17,67.87,67.88,160072,67.88
110,67.86,68.0,67.47,67.56,186058,67.56
111,67.57,67.64,67.31,67.59,556147,67.59
112,67.58,68.36,67.23,68.36,191013,68.36
113,68.26,68.5,67.91,68.43,366387,68.43
114,68.43,68.87,68.39,68.66,178372,68.66
115,68.46,68.57,68.27,68.28,82402,68.28
116,68.29,68.74,68.16,68.69,123787,68.69
117,68.69,69.02,68.51,69.02,206683,69.02
118,69.0,69.5,68.97,69.11,506167,69.11
119,68.9,69.65,68.7,69.15,268483,69.15
120,69.11,69.45,69.04,69.17,240354,69.17
121,69.2,69.39,69.08,69.1,159580,69.1
122,69.105,69.55,69.0,69.415,269553,69.415
123,69.41,69.42,69.03,69.1,158757,69.1
124,69.1099,69.16,68.92,69.0,289397,69.0
125,69.005,69.26,69.0,69.12,434055,69.12
126,69.04,69.56,68.58,68.66,111353,68.66
127,68.55,68.64,67.0036,67.67,419806,67.67
128,67.67,68.39,67.34,68.15,176342,68.15
129,68.15,68.4,67.89,68.15,221212,68.15
130,68.17,68.2,67.36,67.36,178428,67.36
131,67.37,68.52,67.3,68.5,216393,68.5
132,68.48,68.54,68.015,68.5,535863,68.5
133,67.35,67.82,67.08,67.57,132479,67.57
134,67.58,68.71,67.044,68.69,345042,68.69
135,68.69,68.69,67.58,67.66,379000,67.66
136,67.66,68.45,67.52,68.37,310410,68.37
137,68.36,68.56,67.77,67.83,108908,67.83
138,67.86,68.11,67.62,68.1,170719,68.1
139,68.1,68.15,67.8,68.05,266527,68.05
140,67.89,68.0,67.19,67.55,222882,67.55
141,67.51,67.52,66.4,66.4001,354851,66.4001
142,66.4,66.62,65.765,66.5,277600,66.5
143,66.5,67.19,66.28,66.64,211151,66.64
144,66.62,66.84,66.39,66.52,201497,66.52
145,66.54,66.55,66.05,66.07,250555,66.07
146,66.06,66.06,65.74,65.8,515371,65.8
147,65.39,65.44,64.53,64.77,268227,64.77
148,64.77,64.96,63.8966,64.04,313892,64.04
149,64.05,64.1,63.33,63.81,287729,63.81
150,63.85,64.3,63.85,63.965,191428,63.965
151,63.96,63.96,63.25,63.38,167719,63.38
152,63.38,63.8,63.1175,63.66,375798,63.66
153,63.64,64.7,63.58,64.49,589644,64.49
154,63.64,64.99,63.64,64.38,174950,64.38
155,64.36,64.8,63.29,63.33,264831,63.33
156,63.3301,63.79,63.33,63.52,223523,63.52
157,63.495,63.96,63.25,63.28,126281,63.28
158,63.3,63.3,62.73,63.04,169828,63.04
159,63.04,63.87,63.04,63.71,179050,63.71
160,63.72,64.16,63.53,63.655,321872,63.655
161,64.28,64.68,64.0,64.36,175400,64.36
162,64.35,64.5199,63.84,63.98,322376,63.98
163,63.99,64.34,63.82,64.25,132468,64.25
164,64.31,64.87,64.21,64.675,182610,64.675
165,64.675,64.7,64.29,64.5,124321,64.5
166,64.55,64.5975,64.13,64.19,145150,64.19
167,64.2,64.585,63.96,64.0,387233,64.0
168,63.31,64.26,63.0,64.15,202231,64.15
169,64.15,64.215,62.99,63.35,405045,63.35
170,63.36,63.53,63.12,63.44,299292,63.44
171,63.41,64.09,63.38,64.0775,138275,64.0775
172,64.1,64.19,63.46,63.54,287534,63.54
173,63.52,64.18,63.4,64.08,195117,64.08
174,64.13,64.46,63.75,63.98,362341,63.98
