Date,Open,High,Low,Close,Volume,Adj Close
0,27.25,27.4,27.07,27.2,692906,27.2
1,27.16,27.3,27.13,27.245,705483,27.245
2,27.4,27.4,27.16,27.16,694599,27.16
3,27.39,27.4642,27.33,27.4,632549,27.4
4,27.425,27.44,27.335,27.39,523150,27.39
5,27.26,27.439,27.19,27.425,817168,27.425
6,27.16,27.32,27.16,27.255,2249171,27.255
7,26.535,26.76,26.5,26.72,932325,26.72
8,26.36,26.595,26.36,26.53,1587986,26.53
9,26.47,26.485,26.295,26.36,1242451,26.36
10,26.515,26.525,26.38,26.46,1122479,26.46
11,26.565,26.635,26.51,26.52,1339602,26.52
12,26.485,26.585,26.42,26.565,1414769,26.565
13,26.59,26.6,26.4,26.485,3562091,26.485
14,26.485,26.75,26.48,26.52,1368009,26.52
15,26.68,26.74,26.44,26.48,1623209,26.48
16,26.62,26.71,26.57,26.68,836123,26.68
17,26.605,26.63,26.51,26.63,1085708,26.63
18,26.65,26.665,26.555,26.61,840887,26.61
19,26.61,26.695,26.59,26.65,809002,26.65
20,26.59,26.7,26.545,26.605,2552391,26.605
21,26.5,26.65,26.17,26.49,1405528,26.49
22,26.775,26.79,26.425,26.5,1890550,26.5
23,27.0,27.025,26.75,26.77,2622663,26.77
24,26.76,27.01,26.75,27.01,1610304,27.01
25,26.7325,26.77,26.64,26.76,1202718,26.76
26,26.675,26.86,26.65,26.73,1790914,26.73
27,26.72,26.79,26.62,26.67,3526746,26.67
28,26.17,26.29,26.06,26.23,1383020,26.23
29,26.2,26.255,26.08,26.17,1852292,26.17
30,26.25,26.34,26.115,26.2,3110150,26.2
31,26.305,26.54,26.13,26.24,2835195,26.24
32,26.0475,26.33,26.035,26.31,663343,26.31
33,26.065,26.19,25.94,26.042,1227045,26.042
34,25.89,26.12,25.88,26.06,3322147,26.06
35,26.22,26.2599,26.01,26.07,1140870,26.07
36,26.11,26.225,25.94,26.225,1200687,26.225
37,26.02,26.18,25.83,26.11,2317504,26.11
38,26.265,26.34,25.985,26.02,1296884,26.02
39,26.09,26.27,26.07,26.26,984473,26.26
40,26.1,26.14,26.01,26.09,1333986,26.09
41,25.89,26.11,25.83,26.09,2619219,26.09
42,25.985,26.1,25.87,26.05,912062,26.05
43,25.97,26.155,25.95,25.99,1201909,25.99
44,25.995,26.04,25.84,25.97,949791,25.97
45,25.85,26.015,25.81,26.0,873515,26.0
46,25.64,25.895,25.62,25.86,1193830,25.86
47,25.765,25.84,25.62,25.64,1251287,25.64
48,25.88,25.98,25.615,25.77,3739854,25.77
49,26.41,26.46,25.87,26.04,948651,26.04
50,26.38,26.47,26.265,26.41,1419856,26.41
51,26.31,26.407,26.24,26.37,1355170,26.37
52,26.24,26.4099,26.16,26.31,924201,26.31
53,26.4,26.555,26.24,26.24,2029576,26.24
54,26.425,26.45,26.23,26.41,1524806,26.41
55,26.42,26.53,26.32,26.43,2588748,26.43
56,26.41,26.63,26.15,26.35,1016009,26.35
57,26.41,26.455,26.22,26.41,1906041,26.41
58,26.25,26.41,26.225,26.41,1127573,26.41
59,26.2,26.335,26.18,26.25,1097747,26.25
60,26.01,26.285,26.0,26.195,1253160,26.195
61,25.96,26.065,25.76,26.01,1795418,26.01
62,25.875,26.1,25.845,25.96,3443154,25.96
63,25.97,26.18,25.925,26.0,846064,26.0
64,26.7,26.71,25.865,25.97,2683611,25.97
65,26.735,26.825,26.545,26.7,1929045,26.7
66,27.01,27.04,26.67,26.74,1732588,26.74
67,26.805,27.0801,26.8,27.01,2290934,27.01
68,26.835,26.84,26.68,26.805,1990385,26.805
69,26.56,26.865,26.51,26.84,3632949,26.84
70,26.12,26.29,25.75,25.76,1895644,25.76
71,26.14,26.36,26.03,26.11,1596777,26.11
72,26.0,26.24,25.965,26.13,1744253,26.13
73,25.84,26.03,25.72,26.0,1497973,26.0
74,26.215,26.26,25.78,25.84,1726396,25.84
75,26.32,26.325,25.985,26.2142,1522299,26.2142
76,26.1,26.32,26.07,26.31,4145769,26.31
77,26.52,26.66,26.31,26.54,1275254,26.54
78,26.4925,26.765,26.48,26.525,2078674,26.525
79,26.5,26.615,26.35,26.5,1421529,26.5
80,26.465,26.52,26.33,26.505,1123890,26.505
81,26.39,26.527,26.37,26.47,1339330,26.47
82,26.155,26.425,26.1,26.39,1679436,26.39
83,26.36,26.5,26.15,26.16,3165590,26.16
84,25.59,26.16,25.555,25.96,1900947,25.96
85,25.085,25.85,25.08,25.59,3632406,25.59
86,25.11,25.35,25.0,25.08,2111328,25.08
87,25.34,25.34,24.94,25.11,2212651,25.11
88,25.54,25.645,25.21,25.34,2199297,25.34
