Date,Open,High,Low,Close,Volume,Adj Close
0,62.5,62.53,62.21,62.21,38135,62.21
1,61.98,63.15,61.4,62.51,172275,62.51
2,62.4501,62.49,61.09,61.91,121011,61.91
3,62.1,62.74,61.91,62.451,119042,62.451
4,62.05,62.29,61.64,62.07,63755,62.07
5,61.86,62.29,61.73,62.05,31239,62.05
6,62.08,62.37,61.76,61.82,51494,61.82
7,61.99,62.21,61.835,61.97,40683,61.97
8,62.01,62.06,61.74,61.96,79431,61.96
9,62.65,62.65,62.05,62.05,62262,62.05
10,62.28,62.8,62.2501,62.63,51521,62.63
11,62.26,62.46,62.0901,62.25,37661,62.25
12,62.4,62.41,61.95,62.23,32931,62.23
13,62.48,62.67,62.395,62.44,39720,62.44
14,62.1,62.58,62.1,62.47,76564,62.47
15,62.12,62.314,62.07,62.09,32943,62.09
16,62.12,62.46,62.12,62.13,29529,62.13
17,61.79,62.1767,61.79,62.095,39401,62.095
18,61.91,62.11,61.77,61.77,39840,61.77
19,61.16,61.93,61.16,61.92,46568,61.92
20,61.38,61.38,61.0,61.19,48293,61.19
21,60.89,61.41,60.89,61.39,51699,61.39
22,61.01,61.07,60.74,60.88,41852,60.88
23,61.22,61.61,60.91,60.96,65402,60.96
24,61.905,61.94,61.1,61.23,71197,61.23
25,61.885,61.9617,61.58,61.93,78212,61.93
26,61.49,61.99,61.48,61.885,297975,61.885
27,60.39,60.49,60.39,60.4,24017,60.4
28,60.33,60.5375,59.65,60.37,101413,60.37
29,58.86,60.63,58.703,60.35,147088,60.35
30,58.597,58.94,58.23,58.9,125977,58.9
31,57.85,58.695,57.81,58.6,161703,58.6
32,58.0,58.0,57.29,57.87,139530,57.87
33,57.4,57.99,57.33,57.97,94225,57.97
34,58.08,58.19,57.32,57.32,50246,57.32
35,57.87,58.195,57.77,58.02,85507,58.02
36,57.8,58.17,57.79,57.89,54467,57.89
37,57.66,57.89,57.26,57.78,60541,57.78
38,57.77,57.87,57.38,57.64,57886,57.64
39,57.33,57.89,57.25,57.79,53073,57.79
40,57.26,57.58,57.22,57.37,64469,57.37
41,58.105,58.24,57.2,57.24,82730,57.24
42,58.04,58.49,57.94,58.13,68284,58.13
43,57.925,58.03,57.64,58.02,69239,58.02
44,58.76,58.76,57.93,57.93,80627,57.93
45,59.06,59.27,58.76,58.84,134807,58.84
46,59.73,59.73,58.8,59.05,109303,59.05
47,59.65,59.99,59.56,59.74,77712,59.74
48,60.1,60.14,59.45,59.66,53990,59.66
49,60.62,60.76,60.06,60.1144,84578,60.1144
50,60.97,61.15,60.51,60.62,86427,60.62
51,61.89,62.0,60.98,60.98,153030,60.98
52,61.25,61.96,61.21,61.93,139311,61.93
53,61.27,61.5,61.0,61.26,318784,61.26
54,61.29,61.29,61.29,61.29,15979,61.29
55,61.47,61.7899,60.91,61.38,53306,61.38
56,61.715,62.12,60.86,61.415,78643,61.415
57,63.215,63.62,61.78,61.78,115819,61.78
58,64.21,64.28,63.1,63.2,133432,63.2
