Date,Open,High,Low,Close,Volume,Adj Close
2016-01-13 23:00:00,65.52,66.27,65.3,65.46,197433,65.46
2016-01-14 00:00:00,65.4448,65.8,63.94,64.36,389166,64.36
2016-01-14 01:00:00,64.31,64.31,63.1801,63.24,259423,63.24
2016-01-14 02:00:00,63.28,63.49,62.71,62.98,281419,62.98
2016-01-14 03:00:00,62.97,63.0101,62.02,62.08,265786,62.08
2016-01-14 04:00:00,62.0775,62.335,61.08,61.62,299229,61.62
2016-01-14 05:00:00,61.64,62.08,61.21,61.37,487304,61.37
2016-01-14 23:00:00,60.8,60.85,57.59,57.59,583711,57.59
2016-01-15 00:00:00,57.65,60.85,57.54,60.64,906390,60.64
2016-01-15 01:00:00,60.63,61.15,59.82,61.09,614523,61.09
2016-01-15 02:00:00,61.11,61.79,61.01,61.54,269704,61.54
2016-01-15 03:00:00,61.54,62.26,61.496,61.92,180053,61.92
2016-01-15 04:00:00,61.96,62.49,61.75,62.41,155607,62.41
2016-01-15 05:00:00,62.43,62.6,61.67,61.78,585021,61.78
2016-01-15 23:00:00,59.58,60.73,58.8,60.55,268062,60.55
2016-01-16 00:00:00,60.53,60.89,59.44,59.7,361934,59.7
2016-01-16 01:00:00,59.71,60.15,59.55,59.75,186327,59.75
2016-01-16 02:00:00,59.7258,59.99,58.83,59.53,227231,59.53
2016-01-16 03:00:00,59.46,60.73,59.27,60.62,170711,60.62
2016-01-16 04:00:00,60.6,61.175,60.504,61.175,197817,61.175
2016-01-16 05:00:00,61.15,61.64,61.01,61.32,543679,61.32
2016-01-19 23:00:00,62.21,63.15,61.09,62.4501,331421,62.4501
2016-01-20 00:00:00,62.451,62.74,61.64,62.08,265530,62.08
2016-01-20 01:00:00,61.97,62.8,61.74,62.28,233897,62.28
2016-01-20 02:00:00,62.25,62.67,61.95,62.1,186876,62.1
2016-01-20 03:00:00,62.09,62.46,61.77,61.91,141713,61.91
2016-01-20 04:00:00,61.92,61.93,60.74,61.01,188412,61.01
2016-01-20 05:00:00,60.96,61.99,60.91,61.49,512786,61.49
2016-01-20 23:00:00,60.4,60.63,58.703,58.86,272518,58.86
2016-01-21 00:00:00,58.9,58.94,57.29,57.4,521435,57.4
2016-01-21 01:00:00,57.32,58.195,57.26,57.66,250761,57.66
2016-01-21 02:00:00,57.64,58.24,57.2,58.105,258158,58.105
2016-01-21 03:00:00,58.13,59.27,57.64,59.06,352957,59.06
2016-01-21 04:00:00,59.05,60.76,58.8,60.62,325583,60.62
2016-01-21 05:00:00,60.62,62.0,60.51,61.27,697552,61.27
2016-01-21 23:00:00,61.29,62.12,60.86,61.715,147928,61.715
2016-01-22 00:00:00,61.78,64.34,61.78,63.6686,425972,63.6686
2016-01-22 01:00:00,63.73,64.5316,62.96,63.57,313997,63.57
2016-01-22 02:00:00,63.62,64.0287,62.8375,63.05,163231,63.05
2016-01-22 03:00:00,63.07,63.56,62.5403,63.082,248314,63.082
2016-01-22 04:00:00,63.06,63.74,62.55,63.56,213674,63.56
2016-01-22 05:00:00,63.42,63.73,63.04,63.23,442863,63.23
2016-01-22 23:00:00,65.1,65.87,64.53,65.68,312396,65.68
2016-01-23 00:00:00,65.68,66.1,64.4,64.61,457014,64.61
2016-01-23 01:00:00,64.5402,65.27,64.29,65.25,245942,65.25
2016-01-23 02:00:00,65.19,66.94,65.06,66.83,336004,66.83
2016-01-23 03:00:00,66.79,66.92,66.23,66.42,321575,66.42
2016-01-23 04:00:00,66.39,66.51,65.8,66.29,179706,66.29
2016-01-23 05:00:00,66.3,66.64,65.75,66.44,558641,66.44
2016-01-25 23:00:00,66.56,66.59,65.34,66.01,194462,66.01
2016-01-26 00:00:00,65.97,66.3273,64.41,64.55,273998,64.55
2016-01-26 01:00:00,64.5,65.09,64.29,64.95,165222,64.95
2016-01-26 02:00:00,64.945,65.139,64.53,64.94,107520,64.94
2016-01-26 03:00:00,64.9714,65.24,64.33,64.45,187047,64.45
2016-01-26 04:00:00,64.42,64.99,64.36,64.96,96038,64.96
2016-01-26 05:00:00,64.97,65.07,63.93,64.14,396406,64.14
2016-01-26 23:00:00,64.76,65.985,64.44,65.24,222455,65.24
2016-01-27 00:00:00,65.25,66.73,65.25,66.385,257942,66.385
2016-01-27 01:00:00,66.45,67.19,66.45,66.7,261804,66.7
2016-01-27 02:00:00,66.68,67.371,66.68,66.84,140015,66.84
2016-01-27 03:00:00,66.87,67.31,66.71,67.205,150752,67.205
2016-01-27 04:00:00,67.25,67.56,67.11,67.36,138252,67.36
2016-01-27 05:00:00,67.34,67.6,66.99,67.4,404680,67.4
2016-01-27 23:00:00,66.93,66.99,66.0,66.18,193967,66.18
2016-01-28 00:00:00,66.205,66.405,65.22,65.92,246965,65.92
2016-01-28 01:00:00,65.945,67.72,65.86,67.64,207287,67.64
2016-01-28 02:00:00,67.624,67.73,66.66,66.74,234709,66.74
2016-01-28 03:00:00,66.69,67.06,66.34,66.98,148165,66.98
2016-01-28 04:00:00,67.01,67.22,65.92,66.34,142442,66.34
2016-01-28 05:00:00,66.31,66.35,65.3,65.64,374182,65.64
2016-01-28 23:00:00,66.85,67.4299,64.67,65.18,268716,65.18
2016-01-29 00:00:00,65.18,65.32,64.18,64.76,257548,64.76
2016-01-29 01:00:00,64.76,65.4534,64.2,64.465,152156,64.465
2016-01-29 02:00:00,64.46,65.28,64.46,65.0401,103593,65.0401
2016-01-29 03:00:00,65.0402,65.17,64.65,65.0,157002,65.0
2016-01-29 04:00:00,65.0,66.11,64.97,65.56,300744,65.56
2016-01-29 05:00:00,65.5601,65.95,65.5,65.88,643307,65.88
2016-01-29 23:00:00,65.92,66.6,65.8,66.15,191634,66.15
2016-01-30 00:00:00,66.06,68.25,66.03,67.65,468832,67.65
2016-01-30 01:00:00,67.64,67.7689,66.95,67.2,248780,67.2
2016-01-30 02:00:00,67.21,67.88,67.15,67.65,155187,67.65
2016-01-30 03:00:00,67.645,67.89,67.36,67.58,117624,67.58
2016-01-30 04:00:00,67.56,68.1,67.3,67.9712,210776,67.9712
2016-01-30 05:00:00,67.98,68.7,67.9486,68.66,551682,68.66
2016-02-01 23:00:00,68.1,68.151,66.88,67.32,142909,67.32
2016-02-02 00:00:00,67.21,68.4,66.74,68.18,247670,68.18
2016-02-02 01:00:00,68.14,68.14,67.13,67.48,154634,67.48
2016-02-02 02:00:00,67.52,68.01,67.1645,67.87,144420,67.87
2016-02-02 03:00:00,67.88,68.948,67.79,68.92,213491,68.92
2016-02-02 04:00:00,68.895,69.49,68.83,69.42,218960,69.42
2016-02-02 05:00:00,69.43,69.766,69.08,69.13,457214,69.13
2016-02-02 23:00:00,68.05,68.74,67.8979,68.11,144282,68.11
2016-02-03 00:00:00,68.11,68.4399,67.04,67.0612,310146,67.0612
2016-02-03 01:00:00,67.05,67.09,66.215,66.2801,307022,66.2801
2016-02-03 02:00:00,66.24,66.31,65.61,66.27,220043,66.27
